# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.9	4.5	0.183
2	3.0	4.5	0.099
3	3.1	4.4	0.039
4	3.1	4.4	0.028
5	3.1	4.4	0.084
6	3.1	4.4	0.211
7	3.1	4.3	0.571
8	3.0	4.3	0.611
9	3.1	4.3	0.614
10	2.9	4.2	0.643
11	2.9	4.2	0.614
12	2.7	4.2	0.595
13	2.6	4.2	0.551
14	2.7	4.2	0.484
15	2.6	4.2	0.441
16	2.7	4.2	0.412
17	2.9	4.2	0.428
18	3.1	4.2	0.531
19	3.3	4.2	0.592
20	3.4	4.2	0.733
21	3.4	4.2	0.753
22	3.5	4.2	0.702
23	3.6	4.2	0.423
24	3.7	4.1	0.265
25	3.9	4.1	0.183
26	3.8	4.1	0.099
27	3.8	4.1	0.039
28	3.8	4.1	0.028
29	3.7	4.1	0.084
30	3.7	4.1	0.211
31	3.8	4.1	0.571
32	3.8	4.1	0.611
33	3.7	4.1	0.614
34	3.6	4.1	0.643
35	3.5	4.1	0.614
36	3.4	4.1	0.595
37	3.3	4.1	0.551
38	3.3	4.1	0.484
39	3.2	4.1	0.441
40	3.2	4.1	0.412
41	3.4	4.1	0.428
42	3.5	4.1	0.531
43	3.5	4.0	0.592
44	3.6	4.0	0.733
45	3.6	4.0	0.753
46	3.6	4.0	0.702
47	3.6	4.0	0.423
48	3.6	4.0	0.265
49	3.6	4.0	0.183
50	3.6	4.0	0.099
51	3.6	4.0	0.039
52	3.7	4.0	0.028
53	3.7	4.0	0.084
54	3.7	4.0	0.211
55	3.8	4.0	0.571
56	3.8	4.0	0.611
57	3.7	4.0	0.614
58	3.7	4.0	0.643
59	3.6	4.0	0.614
60	3.6	4.0	0.595
61	3.5	4.0	0.551
62	3.4	4.0	0.484
63	3.3	4.0	0.441
64	3.3	4.0	0.412
65	3.3	4.0	0.428
66	3.5	4.0	0.531
67	3.6	4.0	0.592
68	3.7	4.0	0.733
69	3.8	4.0	0.753
70	3.9	4.0	0.702
71	3.9	4.0	0.423
72	4.0	4.0	0.265
73	4.0	4.0	0.183
74	4.0	4.0	0.099
75	4.0	4.0	0.039
76	4.0	3.9	0.028
77	4.0	3.9	0.084
78	4.0	3.9	0.211
79	3.9	3.9	0.571
80	3.8	3.9	0.611
81	3.7	3.9	0.614
82	3.5	3.9	0.643
83	3.2	3.9	0.614
84	2.9	3.9	0.595
85	2.7	3.9	0.551
86	2.6	3.9	0.484
87	2.6	3.9	0.441
88	2.6	3.9	0.412
89	2.7	3.9	0.428
90	2.7	3.8	0.531
91	2.7	3.8	0.592
92	2.6	3.8	0.733
93	2.7	3.8	0.753
94	2.8	3.8	0.702
95	2.8	3.8	0.423
96	2.8	3.8	0.265
97	2.8	3.8	0.183
98	2.8	3.8	0.099
99	2.9	3.8	0.039
100	3.0	3.8	0.028
101	3.1	3.8	0.084
102	3.1	3.8	0.211
103	3.2	3.8	0.571
104	3.3	3.8	0.611
105	3.3	3.8	0.614
106	3.3	3.8	0.643
107	3.4	3.8	0.614
108	3.4	3.8	0.595
109	3.4	3.7	0.551
110	3.5	3.7	0.484
111	3.7	3.7	0.441
112	3.7	3.7	0.412
113	3.8	3.7	0.428
114	4.0	3.7	0.531
115	4.0	3.7	0.592
116	4.0	3.7	0.733
117	4.1	3.7	0.753
118	4.2	3.7	0.702
119	4.4	3.7	0.423
120	4.4	3.7	0.265
121	4.5	3.7	0.183
122	4.5	3.7	0.099
123	4.4	3.7	0.039
124	4.4	3.7	0.028
125	4.2	3.7	0.084
126	4.1	3.7	0.211
127	4.1	3.7	0.571
128	4.0	3.7	0.611
129	4.0	3.7	0.614
130	3.8	3.7	0.643
131	3.6	3.7	0.614
132	3.4	3.7	0.595
133	3.1	3.6	0.551
134	2.9	3.6	0.484
135	2.8	3.6	0.441
136	2.7	3.6	0.412
137	2.7	3.6	0.428
138	2.8	3.6	0.531
139	2.7	3.6	0.592
140	2.7	3.6	0.733
141	2.7	3.6	0.753
142	2.7	3.6	0.702
143	2.7	3.6	0.423
144	2.7	3.6	0.265
145	2.6	3.6	0.183
146	2.7	3.6	0.099
147	2.7	3.6	0.039
148	2.7	3.6	0.028
149	2.9	3.6	0.084
150	2.8	3.6	0.211
151	2.8	3.6	0.571
152	2.9	3.6	0.611
153	2.8	3.6	0.614
154	2.6	3.6	0.643
155	2.6	3.6	0.614
156	2.4	3.6	0.595
157	2.3	3.6	0.551
158	2.1	3.6	0.484
159	2.1	3.6	0.441
160	2.1	3.6	0.412
161	2.2	3.6	0.428
162	2.4	3.6	0.531
163	2.6	3.6	0.592
164	2.6	3.6	0.733
165	2.7	3.6	0.753
166	2.8	3.6	0.702
167	2.9	3.6	0.423
168	3.0	3.6	0.265
169	3.0	3.6	0.183
170	3.0	3.6	0.099
171	3.0	3.6	0.039
172	2.9	3.6	0.028
173	2.9	3.6	0.084
174	2.8	3.6	0.211
175	2.8	3.6	0.571
176	2.7	3.6	0.611
177	2.7	3.6	0.614
178	2.7	3.6	0.643
179	2.5	3.6	0.614
180	2.4	3.5	0.595
181	2.4	3.5	0.551
182	2.4	3.5	0.484
183	2.4	3.5	0.441
184	2.4	3.5	0.412
185	2.4	3.5	0.428
186	2.4	3.5	0.531
187	2.5	3.5	0.592
188	2.3	3.5	0.733
189	2.3	3.5	0.753
190	2.2	3.5	0.702
191	2.1	3.5	0.423
192	2.1	3.5	0.265
193	1.9	3.5	0.183
194	1.9	3.5	0.099
195	2.0	3.5	0.039
196	2.0	3.5	0.028
197	2.0	3.5	0.084
198	1.9	3.5	0.211
199	1.9	3.5	0.571
200	1.9	3.5	0.611
201	2.0	3.5	0.614
202	1.8	3.5	0.643
203	1.8	3.5	0.614
204	1.8	3.5	0.595
205	1.8	3.5	0.551
206	1.6	3.5	0.484
207	1.5	3.5	0.441
208	1.4	3.5	0.412
209	1.5	3.5	0.428
210	1.4	3.5	0.531
211	1.4	3.5	0.592
212	1.5	3.5	0.733
213	1.4	3.5	0.753
214	1.4	3.5	0.702
215	1.4	3.5	0.423
216	1.3	3.5	0.265
217	1.4	3.5	0.183
218	1.4	3.5	0.099
219	1.5	3.5	0.039
220	1.5	3.5	0.028
221	1.6	3.5	0.084
222	1.7	3.4	0.211
223	1.8	3.4	0.571
224	1.8	3.4	0.611
225	1.8	3.4	0.614
226	1.9	3.4	0.643
227	1.9	3.4	0.614
228	1.8	3.4	0.595
229	1.8	3.4	0.551
230	1.8	3.4	0.484
231	1.8	3.4	0.441
232	2.0	3.4	0.412
233	2.1	3.4	0.428
234	2.3	3.4	0.531
235	2.3	3.4	0.592
236	2.4	3.4	0.733
237	2.6	3.4	0.753
238	2.8	3.4	0.702
239	2.9	3.4	0.423
240	3.0	3.4	0.265
241	3.1	3.4	0.183
242	3.1	3.4	0.099
243	3.1	3.4	0.039
244	3.1	3.4	0.028
245	3.1	3.4	0.084
246	3.1	3.4	0.211
247	3.1	3.4	0.571
248	3.0	3.4	0.611
249	3.1	3.4	0.614
250	3.0	3.4	0.643
251	3.0	3.4	0.614
252	2.7	3.4	0.595
253	2.7	3.4	0.551
254	2.5	3.4	0.484
255	2.5	3.4	0.441
256	2.6	3.4	0.412
257	2.8	3.4	0.428
258	2.8	3.4	0.531
259	2.8	3.4	0.592
260	3.0	3.4	0.733
261	3.0	3.4	0.753
262	3.1	3.4	0.702
263	3.1	3.4	0.423
264	3.2	3.4	0.265
265	3.2	3.4	0.183
266	3.2	3.4	0.099
267	3.2	3.4	0.039
268	3.2	3.4	0.028
269	3.1	3.4	0.084
270	3.2	3.4	0.211
271	3.1	3.4	0.571
272	3.2	3.4	0.611
273	3.2	3.4	0.614
274	3.1	3.4	0.643
275	3.0	3.3	0.614
276	2.8	3.3	0.595
277	2.6	3.3	0.551
278	2.6	3.3	0.484
279	2.5	3.3	0.441
280	2.5	3.3	0.412
281	2.5	3.3	0.428
282	2.5	3.3	0.531
283	2.5	3.3	0.592
284	2.5	3.3	0.733
285	2.6	3.3	0.753
286	2.6	3.3	0.702
287	2.6	3.3	0.423
288	2.7	3.3	0.265
289	2.6	3.3	0.183
290	2.6	3.3	0.099
291	2.6	3.3	0.039
292	2.6	3.3	0.028
293	2.6	3.3	0.084
294	2.6	3.3	0.211
295	2.6	3.3	0.571
296	2.6	3.3	0.611
297	2.5	3.3	0.614
298	2.5	3.3	0.643
299	2.4	3.3	0.614
300	2.3	3.3	0.595
301	2.2	3.3	0.551
302	2.2	3.3	0.484
303	2.1	3.3	0.441
304	2.0	3.3	0.412
305	2.2	3.3	0.428
306	2.1	3.3	0.531
307	2.2	3.3	0.592
308	2.2	3.3	0.733
309	2.2	3.3	0.753
310	2.4	3.3	0.702
311	2.3	3.3	0.423
312	2.4	3.3	0.265
313	2.4	3.3	0.183
314	2.4	3.3	0.099
315	2.4	3.3	0.039
316	2.3	3.3	0.028
317	2.3	3.3	0.084
318	2.2	3.3	0.211
319	2.3	3.3	0.571
320	2.3	3.3	0.611
321	2.4	3.3	0.614
322	2.3	3.3	0.643
323	2.3	3.3	0.614
324	2.3	3.3	0.595
325	2.2	3.3	0.551
326	2.2	3.3	0.484
327	2.0	3.3	0.441
328	1.9	3.3	0.412
329	2.0	3.3	0.428
330	2.0	3.3	0.531
331	2.1	3.3	0.592
332	2.2	3.3	0.733
333	2.2	3.3	0.753
334	2.2	3.3	0.702
335	2.3	3.2	0.423
336	2.2	3.2	0.265
337	2.2	3.2	0.183
338	2.3	3.2	0.099
339	2.4	3.2	0.039
340	2.4	3.2	0.028
341	2.5	3.2	0.084
342	2.5	3.2	0.211
343	2.5	3.2	0.571
344	2.6	3.2	0.611
345	2.6	3.2	0.614
346	2.7	3.2	0.643
347	2.6	3.2	0.614
348	2.5	3.2	0.595
349	2.5	3.2	0.551
350	2.6	3.2	0.484
351	2.6	3.2	0.441
352	2.6	3.2	0.412
353	2.7	3.2	0.428
354	2.8	3.2	0.531
355	2.8	3.2	0.592
356	2.9	3.2	0.733
357	2.9	3.2	0.753
358	3.0	3.2	0.702
359	3.0	3.2	0.423
360	2.9	3.2	0.265
361	2.9	3.2	0.183
362	2.9	3.2	0.099
363	3.0	3.2	0.039
364	3.0	3.2	0.028
365	3.0	3.2	0.084
366	3.1	3.2	0.211
367	3.1	3.2	0.571
368	3.1	3.2	0.611
369	3.1	3.2	0.614
370	3.2	3.2	0.643
371	2.9	3.2	0.614
