# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.8	24.3	0.411
2	13.1	24.2	0.222
3	13.8	23.4	0.087
4	13.6	23.3	0.063
5	13.8	23.3	0.189
6	13.8	23.2	0.474
7	13.6	23.1	1.281
8	16.7	23.0	1.371
9	16.8	22.8	1.377
10	15.8	22.8	1.443
11	15.9	22.7	1.377
12	15.0	22.7	1.335
13	14.5	22.7	1.236
14	14.6	22.6	1.086
15	14.6	22.6	0.990
16	15.0	22.5	0.924
17	15.9	22.4	0.960
18	17.2	22.4	1.191
19	18.4	22.4	1.329
20	18.7	22.3	1.644
21	18.8	22.3	1.689
22	19.4	22.3	1.575
23	19.9	22.3	0.948
24	20.6	22.2	0.594
25	18.0	22.2	0.411
26	17.5	22.1	0.222
27	17.6	22.1	0.087
28	17.6	22.1	0.063
29	17.4	22.1	0.189
30	17.0	22.0	0.474
31	17.4	22.0	1.281
32	21.0	21.9	1.371
33	20.4	21.9	1.377
34	20.0	21.9	1.443
35	19.4	21.8	1.377
36	18.6	21.8	1.335
37	18.2	21.8	1.236
38	18.0	21.7	1.086
39	17.4	21.7	0.990
40	17.8	21.7	0.924
41	18.5	21.7	0.960
42	19.4	21.7	1.191
43	19.5	21.7	1.329
44	19.6	21.6	1.644
45	19.8	21.5	1.689
46	19.9	21.4	1.575
47	19.9	21.4	0.948
48	19.9	21.3	0.594
49	16.7	21.3	0.411
50	16.6	21.3	0.222
51	16.8	21.2	0.087
52	17.2	21.2	0.063
53	17.4	21.1	0.189
54	17.1	21.1	0.474
55	17.7	21.1	1.281
56	20.7	21.1	1.371
57	20.5	21.1	1.377
58	20.6	21.1	1.443
59	20.0	21.0	1.377
60	19.9	21.0	1.335
61	19.0	21.0	1.236
62	18.6	20.9	1.086
63	18.2	20.9	0.990
64	18.1	20.8	0.924
65	18.4	20.8	0.960
66	19.1	20.7	1.191
67	19.7	20.7	1.329
68	20.2	20.7	1.644
69	20.8	20.6	1.689
70	21.3	20.6	1.575
71	21.7	20.6	0.948
72	22.0	20.6	0.594
73	19.0	20.5	0.411
74	19.0	20.5	0.222
75	18.8	20.5	0.087
76	19.0	20.5	0.063
77	18.9	20.4	0.189
78	18.8	20.4	0.474
79	18.4	20.4	1.281
80	20.9	20.4	1.371
81	20.3	20.3	1.377
82	19.2	20.3	1.443
83	17.5	20.3	1.377
84	16.1	20.3	1.335
85	14.9	20.3	1.236
86	14.4	20.3	1.086
87	14.6	20.3	0.990
88	14.4	20.2	0.924
89	14.7	20.2	0.960
90	14.9	20.2	1.191
91	14.8	20.2	1.329
92	14.4	20.2	1.644
93	14.9	20.2	1.689
94	15.2	20.1	1.575
95	15.3	20.1	0.948
96	15.4	20.1	0.594
97	12.1	20.1	0.411
98	12.2	20.1	0.222
99	12.9	20.1	0.087
100	13.3	20.1	0.063
101	13.7	20.1	0.189
102	14.0	20.1	0.474
103	14.6	20.0	1.281
104	18.0	20.0	1.371
105	18.4	20.0	1.377
106	18.4	20.0	1.443
107	18.7	20.0	1.377
108	18.8	19.9	1.335
109	18.9	19.9	1.236
110	19.3	19.9	1.086
111	20.4	19.9	0.990
112	20.3	19.9	0.924
113	21.2	19.9	0.960
114	22.1	19.9	1.191
115	22.2	19.9	1.329
116	21.8	19.9	1.644
117	22.4	19.9	1.689
118	23.2	19.8	1.575
119	24.2	19.8	0.948
120	24.3	19.8	0.594
121	21.7	19.8	0.411
122	21.7	19.8	0.222
123	21.1	19.8	0.087
124	21.1	19.8	0.063
125	20.1	19.8	0.189
126	19.3	19.8	0.474
127	19.1	19.8	1.281
128	22.1	19.8	1.371
129	21.8	19.8	1.377
130	21.0	19.7	1.443
