# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.3	8.2	0.123
2	5.4	8.2	0.066
3	5.6	8.0	0.026
4	5.5	8.0	0.019
5	5.6	8.0	0.056
6	5.6	7.9	0.142
7	5.5	7.6	0.383
8	5.5	7.6	0.409
9	5.5	7.4	0.411
10	5.2	7.4	0.431
11	5.2	7.3	0.411
12	4.9	7.3	0.399
13	4.8	7.3	0.369
14	4.8	7.3	0.324
15	4.8	7.3	0.296
16	4.9	7.3	0.276
17	5.2	7.3	0.287
18	5.6	7.3	0.356
19	6.0	7.3	0.397
20	6.1	7.3	0.491
21	6.2	7.3	0.504
22	6.4	7.2	0.470
23	6.5	7.2	0.283
24	6.8	7.2	0.177
25	7.0	7.2	0.123
26	6.8	7.2	0.066
27	6.8	7.2	0.026
28	6.8	7.2	0.019
29	6.8	7.2	0.056
30	6.6	7.1	0.142
31	6.8	7.1	0.383
32	6.9	7.1	0.409
33	6.7	7.1	0.411
34	6.6	7.1	0.431
35	6.3	7.1	0.411
36	6.1	7.1	0.399
37	6.0	7.0	0.369
38	5.9	7.0	0.324
39	5.7	7.0	0.296
40	5.8	7.0	0.276
41	6.1	7.0	0.287
42	6.3	7.0	0.356
43	6.4	7.0	0.397
44	6.4	7.0	0.491
45	6.5	7.0	0.504
46	6.5	7.0	0.470
47	6.5	7.0	0.283
48	6.5	6.9	0.177
49	6.5	6.9	0.123
50	6.5	6.9	0.066
51	6.6	6.9	0.026
52	6.7	6.9	0.019
53	6.7	6.9	0.056
54	6.7	6.9	0.142
55	6.9	6.9	0.383
56	6.8	6.9	0.409
57	6.7	6.9	0.411
58	6.7	6.9	0.431
59	6.6	6.9	0.411
60	6.5	6.9	0.399
61	6.2	6.8	0.369
62	6.1	6.8	0.324
63	6.0	6.8	0.296
64	5.9	6.8	0.276
65	6.0	6.8	0.287
66	6.3	6.8	0.356
67	6.5	6.8	0.397
68	6.6	6.8	0.491
69	6.8	6.8	0.504
70	7.0	6.8	0.470
71	7.1	6.8	0.283
72	7.2	6.8	0.177
73	7.3	6.8	0.123
74	7.3	6.8	0.066
75	7.2	6.8	0.026
76	7.3	6.7	0.019
77	7.3	6.7	0.056
78	7.2	6.7	0.142
79	7.1	6.7	0.383
80	6.8	6.7	0.409
81	6.6	6.7	0.411
82	6.3	6.7	0.431
83	5.7	6.7	0.411
84	5.3	6.7	0.399
85	4.9	6.7	0.369
86	4.7	6.7	0.324
87	4.8	6.7	0.296
88	4.7	6.7	0.276
89	4.8	6.7	0.287
90	4.9	6.7	0.356
91	4.9	6.7	0.397
92	4.7	6.7	0.491
93	4.9	6.7	0.504
94	5.0	6.6	0.470
95	5.0	6.6	0.283
96	5.0	6.6	0.177
97	5.0	6.6	0.123
98	5.1	6.6	0.066
99	5.3	6.6	0.026
100	5.4	6.6	0.019
101	5.6	6.6	0.056
102	5.6	6.6	0.142
103	5.8	6.6	0.383
104	5.9	6.6	0.409
105	6.0	6.6	0.411
106	6.0	6.6	0.431
107	6.1	6.6	0.411
108	6.2	6.6	0.399
109	6.2	6.6	0.369
110	6.3	6.6	0.324
111	6.7	6.6	0.296
112	6.6	6.6	0.276
113	6.9	6.5	0.287
114	7.2	6.5	0.356
115	7.3	6.5	0.397
116	7.1	6.5	0.491
117	7.3	6.5	0.504
118	7.6	6.5	0.470
