# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.8	4.4	0.233
2	2.9	4.4	0.126
3	3.0	4.3	0.049
4	2.9	4.3	0.036
5	3.0	4.3	0.107
6	3.0	4.2	0.269
7	2.9	4.1	0.727
8	2.9	4.1	0.778
9	2.9	4.1	0.781
10	2.8	4.1	0.819
11	2.8	4.1	0.781
12	2.6	4.1	0.757
13	2.5	4.1	0.701
14	2.6	4.0	0.616
15	2.5	4.0	0.562
16	2.6	4.0	0.524
17	2.8	4.0	0.545
18	3.0	4.0	0.676
19	3.2	4.0	0.754
20	3.3	4.0	0.933
21	3.3	4.0	0.958
22	3.4	4.0	0.894
23	3.5	4.0	0.538
24	3.6	4.0	0.337
25	3.7	4.0	0.233
26	3.6	4.0	0.126
27	3.6	4.0	0.049
28	3.7	3.9	0.036
29	3.6	3.9	0.107
30	3.5	3.9	0.269
31	3.6	3.9	0.727
32	3.7	3.9	0.778
33	3.6	3.9	0.781
34	3.5	3.9	0.819
35	3.4	3.9	0.781
36	3.3	3.9	0.757
37	3.2	3.9	0.701
38	3.1	3.9	0.616
39	3.0	3.9	0.562
40	3.1	3.9	0.524
41	3.2	3.9	0.545
42	3.4	3.9	0.676
43	3.4	3.9	0.754
44	3.4	3.9	0.933
45	3.5	3.9	0.958
46	3.5	3.9	0.894
47	3.5	3.9	0.538
48	3.5	3.9	0.337
49	3.5	3.9	0.233
50	3.5	3.9	0.126
51	3.5	3.9	0.049
52	3.6	3.9	0.036
53	3.6	3.9	0.107
54	3.6	3.9	0.269
55	3.7	3.9	0.727
56	3.6	3.9	0.778
57	3.6	3.8	0.781
58	3.6	3.8	0.819
59	3.5	3.8	0.781
60	3.5	3.8	0.757
61	3.3	3.8	0.701
62	3.2	3.8	0.616
63	3.2	3.8	0.562
64	3.2	3.8	0.524
65	3.2	3.8	0.545
66	3.3	3.8	0.676
67	3.5	3.8	0.754
68	3.5	3.8	0.933
69	3.6	3.8	0.958
70	3.7	3.8	0.894
71	3.8	3.8	0.538
72	3.8	3.8	0.337
73	3.9	3.8	0.233
74	3.9	3.8	0.126
75	3.9	3.8	0.049
76	3.9	3.8	0.036
77	3.9	3.8	0.107
78	3.9	3.8	0.269
79	3.8	3.8	0.727
80	3.7	3.8	0.778
81	3.5	3.8	0.781
82	3.4	3.8	0.819
83	3.1	3.7	0.781
84	2.8	3.7	0.757
85	2.6	3.7	0.701
86	2.5	3.7	0.616
87	2.5	3.7	0.562
88	2.5	3.7	0.524
89	2.6	3.7	0.545
90	2.6	3.7	0.676
91	2.6	3.7	0.754
92	2.5	3.7	0.933
93	2.6	3.7	0.958
94	2.7	3.7	0.894
95	2.7	3.7	0.538
96	2.7	3.7	0.337
97	2.7	3.7	0.233
98	2.7	3.7	0.126
99	2.8	3.7	0.049
100	2.9	3.7	0.036
101	3.0	3.7	0.107
102	3.0	3.7	0.269
103	3.1	3.6	0.727
104	3.2	3.6	0.778
105	3.2	3.6	0.781
106	3.2	3.6	0.819
107	3.3	3.6	0.781
108	3.3	3.6	0.757
109	3.3	3.6	0.701
110	3.4	3.6	0.616
111	3.6	3.6	0.562
112	3.5	3.6	0.524
113	3.7	3.6	0.545
114	3.9	3.6	0.676
115	3.9	3.6	0.754
116	3.8	3.6	0.933
117	3.9	3.6	0.958
118	4.1	3.6	0.894
119	4.2	3.6	0.538
120	4.3	3.6	0.337
121	4.4	3.6	0.233
122	4.4	3.6	0.126
123	4.3	3.6	0.049
124	4.3	3.6	0.036
125	4.1	3.6	0.107
126	3.9	3.6	0.269
127	3.9	3.6	0.727
128	3.9	3.5	0.778
129	3.8	3.5	0.781
130	3.7	3.5	0.819
131	3.5	3.5	0.781
132	3.3	3.5	0.757
133	3.0	3.5	0.701
134	2.8	3.5	0.616
135	2.7	3.5	0.562
136	2.6	3.5	0.524
137	2.6	3.5	0.545
138	2.7	3.5	0.676
139	2.6	3.5	0.754
140	2.6	3.5	0.933
141	2.6	3.5	0.958
142	2.6	3.5	0.894
143	2.6	3.5	0.538
144	2.6	3.5	0.337
145	2.5	3.5	0.233
146	2.6	3.5	0.126
147	2.6	3.5	0.049
148	2.6	3.5	0.036
149	2.7	3.5	0.107
150	2.7	3.5	0.269
151	2.7	3.5	0.727
152	2.8	3.5	0.778
153	2.7	3.5	0.781
154	2.5	3.5	0.819
155	2.5	3.5	0.781
156	2.3	3.5	0.757
157	2.3	3.5	0.701
158	2.1	3.5	0.616
159	2.0	3.5	0.562
160	2.0	3.5	0.524
161	2.2	3.5	0.545
162	2.3	3.5	0.676
163	2.5	3.5	0.754
164	2.5	3.5	0.933
165	2.6	3.5	0.958
166	2.7	3.5	0.894
167	2.8	3.5	0.538
168	2.9	3.5	0.337
169	2.9	3.5	0.233
170	2.9	3.5	0.126
171	2.9	3.5	0.049
172	2.8	3.5	0.036
173	2.8	3.4	0.107
174	2.7	3.4	0.269
175	2.7	3.4	0.727
176	2.6	3.4	0.778
177	2.6	3.4	0.781
178	2.6	3.4	0.819
179	2.4	3.4	0.781
180	2.3	3.4	0.757
181	2.3	3.4	0.701
182	2.3	3.4	0.616
183	2.3	3.4	0.562
184	2.3	3.4	0.524
185	2.3	3.4	0.545
186	2.3	3.4	0.676
187	2.4	3.4	0.754
188	2.2	3.4	0.933
189	2.2	3.4	0.958
190	2.2	3.4	0.894
191	2.1	3.4	0.538
192	2.0	3.4	0.337
193	1.9	3.4	0.233
194	1.9	3.4	0.126
195	1.9	3.4	0.049
196	2.0	3.4	0.036
197	1.9	3.4	0.107
198	1.8	3.4	0.269
199	1.9	3.4	0.727
200	1.8	3.4	0.778
201	1.9	3.4	0.781
202	1.7	3.4	0.819
203	1.7	3.4	0.781
204	1.8	3.4	0.757
205	1.7	3.4	0.701
206	1.6	3.4	0.616
207	1.4	3.4	0.562
208	1.4	3.4	0.524
209	1.4	3.4	0.545
210	1.4	3.4	0.676
211	1.4	3.4	0.754
212	1.4	3.4	0.933
213	1.4	3.4	0.958
214	1.4	3.4	0.894
215	1.4	3.4	0.538
216	1.3	3.4	0.337
217	1.3	3.4	0.233
218	1.3	3.4	0.126
219	1.4	3.4	0.049
220	1.5	3.4	0.036
221	1.6	3.4	0.107
222	1.6	3.4	0.269
223	1.7	3.4	0.727
224	1.8	3.4	0.778
225	1.8	3.4	0.781
226	1.8	3.4	0.819
227	1.8	3.4	0.781
228	1.8	3.3	0.757
229	1.7	3.3	0.701
230	1.8	3.3	0.616
231	1.7	3.3	0.562
232	1.9	3.3	0.524
233	2.0	3.3	0.545
234	2.2	3.3	0.676
235	2.2	3.3	0.754
236	2.3	3.3	0.933
237	2.5	3.3	0.958
238	2.7	3.3	0.894
239	2.8	3.3	0.538
240	2.9	3.3	0.337
241	3.0	3.3	0.233
242	3.0	3.3	0.126
243	3.0	3.3	0.049
244	3.0	3.3	0.036
245	3.0	3.3	0.107
246	3.0	3.3	0.269
247	3.0	3.3	0.727
248	2.9	3.3	0.778
249	3.0	3.3	0.781
250	2.8	3.3	0.819
251	2.8	3.3	0.781
252	2.6	3.3	0.757
253	2.6	3.3	0.701
254	2.4	3.3	0.616
255	2.4	3.3	0.562
256	2.5	3.3	0.524
257	2.7	3.3	0.545
258	2.7	3.3	0.676
259	2.7	3.3	0.754
260	2.9	3.3	0.933
261	2.9	3.3	0.958
262	3.0	3.3	0.894
263	3.0	3.3	0.538
264	3.0	3.3	0.337
265	3.0	3.3	0.233
266	3.1	3.3	0.126
267	3.1	3.3	0.049
268	3.1	3.3	0.036
269	3.0	3.3	0.107
270	3.0	3.3	0.269
271	3.0	3.3	0.727
272	3.0	3.3	0.778
273	3.1	3.3	0.781
274	3.0	3.3	0.819
275	2.9	3.3	0.781
276	2.7	3.3	0.757
277	2.5	3.3	0.701
278	2.5	3.3	0.616
279	2.4	3.3	0.562
280	2.4	3.3	0.524
281	2.4	3.3	0.545
282	2.4	3.3	0.676
283	2.4	3.3	0.754
284	2.4	3.3	0.933
285	2.5	3.3	0.958
286	2.5	3.3	0.894
287	2.5	3.3	0.538
288	2.6	3.3	0.337
289	2.5	3.3	0.233
290	2.5	3.3	0.126
291	2.5	3.3	0.049
292	2.5	3.3	0.036
293	2.5	3.3	0.107
294	2.5	3.3	0.269
295	2.5	3.3	0.727
296	2.5	3.2	0.778
297	2.4	3.2	0.781
298	2.4	3.2	0.819
299	2.3	3.2	0.781
300	2.2	3.2	0.757
301	2.1	3.2	0.701
302	2.1	3.2	0.616
303	2.1	3.2	0.562
304	2.0	3.2	0.524
305	2.1	3.2	0.545
306	2.0	3.2	0.676
307	2.1	3.2	0.754
308	2.1	3.2	0.933
309	2.1	3.2	0.958
310	2.3	3.2	0.894
311	2.2	3.2	0.538
312	2.3	3.2	0.337
313	2.3	3.2	0.233
314	2.3	3.2	0.126
315	2.3	3.2	0.049
316	2.2	3.2	0.036
317	2.2	3.2	0.107
