# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.7	1.3	0.052
2	0.7	1.3	0.028
3	0.7	1.3	0.011
4	0.7	1.3	0.008
5	0.7	1.3	0.024
6	0.7	1.3	0.060
7	0.7	1.2	0.161
8	0.9	1.2	0.173
9	0.9	1.2	0.174
10	0.9	1.2	0.182
11	0.9	1.2	0.174
12	0.8	1.2	0.168
13	0.8	1.2	0.156
14	0.8	1.2	0.137
15	0.8	1.2	0.125
16	0.8	1.2	0.116
17	0.9	1.2	0.121
18	0.9	1.2	0.150
19	1.0	1.2	0.168
20	1.0	1.2	0.207
21	1.0	1.2	0.213
22	1.0	1.2	0.199
23	1.1	1.2	0.120
24	1.1	1.2	0.075
25	1.0	1.2	0.052
26	0.9	1.2	0.028
27	1.0	1.2	0.011
28	1.0	1.2	0.008
29	0.9	1.2	0.024
30	0.9	1.2	0.060
31	0.9	1.2	0.161
32	1.1	1.2	0.173
33	1.1	1.2	0.174
34	1.1	1.2	0.182
35	1.0	1.2	0.174
36	1.0	1.2	0.168
37	1.0	1.2	0.156
38	1.0	1.2	0.137
39	0.9	1.2	0.125
40	1.0	1.2	0.116
41	1.0	1.2	0.121
42	1.0	1.2	0.150
43	1.1	1.2	0.168
44	1.1	1.2	0.207
45	1.1	1.2	0.213
46	1.1	1.2	0.199
47	1.1	1.2	0.120
48	1.1	1.1	0.075
49	0.9	1.1	0.052
50	0.9	1.1	0.028
51	0.9	1.1	0.011
52	0.9	1.1	0.008
53	0.9	1.1	0.024
54	0.9	1.1	0.060
55	1.0	1.1	0.161
56	1.1	1.1	0.173
57	1.1	1.1	0.174
58	1.1	1.1	0.182
59	1.1	1.1	0.174
60	1.1	1.1	0.168
61	1.0	1.1	0.156
62	1.0	1.1	0.137
63	1.0	1.1	0.125
64	1.0	1.1	0.116
65	1.0	1.1	0.121
66	1.0	1.1	0.150
67	1.1	1.1	0.168
68	1.1	1.1	0.207
69	1.1	1.1	0.213
70	1.1	1.1	0.199
71	1.2	1.1	0.120
72	1.2	1.1	0.075
73	1.0	1.1	0.052
74	1.0	1.1	0.028
75	1.0	1.1	0.011
76	1.0	1.1	0.008
77	1.0	1.1	0.024
78	1.0	1.1	0.060
79	1.0	1.1	0.161
80	1.1	1.1	0.173
81	1.1	1.1	0.174
82	1.0	1.1	0.182
83	0.9	1.1	0.174
84	0.9	1.1	0.168
85	0.8	1.1	0.156
86	0.8	1.1	0.137
87	0.8	1.1	0.125
88	0.8	1.1	0.116
89	0.8	1.1	0.121
90	0.8	1.1	0.150
91	0.8	1.1	0.168
92	0.8	1.1	0.207
93	0.8	1.1	0.213
94	0.8	1.1	0.199
95	0.8	1.1	0.120
96	0.8	1.1	0.075
97	0.7	1.1	0.052
98	0.7	1.1	0.028
99	0.7	1.1	0.011
100	0.7	1.1	0.008
101	0.7	1.1	0.024
102	0.8	1.1	0.060
103	0.8	1.1	0.161
104	1.0	1.1	0.173
105	1.0	1.1	0.174
106	1.0	1.1	0.182
107	1.0	1.1	0.174
108	1.0	1.1	0.168
109	1.0	1.1	0.156
110	1.0	1.1	0.137
111	1.1	1.1	0.125
112	1.1	1.1	0.116
113	1.1	1.1	0.121
114	1.2	1.1	0.150
115	1.2	1.1	0.168
116	1.2	1.1	0.207
117	1.2	1.1	0.213
118	1.3	1.1	0.199
119	1.3	1.1	0.120
120	1.3	1.1	0.075
121	1.2	1.1	0.052
122	1.2	1.1	0.028
123	1.1	1.1	0.011
124	1.1	1.1	0.008
125	1.1	1.1	0.024
126	1.0	1.1	0.060
127	1.0	1.1	0.161
128	1.2	1.1	0.173
129	1.2	1.1	0.174
130	1.1	1.1	0.182
131	1.1	1.1	0.174
132	1.0	1.1	0.168
133	0.9	1.1	0.156
134	0.9	1.1	0.137
135	0.8	1.1	0.125
136	0.8	1.0	0.116
137	0.8	1.0	0.121
138	0.8	1.0	0.150
139	0.8	1.0	0.168
140	0.8	1.0	0.207
141	0.8	1.0	0.213
142	0.8	1.0	0.199
143	0.8	1.0	0.120
144	0.8	1.0	0.075
145	0.6	1.0	0.052
146	0.6	1.0	0.028
147	0.6	1.0	0.011
148	0.6	1.0	0.008
149	0.7	1.0	0.024
150	0.7	1.0	0.060
151	0.7	1.0	0.161
152	0.9	1.0	0.173
153	0.8	1.0	0.174
154	0.8	1.0	0.182
155	0.8	1.0	0.174
156	0.7	1.0	0.168
157	0.7	1.0	0.156
158	0.6	1.0	0.137
159	0.6	1.0	0.125
160	0.6	1.0	0.116
161	0.7	1.0	0.121
162	0.7	1.0	0.150
163	0.8	1.0	0.168
164	0.8	1.0	0.207
165	0.8	1.0	0.213
166	0.8	1.0	0.199
167	0.9	1.0	0.120
168	0.9	1.0	0.075
169	0.7	1.0	0.052
170	0.7	1.0	0.028
171	0.7	1.0	0.011
172	0.7	1.0	0.008
173	0.7	1.0	0.024
174	0.7	1.0	0.060
175	0.7	1.0	0.161
176	0.8	1.0	0.173
177	0.8	1.0	0.174
178	0.8	1.0	0.182
179	0.7	1.0	0.174
180	0.7	1.0	0.168
181	0.7	1.0	0.156
182	0.7	1.0	0.137
183	0.7	1.0	0.125
184	0.7	1.0	0.116
185	0.7	1.0	0.121
186	0.7	1.0	0.150
187	0.7	1.0	0.168
188	0.7	1.0	0.207
189	0.7	1.0	0.213
190	0.7	1.0	0.199
191	0.6	1.0	0.120
192	0.6	1.0	0.075
193	0.4	1.0	0.052
194	0.4	1.0	0.028
195	0.4	1.0	0.011
196	0.4	1.0	0.008
197	0.4	1.0	0.024
198	0.4	1.0	0.060
199	0.4	1.0	0.161
200	0.6	1.0	0.173
201	0.6	1.0	0.174
202	0.5	1.0	0.182
203	0.5	1.0	0.174
204	0.5	1.0	0.168
205	0.5	1.0	0.156
206	0.5	1.0	0.137
207	0.4	1.0	0.125
208	0.4	1.0	0.116
209	0.4	1.0	0.121
210	0.4	1.0	0.150
211	0.4	1.0	0.168
212	0.4	1.0	0.207
213	0.4	1.0	0.213
214	0.4	1.0	0.199
215	0.4	1.0	0.120
216	0.4	1.0	0.075
217	0.2	1.0	0.052
218	0.2	1.0	0.028
219	0.3	1.0	0.011
220	0.3	1.0	0.008
221	0.3	1.0	0.024
222	0.3	1.0	0.060
223	0.4	1.0	0.161
224	0.5	1.0	0.173
225	0.5	1.0	0.174
226	0.6	1.0	0.182
227	0.6	1.0	0.174
228	0.5	1.0	0.168
229	0.5	1.0	0.156
230	0.5	1.0	0.137
231	0.5	1.0	0.125
232	0.6	1.0	0.116
233	0.6	1.0	0.121
234	0.7	1.0	0.150
235	0.7	1.0	0.168
236	0.7	1.0	0.207
237	0.8	1.0	0.213
238	0.8	1.0	0.199
239	0.9	1.0	0.120
240	0.9	1.0	0.075
241	0.8	1.0	0.052
242	0.8	1.0	0.028
243	0.8	1.0	0.011
244	0.8	1.0	0.008
245	0.8	1.0	0.024
246	0.7	1.0	0.060
247	0.7	1.0	0.161
248	0.9	1.0	0.173
249	0.9	1.0	0.174
250	0.9	1.0	0.182
251	0.9	1.0	0.174
252	0.8	1.0	0.168
253	0.8	1.0	0.156
254	0.7	1.0	0.137
255	0.7	1.0	0.125
256	0.8	1.0	0.116
257	0.8	1.0	0.121
258	0.8	1.0	0.150
259	0.8	1.0	0.168
260	0.9	1.0	0.207
261	0.9	1.0	0.213
262	0.9	1.0	0.199
263	0.9	1.0	0.120
264	0.9	1.0	0.075
265	0.8	1.0	0.052
266	0.8	1.0	0.028
267	0.8	1.0	0.011
268	0.8	1.0	0.008
269	0.8	1.0	0.024
270	0.8	1.0	0.060
271	0.8	1.0	0.161
272	0.9	1.0	0.173
273	0.9	1.0	0.174
274	0.9	1.0	0.182
275	0.9	1.0	0.174
276	0.8	1.0	0.168
277	0.8	1.0	0.156
278	0.8	1.0	0.137
279	0.7	1.0	0.125
280	0.7	1.0	0.116
281	0.7	1.0	0.121
282	0.7	1.0	0.150
283	0.7	1.0	0.168
284	0.7	0.9	0.207
285	0.8	0.9	0.213
