# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.7	10.9	0.523
2	5.9	10.9	0.282
3	6.2	10.4	0.111
4	6.1	10.4	0.080
5	6.2	10.3	0.240
6	6.2	10.3	0.603
7	6.1	10.3	1.629
8	7.5	10.2	1.743
9	7.5	10.2	1.751
10	7.1	10.1	1.834
11	7.1	10.1	1.751
12	6.7	10.1	1.697
13	6.5	10.1	1.571
14	6.6	10.1	1.381
15	6.5	10.0	1.259
16	6.7	10.0	1.175
17	7.2	10.0	1.220
18	7.7	10.0	1.514
19	8.2	10.0	1.690
20	8.4	9.9	2.090
21	8.5	9.9	2.147
22	8.7	9.9	2.002
23	8.9	9.9	1.205
24	9.3	9.9	0.755
25	8.1	9.9	0.523
26	7.9	9.9	0.282
27	7.9	9.9	0.111
28	7.9	9.9	0.080
29	7.8	9.8	0.240
30	7.7	9.8	0.603
31	7.8	9.8	1.629
32	9.4	9.8	1.743
33	9.2	9.8	1.751
34	9.0	9.7	1.834
35	8.7	9.7	1.751
36	8.4	9.7	1.697
37	8.2	9.7	1.571
38	8.1	9.7	1.381
39	7.8	9.7	1.259
40	8.0	9.7	1.175
41	8.3	9.7	1.220
42	8.7	9.7	1.514
43	8.8	9.7	1.690
44	8.8	9.6	2.090
45	8.9	9.6	2.147
46	8.9	9.5	2.002
47	9.0	9.5	1.205
48	9.0	9.5	0.755
49	7.5	9.5	0.523
50	7.5	9.5	0.282
51	7.5	9.5	0.111
52	7.7	9.5	0.080
53	7.8	9.5	0.240
54	7.7	9.4	0.603
55	8.0	9.4	1.629
56	9.3	9.4	1.743
57	9.2	9.4	1.751
58	9.2	9.4	1.834
59	9.0	9.4	1.751
60	8.9	9.3	1.697
61	8.5	9.3	1.571
62	8.3	9.3	1.381
63	8.2	9.3	1.259
64	8.2	9.3	1.175
65	8.2	9.3	1.220
66	8.6	9.2	1.514
67	8.9	9.2	1.690
68	9.1	9.2	2.090
69	9.3	9.2	2.147
70	9.6	9.2	2.002
71	9.7	9.2	1.205
72	9.9	9.2	0.755
73	8.5	9.1	0.523
74	8.5	9.1	0.282
75	8.5	9.1	0.111
76	8.5	9.1	0.080
77	8.5	9.1	0.240
78	8.5	9.1	0.603
79	8.2	9.1	1.629
80	9.4	9.1	1.743
81	9.1	9.1	1.751
82	8.6	9.1	1.834
83	7.9	9.0	1.751
84	7.2	9.0	1.697
85	6.7	9.0	1.571
86	6.5	9.0	1.381
87	6.5	9.0	1.259
88	6.5	9.0	1.175
89	6.6	9.0	1.220
90	6.7	9.0	1.514
91	6.7	9.0	1.690
92	6.5	9.0	2.090
93	6.7	9.0	2.147
94	6.8	9.0	2.002
95	6.9	9.0	1.205
96	6.9	9.0	0.755
97	5.4	9.0	0.523
98	5.5	8.9	0.282
99	5.8	8.9	0.111
100	6.0	8.9	0.080
101	6.2	8.9	0.240
102	6.3	8.9	0.603
103	6.6	8.9	1.629
104	8.1	8.9	1.743
105	8.3	8.9	1.751
106	8.3	8.9	1.834
107	8.4	8.9	1.751
108	8.5	8.9	1.697
109	8.5	8.9	1.571
110	8.7	8.9	1.381
111	9.1	8.9	1.259
112	9.1	8.9	1.175
113	9.5	8.9	1.220
114	9.9	8.9	1.514
115	10.0	8.9	1.690
116	9.8	8.9	2.090
117	10.1	8.9	2.147
118	10.4	8.9	2.002
119	10.9	8.9	1.205
120	10.9	8.9	0.755
121	9.7	8.8	0.523
122	9.7	8.8	0.282
123	9.5	8.8	0.111
124	9.5	8.8	0.080
125	9.0	8.8	0.240
126	8.7	8.8	0.603
127	8.6	8.8	1.629
128	9.9	8.8	1.743
129	9.8	8.8	1.751
130	9.4	8.8	1.834
131	8.9	8.8	1.751
132	8.4	8.7	1.697
133	7.7	8.7	1.571
134	7.2	8.7	1.381
135	7.0	8.7	1.259
136	6.7	8.7	1.175
137	6.7	8.7	1.220
138	6.9	8.7	1.514
139	6.6	8.7	1.690
140	6.6	8.7	2.090
141	6.6	8.7	2.147
142	6.6	8.7	2.002
143	6.6	8.7	1.205
144	6.6	8.6	0.755
145	5.1	8.6	0.523
146	5.2	8.6	0.282
147	5.2	8.6	0.111
148	5.3	8.6	0.080
149	5.6	8.6	0.240
150	5.5	8.6	0.603
151	5.5	8.6	1.629
152	7.1	8.6	1.743
153	7.0	8.6	1.751
154	6.5	8.6	1.834
155	6.4	8.6	1.751
156	6.0	8.5	1.697
157	5.8	8.5	1.571
158	5.3	8.5	1.381
159	5.1	8.5	1.259
160	5.1	8.5	1.175
161	5.5	8.5	1.220
162	5.9	8.5	1.514
163	6.3	8.5	1.690
164	6.4	8.5	2.090
165	6.8	8.5	2.147
166	6.8	8.5	2.002
167	7.3	8.5	1.205
168	7.4	8.5	0.755
169	6.0	8.5	0.523
170	6.0	8.5	0.282
171	6.1	8.5	0.111
172	5.8	8.5	0.080
173	5.7	8.5	0.240
174	5.4	8.5	0.603
175	5.4	8.5	1.629
176	6.8	8.5	1.743
177	6.7	8.5	1.751
178	6.6	8.5	1.834
179	6.2	8.5	1.751
180	5.9	8.5	1.697
181	6.0	8.5	1.571
182	5.9	8.5	1.381
183	6.0	8.5	1.259
184	6.0	8.5	1.175
185	5.9	8.5	1.220
186	6.0	8.5	1.514
187	6.1	8.4	1.690
188	5.8	8.4	2.090
189	5.6	8.4	2.147
190	5.6	8.4	2.002
191	5.3	8.4	1.205
192	5.1	8.4	0.755
193	3.3	8.4	0.523
194	3.3	8.4	0.282
195	3.5	8.4	0.111
196	3.6	8.4	0.080
197	3.4	8.4	0.240
198	3.1	8.4	0.603
199	3.3	8.4	1.629
200	4.7	8.4	1.743
201	4.9	8.4	1.751
202	4.5	8.4	1.834
203	4.4	8.3	1.751
204	4.5	8.3	1.697
205	4.4	8.3	1.571
206	4.0	8.3	1.381
207	3.7	8.3	1.259
208	3.6	8.3	1.175
209	3.6	8.3	1.220
210	3.5	8.3	1.514
211	3.6	8.3	1.690
212	3.6	8.3	2.090
213	3.5	8.3	2.147
214	3.6	8.3	2.002
215	3.5	8.3	1.205
216	3.3	8.3	0.755
217	1.9	8.3	0.523
218	2.0	8.3	0.282
219	2.2	8.3	0.111
220	2.3	8.2	0.080
221	2.5	8.2	0.240
222	2.7	8.2	0.603
223	3.0	8.2	1.629
224	4.5	8.2	1.743
225	4.5	8.2	1.751
226	4.6	8.2	1.834
227	4.6	8.2	1.751
228	4.6	8.2	1.697
229	4.4	8.2	1.571
230	4.5	8.2	1.381
231	4.4	8.2	1.259
232	4.9	8.2	1.175
233	5.2	8.2	1.220
234	5.6	8.2	1.514
235	5.6	8.2	1.690
236	5.9	8.2	2.090
237	6.3	8.2	2.147
238	6.8	8.2	2.002
239	7.2	8.2	1.205
240	7.5	8.2	0.755
241	6.3	8.2	0.523
242	6.3	8.1	0.282
243	6.3	8.1	0.111
244	6.3	8.1	0.080
245	6.3	8.1	0.240
246	6.2	8.1	0.603
247	6.2	8.1	1.629
248	7.5	8.1	1.743
249	7.6	8.1	1.751
250	7.3	8.1	1.834
251	7.3	8.1	1.751
252	6.7	8.1	1.697
253	6.6	8.1	1.571
254	6.1	8.1	1.381
255	6.2	8.1	1.259
256	6.4	8.1	1.175
257	7.0	8.1	1.220
258	6.9	8.1	1.514
259	7.0	8.1	1.690
260	7.3	8.1	2.090
261	7.5	8.1	2.147
262	7.8	8.1	2.002
263	7.7	8.1	1.205
264	7.8	8.0	0.755
265	6.4	8.0	0.523
266	6.5	8.0	0.282
267	6.4	8.0	0.111
268	6.4	8.0	0.080
269	6.3	8.0	0.240
270	6.4	8.0	0.603
271	6.3	8.0	1.629
272	7.8	8.0	1.743
273	7.8	8.0	1.751
274	7.6	8.0	1.834
275	7.3	8.0	1.751
276	6.9	8.0	1.697
277	6.5	8.0	1.571
278	6.3	8.0	1.381
279	6.1	8.0	1.259
280	6.1	8.0	1.175
281	6.1	7.9	1.220
282	6.2	7.9	1.514
283	6.2	7.9	1.690
284	6.2	7.9	2.090
285	6.5	7.9	2.147
286	6.5	7.9	2.002
287	6.5	7.9	1.205
288	6.6	7.9	0.755
289	4.9	7.9	0.523
290	4.9	7.9	0.282
291	4.9	7.9	0.111
292	4.9	7.9	0.080
293	4.9	7.9	0.240
294	5.0	7.9	0.603
295	4.9	7.9	1.629
296	6.3	7.9	1.743
297	6.3	7.9	1.751
298	6.3	7.9	1.834
299	5.9	7.9	1.751
300	5.7	7.9	1.697
301	5.4	7.9	1.571
302	5.3	7.9	1.381
303	5.3	7.9	1.259
304	5.1	7.8	1.175
305	5.3	7.8	1.220
306	5.3	7.8	1.514
307	5.3	7.8	1.690
308	5.4	7.8	2.090
309	5.5	7.8	2.147
310	5.8	7.8	2.002
311	5.8	7.8	1.205
312	5.9	7.8	0.755
313	4.5	7.8	0.523
314	4.5	7.8	0.282
315	4.5	7.8	0.111
316	4.3	7.8	0.080
317	4.2	7.8	0.240
318	4.1	7.8	0.603
319	4.2	7.8	1.629
320	5.8	7.8	1.743
321	5.8	7.8	1.751
322	5.7	7.8	1.834
323	5.6	7.8	1.751
324	5.7	7.8	1.697
325	5.5	7.8	1.571
326	5.3	7.8	1.381
327	5.0	7.8	1.259
328	4.7	7.8	1.175
329	5.0	7.8	1.220
330	5.1	7.8	1.514
331	5.3	7.8	1.690
332	5.4	7.8	2.090
333	5.4	7.8	2.147
334	5.5	7.7	2.002
335	5.6	7.7	1.205
336	5.5	7.7	0.755
337	4.1	7.7	0.523
338	4.2	7.7	0.282
339	4.4	7.7	0.111
340	4.6	7.7	0.080
341	4.7	7.7	0.240
342	4.7	7.7	0.603
343	4.7	7.7	1.629
344	6.4	7.7	1.743
345	6.5	7.7	1.751
346	6.6	7.7	1.834
347	6.4	7.7	1.751
348	6.2	7.7	1.697
349	6.2	7.7	1.571
350	6.4	7.7	1.381
351	6.4	7.7	1.259
352	6.5	7.7	1.175
353	6.7	7.7	1.220
354	6.9	7.7	1.514
355	6.9	7.7	1.690
356	7.2	7.6	2.090
357	7.2	7.6	2.147
358	7.4	7.6	2.002
359	7.4	7.6	1.205
360	7.2	7.6	0.755
361	5.7	7.6	0.523
362	5.8	7.6	0.282
363	6.0	7.6	0.111
364	5.9	7.6	0.080
365	5.8	7.6	0.240
366	6.2	7.6	0.603
367	6.2	7.6	1.629
368	7.8	7.6	1.743
369	7.7	7.6	1.751
370	7.8	7.6	1.834
371	7.3	7.6	1.751
372	7.1	7.6	1.697
373	6.9	7.6	1.571
374	6.8	7.6	1.381
375	6.9	7.6	1.259
376	7.2	7.6	1.175
377	7.7	7.5	1.220
378	8.0	7.5	1.514
379	8.2	7.5	1.690
380	8.4	7.5	2.090
381	8.5	7.5	2.147
382	8.9	7.5	2.002
383	9.2	7.5	1.205
384	9.5	7.5	0.755
385	8.5	7.5	0.523
386	8.6	7.5	0.282
387	8.6	7.5	0.111
388	8.5	7.5	0.080
389	8.5	7.5	0.240
390	8.4	7.5	0.603
391	8.4	7.5	1.629
392	9.7	7.5	1.743
393	9.3	7.5	1.751
394	8.9	7.5	1.834
395	8.5	7.5	1.751
396	8.0	7.5	1.697
397	7.4	7.5	1.571
398	6.9	7.5	1.381
399	7.0	7.5	1.259
400	6.8	7.5	1.175
401	6.7	7.5	1.220
402	6.9	7.4	1.514
403	6.8	7.4	1.690
404	6.8	7.4	2.090
405	7.2	7.4	2.147
406	7.0	7.4	2.002
407	7.0	7.4	1.205
408	6.9	7.4	0.755
409	5.0	7.4	0.523
410	5.2	7.4	0.282
411	5.4	7.4	0.111
412	5.5	7.4	0.080
