# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.3	8.2	0.420
2	4.4	8.1	0.227
3	4.6	7.8	0.089
4	4.6	7.8	0.064
5	4.6	7.7	0.193
6	4.6	7.7	0.484
7	4.6	7.6	1.308
8	5.6	7.6	1.399
9	5.6	7.6	1.406
10	5.3	7.5	1.473
11	5.3	7.5	1.406
12	5.0	7.5	1.363
13	4.9	7.5	1.262
14	4.9	7.5	1.109
15	4.9	7.5	1.011
16	5.0	7.5	0.943
17	5.3	7.5	0.980
18	5.8	7.5	1.216
19	6.2	7.4	1.357
20	6.3	7.4	1.678
21	6.3	7.4	1.724
22	6.5	7.4	1.608
23	6.7	7.4	0.968
24	6.9	7.4	0.606
25	6.1	7.4	0.420
26	5.9	7.4	0.227
27	5.9	7.4	0.089
28	5.9	7.4	0.064
29	5.8	7.3	0.193
30	5.7	7.3	0.484
31	5.9	7.3	1.308
32	7.0	7.3	1.399
33	6.9	7.3	1.406
34	6.7	7.3	1.473
35	6.5	7.3	1.406
36	6.2	7.3	1.363
37	6.1	7.3	1.262
38	6.0	7.3	1.109
39	5.8	7.3	1.011
40	6.0	7.2	0.943
41	6.2	7.2	0.980
42	6.5	7.2	1.216
43	6.6	7.2	1.357
44	6.6	7.1	1.678
45	6.7	7.1	1.724
46	6.7	7.1	1.608
47	6.7	7.1	0.968
48	6.7	7.1	0.606
49	5.6	7.1	0.420
50	5.6	7.1	0.227
51	5.6	7.1	0.089
52	5.8	7.1	0.064
53	5.8	7.0	0.193
54	5.7	7.0	0.484
55	5.9	7.0	1.308
56	6.9	7.0	1.399
57	6.9	7.0	1.406
58	6.9	7.0	1.473
59	6.7	7.0	1.406
60	6.7	7.0	1.363
61	6.4	7.0	1.262
62	6.2	6.9	1.109
63	6.1	6.9	1.011
64	6.1	6.9	0.943
65	6.2	6.9	0.980
66	6.4	6.9	1.216
67	6.6	6.9	1.357
68	6.8	6.9	1.678
69	7.0	6.9	1.724
70	7.1	6.9	1.608
71	7.3	6.8	0.968
72	7.4	6.8	0.606
73	6.4	6.8	0.420
74	6.4	6.8	0.227
75	6.3	6.8	0.089
76	6.4	6.8	0.064
77	6.4	6.8	0.193
78	6.3	6.8	0.484
79	6.2	6.8	1.308
80	7.0	6.7	1.399
81	6.8	6.7	1.406
82	6.5	6.7	1.473
83	5.9	6.7	1.406
84	5.4	6.7	1.363
85	5.0	6.7	1.262
86	4.8	6.7	1.109
87	4.9	6.7	1.011
88	4.9	6.7	0.943
89	4.9	6.7	0.980
90	5.0	6.7	1.216
91	5.0	6.7	1.357
92	4.9	6.7	1.678
93	5.0	6.7	1.724
94	5.1	6.7	1.608
95	5.1	6.7	0.968
96	5.2	6.7	0.606
97	4.1	6.7	0.420
98	4.1	6.7	0.227
99	4.3	6.7	0.089
100	4.5	6.7	0.064
101	4.6	6.7	0.193
102	4.7	6.7	0.484
103	4.9	6.7	1.308
104	6.1	6.7	1.399
105	6.2	6.7	1.406
106	6.2	6.6	1.473
107	6.3	6.6	1.406
108	6.3	6.6	1.363
109	6.3	6.6	1.262
110	6.5	6.6	1.109
111	6.8	6.6	1.011
112	6.8	6.6	0.943
113	7.1	6.6	0.980
114	7.4	6.6	1.216
115	7.5	6.6	1.357
116	7.3	6.6	1.678
117	7.5	6.6	1.724
118	7.8	6.6	1.608
119	8.1	6.6	0.968
120	8.2	6.6	0.606
121	7.3	6.6	0.420
122	7.3	6.6	0.227
123	7.1	6.6	0.089
124	7.1	6.6	0.064
125	6.7	6.5	0.193
126	6.5	6.5	0.484
127	6.4	6.5	1.308
128	7.4	6.5	1.399
129	7.3	6.5	1.406
130	7.0	6.5	1.473
131	6.6	6.5	1.406
132	6.3	6.5	1.363
133	5.8	6.5	1.262
134	5.4	6.5	1.109
135	5.2	6.5	1.011
136	5.0	6.5	0.943
137	5.0	6.5	0.980
138	5.2	6.5	1.216
139	4.9	6.5	1.357
140	4.9	6.5	1.678
141	5.0	6.4	1.724
142	5.0	6.4	1.608
143	5.0	6.4	0.968
144	4.9	6.4	0.606
145	3.8	6.4	0.420
146	3.9	6.4	0.227
147	3.9	6.4	0.089
148	4.0	6.4	0.064
149	4.2	6.4	0.193
