# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.4	2.7	0.027
2	1.4	2.7	0.015
3	1.5	2.6	0.006
4	1.5	2.6	0.004
5	1.5	2.6	0.012
6	1.5	2.6	0.031
7	1.5	2.6	0.084
8	1.8	2.5	0.090
9	1.9	2.5	0.090
10	1.7	2.5	0.095
11	1.8	2.5	0.090
12	1.7	2.5	0.087
13	1.6	2.5	0.081
14	1.6	2.5	0.071
15	1.6	2.5	0.065
16	1.7	2.5	0.061
17	1.8	2.5	0.063
18	1.9	2.5	0.078
19	2.0	2.5	0.087
20	2.1	2.5	0.108
21	2.1	2.5	0.111
22	2.1	2.5	0.103
23	2.2	2.5	0.062
24	2.3	2.5	0.039
25	2.0	2.5	0.027
26	1.9	2.4	0.015
27	1.9	2.4	0.006
28	1.9	2.4	0.004
29	1.9	2.4	0.012
30	1.9	2.4	0.031
31	1.9	2.4	0.084
32	2.3	2.4	0.090
33	2.3	2.4	0.090
34	2.2	2.4	0.095
35	2.1	2.4	0.090
36	2.1	2.4	0.087
37	2.0	2.4	0.081
38	2.0	2.4	0.071
39	1.9	2.4	0.065
40	2.0	2.4	0.061
41	2.0	2.4	0.063
42	2.1	2.4	0.078
43	2.2	2.4	0.087
44	2.2	2.4	0.108
45	2.2	2.4	0.111
46	2.2	2.4	0.103
47	2.2	2.4	0.062
48	2.2	2.4	0.039
49	1.8	2.4	0.027
50	1.8	2.4	0.015
51	1.9	2.3	0.006
52	1.9	2.3	0.004
53	1.9	2.3	0.012
54	1.9	2.3	0.031
55	2.0	2.3	0.084
56	2.3	2.3	0.090
57	2.3	2.3	0.090
58	2.3	2.3	0.095
59	2.2	2.3	0.090
60	2.2	2.3	0.087
61	2.1	2.3	0.081
62	2.0	2.3	0.071
63	2.0	2.3	0.065
64	2.0	2.3	0.061
65	2.0	2.3	0.063
66	2.1	2.3	0.078
67	2.2	2.3	0.087
68	2.2	2.3	0.108
69	2.3	2.3	0.111
70	2.3	2.3	0.103
71	2.4	2.3	0.062
72	2.4	2.3	0.039
73	2.1	2.3	0.027
74	2.1	2.3	0.015
75	2.1	2.3	0.006
76	2.1	2.3	0.004
77	2.1	2.3	0.012
78	2.1	2.3	0.031
79	2.0	2.3	0.084
80	2.3	2.3	0.090
81	2.2	2.3	0.090
82	2.1	2.2	0.095
83	1.9	2.2	0.090
84	1.8	2.2	0.087
85	1.6	2.2	0.081
86	1.6	2.2	0.071
87	1.6	2.2	0.065
88	1.6	2.2	0.061
89	1.6	2.2	0.063
90	1.6	2.2	0.078
91	1.6	2.2	0.087
92	1.6	2.2	0.108
93	1.6	2.2	0.111
94	1.7	2.2	0.103
95	1.7	2.2	0.062
96	1.7	2.2	0.039
97	1.3	2.2	0.027
98	1.4	2.2	0.015
99	1.4	2.2	0.006
100	1.5	2.2	0.004
101	1.5	2.2	0.012
102	1.5	2.2	0.031
103	1.6	2.2	0.084
104	2.0	2.2	0.090
105	2.0	2.2	0.090
106	2.0	2.2	0.095
107	2.1	2.2	0.090
108	2.1	2.2	0.087
109	2.1	2.2	0.081
110	2.1	2.2	0.071
111	2.2	2.2	0.065
112	2.2	2.2	0.061
113	2.3	2.2	0.063
114	2.4	2.2	0.078
115	2.5	2.2	0.087
116	2.4	2.2	0.108
117	2.5	2.2	0.111
118	2.6	2.2	0.103
119	2.7	2.2	0.062
120	2.7	2.2	0.039
121	2.4	2.2	0.027
122	2.4	2.2	0.015
123	2.3	2.2	0.006
124	2.3	2.2	0.004
125	2.2	2.2	0.012
126	2.1	2.2	0.031
127	2.1	2.2	0.084
128	2.4	2.2	0.090
129	2.4	2.2	0.090
130	2.3	2.2	0.095
131	2.2	2.2	0.090
132	2.1	2.2	0.087
133	1.9	2.2	0.081
134	1.8	2.2	0.071
135	1.7	2.2	0.065
136	1.6	2.2	0.061
137	1.6	2.2	0.063
138	1.7	2.2	0.078
139	1.6	2.2	0.087
140	1.6	2.2	0.108
141	1.6	2.2	0.111
142	1.6	2.2	0.103
143	1.6	2.2	0.062
144	1.6	2.2	0.039
145	1.2	2.2	0.027
146	1.3	2.2	0.015
147	1.3	2.2	0.006
148	1.3	2.2	0.004
149	1.4	2.2	0.012
150	1.3	2.1	0.031
151	1.3	2.1	0.084
152	1.7	2.1	0.090
153	1.7	2.1	0.090
154	1.6	2.1	0.095
155	1.6	2.1	0.090
156	1.5	2.1	0.087
157	1.4	2.1	0.081
158	1.3	2.1	0.071
159	1.3	2.1	0.065
160	1.2	2.1	0.061
161	1.4	2.1	0.063
162	1.4	2.1	0.078
163	1.5	2.1	0.087
164	1.6	2.1	0.108
165	1.7	2.1	0.111
166	1.7	2.1	0.103
167	1.8	2.1	0.062
168	1.8	2.1	0.039
169	1.5	2.1	0.027
170	1.5	2.1	0.015
171	1.5	2.1	0.006
172	1.4	2.1	0.004
173	1.4	2.1	0.012
174	1.3	2.1	0.031
175	1.3	2.1	0.084
176	1.7	2.1	0.090
177	1.7	2.1	0.090
178	1.6	2.1	0.095
179	1.5	2.1	0.090
180	1.5	2.1	0.087
181	1.5	2.1	0.081
182	1.4	2.1	0.071
183	1.5	2.1	0.065
184	1.5	2.1	0.061
185	1.4	2.1	0.063
186	1.5	2.1	0.078
187	1.5	2.1	0.087
188	1.4	2.1	0.108
189	1.4	2.1	0.111
190	1.4	2.1	0.103
191	1.3	2.1	0.062
192	1.3	2.1	0.039
193	0.8	2.1	0.027
194	0.8	2.1	0.015
195	0.9	2.1	0.006
196	0.9	2.1	0.004
197	0.8	2.1	0.012
198	0.8	2.1	0.031
199	0.8	2.1	0.084
200	1.2	2.1	0.090
201	1.2	2.1	0.090
202	1.1	2.1	0.095
203	1.1	2.1	0.090
204	1.1	2.1	0.087
205	1.1	2.1	0.081
206	1.0	2.1	0.071
207	0.9	2.1	0.065
208	0.9	2.1	0.061
209	0.9	2.1	0.063
210	0.9	2.1	0.078
211	0.9	2.1	0.087
212	0.9	2.1	0.108
213	0.9	2.1	0.111
214	0.9	2.1	0.103
215	0.9	2.1	0.062
216	0.8	2.1	0.039
