# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.2	5.0	0.188
2	3.3	5.0	0.102
3	3.4	4.9	0.040
4	3.3	4.8	0.029
5	3.4	4.8	0.087
6	3.4	4.8	0.217
7	3.3	4.7	0.587
8	3.3	4.7	0.628
9	3.3	4.7	0.631
10	3.1	4.6	0.661
11	3.2	4.6	0.631
12	3.0	4.6	0.612
13	2.9	4.6	0.567
14	2.9	4.6	0.498
15	2.9	4.6	0.454
16	3.0	4.6	0.424
17	3.2	4.6	0.440
18	3.4	4.6	0.546
19	3.7	4.6	0.609
20	3.7	4.6	0.754
21	3.7	4.6	0.774
22	3.9	4.6	0.722
23	4.0	4.5	0.435
24	4.1	4.5	0.272
25	4.2	4.5	0.188
26	4.1	4.5	0.102
27	4.1	4.5	0.040
28	4.2	4.5	0.029
29	4.1	4.5	0.087
30	4.0	4.5	0.217
31	4.1	4.5	0.587
32	4.2	4.5	0.628
33	4.1	4.5	0.631
34	4.0	4.5	0.661
35	3.9	4.5	0.631
36	3.7	4.5	0.612
37	3.6	4.5	0.567
38	3.6	4.5	0.498
39	3.5	4.4	0.454
40	3.5	4.4	0.424
41	3.7	4.4	0.440
42	3.9	4.4	0.546
43	3.9	4.4	0.609
44	3.9	4.4	0.754
45	3.9	4.4	0.774
46	4.0	4.4	0.722
47	4.0	4.4	0.435
48	4.0	4.4	0.272
49	4.0	4.4	0.188
50	4.0	4.4	0.102
51	4.0	4.4	0.040
52	4.1	4.4	0.029
53	4.1	4.4	0.087
54	4.0	4.4	0.217
55	4.2	4.4	0.587
56	4.1	4.4	0.628
57	4.1	4.4	0.631
58	4.1	4.4	0.661
59	4.0	4.4	0.631
60	3.9	4.4	0.612
61	3.8	4.4	0.567
62	3.7	4.4	0.498
63	3.6	4.4	0.454
64	3.6	4.4	0.424
65	3.7	4.4	0.440
66	3.8	4.4	0.546
67	3.9	4.4	0.609
68	4.0	4.4	0.754
69	4.1	4.3	0.774
70	4.2	4.3	0.722
71	4.3	4.3	0.435
72	4.4	4.3	0.272
73	4.4	4.3	0.188
74	4.4	4.3	0.102
75	4.4	4.3	0.040
76	4.4	4.3	0.029
77	4.4	4.3	0.087
78	4.4	4.3	0.217
79	4.3	4.3	0.587
80	4.2	4.3	0.628
81	4.0	4.3	0.631
82	3.8	4.3	0.661
83	3.5	4.3	0.631
84	3.2	4.3	0.612
85	3.0	4.2	0.567
86	2.9	4.2	0.498
87	2.9	4.2	0.454
88	2.9	4.2	0.424
89	2.9	4.2	0.440
90	3.0	4.2	0.546
91	2.9	4.2	0.609
92	2.9	4.2	0.754
93	3.0	4.2	0.774
94	3.0	4.2	0.722
95	3.0	4.2	0.435
96	3.1	4.2	0.272
97	3.1	4.2	0.188
98	3.1	4.2	0.102
99	3.2	4.2	0.040
100	3.3	4.2	0.029
101	3.4	4.1	0.087
102	3.4	4.1	0.217
103	3.5	4.1	0.587
104	3.6	4.1	0.628
105	3.7	4.1	0.631
106	3.7	4.1	0.661
107	3.7	4.1	0.631
108	3.7	4.1	0.612
109	3.8	4.1	0.567
110	3.8	4.1	0.498
111	4.0	4.1	0.454
112	4.0	4.1	0.424
113	4.2	4.1	0.440
114	4.4	4.1	0.546
115	4.4	4.1	0.609
116	4.3	4.1	0.754
117	4.5	4.1	0.774
118	4.6	4.1	0.722
119	4.8	4.1	0.435
120	4.8	4.0	0.272
121	5.0	4.0	0.188
122	5.0	4.0	0.102
123	4.9	4.0	0.040
124	4.8	4.0	0.029
125	4.6	4.0	0.087
126	4.5	4.0	0.217
127	4.4	4.0	0.587
128	4.4	4.0	0.628
129	4.3	4.0	0.631
130	4.2	4.0	0.661
131	3.9	4.0	0.631
132	3.7	4.0	0.612
133	3.4	4.0	0.567
134	3.2	4.0	0.498
135	3.1	4.0	0.454
136	3.0	4.0	0.424
137	3.0	4.0	0.440
138	3.1	4.0	0.546
139	2.9	4.0	0.609
140	2.9	4.0	0.754
141	2.9	4.0	0.774
142	2.9	4.0	0.722
143	2.9	4.0	0.435
144	2.9	4.0	0.272
145	2.9	4.0	0.188
146	2.9	4.0	0.102
147	3.0	4.0	0.040
148	3.0	4.0	0.029
149	3.1	4.0	0.087
150	3.1	4.0	0.217
151	3.1	4.0	0.587
152	3.1	3.9	0.628
153	3.1	3.9	0.631
154	2.9	3.9	0.661
155	2.8	3.9	0.631
156	2.7	3.9	0.612
157	2.6	3.9	0.567
158	2.3	3.9	0.498
159	2.3	3.9	0.454
160	2.2	3.9	0.424
161	2.5	3.9	0.440
162	2.6	3.9	0.546
163	2.8	3.9	0.609
164	2.8	3.9	0.754
165	3.0	3.9	0.774
166	3.0	3.9	0.722
167	3.2	3.9	0.435
168	3.3	3.9	0.272
169	3.3	3.9	0.188
170	3.3	3.9	0.102
171	3.3	3.9	0.040
172	3.2	3.9	0.029
173	3.2	3.9	0.087
174	3.0	3.9	0.217
175	3.0	3.9	0.587
176	3.0	3.9	0.628
177	3.0	3.9	0.631
178	2.9	3.9	0.661
179	2.8	3.9	0.631
180	2.6	3.9	0.612
181	2.7	3.9	0.567
182	2.6	3.9	0.498
183	2.7	3.9	0.454
184	2.6	3.9	0.424
185	2.6	3.9	0.440
186	2.6	3.9	0.546
187	2.7	3.9	0.609
188	2.6	3.9	0.754
189	2.5	3.9	0.774
190	2.5	3.9	0.722
191	2.3	3.9	0.435
192	2.3	3.8	0.272
193	2.1	3.8	0.188
194	2.1	3.8	0.102
195	2.2	3.8	0.040
196	2.2	3.8	0.029
197	2.1	3.8	0.087
198	2.0	3.8	0.217
199	2.1	3.8	0.587
200	2.1	3.8	0.628
201	2.2	3.8	0.631
202	2.0	3.8	0.661
203	2.0	3.8	0.631
204	2.0	3.8	0.612
205	2.0	3.8	0.567
206	1.8	3.8	0.498
207	1.6	3.8	0.454
208	1.6	3.8	0.424
209	1.6	3.8	0.440
210	1.6	3.8	0.546
211	1.6	3.8	0.609
212	1.6	3.8	0.754
213	1.6	3.8	0.774
214	1.6	3.8	0.722
215	1.5	3.8	0.435
216	1.4	3.8	0.272
217	1.5	3.8	0.188
218	1.5	3.8	0.102
219	1.6	3.8	0.040
220	1.7	3.8	0.029
221	1.8	3.8	0.087
222	1.9	3.8	0.217
223	2.0	3.8	0.587
224	2.0	3.8	0.628
225	2.0	3.8	0.631
226	2.1	3.8	0.661
227	2.1	3.8	0.631
228	2.0	3.8	0.612
229	2.0	3.8	0.567
230	2.0	3.8	0.498
231	2.0	3.8	0.454
232	2.2	3.8	0.424
233	2.3	3.7	0.440
234	2.5	3.7	0.546
235	2.5	3.7	0.609
236	2.6	3.7	0.754
237	2.8	3.7	0.774
238	3.0	3.7	0.722
239	3.2	3.7	0.435
240	3.3	3.7	0.272
241	3.4	3.7	0.188
242	3.4	3.7	0.102
243	3.4	3.7	0.040
244	3.4	3.7	0.029
245	3.4	3.7	0.087
246	3.4	3.7	0.217
247	3.4	3.7	0.587
248	3.3	3.7	0.628
249	3.4	3.7	0.631
250	3.2	3.7	0.661
251	3.2	3.7	0.631
252	3.0	3.7	0.612
253	2.9	3.7	0.567
254	2.7	3.7	0.498
255	2.7	3.7	0.454
