# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.8	13.6	0.191
2	9.0	13.6	0.103
3	9.3	13.3	0.041
4	9.2	13.3	0.029
5	9.3	13.3	0.088
6	9.3	13.2	0.221
7	9.2	12.7	0.596
8	9.1	12.7	0.638
9	9.2	12.3	0.641
10	8.7	12.3	0.672
11	8.7	12.2	0.641
12	8.2	12.2	0.622
13	7.9	12.2	0.575
14	8.0	12.2	0.506
15	8.0	12.2	0.461
16	8.2	12.2	0.430
17	8.7	12.1	0.447
18	9.4	12.1	0.555
19	10.0	12.1	0.619
20	10.2	12.1	0.765
21	10.3	12.1	0.786
22	10.6	12.1	0.733
23	10.9	12.1	0.441
24	11.3	12.1	0.277
25	11.6	12.0	0.191
26	11.3	12.0	0.103
27	11.4	12.0	0.041
28	11.4	12.0	0.029
29	11.3	11.9	0.088
30	11.1	11.9	0.221
31	11.3	11.9	0.596
32	11.5	11.9	0.638
33	11.2	11.9	0.641
34	10.9	11.8	0.672
35	10.6	11.8	0.641
36	10.2	11.8	0.622
37	9.9	11.7	0.575
38	9.8	11.7	0.506
39	9.5	11.7	0.461
40	9.7	11.6	0.430
41	10.1	11.6	0.447
42	10.6	11.6	0.555
43	10.7	11.6	0.619
44	10.7	11.6	0.765
45	10.8	11.6	0.786
46	10.9	11.6	0.733
47	10.9	11.6	0.441
48	10.9	11.6	0.277
49	10.9	11.5	0.191
50	10.9	11.5	0.103
51	10.9	11.5	0.041
52	11.2	11.5	0.029
53	11.3	11.5	0.088
54	11.1	11.5	0.221
55	11.4	11.5	0.596
56	11.3	11.5	0.638
57	11.2	11.4	0.641
58	11.2	11.4	0.672
59	10.9	11.4	0.641
60	10.9	11.4	0.622
61	10.4	11.4	0.575
62	10.1	11.4	0.506
63	10.0	11.4	0.461
64	9.9	11.4	0.430
65	10.0	11.4	0.447
66	10.4	11.4	0.555
67	10.8	11.3	0.619
68	11.0	11.3	0.765
69	11.4	11.3	0.786
70	11.6	11.3	0.733
71	11.9	11.3	0.441
72	12.0	11.3	0.277
73	12.2	11.3	0.191
74	12.2	11.3	0.103
75	12.1	11.3	0.041
76	12.1	11.2	0.029
77	12.1	11.2	0.088
78	12.0	11.2	0.221
79	11.8	11.2	0.596
80	11.4	11.2	0.638
81	11.1	11.2	0.641
82	10.5	11.2	0.672
83	9.6	11.2	0.641
84	8.8	11.2	0.622
85	8.1	11.1	0.575
86	7.9	11.1	0.506
87	8.0	11.1	0.461
88	7.9	11.1	0.430
89	8.1	11.1	0.447
90	8.1	11.1	0.555
91	8.1	11.1	0.619
92	7.9	11.1	0.765
93	8.2	11.1	0.786
