# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.2	17.5	0.279
2	9.4	17.4	0.150
3	9.9	16.8	0.059
4	9.7	16.7	0.043
5	9.9	16.7	0.128
6	9.9	16.6	0.321
7	9.7	16.5	0.868
8	12.0	16.5	0.929
9	12.1	16.4	0.933
10	11.4	16.3	0.978
11	11.4	16.3	0.933
12	10.7	16.3	0.905
13	10.4	16.2	0.838
14	10.5	16.2	0.736
15	10.4	16.2	0.671
16	10.8	16.1	0.626
17	11.4	16.1	0.651
18	12.3	16.0	0.807
19	13.2	16.0	0.901
20	13.4	16.0	1.114
21	13.5	16.0	1.145
22	14.0	16.0	1.068
23	14.3	16.0	0.643
24	14.8	15.9	0.403
25	12.9	15.9	0.279
26	12.5	15.9	0.150
27	12.6	15.9	0.059
28	12.6	15.8	0.043
29	12.5	15.8	0.128
30	12.2	15.8	0.321
31	12.5	15.7	0.868
32	15.0	15.7	0.929
33	14.6	15.7	0.933
34	14.4	15.7	0.978
35	13.9	15.6	0.933
36	13.3	15.6	0.905
37	13.0	15.6	0.838
38	12.9	15.6	0.736
39	12.5	15.6	0.671
40	12.7	15.5	0.626
41	13.3	15.5	0.651
42	13.9	15.5	0.807
43	14.0	15.5	0.901
44	14.1	15.4	1.114
45	14.2	15.4	1.145
46	14.3	15.3	1.068
47	14.3	15.3	0.643
48	14.3	15.3	0.403
49	12.0	15.3	0.279
50	11.9	15.2	0.150
51	12.0	15.2	0.059
52	12.3	15.2	0.043
53	12.5	15.2	0.128
54	12.3	15.2	0.321
55	12.7	15.1	0.868
56	14.8	15.1	0.929
57	14.7	15.1	0.933
58	14.8	15.1	0.978
59	14.4	15.0	0.933
60	14.2	15.0	0.905
61	13.6	15.0	0.838
62	13.3	15.0	0.736
63	13.1	14.9	0.671
64	13.0	14.9	0.626
65	13.2	14.9	0.651
66	13.7	14.9	0.807
67	14.2	14.8	0.901
68	14.5	14.8	1.114
69	14.9	14.8	1.145
70	15.3	14.8	1.068
71	15.6	14.8	0.643
72	15.8	14.7	0.403
73	13.6	14.7	0.279
74	13.6	14.7	0.150
75	13.5	14.7	0.059
76	13.6	14.7	0.043
77	13.6	14.6	0.128
78	13.5	14.6	0.321
79	13.2	14.6	0.868
80	15.0	14.6	0.929
81	14.5	14.6	0.933
82	13.8	14.6	0.978
83	12.5	14.5	0.933
84	11.6	14.5	0.905
85	10.7	14.5	0.838
86	10.3	14.5	0.736
87	10.4	14.5	0.671
88	10.4	14.5	0.626
89	10.6	14.5	0.651
90	10.7	14.5	0.807
91	10.6	14.5	0.901
92	10.4	14.5	1.114
93	10.7	14.4	1.145
94	10.9	14.4	1.068
95	11.0	14.4	0.643
96	11.0	14.4	0.403
97	8.7	14.4	0.279
98	8.8	14.4	0.150
99	9.2	14.4	0.059
100	9.5	14.4	0.043
101	9.8	14.4	0.128
102	10.0	14.4	0.321
103	10.5	14.4	0.868
104	12.9	14.4	0.929
105	13.2	14.3	0.933
106	13.2	14.3	0.978
107	13.4	14.3	0.933
108	13.5	14.3	0.905
109	13.6	14.3	0.838
110	13.9	14.3	0.736
111	14.6	14.3	0.671
112	14.5	14.3	0.626
113	15.2	14.3	0.651
114	15.9	14.3	0.807
115	15.9	14.3	0.901
116	15.6	14.2	1.114
117	16.1	14.2	1.145
118	16.7	14.2	1.068
119	17.4	14.2	0.643
120	17.5	14.2	0.403
121	15.5	14.2	0.279
122	15.6	14.2	0.150
123	15.2	14.2	0.059
124	15.1	14.2	0.043
125	14.4	14.2	0.128
126	13.9	14.2	0.321
127	13.7	14.2	0.868
128	15.9	14.2	0.929
129	15.7	14.2	0.933
130	15.0	14.2	0.978
131	14.2	14.1	0.933
