# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.4	19.7	0.301
2	10.6	19.6	0.162
3	11.2	19.0	0.064
4	11.0	18.8	0.046
5	11.2	18.8	0.138
6	11.2	18.8	0.347
7	11.0	18.7	0.937
8	13.5	18.6	1.002
9	13.6	18.5	1.007
10	12.8	18.4	1.055
11	12.9	18.4	1.007
12	12.1	18.4	0.976
13	11.7	18.3	0.904
14	11.8	18.3	0.794
15	11.8	18.3	0.724
16	12.1	18.2	0.676
17	12.9	18.1	0.702
18	13.9	18.1	0.871
19	14.9	18.1	0.972
20	15.1	18.1	1.202
21	15.3	18.1	1.235
22	15.7	18.1	1.152
23	16.1	18.1	0.693
24	16.7	18.0	0.434
25	14.6	18.0	0.301
26	14.2	17.9	0.162
27	14.3	17.9	0.064
28	14.3	17.9	0.046
29	14.1	17.9	0.138
30	13.8	17.8	0.347
31	14.1	17.8	0.937
32	17.0	17.7	1.002
33	16.5	17.7	1.007
34	16.2	17.7	1.055
35	15.7	17.7	1.007
36	15.0	17.7	0.976
37	14.7	17.7	0.904
38	14.6	17.6	0.794
39	14.0	17.6	0.724
40	14.4	17.6	0.676
41	15.0	17.6	0.702
42	15.7	17.5	0.871
43	15.8	17.5	0.972
44	15.9	17.4	1.202
45	16.1	17.4	1.235
46	16.1	17.3	1.152
47	16.1	17.3	0.693
48	16.1	17.2	0.434
49	13.5	17.2	0.301
50	13.5	17.2	0.162
51	13.6	17.1	0.064
52	13.9	17.1	0.046
53	14.1	17.1	0.138
54	13.8	17.1	0.347
55	14.3	17.1	0.937
56	16.7	17.1	1.002
57	16.6	17.1	1.007
58	16.7	17.0	1.055
59	16.2	17.0	1.007
60	16.1	17.0	0.976
61	15.4	17.0	0.904
62	15.0	16.9	0.794
63	14.7	16.9	0.724
64	14.7	16.8	0.676
65	14.9	16.8	0.702
66	15.4	16.8	0.871
67	16.0	16.7	0.972
68	16.4	16.7	1.202
69	16.8	16.7	1.235
70	17.2	16.7	1.152
71	17.6	16.7	0.693
72	17.8	16.7	0.434
73	15.4	16.6	0.301
74	15.4	16.6	0.162
75	15.2	16.6	0.064
76	15.4	16.6	0.046
77	15.3	16.5	0.138
78	15.2	16.5	0.347
79	14.9	16.5	0.937
80	16.9	16.5	1.002
81	16.4	16.5	1.007
82	15.6	16.5	1.055
83	14.2	16.4	1.007
84	13.1	16.4	0.976
85	12.1	16.4	0.904
86	11.7	16.4	0.794
87	11.8	16.4	0.724
88	11.7	16.4	0.676
89	11.9	16.4	0.702
90	12.0	16.4	0.871
91	12.0	16.3	0.972
92	11.7	16.3	1.202
93	12.1	16.3	1.235
94	12.3	16.3	1.152
95	12.4	16.3	0.693
96	12.4	16.3	0.434
97	9.8	16.3	0.301
98	9.9	16.3	0.162
99	10.4	16.2	0.064
100	10.7	16.2	0.046
101	11.1	16.2	0.138
102	11.3	16.2	0.347
103	11.8	16.2	0.937
104	14.6	16.2	1.002
105	14.9	16.2	1.007
106	14.9	16.2	1.055
107	15.1	16.1	1.007
108	15.3	16.1	0.976
109	15.3	16.1	0.904
110	15.7	16.1	0.794
111	16.5	16.1	0.724
112	16.4	16.1	0.676
113	17.1	16.1	0.702
114	17.9	16.1	0.871
115	18.0	16.1	0.972
116	17.7	16.1	1.202
117	18.1	16.1	1.235
118	18.8	16.1	1.152
119	19.6	16.1	0.693
120	19.7	16.0	0.434
121	17.5	16.0	0.301
122	17.6	16.0	0.162
123	17.1	16.0	0.064
124	17.1	16.0	0.046
125	16.2	16.0	0.138
126	15.6	16.0	0.347
127	15.4	16.0	0.937
128	17.9	16.0	1.002
129	17.7	16.0	1.007
130	17.0	16.0	1.055
131	16.0	16.0	1.007
132	15.1	16.0	0.976
133	13.9	15.9	0.904
134	13.1	15.9	0.794
135	12.6	15.9	0.724
136	12.0	15.9	0.676
137	12.1	15.9	0.702
138	12.4	15.9	0.871
139	11.9	15.8	0.972
140	11.9	15.8	1.202
141	12.0	15.8	1.235
142	12.0	15.8	1.152
143	12.0	15.8	0.693
144	11.9	15.8	0.434
145	9.1	15.7	0.301
146	9.4	15.7	0.162
147	9.4	15.7	0.064
148	9.6	15.7	0.046
149	10.1	15.7	0.138
150	9.8	15.7	0.347
151	9.9	15.7	0.937
152	12.8	15.6	1.002
153	12.6	15.6	1.007
154	11.8	15.6	1.055
155	11.5	15.6	1.007
156	10.9	15.6	0.976
157	10.4	15.6	0.904
158	9.5	15.6	0.794
159	9.2	15.6	0.724
160	9.1	15.5	0.676
161	10.0	15.5	0.702
162	10.5	15.5	0.871
163	11.4	15.5	0.972
164	11.5	15.5	1.202
165	12.2	15.5	1.235
166	12.3	15.5	1.152
167	13.1	15.5	0.693
168	13.3	15.5	0.434
169	10.9	15.4	0.301
170	10.8	15.4	0.162
171	10.9	15.4	0.064
172	10.4	15.4	0.046
173	10.3	15.4	0.138
174	9.8	15.4	0.347
175	9.8	15.4	0.937
176	12.2	15.4	1.002
177	12.2	15.4	1.007
178	11.9	15.4	1.055
179	11.2	15.4	1.007
180	10.6	15.4	0.976
181	10.9	15.4	0.904
182	10.6	15.4	0.794
183	10.8	15.4	0.724
184	10.7	15.3	0.676
185	10.6	15.3	0.702
186	10.7	15.3	0.871
187	11.0	15.3	0.972
188	10.4	15.3	1.202
189	10.0	15.3	1.235
190	10.0	15.3	1.152
191	9.5	15.3	0.693
192	9.2	15.3	0.434
193	6.0	15.3	0.301
194	6.0	15.3	0.162
195	6.4	15.3	0.064
196	6.5	15.3	0.046
197	6.1	15.2	0.138
198	5.6	15.2	0.347
199	6.0	15.2	0.937
