# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.6	13.4	0.190
2	8.8	13.4	0.103
3	9.2	13.1	0.040
4	9.1	13.1	0.029
5	9.2	13.1	0.087
6	9.2	13.0	0.219
7	9.0	12.5	0.592
8	9.0	12.5	0.634
9	9.0	12.1	0.637
10	8.5	12.1	0.667
11	8.6	12.0	0.637
12	8.1	12.0	0.617
13	7.8	12.0	0.571
14	7.9	12.0	0.502
15	7.9	12.0	0.458
16	8.1	12.0	0.427
17	8.6	12.0	0.444
18	9.3	11.9	0.551
19	9.9	11.9	0.614
20	10.0	11.9	0.760
21	10.1	11.9	0.781
22	10.5	11.9	0.728
23	10.7	11.9	0.438
24	11.1	11.9	0.275
25	11.4	11.9	0.190
26	11.2	11.9	0.103
27	11.2	11.8	0.040
28	11.2	11.8	0.029
29	11.1	11.8	0.087
30	10.9	11.7	0.219
31	11.1	11.7	0.592
32	11.3	11.7	0.634
33	11.0	11.7	0.637
34	10.8	11.7	0.667
35	10.4	11.7	0.637
36	10.0	11.6	0.617
37	9.8	11.6	0.571
38	9.7	11.6	0.502
39	9.3	11.6	0.458
40	9.6	11.6	0.427
41	10.0	11.5	0.444
42	10.4	11.5	0.551
43	10.5	11.5	0.614
44	10.5	11.5	0.760
45	10.7	11.5	0.781
46	10.7	11.4	0.728
47	10.7	11.4	0.438
48	10.7	11.4	0.275
49	10.7	11.4	0.190
50	10.7	11.4	0.103
51	10.8	11.4	0.040
52	11.0	11.4	0.029
53	11.1	11.4	0.087
54	10.9	11.4	0.219
55	11.3	11.3	0.592
56	11.1	11.3	0.634
57	11.0	11.3	0.637
58	11.1	11.3	0.667
59	10.8	11.3	0.637
60	10.7	11.3	0.617
61	10.2	11.3	0.571
62	10.0	11.2	0.502
63	9.8	11.2	0.458
64	9.8	11.2	0.427
65	9.9	11.2	0.444
66	10.3	11.2	0.551
67	10.6	11.2	0.614
68	10.9	11.2	0.760
69	11.2	11.2	0.781
70	11.4	11.2	0.728
71	11.7	11.2	0.438
72	11.8	11.2	0.275
73	12.0	11.1	0.190
74	12.0	11.1	0.103
75	11.9	11.1	0.040
76	11.9	11.1	0.029
77	11.9	11.1	0.087
78	11.9	11.1	0.219
79	11.6	11.1	0.592
80	11.2	11.1	0.634
81	10.9	11.1	0.637
82	10.4	11.0	0.667
83	9.4	11.0	0.637
84	8.7	11.0	0.617
85	8.0	11.0	0.571
86	7.8	11.0	0.502
87	7.8	11.0	0.458
88	7.8	11.0	0.427
89	7.9	11.0	0.444
90	8.0	11.0	0.551
91	8.0	11.0	0.614
92	7.8	11.0	0.760
93	8.0	10.9	0.781
94	8.2	10.9	0.728
95	8.3	10.9	0.438
96	8.3	10.9	0.275
97	8.3	10.9	0.190
98	8.3	10.9	0.103
99	8.7	10.9	0.040
100	8.9	10.9	0.029
101	9.1	10.9	0.087
102	9.3	10.9	0.219
103	9.6	10.9	0.592
104	9.7	10.9	0.634
105	9.9	10.9	0.637
106	9.9	10.9	0.667
107	10.1	10.9	0.637
108	10.1	10.8	0.617
109	10.2	10.8	0.571
110	10.4	10.8	0.502
111	10.9	10.8	0.458
112	10.9	10.8	0.427
113	11.4	10.8	0.444
114	11.9	10.8	0.551
115	11.9	10.8	0.614
116	11.7	10.8	0.760
117	12.0	10.8	0.781
118	12.5	10.8	0.728
119	13.0	10.8	0.438
120	13.1	10.8	0.275
121	13.4	10.7	0.190
122	13.4	10.7	0.103
123	13.1	10.7	0.040
124	13.1	10.7	0.029
125	12.5	10.7	0.087
126	12.1	10.7	0.219
127	12.0	10.7	0.592
128	11.9	10.7	0.634
129	11.7	10.7	0.637
130	11.3	10.7	0.667
131	10.7	10.7	0.637
132	10.1	10.7	0.617
133	9.3	10.7	0.571
134	8.8	10.7	0.502
135	8.5	10.7	0.458
136	8.1	10.7	0.427
