# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.5	10.5	0.451
2	5.7	10.4	0.244
3	5.9	10.0	0.095
4	5.8	10.0	0.069
5	5.9	9.9	0.207
6	6.0	9.9	0.520
7	5.8	9.9	1.405
8	7.2	9.8	1.504
9	7.2	9.8	1.511
10	6.8	9.7	1.583
11	6.8	9.7	1.511
12	6.4	9.7	1.465
13	6.2	9.7	1.356
14	6.3	9.6	1.191
15	6.3	9.6	1.086
16	6.4	9.6	1.014
17	6.9	9.6	1.053
18	7.4	9.6	1.307
19	7.9	9.6	1.458
20	8.0	9.6	1.804
21	8.1	9.5	1.853
22	8.4	9.5	1.728
23	8.6	9.5	1.040
24	8.9	9.5	0.652
25	7.8	9.5	0.451
26	7.5	9.5	0.244
27	7.6	9.5	0.095
28	7.6	9.5	0.069
29	7.5	9.4	0.207
30	7.3	9.4	0.520
31	7.5	9.4	1.405
32	9.0	9.4	1.504
33	8.8	9.4	1.511
34	8.6	9.4	1.583
35	8.3	9.4	1.511
36	8.0	9.3	1.465
37	7.8	9.3	1.356
38	7.7	9.3	1.191
39	7.5	9.3	1.086
40	7.6	9.3	1.014
41	8.0	9.3	1.053
42	8.3	9.3	1.307
43	8.4	9.3	1.458
44	8.4	9.2	1.804
45	8.5	9.2	1.853
46	8.6	9.2	1.728
47	8.6	9.1	1.040
48	8.6	9.1	0.652
49	7.2	9.1	0.451
50	7.2	9.1	0.244
51	7.2	9.1	0.095
52	7.4	9.1	0.069
53	7.5	9.1	0.207
54	7.4	9.0	0.520
55	7.6	9.0	1.405
56	8.9	9.0	1.504
57	8.8	9.0	1.511
58	8.9	9.0	1.583
59	8.6	9.0	1.511
60	8.5	9.0	1.465
61	8.2	9.0	1.356
62	8.0	8.9	1.191
63	7.8	8.9	1.086
64	7.8	8.9	1.014
65	7.9	8.9	1.053
66	8.2	8.9	1.307
67	8.5	8.9	1.458
68	8.7	8.8	1.804
69	9.0	8.8	1.853
70	9.2	8.8	1.728
71	9.3	8.8	1.040
72	9.5	8.8	0.652
73	8.2	8.8	0.451
74	8.2	8.8	0.244
75	8.1	8.7	0.095
76	8.2	8.7	0.069
77	8.1	8.7	0.207
78	8.1	8.7	0.520
79	7.9	8.7	1.405
80	9.0	8.7	1.504
81	8.7	8.7	1.511
82	8.3	8.7	1.583
83	7.5	8.7	1.511
84	6.9	8.7	1.465
85	6.4	8.6	1.356
86	6.2	8.6	1.191
87	6.3	8.6	1.086
88	6.2	8.6	1.014
89	6.3	8.6	1.053
90	6.4	8.6	1.307
91	6.4	8.6	1.458
92	6.2	8.6	1.804
93	6.4	8.6	1.853
94	6.5	8.6	1.728
95	6.6	8.6	1.040
96	6.6	8.6	0.652
97	5.2	8.6	0.451
98	5.3	8.6	0.244
99	5.5	8.6	0.095
100	5.7	8.6	0.069
101	5.9	8.6	0.207
102	6.0	8.6	0.520
103	6.3	8.6	1.405
104	7.8	8.6	1.504
105	7.9	8.5	1.511
106	7.9	8.5	1.583
107	8.0	8.5	1.511
108	8.1	8.5	1.465
109	8.1	8.5	1.356
110	8.3	8.5	1.191
111	8.8	8.5	1.086
112	8.7	8.5	1.014
113	9.1	8.5	1.053
114	9.5	8.5	1.307
115	9.6	8.5	1.458
116	9.4	8.5	1.804
117	9.6	8.5	1.853
118	10.0	8.5	1.728
119	10.4	8.5	1.040
120	10.5	8.5	0.652
121	9.3	8.5	0.451
122	9.3	8.5	0.244
123	9.1	8.5	0.095
124	9.1	8.4	0.069
125	8.6	8.4	0.207
126	8.3	8.4	0.520
127	8.2	8.4	1.405
128	9.5	8.4	1.504
129	9.4	8.4	1.511
130	9.0	8.4	1.583
131	8.5	8.4	1.511
132	8.0	8.4	1.465
133	7.4	8.4	1.356
134	6.9	8.4	1.191
135	6.7	8.3	1.086
136	6.4	8.3	1.014
137	6.4	8.3	1.053
