# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.2	2.3	0.035
2	1.2	2.2	0.019
3	1.3	2.2	0.007
4	1.3	2.2	0.005
5	1.3	2.2	0.016
6	1.3	2.2	0.040
7	1.3	2.2	0.108
8	1.5	2.2	0.115
9	1.6	2.1	0.116
10	1.5	2.1	0.121
11	1.5	2.1	0.116
12	1.4	2.1	0.112
13	1.3	2.1	0.104
14	1.4	2.1	0.091
15	1.4	2.1	0.083
16	1.4	2.1	0.078
17	1.5	2.1	0.081
18	1.6	2.1	0.100
19	1.7	2.1	0.112
20	1.7	2.1	0.138
21	1.7	2.1	0.142
22	1.8	2.1	0.133
23	1.8	2.1	0.080
24	1.9	2.1	0.050
25	1.7	2.1	0.035
26	1.6	2.1	0.019
27	1.6	2.1	0.007
28	1.6	2.1	0.005
29	1.6	2.1	0.016
30	1.6	2.1	0.040
31	1.6	2.1	0.108
32	1.9	2.1	0.115
33	1.9	2.0	0.116
34	1.9	2.0	0.121
35	1.8	2.0	0.116
36	1.7	2.0	0.112
37	1.7	2.0	0.104
38	1.7	2.0	0.091
39	1.6	2.0	0.083
40	1.6	2.0	0.078
41	1.7	2.0	0.081
42	1.8	2.0	0.100
43	1.8	2.0	0.112
44	1.8	2.0	0.138
45	1.8	2.0	0.142
46	1.8	2.0	0.133
47	1.9	2.0	0.080
48	1.9	2.0	0.050
49	1.5	2.0	0.035
50	1.5	2.0	0.019
51	1.6	2.0	0.007
52	1.6	2.0	0.005
53	1.6	2.0	0.016
54	1.6	2.0	0.040
55	1.6	2.0	0.108
56	1.9	2.0	0.115
57	1.9	2.0	0.116
58	1.9	2.0	0.121
59	1.9	2.0	0.116
60	1.8	2.0	0.112
61	1.8	1.9	0.104
62	1.7	1.9	0.091
63	1.7	1.9	0.083
64	1.7	1.9	0.078
65	1.7	1.9	0.081
66	1.8	1.9	0.100
67	1.8	1.9	0.112
68	1.9	1.9	0.138
69	1.9	1.9	0.142
70	2.0	1.9	0.133
71	2.0	1.9	0.080
72	2.0	1.9	0.050
73	1.8	1.9	0.035
74	1.8	1.9	0.019
75	1.7	1.9	0.007
76	1.8	1.9	0.005
77	1.8	1.9	0.016
78	1.7	1.9	0.040
79	1.7	1.9	0.108
80	1.9	1.9	0.115
81	1.9	1.9	0.116
82	1.8	1.9	0.121
83	1.6	1.9	0.116
84	1.5	1.9	0.112
85	1.4	1.9	0.104
86	1.3	1.9	0.091
87	1.4	1.9	0.083
88	1.3	1.9	0.078
89	1.4	1.9	0.081
90	1.4	1.9	0.100
91	1.4	1.9	0.112
92	1.3	1.9	0.138
93	1.4	1.9	0.142
94	1.4	1.9	0.133
95	1.4	1.9	0.080
96	1.4	1.9	0.050
97	1.1	1.9	0.035
98	1.1	1.9	0.019
99	1.2	1.9	0.007
100	1.2	1.9	0.005
101	1.3	1.9	0.016
102	1.3	1.9	0.040
103	1.4	1.9	0.108
104	1.7	1.9	0.115
105	1.7	1.9	0.116
106	1.7	1.9	0.121
107	1.7	1.9	0.116
108	1.7	1.9	0.112
109	1.8	1.9	0.104
110	1.8	1.9	0.091
111	1.9	1.9	0.083
112	1.9	1.9	0.078
113	2.0	1.9	0.081
114	2.1	1.9	0.100
115	2.1	1.9	0.112
116	2.0	1.9	0.138
117	2.1	1.9	0.142
118	2.2	1.9	0.133
119	2.2	1.9	0.080
120	2.3	1.9	0.050
121	2.0	1.8	0.035
122	2.0	1.8	0.019
123	2.0	1.8	0.007
124	2.0	1.8	0.005
125	1.9	1.8	0.016
126	1.8	1.8	0.040
127	1.8	1.8	0.108
128	2.1	1.8	0.115
129	2.0	1.8	0.116
130	1.9	1.8	0.121
131	1.8	1.8	0.116
132	1.7	1.8	0.112
133	1.6	1.8	0.104
134	1.5	1.8	0.091
135	1.4	1.8	0.083
136	1.4	1.8	0.078
137	1.4	1.8	0.081
138	1.4	1.8	0.100
139	1.4	1.8	0.112
140	1.4	1.8	0.138
141	1.4	1.8	0.142
142	1.4	1.8	0.133
143	1.4	1.8	0.080
144	1.4	1.8	0.050
145	1.0	1.8	0.035
146	1.1	1.8	0.019
147	1.1	1.8	0.007
148	1.1	1.8	0.005
149	1.2	1.8	0.016
150	1.1	1.8	0.040
151	1.1	1.8	0.108
152	1.5	1.8	0.115
153	1.4	1.8	0.116
154	1.3	1.8	0.121
155	1.3	1.8	0.116
156	1.2	1.8	0.112
157	1.2	1.8	0.104
158	1.1	1.8	0.091
159	1.1	1.8	0.083
160	1.0	1.8	0.078
161	1.1	1.8	0.081
162	1.2	1.8	0.100
163	1.3	1.8	0.112
164	1.3	1.8	0.138
165	1.4	1.8	0.142
166	1.4	1.8	0.133
167	1.5	1.8	0.080
168	1.5	1.8	0.050
169	1.2	1.8	0.035
170	1.2	1.8	0.019
171	1.3	1.8	0.007
172	1.2	1.8	0.005
173	1.2	1.8	0.016
174	1.1	1.8	0.040
175	1.1	1.8	0.108
176	1.4	1.8	0.115
177	1.4	1.8	0.116
178	1.4	1.8	0.121
179	1.3	1.8	0.116
180	1.2	1.8	0.112
181	1.2	1.8	0.104
182	1.2	1.8	0.091
183	1.2	1.8	0.083
184	1.2	1.8	0.078
185	1.2	1.8	0.081
186	1.2	1.8	0.100
187	1.3	1.8	0.112
188	1.2	1.8	0.138
189	1.2	1.8	0.142
190	1.1	1.8	0.133
191	1.1	1.8	0.080
192	1.1	1.8	0.050
193	0.7	1.8	0.035
194	0.7	1.8	0.019
195	0.7	1.8	0.007
196	0.7	1.8	0.005
197	0.7	1.8	0.016
198	0.6	1.8	0.040
199	0.7	1.8	0.108
200	1.0	1.8	0.115
201	1.0	1.8	0.116
202	0.9	1.8	0.121
203	0.9	1.8	0.116
204	0.9	1.8	0.112
205	0.9	1.8	0.104
206	0.8	1.8	0.091
207	0.8	1.8	0.083
208	0.7	1.7	0.078
209	0.8	1.7	0.081
210	0.7	1.7	0.100
211	0.7	1.7	0.112
212	0.7	1.7	0.138
213	0.7	1.7	0.142
214	0.7	1.7	0.133
215	0.7	1.7	0.080
216	0.7	1.7	0.050
217	0.4	1.7	0.035
218	0.4	1.7	0.019
219	0.4	1.7	0.007
220	0.5	1.7	0.005
221	0.5	1.7	0.016
222	0.6	1.7	0.040
223	0.6	1.7	0.108
224	0.9	1.7	0.115
225	0.9	1.7	0.116
226	1.0	1.7	0.121
227	1.0	1.7	0.116
228	0.9	1.7	0.112
229	0.9	1.7	0.104
230	0.9	1.7	0.091
231	0.9	1.7	0.083
232	1.0	1.7	0.078
233	1.1	1.7	0.081
234	1.2	1.7	0.100
235	1.2	1.7	0.112
236	1.2	1.7	0.138
237	1.3	1.7	0.142
238	1.4	1.7	0.133
239	1.5	1.7	0.080
