# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.8	3.4	0.137
2	1.8	3.4	0.074
3	1.9	3.2	0.029
4	1.9	3.2	0.021
5	1.9	3.2	0.063
6	1.9	3.2	0.159
7	1.9	3.2	0.428
8	2.3	3.2	0.459
9	2.3	3.2	0.461
10	2.2	3.2	0.483
11	2.2	3.1	0.461
12	2.1	3.1	0.447
13	2.0	3.1	0.413
14	2.0	3.1	0.363
15	2.0	3.1	0.331
16	2.1	3.1	0.309
17	2.2	3.1	0.321
18	2.4	3.1	0.398
19	2.6	3.1	0.445
20	2.6	3.1	0.550
21	2.6	3.1	0.565
22	2.7	3.1	0.527
23	2.8	3.1	0.317
24	2.9	3.1	0.199
25	2.5	3.1	0.137
26	2.4	3.1	0.074
27	2.5	3.1	0.029
28	2.5	3.1	0.021
29	2.4	3.1	0.063
30	2.4	3.1	0.159
31	2.4	3.0	0.428
32	2.9	3.0	0.459
33	2.8	3.0	0.461
34	2.8	3.0	0.483
35	2.7	3.0	0.461
36	2.6	3.0	0.447
37	2.5	3.0	0.413
38	2.5	3.0	0.363
39	2.4	3.0	0.331
40	2.5	3.0	0.309
41	2.6	3.0	0.321
42	2.7	3.0	0.398
43	2.7	3.0	0.445
44	2.7	3.0	0.550
45	2.8	3.0	0.565
46	2.8	3.0	0.527
47	2.8	3.0	0.317
48	2.8	3.0	0.199
49	2.3	3.0	0.137
50	2.3	3.0	0.074
51	2.3	2.9	0.029
52	2.4	2.9	0.021
53	2.4	2.9	0.063
54	2.4	2.9	0.159
55	2.5	2.9	0.428
56	2.9	2.9	0.459
57	2.9	2.9	0.461
58	2.9	2.9	0.483
59	2.8	2.9	0.461
60	2.8	2.9	0.447
61	2.7	2.9	0.413
62	2.6	2.9	0.363
63	2.5	2.9	0.331
64	2.5	2.9	0.309
65	2.6	2.9	0.321
66	2.7	2.9	0.398
67	2.8	2.9	0.445
68	2.8	2.9	0.550
69	2.9	2.9	0.565
70	3.0	2.9	0.527
71	3.0	2.9	0.317
72	3.1	2.8	0.199
73	2.7	2.8	0.137
74	2.7	2.8	0.074
75	2.6	2.8	0.029
76	2.6	2.8	0.021
77	2.6	2.8	0.063
78	2.6	2.8	0.159
79	2.6	2.8	0.428
80	2.9	2.8	0.459
81	2.8	2.8	0.461
82	2.7	2.8	0.483
83	2.4	2.8	0.461
84	2.3	2.8	0.447
85	2.1	2.8	0.413
86	2.0	2.8	0.363
87	2.0	2.8	0.331
88	2.0	2.8	0.309
89	2.1	2.8	0.321
90	2.1	2.8	0.398
91	2.1	2.8	0.445
92	2.0	2.8	0.550
93	2.1	2.8	0.565
94	2.1	2.8	0.527
95	2.1	2.8	0.317
96	2.1	2.8	0.199
97	1.7	2.8	0.137
98	1.7	2.8	0.074
99	1.8	2.8	0.029
100	1.9	2.8	0.021
101	1.9	2.8	0.063
102	1.9	2.8	0.159
103	2.0	2.8	0.428
104	2.5	2.8	0.459
105	2.6	2.8	0.461
106	2.6	2.8	0.483
107	2.6	2.8	0.461
108	2.6	2.8	0.447
109	2.6	2.8	0.413
