# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	15.5	29.6	1.537
2	16.0	29.4	0.830
3	16.8	28.2	0.325
4	16.5	28.1	0.236
5	16.7	28.0	0.707
6	16.8	27.9	1.772
7	16.5	27.7	4.790
8	20.3	27.6	5.127
9	20.4	27.5	5.149
10	19.2	27.4	5.396
11	19.3	27.3	5.149
12	18.2	27.3	4.992
13	17.6	27.2	4.622
14	17.7	27.2	4.061
15	17.7	27.1	3.702
16	18.2	27.1	3.455
17	19.3	27.1	3.590
18	20.9	27.0	4.454
19	22.3	26.9	4.970
20	22.7	26.9	6.147
21	22.9	26.9	6.316
22	23.6	26.9	5.889
23	24.2	26.8	3.545
24	25.0	26.8	2.221
25	21.9	26.8	1.537
26	21.2	26.8	0.830
27	21.4	26.7	0.325
28	21.4	26.7	0.236
29	21.1	26.6	0.707
30	20.7	26.5	1.772
31	21.2	26.5	4.790
32	25.5	26.5	5.127
33	24.8	26.4	5.149
34	24.3	26.4	5.396
35	23.5	26.4	5.149
36	22.6	26.3	4.992
37	22.1	26.3	4.622
38	21.8	26.3	4.061
39	21.1	26.3	3.702
40	21.6	26.3	3.455
41	22.5	26.3	3.590
42	23.5	26.1	4.454
43	23.7	26.1	4.970
44	23.8	25.9	6.147
45	24.1	25.8	6.316
46	24.1	25.8	5.889
47	24.2	25.7	3.545
48	24.2	25.7	2.221
49	20.3	25.7	1.537
50	20.2	25.7	0.830
51	20.4	25.6	0.325
52	20.9	25.6	0.236
53	21.1	25.6	0.707
54	20.8	25.5	1.772
55	21.5	25.5	4.790
56	25.1	25.4	5.127
57	24.9	25.4	5.149
58	25.0	25.3	5.396
59	24.3	25.3	5.149
60	24.1	25.3	4.992
61	23.1	25.2	4.622
62	22.5	25.2	4.061
63	22.1	25.1	3.702
64	22.0	25.1	3.455
65	22.3	25.0	3.590
66	23.2	25.0	4.454
67	24.0	25.0	4.970
68	24.5	25.0	6.147
69	25.3	24.9	6.316
70	25.8	24.8	5.889
71	26.4	24.8	3.545
72	26.7	24.7	2.221
73	23.1	24.7	1.537
74	23.1	24.7	0.830
75	22.9	24.6	0.325
76	23.0	24.6	0.236
77	23.0	24.6	0.707
78	22.8	24.6	1.772
79	22.3	24.6	4.790
80	25.4	24.5	5.127
81	24.6	24.5	5.149
82	23.4	24.5	5.396
83	21.2	24.4	5.149
84	19.6	24.4	4.992
85	18.1	24.4	4.622
86	17.5	24.4	4.061
87	17.7	24.4	3.702
88	17.5	24.4	3.455
89	17.9	24.3	3.590
90	18.1	24.3	4.454
91	18.0	24.3	4.970
92	17.5	24.3	6.147
93	18.1	24.3	6.316
94	18.4	24.3	5.889
95	18.6	24.2	3.545
96	18.7	24.2	2.221
97	14.7	24.2	1.537
98	14.9	24.2	0.830
99	15.7	24.2	0.325
100	16.1	24.2	0.236
101	16.7	24.2	0.707
102	17.0	24.1	1.772
103	17.7	24.1	4.790
104	21.9	24.1	5.127
105	22.4	24.1	5.149
106	22.3	24.1	5.396
107	22.7	24.1	5.149
108	22.9	24.1	4.992
109	23.0	24.1	4.622
110	23.5	24.0	4.061
111	24.7	24.0	3.702
112	24.6	24.0	3.455
113	25.7	24.0	3.590
114	26.8	24.0	4.454
115	27.0	24.0	4.970
116	26.5	24.0	6.147
117	27.2	24.0	6.316
118	28.2	24.0	5.889
119	29.4	23.9	3.545
120	29.6	23.9	2.221
121	26.3	23.8	1.537
122	26.3	23.8	0.830
123	25.7	23.8	0.325
124	25.6	23.8	0.236
125	24.4	23.8	0.707
126	23.5	23.8	1.772
127	23.1	23.8	4.790
128	26.9	23.7	5.127
129	26.5	23.7	5.149
130	25.5	23.7	5.396
131	24.0	23.7	5.149
132	22.7	23.6	4.992
133	20.9	23.6	4.622
134	19.6	23.6	4.061
135	19.0	23.5	3.702
136	18.1	23.5	3.455
137	18.1	23.5	3.590
138	18.7	23.5	4.454
139	17.9	23.5	4.970
140	17.8	23.5	6.147
141	18.0	23.5	6.316
142	17.9	23.4	5.889
143	18.0	23.4	3.545
144	17.9	23.4	2.221
145	13.7	23.4	1.537
146	14.1	23.3	0.830
147	14.2	23.3	0.325
148	14.4	23.3	0.236
149	15.1	23.2	0.707
150	14.8	23.2	1.772
151	14.9	23.2	4.790
152	19.2	23.2	5.127
153	18.9	23.1	5.149
154	17.7	23.1	5.396
155	17.2	23.1	5.149
156	16.3	23.1	4.992
157	15.7	23.1	4.622
158	14.3	23.1	4.061
159	13.8	23.1	3.702
160	13.7	23.1	3.455
161	15.0	23.1	3.590
162	15.8	23.1	4.454
163	17.1	23.0	4.970
164	17.3	23.0	6.147
165	18.3	23.0	6.316
166	18.5	23.0	5.889
167	19.6	23.0	3.545
168	19.9	23.0	2.221
169	16.4	23.0	1.537
170	16.2	23.0	0.830
171	16.4	23.0	0.325
172	15.7	22.9	0.236
173	15.4	22.9	0.707
174	14.7	22.9	1.772
175	14.7	22.9	4.790
176	18.3	22.9	5.127
177	18.2	22.9	5.149
178	17.8	22.9	5.396
179	16.8	22.9	5.149
180	16.0	22.9	4.992
181	16.3	22.9	4.622
