# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.2	6.6	0.265
2	4.3	6.5	0.143
3	4.5	6.4	0.056
4	4.4	6.4	0.041
5	4.5	6.4	0.122
6	4.5	6.4	0.305
7	4.4	6.2	0.824
8	4.4	6.2	0.882
9	4.4	6.1	0.886
10	4.2	6.1	0.929
11	4.2	6.1	0.886
12	3.9	6.1	0.859
13	3.8	6.1	0.795
14	3.8	6.1	0.699
15	3.8	6.1	0.637
16	3.9	6.1	0.595
17	4.2	6.1	0.618
18	4.5	6.1	0.767
19	4.8	6.0	0.855
20	4.9	6.0	1.058
21	5.0	6.0	1.087
22	5.1	6.0	1.014
23	5.2	6.0	0.610
24	5.4	6.0	0.382
25	5.6	6.0	0.265
26	5.5	6.0	0.143
27	5.5	6.0	0.056
28	5.5	5.9	0.041
29	5.4	5.9	0.122
30	5.3	5.9	0.305
31	5.4	5.9	0.824
32	5.5	5.9	0.882
33	5.4	5.9	0.886
34	5.3	5.9	0.929
35	5.1	5.9	0.886
36	4.9	5.9	0.859
37	4.8	5.9	0.795
38	4.7	5.9	0.699
39	4.6	5.9	0.637
40	4.7	5.9	0.595
41	4.9	5.9	0.618
42	5.1	5.9	0.767
43	5.1	5.9	0.855
44	5.1	5.9	1.058
45	5.2	5.8	1.087
46	5.2	5.8	1.014
47	5.2	5.8	0.610
48	5.2	5.8	0.382
49	5.2	5.8	0.265
50	5.2	5.8	0.143
51	5.3	5.8	0.056
52	5.4	5.8	0.041
53	5.4	5.8	0.122
54	5.4	5.8	0.305
55	5.5	5.8	0.824
56	5.4	5.8	0.882
57	5.4	5.8	0.886
58	5.4	5.8	0.929
59	5.3	5.8	0.886
60	5.2	5.8	0.859
61	5.0	5.8	0.795
62	4.9	5.8	0.699
63	4.8	5.8	0.637
64	4.8	5.8	0.595
65	4.8	5.8	0.618
66	5.0	5.7	0.767
67	5.2	5.7	0.855
68	5.3	5.7	1.058
69	5.5	5.7	1.087
70	5.6	5.7	1.014
71	5.7	5.7	0.610
72	5.8	5.7	0.382
