# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.0	9.4	0.132
2	6.2	9.4	0.071
3	6.4	9.2	0.028
4	6.3	9.2	0.020
5	6.4	9.2	0.061
6	6.4	9.1	0.152
7	6.3	8.8	0.412
8	6.3	8.7	0.441
9	6.3	8.5	0.443
10	6.0	8.5	0.464
11	6.0	8.4	0.443
12	5.6	8.4	0.429
13	5.5	8.4	0.397
14	5.5	8.4	0.349
15	5.5	8.4	0.318
16	5.7	8.4	0.297
17	6.0	8.4	0.309
18	6.5	8.4	0.383
19	6.9	8.4	0.427
20	7.0	8.4	0.528
21	7.1	8.3	0.543
22	7.3	8.3	0.506
23	7.5	8.3	0.305
24	7.8	8.3	0.191
25	8.0	8.3	0.132
26	7.8	8.3	0.071
27	7.9	8.3	0.028
28	7.9	8.3	0.020
29	7.8	8.2	0.061
30	7.6	8.2	0.152
31	7.8	8.2	0.412
32	7.9	8.2	0.441
33	7.7	8.2	0.443
34	7.5	8.2	0.464
35	7.3	8.1	0.443
36	7.0	8.1	0.429
37	6.8	8.1	0.397
38	6.8	8.1	0.349
39	6.5	8.1	0.318
40	6.7	8.1	0.297
41	7.0	8.1	0.309
42	7.3	8.0	0.383
43	7.4	8.0	0.427
44	7.4	8.0	0.528
45	7.5	8.0	0.543
46	7.5	8.0	0.506
47	7.5	8.0	0.305
48	7.5	8.0	0.191
49	7.5	8.0	0.132
50	7.5	8.0	0.071
51	7.5	8.0	0.028
52	7.7	8.0	0.020
53	7.8	8.0	0.061
54	7.7	7.9	0.152
55	7.9	7.9	0.412
56	7.8	7.9	0.441
57	7.7	7.9	0.443
58	7.8	7.9	0.464
59	7.5	7.9	0.443
60	7.5	7.9	0.429
61	7.2	7.9	0.397
62	7.0	7.9	0.349
63	6.9	7.9	0.318
64	6.8	7.9	0.297
65	6.9	7.9	0.309
66	7.2	7.8	0.383
67	7.4	7.8	0.427
68	7.6	7.8	0.528
69	7.8	7.8	0.543
70	8.0	7.8	0.506
71	8.2	7.8	0.305
72	8.3	7.8	0.191
73	8.4	7.8	0.132
74	8.4	7.8	0.071
75	8.3	7.8	0.028
76	8.4	7.8	0.020
77	8.3	7.8	0.061
78	8.3	7.7	0.152
79	8.1	7.7	0.412
80	7.9	7.7	0.441
81	7.6	7.7	0.443
82	7.2	7.7	0.464
83	6.6	7.7	0.443
84	6.1	7.7	0.429
85	5.6	7.7	0.397
86	5.4	7.7	0.349
87	5.5	7.7	0.318
88	5.5	7.7	0.297
89	5.6	7.7	0.309
90	5.6	7.7	0.383
91	5.6	7.6	0.427
92	5.5	7.6	0.528
93	5.6	7.6	0.543
94	5.7	7.6	0.506
95	5.8	7.6	0.305
96	5.8	7.6	0.191
97	5.8	7.6	0.132
98	5.8	7.6	0.071
99	6.1	7.6	0.028
100	6.2	7.6	0.020
101	6.4	7.6	0.061
102	6.5	7.6	0.152
103	6.7	7.6	0.412
104	6.8	7.6	0.441
105	6.9	7.6	0.443
106	6.9	7.6	0.464
107	7.0	7.6	0.443
108	7.1	7.5	0.429
109	7.1	7.5	0.397
110	7.3	7.5	0.349
111	7.7	7.5	0.318
112	7.6	7.5	0.297
113	8.0	7.5	0.309
114	8.3	7.5	0.383
115	8.4	7.5	0.427
116	8.2	7.5	0.528
117	8.4	7.5	0.543
118	8.7	7.5	0.506
119	9.1	7.5	0.305
120	9.2	7.5	0.191
121	9.4	7.5	0.132
122	9.4	7.5	0.071
123	9.2	7.5	0.028
124	9.2	7.5	0.020
125	8.8	7.5	0.061
126	8.5	7.5	0.152
127	8.4	7.5	0.412
128	8.3	7.5	0.441
129	8.2	7.5	0.443
130	7.9	7.5	0.464
131	7.5	7.5	0.443
132	7.1	7.5	0.429
133	6.5	7.5	0.397
134	6.1	7.5	0.349
135	5.9	7.5	0.318
136	5.7	7.4	0.297
137	5.7	7.4	0.309
138	5.8	7.4	0.383
139	5.6	7.4	0.427
140	5.6	7.4	0.528
141	5.6	7.4	0.543
142	5.6	7.4	0.506
143	5.6	7.4	0.305
144	5.6	7.4	0.191
145	5.5	7.4	0.132
146	5.6	7.4	0.071
147	5.6	7.4	0.028
148	5.7	7.4	0.020
149	5.9	7.4	0.061
150	5.8	7.4	0.152
151	5.8	7.4	0.412
152	6.0	7.4	0.441
153	5.9	7.4	0.443
154	5.5	7.4	0.464
155	5.3	7.4	0.443
156	5.1	7.4	0.429
