# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.6	14.4	0.174
2	7.8	14.3	0.094
3	8.2	13.8	0.037
4	8.0	13.7	0.027
5	8.2	13.7	0.080
6	8.2	13.7	0.201
7	8.0	13.6	0.544
8	9.9	13.6	0.582
9	9.9	13.5	0.584
10	9.4	13.4	0.612
11	9.4	13.4	0.584
12	8.8	13.4	0.567
13	8.6	13.4	0.525
14	8.6	13.3	0.461
15	8.6	13.3	0.420
16	8.9	13.3	0.392
17	9.4	13.2	0.407
18	10.2	13.2	0.505
19	10.8	13.2	0.564
20	11.0	13.2	0.698
21	11.1	13.2	0.717
22	11.5	13.2	0.668
23	11.8	13.2	0.402
24	12.2	13.1	0.252
25	10.7	13.1	0.174
26	10.3	13.1	0.094
27	10.4	13.1	0.037
28	10.4	13.1	0.027
29	10.3	13.0	0.080
30	10.1	13.0	0.201
31	10.3	13.0	0.544
32	12.4	12.9	0.582
33	12.1	12.9	0.584
34	11.8	12.9	0.612
35	11.5	12.9	0.584
36	11.0	12.9	0.567
37	10.7	12.9	0.525
38	10.6	12.8	0.461
39	10.3	12.8	0.420
40	10.5	12.8	0.392
41	11.0	12.8	0.407
42	11.5	12.8	0.505
43	11.5	12.8	0.564
44	11.6	12.7	0.698
45	11.7	12.7	0.717
46	11.8	12.6	0.668
47	11.8	12.6	0.402
48	11.8	12.6	0.252
49	9.9	12.6	0.174
50	9.8	12.5	0.094
51	9.9	12.5	0.037
52	10.2	12.5	0.027
53	10.3	12.5	0.080
54	10.1	12.5	0.201
55	10.5	12.4	0.544
56	12.2	12.4	0.582
57	12.1	12.4	0.584
58	12.2	12.4	0.612
59	11.8	12.4	0.584
60	11.7	12.3	0.567
61	11.2	12.3	0.525
62	11.0	12.3	0.461
63	10.8	12.3	0.420
64	10.7	12.3	0.392
65	10.9	12.3	0.407
66	11.3	12.2	0.505
67	11.7	12.2	0.564
68	11.9	12.2	0.698
69	12.3	12.2	0.717
70	12.6	12.2	0.668
71	12.8	12.1	0.402
72	13.0	12.1	0.252
73	11.2	12.1	0.174
74	11.2	12.1	0.094
75	11.1	12.1	0.037
76	11.2	12.1	0.027
77	11.2	12.1	0.080
78	11.1	12.0	0.201
79	10.8	12.0	0.544
80	12.3	12.0	0.582
81	12.0	12.0	0.584
82	11.4	12.0	0.612
83	10.3	12.0	0.584
84	9.5	12.0	0.567
85	8.8	12.0	0.525
86	8.5	12.0	0.461
87	8.6	11.9	0.420
88	8.5	11.9	0.392
89	8.7	11.9	0.407
90	8.8	11.9	0.505
91	8.8	11.9	0.564
92	8.5	11.9	0.698
93	8.8	11.9	0.717
94	9.0	11.9	0.668
95	9.1	11.9	0.402
96	9.1	11.9	0.252
97	7.2	11.9	0.174
98	7.2	11.9	0.094
99	7.6	11.9	0.037
100	7.8	11.8	0.027
101	8.1	11.8	0.080
102	8.3	11.8	0.201
103	8.6	11.8	0.544
104	10.7	11.8	0.582
105	10.9	11.8	0.584
106	10.9	11.8	0.612
107	11.0	11.8	0.584
108	11.1	11.8	0.567
109	11.2	11.8	0.525
110	11.4	11.8	0.461
111	12.0	11.8	0.420
112	12.0	11.8	0.392
113	12.5	11.7	0.407
114	13.1	11.7	0.505
115	13.1	11.7	0.564
116	12.9	11.7	0.698
117	13.2	11.7	0.717
118	13.7	11.7	0.668
119	14.3	11.7	0.402
120	14.4	11.7	0.252
121	12.8	11.7	0.174
122	12.8	11.7	0.094
123	12.5	11.7	0.037
124	12.5	11.7	0.027
125	11.9	11.7	0.080
126	11.4	11.7	0.201
127	11.3	11.7	0.544
128	13.1	11.7	0.582
129	12.9	11.7	0.584
130	12.4	11.6	0.612
131	11.7	11.6	0.584
132	11.1	11.6	0.567
133	10.2	11.6	0.525
134	9.5	11.6	0.461
135	9.2	11.5	0.420
136	8.8	11.5	0.392
137	8.8	11.5	0.407
138	9.1	11.5	0.505
139	8.7	11.5	0.564
140	8.7	11.5	0.698
141	8.7	11.5	0.717
142	8.7	11.5	0.668
143	8.7	11.5	0.402
144	8.7	11.5	0.252
145	6.6	11.4	0.174
146	6.8	11.4	0.094
147	6.9	11.4	0.037
148	7.0	11.4	0.027
149	7.4	11.4	0.080
150	7.2	11.4	0.201
151	7.2	11.4	0.544
152	9.3	11.3	0.582
153	9.2	11.3	0.584
154	8.6	11.3	0.612
155	8.4	11.3	0.584
156	7.9	11.3	0.567
157	7.6	11.3	0.525
158	7.0	11.3	0.461
159	6.7	11.3	0.420
160	6.7	11.3	0.392
161	7.3	11.3	0.407
162	7.7	11.3	0.505
163	8.3	11.3	0.564
164	8.4	11.3	0.698
165	8.9	11.3	0.717
166	9.0	11.3	0.668
167	9.6	11.3	0.402
168	9.7	11.3	0.252
169	8.0	11.2	0.174
170	7.9	11.2	0.094
171	8.0	11.2	0.037
172	7.6	11.2	0.027
173	7.5	11.2	0.080
174	7.1	11.2	0.201
175	7.1	11.2	0.544
176	8.9	11.2	0.582
177	8.9	11.2	0.584
178	8.7	11.2	0.612
179	8.2	11.2	0.584
180	7.8	11.2	0.567
181	7.9	11.2	0.525
182	7.7	11.2	0.461
183	7.9	11.2	0.420
184	7.8	11.2	0.392
185	7.8	11.1	0.407
186	7.8	11.1	0.505
187	8.0	11.1	0.564
188	7.6	11.1	0.698
189	7.3	11.1	0.717
190	7.3	11.1	0.668
191	7.0	11.1	0.402
192	6.7	11.1	0.252
193	4.4	11.1	0.174
194	4.4	11.1	0.094
195	4.6	11.1	0.037
196	4.7	11.1	0.027
197	4.4	11.1	0.080
198	4.1	11.1	0.201
199	4.4	11.1	0.544
200	6.2	11.1	0.582
201	6.4	11.1	0.584
202	5.9	11.1	0.612
203	5.8	11.1	0.584
204	5.9	11.0	0.567
205	5.8	11.0	0.525
206	5.3	11.0	0.461
207	4.9	11.0	0.420
208	4.7	11.0	0.392
