# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.0	7.6	0.304
2	4.1	7.5	0.164
3	4.3	7.2	0.064
4	4.2	7.2	0.047
5	4.3	7.2	0.140
6	4.3	7.2	0.351
7	4.2	7.1	0.949
8	5.2	7.1	1.015
9	5.2	7.1	1.020
10	4.9	7.0	1.069
11	5.0	7.0	1.020
12	4.7	7.0	0.989
13	4.5	7.0	0.915
14	4.5	7.0	0.804
15	4.5	7.0	0.733
16	4.7	7.0	0.684
17	5.0	7.0	0.711
18	5.4	6.9	0.882
19	5.7	6.9	0.984
20	5.8	6.9	1.218
21	5.9	6.9	1.251
22	6.1	6.9	1.167
23	6.2	6.9	0.702
24	6.4	6.9	0.440
25	5.6	6.9	0.304
26	5.4	6.9	0.164
27	5.5	6.9	0.064
28	5.5	6.9	0.047
29	5.4	6.8	0.140
30	5.3	6.8	0.351
31	5.4	6.8	0.949
32	6.5	6.8	1.015
33	6.4	6.8	1.020
34	6.2	6.8	1.069
35	6.0	6.8	1.020
36	5.8	6.8	0.989
37	5.7	6.8	0.915
38	5.6	6.8	0.804
39	5.4	6.8	0.733
40	5.5	6.7	0.684
41	5.8	6.7	0.711
42	6.0	6.7	0.882
43	6.1	6.7	0.984
44	6.1	6.7	1.218
45	6.2	6.6	1.251
46	6.2	6.6	1.167
47	6.2	6.6	0.702
48	6.2	6.6	0.440
49	5.2	6.6	0.304
50	5.2	6.6	0.164
51	5.2	6.6	0.064
52	5.4	6.6	0.047
53	5.4	6.6	0.140
54	5.3	6.5	0.351
55	5.5	6.5	0.949
56	6.4	6.5	1.015
57	6.4	6.5	1.020
58	6.4	6.5	1.069
59	6.2	6.5	1.020
60	6.2	6.5	0.989
61	5.9	6.5	0.915
62	5.8	6.5	0.804
63	5.7	6.5	0.733
64	5.7	6.4	0.684
65	5.7	6.4	0.711
66	5.9	6.4	0.882
67	6.1	6.4	0.984
68	6.3	6.4	1.218
69	6.5	6.4	1.251
70	6.6	6.4	1.167
71	6.8	6.4	0.702
72	6.9	6.4	0.440
73	5.9	6.4	0.304
74	5.9	6.3	0.164
75	5.9	6.3	0.064
76	5.9	6.3	0.047
77	5.9	6.3	0.140
78	5.9	6.3	0.351
79	5.7	6.3	0.949
80	6.5	6.3	1.015
81	6.3	6.3	1.020
82	6.0	6.3	1.069
83	5.4	6.3	1.020
84	5.0	6.3	0.989
85	4.6	6.3	0.915
86	4.5	6.3	0.804
87	4.5	6.3	0.733
88	4.5	6.2	0.684
89	4.6	6.2	0.711
90	4.6	6.2	0.882
91	4.6	6.2	0.984
92	4.5	6.2	1.218
93	4.6	6.2	1.251
94	4.7	6.2	1.167
95	4.8	6.2	0.702
96	4.8	6.2	0.440
97	3.8	6.2	0.304
98	3.8	6.2	0.164
99	4.0	6.2	0.064
100	4.1	6.2	0.047
101	4.3	6.2	0.140
102	4.4	6.2	0.351
103	4.5	6.2	0.949
104	5.6	6.2	1.015
105	5.7	6.2	1.020
106	5.7	6.2	1.069
107	5.8	6.2	1.020
108	5.9	6.2	0.989
109	5.9	6.2	0.915
110	6.0	6.2	0.804
111	6.3	6.2	0.733
112	6.3	6.2	0.684
113	6.6	6.2	0.711
114	6.9	6.2	0.882
115	6.9	6.2	0.984
116	6.8	6.1	1.218
117	7.0	6.1	1.251
118	7.2	6.1	1.167
119	7.5	6.1	0.702
120	7.6	6.1	0.440
121	6.7	6.1	0.304
122	6.8	6.1	0.164
123	6.6	6.1	0.064
124	6.6	6.1	0.047
125	6.2	6.1	0.140
126	6.0	6.1	0.351
127	5.9	6.1	0.949
128	6.9	6.1	1.015
129	6.8	6.1	1.020
130	6.5	6.1	1.069
131	6.2	6.1	1.020
132	5.8	6.1	0.989
133	5.4	6.1	0.915
134	5.0	6.1	0.804
135	4.9	6.0	0.733
136	4.6	6.0	0.684
137	4.6	6.0	0.711
138	4.8	6.0	0.882
139	4.6	6.0	0.984
140	4.6	6.0	1.218
141	4.6	6.0	1.251
142	4.6	6.0	1.167
143	4.6	6.0	0.702
144	4.6	6.0	0.440
145	3.5	6.0	0.304
146	3.6	6.0	0.164
147	3.6	6.0	0.064
148	3.7	6.0	0.047
149	3.9	5.9	0.140
150	3.8	5.9	0.351
151	3.8	5.9	0.949
152	4.9	5.9	1.015
153	4.8	5.9	1.020
154	4.5	5.9	1.069
155	4.4	5.9	1.020
156	4.2	5.9	0.989
157	4.0	5.9	0.915
158	3.7	5.9	0.804
159	3.5	5.9	0.733
160	3.5	5.9	0.684
161	3.8	5.9	0.711
162	4.1	5.9	0.882
163	4.4	5.9	0.984
164	4.4	5.9	1.218
165	4.7	5.9	1.251
166	4.7	5.9	1.167
167	5.0	5.9	0.702
168	5.1	5.9	0.440
169	4.2	5.9	0.304
170	4.2	5.9	0.164
171	4.2	5.9	0.064
172	4.0	5.9	0.047
173	4.0	5.9	0.140
174	3.8	5.9	0.351
175	3.8	5.9	0.949
176	4.7	5.9	1.015
177	4.7	5.9	1.020
178	4.6	5.9	1.069
179	4.3	5.9	1.020
180	4.1	5.9	0.989
181	4.2	5.9	0.915
182	4.1	5.9	0.804
183	4.2	5.8	0.733
184	4.1	5.8	0.684
185	4.1	5.8	0.711
186	4.1	5.8	0.882
187	4.2	5.8	0.984
188	4.0	5.8	1.218
189	3.9	5.8	1.251
190	3.8	5.8	1.167
191	3.7	5.8	0.702
192	3.5	5.8	0.440
193	2.3	5.8	0.304
194	2.3	5.8	0.164
195	2.4	5.8	0.064
196	2.5	5.8	0.047
197	2.3	5.8	0.140
198	2.2	5.8	0.351
199	2.3	5.8	0.949
200	3.3	5.8	1.015
201	3.4	5.8	1.020
202	3.1	5.8	1.069
203	3.1	5.8	1.020
204	3.1	5.8	0.989
205	3.1	5.8	0.915
206	2.8	5.8	0.804
207	2.6	5.8	0.733
208	2.5	5.8	0.684
209	2.5	5.7	0.711
210	2.4	5.7	0.882
211	2.5	5.7	0.984
212	2.5	5.7	1.218
213	2.5	5.7	1.251
214	2.5	5.7	1.167
215	2.4	5.7	0.702
216	2.3	5.7	0.440
217	1.3	5.7	0.304
218	1.4	5.7	0.164
219	1.5	5.7	0.064
220	1.6	5.7	0.047
221	1.8	5.7	0.140
222	1.9	5.7	0.351
223	2.1	5.7	0.949
224	3.2	5.7	1.015
225	3.1	5.7	1.020
226	3.2	5.7	1.069
227	3.2	5.7	1.020
228	3.2	5.7	0.989
229	3.1	5.7	0.915
230	3.1	5.7	0.804
231	3.1	5.7	0.733
232	3.4	5.7	0.684
233	3.6	5.7	0.711
234	3.9	5.7	0.882
235	3.9	5.7	0.984
236	4.1	5.7	1.218
237	4.4	5.7	1.251
238	4.7	5.6	1.167
239	5.0	5.6	0.702
240	5.2	5.6	0.440
241	4.4	5.6	0.304
242	4.4	5.6	0.164
243	4.4	5.6	0.064
244	4.4	5.6	0.047
245	4.4	5.6	0.140
246	4.3	5.6	0.351
247	4.3	5.6	0.949
248	5.2	5.6	1.015
249	5.3	5.6	1.020
250	5.1	5.6	1.069
251	5.1	5.6	1.020
252	4.6	5.6	0.989
253	4.5	5.6	0.915
254	4.2	5.6	0.804
255	4.3	5.6	0.733
256	4.5	5.6	0.684
257	4.8	5.6	0.711
258	4.8	5.6	0.882
259	4.9	5.6	0.984
260	5.1	5.6	1.218
261	5.2	5.6	1.251
262	5.4	5.5	1.167
263	5.4	5.5	0.702
264	5.4	5.5	0.440
265	4.4	5.5	0.304
266	4.5	5.5	0.164
267	4.5	5.5	0.064
268	4.4	5.5	0.047
269	4.3	5.5	0.140
270	4.4	5.5	0.351
271	4.3	5.5	0.949
272	5.4	5.5	1.015
273	5.4	5.5	1.020
274	5.3	5.5	1.069
275	5.1	5.5	1.020
276	4.8	5.5	0.989
277	4.5	5.5	0.915
278	4.4	5.5	0.804
279	4.2	5.5	0.733
280	4.3	5.5	0.684
281	4.2	5.5	0.711
282	4.3	5.5	0.882
283	4.3	5.5	0.984
284	4.3	5.5	1.218
285	4.5	5.5	1.251
286	4.5	5.5	1.167
287	4.5	5.5	0.702
288	4.6	5.5	0.440
289	3.4	5.5	0.304
290	3.4	5.5	0.164
291	3.4	5.4	0.064
292	3.4	5.4	0.047
293	3.4	5.4	0.140
294	3.5	5.4	0.351
295	3.4	5.4	0.949
296	4.4	5.4	1.015
297	4.4	5.4	1.020
298	4.3	5.4	1.069
299	4.1	5.4	1.020
300	4.0	5.4	0.989
301	3.8	5.4	0.915
302	3.7	5.4	0.804
303	3.7	5.4	0.733
304	3.5	5.4	0.684
305	3.7	5.4	0.711
306	3.6	5.4	0.882
307	3.7	5.4	0.984
308	3.8	5.4	1.218
309	3.8	5.4	1.251
310	4.0	5.4	1.167
311	4.0	5.4	0.702
312	4.1	5.4	0.440
313	3.1	5.4	0.304
314	3.1	5.4	0.164
315	3.1	5.4	0.064
316	3.0	5.4	0.047
317	2.9	5.4	0.140
318	2.8	5.4	0.351
319	2.9	5.4	0.949
320	4.0	5.4	1.015
321	4.0	5.4	1.020
322	4.0	5.4	1.069
323	3.9	5.4	1.020
324	4.0	5.4	0.989
325	3.8	5.4	0.915
326	3.7	5.4	0.804
327	3.5	5.4	0.733
328	3.3	5.4	0.684
329	3.5	5.4	0.711
330	3.5	5.4	0.882
331	3.7	5.4	0.984
332	3.7	5.3	1.218
333	3.8	5.3	1.251
334	3.8	5.3	1.167
335	3.9	5.3	0.702
336	3.8	5.3	0.440
337	2.8	5.3	0.304
338	2.9	5.3	0.164
339	3.0	5.3	0.064
340	3.2	5.3	0.047
341	3.2	5.3	0.140
342	3.2	5.3	0.351
343	3.2	5.3	0.949
344	4.4	5.3	1.015
345	4.5	5.3	1.020
346	4.6	5.3	1.069
347	4.4	5.3	1.020
348	4.3	5.3	0.989
349	4.3	5.3	0.915
350	4.4	5.3	0.804
351	4.4	5.3	0.733
352	4.5	5.3	0.684
353	4.6	5.3	0.711
354	4.8	5.3	0.882
355	4.8	5.3	0.984
356	5.0	5.3	1.218
357	5.0	5.3	1.251
358	5.1	5.3	1.167
359	5.1	5.3	0.702
360	5.0	5.3	0.440
361	3.9	5.2	0.304
362	4.0	5.2	0.164
363	4.2	5.2	0.064
364	4.1	5.2	0.047
365	4.0	5.2	0.140
366	4.3	5.2	0.351
367	4.3	5.2	0.949
368	5.4	5.2	1.015
369	5.4	5.2	1.020
370	5.4	5.2	1.069
371	5.0	5.2	1.020
372	4.9	5.2	0.989
373	4.8	5.2	0.915
374	4.7	5.2	0.804
375	4.8	5.2	0.733
376	5.0	5.2	0.684
377	5.3	5.2	0.711
378	5.6	5.2	0.882
379	5.7	5.2	0.984
380	5.8	5.2	1.218
381	5.9	5.2	1.251
382	6.2	5.2	1.167
383	6.4	5.2	0.702
384	6.6	5.2	0.440
385	5.9	5.2	0.304
386	5.9	5.2	0.164
387	6.0	5.2	0.064
388	5.9	5.2	0.047
389	5.9	5.2	0.140
390	5.8	5.2	0.351
391	5.8	5.2	0.949
392	6.7	5.2	1.015
393	6.5	5.2	1.020
394	6.2	5.2	1.069
395	5.9	5.2	1.020
396	5.6	5.1	0.989
397	5.1	5.1	0.915
398	4.8	5.1	0.804
399	4.8	5.1	0.733
400	4.7	5.1	0.684
401	4.6	5.1	0.711
402	4.8	5.1	0.882
403	4.7	5.1	0.984
404	4.7	5.1	1.218
405	5.0	5.1	1.251
406	4.8	5.1	1.167
407	4.9	5.1	0.702
408	4.8	5.1	0.440
409	3.5	5.1	0.304
410	3.6	5.1	0.164
411	3.8	5.1	0.064
412	3.8	5.1	0.047
413	3.8	5.1	0.140
414	3.8	5.1	0.351
415	4.0	5.1	0.949
416	5.1	5.1	1.015
417	5.0	5.1	1.020
418	4.8	5.1	1.069
419	4.8	5.1	1.020
420	4.7	5.1	0.989
421	4.5	5.1	0.915
422	4.6	5.1	0.804
423	4.6	5.1	0.733
424	4.8	5.1	0.684
425	4.8	5.1	0.711
426	4.9	5.1	0.882
427	5.1	5.1	0.984
428	5.1	5.1	1.218
429	5.4	5.1	1.251
430	5.5	5.1	1.167
431	5.4	5.1	0.702
432	5.4	5.1	0.440
433	4.5	5.1	0.304
434	4.6	5.1	0.164
435	4.8	5.1	0.064
436	4.9	5.1	0.047
437	4.8	5.1	0.140
438	4.7	5.1	0.351
439	4.6	5.1	0.949
440	5.7	5.1	1.015
441	5.6	5.1	1.020
442	5.6	5.1	1.069
443	5.7	5.1	1.020
444	5.4	5.1	0.989
445	5.3	5.1	0.915
446	5.1	5.0	0.804
447	4.9	5.0	0.733
448	5.0	5.0	0.684
449	5.0	5.0	0.711
450	4.9	5.0	0.882
451	5.1	5.0	0.984
452	5.2	5.0	1.218
453	5.4	5.0	1.251
454	5.5	5.0	1.167
455	5.4	5.0	0.702
456	5.3	5.0	0.440
457	4.4	5.0	0.304
458	4.6	5.0	0.164
459	4.6	5.0	0.064
460	4.8	5.0	0.047
461	4.8	5.0	0.140
462	4.8	5.0	0.351
463	4.8	5.0	0.949
464	5.8	5.0	1.015
465	5.9	5.0	1.020
466	5.6	5.0	1.069
467	5.4	5.0	1.020
468	5.2	5.0	0.989
469	5.0	5.0	0.915
470	4.9	5.0	0.804
471	4.7	5.0	0.733
472	4.6	5.0	0.684
473	4.7	5.0	0.711
474	4.6	5.0	0.882
475	4.7	5.0	0.984
476	4.9	5.0	1.218
477	4.8	5.0	1.251
478	4.9	5.0	1.167
479	5.0	5.0	0.702
480	5.0	5.0	0.440
481	4.0	5.0	0.304
482	4.2	5.0	0.164
483	4.2	5.0	0.064
484	4.4	5.0	0.047
485	4.4	5.0	0.140
486	4.4	5.0	0.351
487	4.4	5.0	0.949
488	5.4	5.0	1.015
489	5.3	5.0	1.020
490	5.1	5.0	1.069
491	4.9	5.0	1.020
492	4.6	5.0	0.989
493	4.7	5.0	0.915
494	4.5	5.0	0.804
495	4.4	5.0	0.733
496	4.5	5.0	0.684
497	4.5	5.0	0.711
498	4.7	5.0	0.882
499	4.8	5.0	0.984
500	5.0	5.0	1.218
501	5.0	5.0	1.251
502	5.2	5.0	1.167
503	5.3	5.0	0.702
504	5.5	5.0	0.440
505	4.5	5.0	0.304
506	4.4	5.0	0.164
507	4.4	5.0	0.064
508	4.5	5.0	0.047
509	4.6	5.0	0.140
510	4.8	5.0	0.351
511	4.9	5.0	0.949
512	5.9	5.0	1.015
513	5.8	4.9	1.020
514	5.7	4.9	1.069
515	5.5	4.9	1.020
516	5.3	4.9	0.989
517	5.2	4.9	0.915
518	5.1	4.9	0.804
519	5.1	4.9	0.733
520	5.2	4.9	0.684
521	5.3	4.9	0.711
522	5.3	4.9	0.882
523	5.4	4.9	0.984
524	5.4	4.9	1.218
525	5.4	4.9	1.251
526	5.5	4.9	1.167
527	5.7	4.9	0.702
528	5.9	4.9	0.440
529	5.0	4.9	0.304
530	4.9	4.9	0.164
531	5.1	4.9	0.064
532	5.0	4.9	0.047
533	5.1	4.9	0.140
534	5.0	4.9	0.351
535	5.1	4.9	0.949
536	6.1	4.9	1.015
537	6.0	4.9	1.020
538	5.7	4.9	1.069
539	5.5	4.9	1.020
540	5.1	4.9	0.989
541	4.9	4.9	0.915
542	4.6	4.9	0.804
543	4.6	4.9	0.733
544	4.7	4.9	0.684
545	4.7	4.9	0.711
546	4.9	4.9	0.882
547	4.9	4.9	0.984
548	5.0	4.9	1.218
549	5.1	4.9	1.251
550	5.3	4.9	1.167
551	5.4	4.9	0.702
552	5.6	4.9	0.440
553	4.6	4.9	0.304
554	4.6	4.9	0.164
555	4.6	4.9	0.064
556	4.6	4.9	0.047
557	4.8	4.9	0.140
558	4.9	4.9	0.351
559	4.8	4.9	0.949
560	5.7	4.9	1.015
561	5.5	4.9	1.020
562	5.3	4.9	1.069
563	5.2	4.9	1.020
564	5.1	4.9	0.989
565	4.9	4.9	0.915
566	4.8	4.9	0.804
567	4.7	4.9	0.733
568	4.7	4.9	0.684
569	4.8	4.9	0.711
570	4.9	4.9	0.882
571	4.9	4.9	0.984
572	5.1	4.9	1.218
573	5.0	4.9	1.251
574	5.0	4.9	1.167
575	5.0	4.9	0.702
576	4.9	4.9	0.440
577	3.9	4.8	0.304
578	4.0	4.8	0.164
579	4.1	4.8	0.064
580	3.8	4.8	0.047
581	3.7	4.8	0.140
582	3.8	4.8	0.351
583	3.7	4.8	0.949
584	4.6	4.8	1.015
585	4.5	4.8	1.020
586	4.4	4.8	1.069
587	4.1	4.8	1.020
588	3.9	4.8	0.989
589	3.7	4.8	0.915
590	3.6	4.8	0.804
591	3.5	4.8	0.733
592	3.4	4.8	0.684
593	3.4	4.8	0.711
594	3.4	4.8	0.882
595	3.4	4.8	0.984
596	3.3	4.8	1.218
597	3.5	4.8	1.251
598	3.6	4.8	1.167
599	3.7	4.8	0.702
600	3.7	4.8	0.440
601	2.7	4.8	0.304
602	2.9	4.8	0.164
603	3.1	4.8	0.064
604	3.2	4.8	0.047
605	3.4	4.8	0.140
606	3.3	4.8	0.351
607	3.3	4.8	0.949
608	4.3	4.8	1.015
609	4.4	4.8	1.020
610	4.4	4.8	1.069
611	4.3	4.8	1.020
612	4.4	4.8	0.989
613	4.4	4.8	0.915
614	4.2	4.8	0.804
615	4.2	4.8	0.733
616	4.0	4.8	0.684
617	4.3	4.8	0.711
618	4.4	4.8	0.882
619	4.7	4.8	0.984
620	4.8	4.8	1.218
621	5.1	4.8	1.251
622	5.2	4.8	1.167
623	5.3	4.8	0.702
624	5.4	4.8	0.440
625	4.6	4.8	0.304
626	4.6	4.8	0.164
627	4.6	4.8	0.064
628	4.5	4.8	0.047
629	4.5	4.8	0.140
630	4.5	4.8	0.351
631	4.3	4.8	0.949
632	5.3	4.8	1.015
633	5.1	4.8	1.020
634	5.0	4.8	1.069
635	4.7	4.8	1.020
636	4.4	4.8	0.989
637	4.3	4.8	0.915
638	4.3	4.8	0.804
639	4.3	4.8	0.733
640	4.4	4.8	0.684
641	4.3	4.8	0.711
642	4.5	4.8	0.882
643	4.7	4.7	0.984
644	4.7	4.7	1.218
645	4.8	4.7	1.251
646	4.6	4.7	1.167
647	4.5	4.7	0.702
648	4.4	4.7	0.440
649	3.5	4.7	0.304
650	3.7	4.7	0.164
651	3.7	4.7	0.064
652	3.7	4.7	0.047
653	3.8	4.7	0.140
654	4.0	4.7	0.351
655	3.9	4.7	0.949
656	4.9	4.7	1.015
657	4.9	4.7	1.020
658	4.8	4.7	1.069
659	4.7	4.7	1.020
660	4.6	4.7	0.989
661	4.6	4.7	0.915
662	4.6	4.7	0.804
663	4.6	4.7	0.733
664	4.6	4.7	0.684
665	4.8	4.7	0.711
666	5.0	4.7	0.882
667	5.2	4.7	0.984
668	5.5	4.7	1.218
669	5.6	4.7	1.251
670	5.9	4.7	1.167
671	6.1	4.7	0.702
672	6.2	4.7	0.440
673	5.3	4.7	0.304
674	5.1	4.7	0.164
675	5.0	4.7	0.064
676	4.8	4.7	0.047
677	4.4	4.7	0.140
678	4.1	4.7	0.351
679	4.0	4.7	0.949
680	5.0	4.7	1.015
681	5.0	4.7	1.020
682	4.9	4.7	1.069
683	4.7	4.7	1.020
684	4.4	4.7	0.989
685	4.4	4.7	0.915
686	4.3	4.7	0.804
687	4.2	4.7	0.733
688	3.8	4.7	0.684
689	3.6	4.7	0.711
690	3.6	4.7	0.882
691	3.5	4.7	0.984
692	3.3	4.7	1.218
693	3.0	4.7	1.251
694	2.9	4.7	1.167
695	2.6	4.7	0.702
696	2.5	4.7	0.440
697	1.5	4.7	0.304
698	1.4	4.7	0.164
699	1.5	4.7	0.064
700	1.6	4.7	0.047
701	1.7	4.7	0.140
702	1.6	4.7	0.351
703	1.7	4.7	0.949
704	2.9	4.7	1.015
705	2.8	4.7	1.020
706	2.8	4.7	1.069
707	2.8	4.7	1.020
708	2.6	4.7	0.989
709	2.5	4.7	0.915
710	2.5	4.6	0.804
711	2.6	4.6	0.733
712	2.5	4.6	0.684
713	2.5	4.6	0.711
714	2.4	4.6	0.882
715	2.4	4.6	0.984
716	2.3	4.6	1.218
717	2.4	4.6	1.251
718	2.2	4.6	1.167
719	2.3	4.6	0.702
720	2.4	4.6	0.440
721	1.5	4.6	0.304
722	1.3	4.6	0.164
723	1.3	4.6	0.064
724	1.2	4.6	0.047
725	1.1	4.6	0.140
726	1.2	4.6	0.351
727	1.3	4.6	0.949
728	2.3	4.6	1.015
729	2.4	4.6	1.020
730	2.2	4.6	1.069
731	2.0	4.6	1.020
732	1.9	4.6	0.989
733	1.7	4.6	0.915
734	1.6	4.6	0.804
735	1.6	4.6	0.733
736	1.8	4.6	0.684
737	1.9	4.6	0.711
738	2.3	4.6	0.882
739	2.6	4.6	0.984
740	2.7	4.6	1.218
741	2.7	4.6	1.251
742	2.8	4.6	1.167
743	3.0	4.6	0.702
744	3.1	4.6	0.440
745	2.2	4.6	0.304
746	2.3	4.6	0.164
747	2.4	4.6	0.064
748	2.3	4.6	0.047
749	2.3	4.6	0.140
750	2.3	4.6	0.351
751	2.2	4.6	0.949
752	3.3	4.6	1.015
753	3.2	4.6	1.020
754	3.0	4.6	1.069
755	2.8	4.6	1.020
756	2.7	4.6	0.989
757	2.6	4.6	0.915
758	2.5	4.6	0.804
759	2.5	4.6	0.733
760	2.5	4.6	0.684
761	2.6	4.6	0.711
762	2.7	4.6	0.882
763	3.0	4.6	0.984
764	3.2	4.6	1.218
765	3.5	4.6	1.251
766	3.7	4.6	1.167
767	4.0	4.6	0.702
768	4.0	4.6	0.440
769	3.3	4.6	0.304
770	3.2	4.6	0.164
771	3.2	4.6	0.064
772	3.4	4.6	0.047
773	3.6	4.6	0.140
774	3.7	4.6	0.351
775	3.7	4.6	0.949
776	4.7	4.6	1.015
777	4.6	4.6	1.020
778	4.6	4.6	1.069
779	4.6	4.6	1.020
780	4.5	4.6	0.989
781	4.4	4.6	0.915
782	4.3	4.6	0.804
783	4.4	4.6	0.733
784	4.5	4.6	0.684
785	4.6	4.6	0.711
786	4.7	4.6	0.882
787	4.9	4.6	0.984
788	5.3	4.6	1.218
789	5.5	4.6	1.251
790	5.6	4.6	1.167
791	5.7	4.6	0.702
792	5.8	4.6	0.440
793	5.0	4.6	0.304
794	5.1	4.6	0.164
795	5.0	4.6	0.064
796	5.2	4.6	0.047
797	5.3	4.6	0.140
798	5.3	4.5	0.351
799	5.4	4.5	0.949
800	6.2	4.5	1.015
801	6.1	4.5	1.020
802	6.0	4.5	1.069
