# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	14.1	21.8	0.343
2	14.4	21.8	0.185
3	15.0	21.3	0.073
4	14.7	21.3	0.053
5	14.9	21.3	0.158
6	15.0	21.2	0.395
7	14.7	20.4	1.068
8	14.6	20.3	1.143
9	14.7	19.8	1.148
10	13.9	19.7	1.203
11	13.9	19.6	1.148
12	13.1	19.6	1.113
13	12.7	19.5	1.031
14	12.8	19.5	0.906
15	12.8	19.5	0.826
16	13.2	19.5	0.771
17	14.0	19.5	0.801
18	15.1	19.5	0.993
19	16.1	19.4	1.108
20	16.4	19.4	1.371
21	16.5	19.4	1.408
22	17.0	19.4	1.313
23	17.4	19.3	0.791
24	18.1	19.3	0.495
25	18.6	19.3	0.343
26	18.2	19.3	0.185
27	18.3	19.3	0.073
28	18.3	19.2	0.053
29	18.1	19.1	0.158
30	17.8	19.1	0.395
31	18.1	19.0	1.068
32	18.4	19.0	1.143
33	17.9	19.0	1.148
34	17.5	19.0	1.203
35	17.0	18.9	1.148
36	16.3	18.9	1.113
37	15.9	18.8	1.031
38	15.7	18.8	0.906
39	15.2	18.7	0.826
40	15.6	18.7	0.771
41	16.2	18.6	0.801
42	17.0	18.6	0.993
43	17.1	18.6	1.108
44	17.2	18.6	1.371
45	17.4	18.6	1.408
46	17.4	18.6	1.313
47	17.5	18.5	0.791
48	17.5	18.5	0.495
49	17.5	18.5	0.343
50	17.4	18.5	0.185
51	17.5	18.5	0.073
52	17.9	18.5	0.053
53	18.1	18.4	0.158
54	17.8	18.4	0.395
55	18.4	18.4	1.068
56	18.1	18.4	1.143
57	17.9	18.4	1.148
58	18.0	18.4	1.203
59	17.6	18.3	1.148
60	17.4	18.3	1.113
61	16.7	18.3	1.031
62	16.3	18.3	0.906
63	16.0	18.3	0.826
64	15.9	18.3	0.771
65	16.1	18.2	0.801
66	16.7	18.2	0.993
67	17.3	18.2	1.108
68	17.7	18.2	1.371
69	18.2	18.1	1.408
70	18.6	18.1	1.313
71	19.0	18.1	0.791
72	19.3	18.1	0.495
