# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.4	11.5	0.170
2	7.5	11.4	0.092
3	7.8	11.2	0.036
4	7.7	11.2	0.026
5	7.8	11.2	0.078
6	7.9	11.1	0.196
7	7.7	10.7	0.529
8	7.7	10.7	0.567
9	7.7	10.4	0.569
10	7.3	10.3	0.596
11	7.3	10.3	0.569
12	6.9	10.3	0.552
13	6.7	10.2	0.511
14	6.7	10.2	0.449
15	6.7	10.2	0.409
16	6.9	10.2	0.382
17	7.3	10.2	0.397
18	7.9	10.2	0.492
19	8.4	10.2	0.549
20	8.6	10.2	0.679
21	8.7	10.2	0.698
22	8.9	10.2	0.651
23	9.1	10.1	0.392
24	9.5	10.1	0.245
25	9.8	10.1	0.170
26	9.5	10.1	0.092
27	9.6	10.1	0.036
28	9.6	10.1	0.026
29	9.5	10.0	0.078
30	9.3	10.0	0.196
31	9.5	10.0	0.529
32	9.6	10.0	0.567
33	9.4	10.0	0.569
34	9.2	10.0	0.596
35	8.9	9.9	0.569
36	8.5	9.9	0.552
37	8.4	9.8	0.511
38	8.3	9.8	0.449
39	8.0	9.8	0.409
40	8.2	9.8	0.382
41	8.5	9.8	0.397
42	8.9	9.8	0.492
43	9.0	9.8	0.549
44	9.0	9.7	0.679
45	9.1	9.7	0.698
46	9.1	9.7	0.651
47	9.2	9.7	0.392
48	9.2	9.7	0.245
49	9.2	9.7	0.170
50	9.1	9.7	0.092
51	9.2	9.7	0.036
52	9.4	9.7	0.026
53	9.5	9.7	0.078
54	9.4	9.6	0.196
55	9.6	9.6	0.529
56	9.5	9.6	0.567
57	9.4	9.6	0.569
58	9.5	9.6	0.596
59	9.2	9.6	0.569
60	9.1	9.6	0.552
61	8.7	9.6	0.511
62	8.5	9.6	0.449
63	8.4	9.6	0.409
64	8.3	9.6	0.382
65	8.4	9.6	0.397
66	8.8	9.5	0.492
67	9.1	9.5	0.549
68	9.3	9.5	0.679
69	9.6	9.5	0.698
70	9.8	9.5	0.651
71	10.0	9.5	0.392
72	10.1	9.5	0.245
73	10.2	9.5	0.170
74	10.2	9.5	0.092
75	10.1	9.5	0.036
76	10.2	9.5	0.026
77	10.2	9.4	0.078
78	10.1	9.4	0.196
79	9.9	9.4	0.529
80	9.6	9.4	0.567
81	9.3	9.4	0.569
82	8.8	9.4	0.596
83	8.0	9.4	0.569
84	7.4	9.4	0.552
85	6.9	9.4	0.511
86	6.6	9.3	0.449
87	6.7	9.3	0.409
88	6.7	9.3	0.382
89	6.8	9.3	0.397
90	6.8	9.3	0.492
91	6.8	9.3	0.549
92	6.6	9.3	0.679
93	6.9	9.3	0.698
94	7.0	9.3	0.651
95	7.0	9.3	0.392
96	7.1	9.3	0.245
97	7.1	9.3	0.170
98	7.1	9.3	0.092
99	7.4	9.2	0.036
100	7.6	9.2	0.026
101	7.8	9.2	0.078
102	7.9	9.2	0.196
103	8.2	9.2	0.529
104	8.3	9.2	0.567
105	8.5	9.2	0.569
106	8.4	9.2	0.596
107	8.6	9.2	0.569
108	8.7	9.2	0.552
109	8.7	9.2	0.511
110	8.9	9.2	0.449
111	9.3	9.2	0.409
112	9.3	9.2	0.382
113	9.7	9.2	0.397
114	10.1	9.2	0.492
115	10.2	9.1	0.549
116	10.0	9.1	0.679
117	10.3	9.1	0.698
118	10.7	9.1	0.651
119	11.1	9.1	0.392
120	11.2	9.1	0.245
121	11.4	9.1	0.170
122	11.5	9.1	0.092
123	11.2	9.1	0.036
124	11.2	9.1	0.026
125	10.7	9.1	0.078
126	10.4	9.1	0.196
127	10.2	9.1	0.529
128	10.2	9.1	0.567
129	10.0	9.1	0.569
130	9.6	9.1	0.596
131	9.1	9.1	0.569
132	8.6	9.1	0.552
133	8.0	9.1	0.511
134	7.5	9.1	0.449
135	7.2	9.1	0.409
136	6.9	9.1	0.382
137	6.9	9.1	0.397
138	7.1	9.0	0.492
139	6.8	9.0	0.549
140	6.8	9.0	0.679
141	6.8	9.0	0.698
142	6.8	9.0	0.651
143	6.8	9.0	0.392
144	6.8	9.0	0.245
145	6.7	9.0	0.170
146	6.8	9.0	0.092
147	6.9	9.0	0.036
148	7.0	9.0	0.026
149	7.2	9.0	0.078
150	7.1	9.0	0.196
151	7.1	9.0	0.529
152	7.3	9.0	0.567
153	7.2	9.0	0.569
154	6.7	9.0	0.596
155	6.5	8.9	0.569
156	6.2	8.9	0.552
157	5.9	8.9	0.511
158	5.4	8.9	0.449
159	5.2	8.9	0.409
160	5.2	8.9	0.382
161	5.7	8.9	0.397
162	6.0	8.9	0.492
163	6.4	8.9	0.549
164	6.5	8.9	0.679
165	6.9	8.9	0.698
166	7.0	8.9	0.651
167	7.4	8.9	0.392
168	7.5	8.9	0.245
169	7.7	8.9	0.170
170	7.6	8.9	0.092
171	7.7	8.9	0.036
172	7.4	8.9	0.026
173	7.3	8.9	0.078
174	7.0	8.9	0.196
175	7.0	8.9	0.529
176	6.9	8.9	0.567
177	6.9	8.9	0.569
178	6.8	8.9	0.596
179	6.4	8.9	0.569
180	6.1	8.9	0.552
181	6.2	8.9	0.511
182	6.0	8.8	0.449
183	6.2	8.8	0.409
184	6.1	8.8	0.382
185	6.0	8.8	0.397
186	6.1	8.8	0.492
187	6.3	8.8	0.549
188	5.9	8.8	0.679
189	5.7	8.8	0.698
190	5.7	8.8	0.651
191	5.4	8.8	0.392
192	5.2	8.8	0.245
193	4.9	8.8	0.170
194	4.9	8.8	0.092
195	5.1	8.8	0.036
196	5.2	8.8	0.026
197	5.0	8.8	0.078
198	4.7	8.8	0.196
199	4.9	8.8	0.529
200	4.9	8.8	0.567
201	5.0	8.8	0.569
202	4.6	8.8	0.596
203	4.5	8.8	0.569
204	4.6	8.8	0.552
205	4.5	8.8	0.511
206	4.1	8.8	0.449
207	3.8	8.8	0.409
208	3.7	8.8	0.382
209	3.7	8.8	0.397
210	3.6	8.8	0.492
211	3.7	8.7	0.549
212	3.7	8.7	0.679
213	3.6	8.7	0.698
214	3.7	8.7	0.651
215	3.6	8.7	0.392
216	3.3	8.7	0.245
217	3.4	8.7	0.170
218	3.6	8.7	0.092
219	3.7	8.7	0.036
220	3.9	8.7	0.026
221	4.1	8.7	0.078
222	4.3	8.7	0.196
223	4.6	8.7	0.529
224	4.7	8.7	0.567
225	4.6	8.7	0.569
226	4.8	8.7	0.596
227	4.8	8.7	0.569
228	4.7	8.7	0.552
229	4.6	8.7	0.511
230	4.6	8.7	0.449
231	4.6	8.7	0.409
232	5.0	8.7	0.382
233	5.3	8.7	0.397
234	5.7	8.7	0.492
235	5.8	8.7	0.549
236	6.1	8.7	0.679
237	6.5	8.7	0.698
238	7.0	8.7	0.651
239	7.4	8.6	0.392
240	7.6	8.6	0.245
241	7.9	8.6	0.170
242	7.9	8.6	0.092
243	7.9	8.6	0.036
244	8.0	8.6	0.026
245	7.9	8.6	0.078
246	7.9	8.6	0.196
247	7.8	8.6	0.529
248	7.7	8.6	0.567
249	7.8	8.6	0.569
250	7.5	8.6	0.596
251	7.5	8.6	0.569
252	6.9	8.6	0.552
253	6.7	8.6	0.511
254	6.3	8.6	0.449
255	6.4	8.6	0.409
256	6.6	8.6	0.382
257	7.1	8.6	0.397
258	7.1	8.6	0.492
259	7.2	8.6	0.549
260	7.5	8.6	0.679
261	7.7	8.6	0.698
262	8.0	8.6	0.651
263	7.9	8.6	0.392
264	8.0	8.6	0.245
265	8.0	8.6	0.170
266	8.1	8.5	0.092
267	8.1	8.5	0.036
268	8.1	8.5	0.026
269	7.9	8.5	0.078
270	8.0	8.5	0.196
271	7.9	8.5	0.529
272	8.0	8.5	0.567
273	8.0	8.5	0.569
274	7.8	8.5	0.596
275	7.5	8.5	0.569
276	7.0	8.5	0.552
277	6.7	8.5	0.511
278	6.4	8.5	0.449
279	6.2	8.5	0.409
280	6.2	8.5	0.382
281	6.2	8.5	0.397
282	6.3	8.5	0.492
283	6.4	8.5	0.549
284	6.3	8.5	0.679
285	6.6	8.5	0.698
286	6.6	8.5	0.651
287	6.6	8.5	0.392
288	6.8	8.5	0.245
289	6.5	8.5	0.170
290	6.5	8.5	0.092
291	6.5	8.5	0.036
292	6.5	8.5	0.026
293	6.6	8.5	0.078
294	6.6	8.4	0.196
295	6.5	8.4	0.529
296	6.5	8.4	0.567
297	6.4	8.4	0.569
298	6.4	8.4	0.596
299	6.1	8.4	0.569
300	5.8	8.4	0.552
301	5.6	8.4	0.511
302	5.5	8.4	0.449
303	5.4	8.4	0.409
304	5.2	8.4	0.382
305	5.5	8.4	0.397
306	5.4	8.4	0.492
307	5.5	8.4	0.549
308	5.5	8.4	0.679
309	5.6	8.4	0.698
310	6.0	8.4	0.651
311	5.9	8.4	0.392
312	6.0	8.4	0.245
313	6.1	8.4	0.170
314	6.1	8.4	0.092
315	6.1	8.4	0.036
316	5.9	8.4	0.026
317	5.8	8.4	0.078
318	5.7	8.4	0.196
319	5.8	8.4	0.529
320	5.9	8.3	0.567
321	6.0	8.3	0.569
322	5.8	8.3	0.596
323	5.7	8.3	0.569
324	5.9	8.3	0.552
325	5.6	8.3	0.511
326	5.5	8.3	0.449
327	5.1	8.3	0.409
328	4.9	8.3	0.382
329	5.1	8.3	0.397
330	5.2	8.3	0.492
331	5.4	8.3	0.549
332	5.5	8.3	0.679
333	5.6	8.3	0.698
334	5.6	8.3	0.651
335	5.8	8.3	0.392
336	5.6	8.3	0.245
337	5.7	8.3	0.170
338	5.8	8.3	0.092
339	6.0	8.3	0.036
340	6.2	8.3	0.026
341	6.3	8.3	0.078
342	6.3	8.3	0.196
343	6.3	8.2	0.529
344	6.6	8.2	0.567
345	6.6	8.2	0.569
346	6.8	8.2	0.596
347	6.5	8.2	0.569
348	6.4	8.2	0.552
349	6.3	8.2	0.511
350	6.5	8.2	0.449
351	6.5	8.2	0.409
352	6.6	8.2	0.382
353	6.8	8.2	0.397
354	7.0	8.2	0.492
355	7.1	8.2	0.549
356	7.4	8.2	0.679
357	7.3	8.2	0.698
358	7.6	8.2	0.651
359	7.5	8.2	0.392
360	7.4	8.2	0.245
361	7.3	8.2	0.170
362	7.4	8.2	0.092
363	7.6	8.2	0.036
364	7.5	8.2	0.026
365	7.5	8.2	0.078
366	7.8	8.2	0.196
367	7.9	8.2	0.529
368	7.9	8.2	0.567
369	7.9	8.2	0.569
370	8.0	8.2	0.596
371	7.5	8.2	0.569
372	7.3	8.2	0.552
373	7.1	8.2	0.511
374	7.0	8.2	0.449
375	7.1	8.2	0.409
376	7.4	8.1	0.382
377	7.9	8.1	0.397
378	8.2	8.1	0.492
379	8.4	8.1	0.549
380	8.6	8.1	0.679
381	8.7	8.1	0.698
382	9.1	8.1	0.651
383	9.4	8.1	0.392
384	9.7	8.1	0.245
385	10.2	8.1	0.170
386	10.3	8.1	0.092
387	10.3	8.1	0.036
388	10.2	8.1	0.026
389	10.2	8.1	0.078
390	10.1	8.1	0.196
391	10.1	8.1	0.529
392	10.0	8.1	0.567
393	9.5	8.1	0.569
394	9.1	8.1	0.596
395	8.7	8.1	0.569
396	8.2	8.1	0.552
397	7.6	8.1	0.511
398	7.1	8.1	0.449
399	7.1	8.1	0.409
400	6.9	8.1	0.382
401	6.9	8.1	0.397
402	7.1	8.1	0.492
403	7.0	8.1	0.549
404	7.0	8.1	0.679
405	7.4	8.1	0.698
406	7.1	8.1	0.651
407	7.2	8.1	0.392
408	7.1	8.1	0.245
409	6.6	8.1	0.170
410	6.9	8.1	0.092
411	7.1	8.1	0.036
412	7.1	8.1	0.026
413	7.1	8.0	0.078
414	7.1	8.0	0.196
415	7.4	8.0	0.529
416	7.5	8.0	0.567
417	7.4	8.0	0.569
418	7.1	8.0	0.596
419	7.1	8.0	0.569
420	6.9	8.0	0.552
421	6.7	8.0	0.511
422	6.7	8.0	0.449
423	6.7	8.0	0.409
424	7.0	8.0	0.382
425	7.1	8.0	0.397
426	7.2	8.0	0.492
427	7.5	8.0	0.549
428	7.6	8.0	0.679
429	7.9	8.0	0.698
430	8.1	8.0	0.651
431	8.0	8.0	0.392
432	7.9	8.0	0.245
433	8.1	8.0	0.170
434	8.3	8.0	0.092
435	8.6	8.0	0.036
436	8.8	8.0	0.026
437	8.6	8.0	0.078
438	8.5	8.0	0.196
439	8.3	8.0	0.529
440	8.4	8.0	0.567
441	8.2	8.0	0.569
442	8.2	8.0	0.596
443	8.3	8.0	0.569
444	8.0	8.0	0.552
445	7.8	8.0	0.511
446	7.6	8.0	0.449
447	7.2	8.0	0.409
448	7.4	8.0	0.382
449	7.4	8.0	0.397
450	7.2	8.0	0.492
451	7.5	8.0	0.549
452	7.7	8.0	0.679
453	8.0	8.0	0.698
454	8.2	8.0	0.651
455	8.0	8.0	0.392
456	7.9	8.0	0.245
457	8.0	8.0	0.170
458	8.3	8.0	0.092
459	8.3	8.0	0.036
460	8.6	8.0	0.026
461	8.5	8.0	0.078
462	8.6	8.0	0.196
463	8.6	7.9	0.529
464	8.6	7.9	0.567
465	8.7	7.9	0.569
466	8.2	7.9	0.596
467	8.0	7.9	0.569
468	7.7	7.9	0.552
469	7.4	7.9	0.511
470	7.2	7.9	0.449
471	7.0	7.9	0.409
472	6.8	7.9	0.382
473	6.9	7.9	0.397
474	6.8	7.9	0.492
475	7.0	7.9	0.549
476	7.2	7.9	0.679
477	7.1	7.9	0.698
478	7.3	7.9	0.651
479	7.3	7.9	0.392
480	7.4	7.9	0.245
481	7.3	7.9	0.170
482	7.7	7.9	0.092
483	7.7	7.9	0.036
484	8.0	7.9	0.026
485	8.0	7.9	0.078
486	7.9	7.9	0.196
487	8.0	7.9	0.529
488	7.9	7.9	0.567
489	7.8	7.9	0.569
490	7.5	7.9	0.596
491	7.2	7.9	0.569
492	6.8	7.9	0.552
493	6.9	7.9	0.511
494	6.6	7.9	0.449
495	6.6	7.9	0.409
496	6.6	7.9	0.382
497	6.6	7.9	0.397
498	7.0	7.9	0.492
499	7.1	7.9	0.549
500	7.4	7.9	0.679
501	7.4	7.9	0.698
502	7.7	7.9	0.651
503	7.8	7.9	0.392
504	8.1	7.8	0.245
505	8.2	7.8	0.170
506	8.0	7.8	0.092
507	8.0	7.8	0.036
508	8.1	7.8	0.026
509	8.2	7.8	0.078
510	8.5	7.8	0.196
511	8.7	7.8	0.529
512	8.8	7.8	0.567
513	8.6	7.8	0.569
514	8.4	7.8	0.596
515	8.1	7.8	0.569
516	7.8	7.8	0.552
517	7.7	7.8	0.511
518	7.5	7.8	0.449
519	7.5	7.8	0.409
520	7.7	7.8	0.382
521	7.8	7.8	0.397
522	7.8	7.8	0.492
523	8.0	7.8	0.549
524	7.9	7.8	0.679
525	8.0	7.8	0.698
526	8.2	7.8	0.651
527	8.4	7.8	0.392
528	8.7	7.8	0.245
529	8.8	7.8	0.170
530	8.8	7.8	0.092
531	9.1	7.8	0.036
532	8.9	7.8	0.026
533	9.0	7.8	0.078
534	8.8	7.8	0.196
535	9.1	7.8	0.529
536	9.1	7.8	0.567
537	8.8	7.8	0.569
538	8.5	7.7	0.596
539	8.1	7.7	0.569
540	7.6	7.7	0.552
541	7.3	7.7	0.511
542	6.8	7.7	0.449
543	6.7	7.7	0.409
544	6.9	7.7	0.382
545	7.0	7.7	0.397
546	7.2	7.7	0.492
547	7.3	7.7	0.549
548	7.4	7.7	0.679
549	7.5	7.7	0.698
550	7.8	7.7	0.651
551	8.0	7.7	0.392
552	8.3	7.7	0.245
553	8.3	7.7	0.170
554	8.2	7.7	0.092
555	8.3	7.7	0.036
556	8.2	7.7	0.026
557	8.6	7.7	0.078
558	8.7	7.7	0.196
559	8.5	7.7	0.529
560	8.4	7.7	0.567
561	8.1	7.7	0.569
562	7.8	7.7	0.596
563	7.7	7.7	0.569
564	7.5	7.7	0.552
565	7.2	7.7	0.511
566	7.1	7.7	0.449
567	6.9	7.7	0.409
568	7.0	7.7	0.382
569	7.1	7.7	0.397
570	7.2	7.7	0.492
571	7.3	7.7	0.549
572	7.5	7.7	0.679
573	7.3	7.7	0.698
574	7.4	7.7	0.651
575	7.4	7.7	0.392
576	7.2	7.6	0.245
577	7.2	7.6	0.170
578	7.4	7.6	0.092
579	7.5	7.6	0.036
580	7.1	7.6	0.026
581	7.0	7.6	0.078
582	7.1	7.6	0.196
583	7.0	7.6	0.529
584	6.8	7.6	0.567
585	6.6	7.6	0.569
586	6.5	7.6	0.596
587	6.1	7.6	0.569
588	5.7	7.6	0.552
589	5.5	7.6	0.511
590	5.4	7.6	0.449
591	5.1	7.6	0.409
592	5.0	7.6	0.382
593	5.0	7.6	0.397
594	5.0	7.6	0.492
595	5.0	7.6	0.549
596	4.9	7.6	0.679
597	5.1	7.6	0.698
598	5.3	7.6	0.651
599	5.5	7.6	0.392
600	5.5	7.6	0.245
601	5.4	7.6	0.170
602	5.7	7.6	0.092
603	6.1	7.6	0.036
604	6.2	7.6	0.026
605	6.5	7.6	0.078
606	6.4	7.6	0.196
607	6.4	7.6	0.529
608	6.4	7.6	0.567
609	6.6	7.6	0.569
