# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.0	15.2	0.225
2	8.2	15.1	0.121
3	8.6	14.6	0.048
4	8.5	14.5	0.034
5	8.6	14.5	0.103
6	8.6	14.5	0.259
7	8.5	14.4	0.701
8	10.4	14.3	0.750
9	10.5	14.2	0.753
10	9.9	14.2	0.789
11	9.9	14.1	0.753
12	9.3	14.1	0.730
13	9.0	14.1	0.676
14	9.1	14.0	0.594
15	9.1	14.0	0.542
16	9.3	14.0	0.505
17	9.9	14.0	0.525
18	10.7	13.9	0.651
19	11.4	13.9	0.727
20	11.6	13.9	0.899
21	11.8	13.9	0.924
22	12.1	13.9	0.862
23	12.4	13.9	0.519
24	12.9	13.9	0.325
25	11.2	13.8	0.225
26	10.9	13.8	0.121
27	11.0	13.8	0.048
28	11.0	13.8	0.034
29	10.8	13.7	0.103
30	10.6	13.7	0.259
31	10.9	13.7	0.701
32	13.1	13.6	0.750
33	12.7	13.6	0.753
34	12.5	13.6	0.789
35	12.1	13.6	0.753
36	11.6	13.6	0.730
37	11.3	13.6	0.676
38	11.2	13.5	0.594
39	10.8	13.5	0.542
40	11.1	13.5	0.505
41	11.6	13.5	0.525
42	12.1	13.5	0.651
43	12.2	13.5	0.727
44	12.2	13.4	0.899
45	12.4	13.3	0.924
46	12.4	13.3	0.862
47	12.4	13.3	0.519
48	12.4	13.3	0.325
49	10.4	13.2	0.225
50	10.4	13.2	0.121
51	10.5	13.2	0.048
52	10.7	13.2	0.034
53	10.8	13.1	0.103
54	10.7	13.1	0.259
55	11.0	13.1	0.701
56	12.9	13.1	0.750
57	12.8	13.1	0.753
58	12.8	13.1	0.789
59	12.5	13.1	0.753
60	12.4	13.0	0.730
61	11.9	13.0	0.676
62	11.6	13.0	0.594
63	11.4	13.0	0.542
64	11.3	13.0	0.505
65	11.4	12.9	0.525
66	11.9	12.9	0.651
67	12.3	12.9	0.727
68	12.6	12.9	0.899
69	13.0	12.8	0.924
70	13.3	12.8	0.862
71	13.5	12.8	0.519
72	13.7	12.8	0.325
73	11.9	12.8	0.225
74	11.9	12.8	0.121
75	11.7	12.7	0.048
76	11.8	12.7	0.034
77	11.8	12.7	0.103
78	11.7	12.7	0.259
79	11.4	12.7	0.701
80	13.0	12.7	0.750
81	12.6	12.7	0.753
82	12.0	12.7	0.789
83	10.9	12.6	0.753
84	10.1	12.6	0.730
