# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.0	15.5	0.235
2	10.2	15.5	0.127
3	10.6	15.2	0.050
4	10.5	15.2	0.036
5	10.6	15.2	0.108
6	10.7	15.1	0.271
7	10.5	14.5	0.733
8	10.4	14.5	0.784
9	10.5	14.1	0.788
10	9.9	14.0	0.825
11	9.9	14.0	0.788
12	9.4	13.9	0.764
13	9.1	13.9	0.707
14	9.1	13.9	0.621
15	9.1	13.9	0.566
16	9.4	13.9	0.529
17	10.0	13.9	0.549
18	10.7	13.8	0.681
19	11.5	13.8	0.760
20	11.6	13.8	0.940
21	11.8	13.8	0.966
22	12.1	13.8	0.901
23	12.4	13.8	0.542
24	12.9	13.8	0.340
25	13.3	13.8	0.235
26	12.9	13.7	0.127
27	13.0	13.7	0.050
28	13.0	13.7	0.036
29	12.9	13.6	0.108
30	12.7	13.6	0.271
31	12.9	13.6	0.733
32	13.1	13.6	0.784
33	12.7	13.5	0.788
34	12.5	13.5	0.825
35	12.1	13.5	0.788
36	11.6	13.5	0.764
37	11.3	13.4	0.707
38	11.2	13.4	0.621
39	10.8	13.4	0.566
40	11.1	13.3	0.529
41	11.6	13.3	0.549
42	12.1	13.3	0.681
43	12.2	13.3	0.760
44	12.2	13.3	0.940
45	12.4	13.2	0.966
46	12.4	13.2	0.901
47	12.4	13.2	0.542
48	12.4	13.2	0.340
49	12.4	13.2	0.235
50	12.4	13.2	0.127
51	12.5	13.2	0.050
52	12.7	13.2	0.036
53	12.9	13.2	0.108
54	12.7	13.1	0.271
55	13.1	13.1	0.733
56	12.9	13.1	0.784
57	12.8	13.1	0.788
58	12.8	13.1	0.825
59	12.5	13.1	0.788
60	12.4	13.0	0.764
61	11.9	13.0	0.707
62	11.6	13.0	0.621
63	11.4	13.0	0.566
64	11.3	13.0	0.529
65	11.5	13.0	0.549
66	11.9	13.0	0.681
67	12.3	12.9	0.760
68	12.6	12.9	0.940
69	13.0	12.9	0.966
70	13.3	12.9	0.901
71	13.5	12.9	0.542
72	13.7	12.9	0.340
73	13.9	12.9	0.235
74	13.9	12.9	0.127
