# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.1	7.7	0.312
2	4.2	7.7	0.168
3	4.4	7.4	0.066
4	4.3	7.4	0.048
5	4.4	7.3	0.143
6	4.4	7.3	0.359
7	4.3	7.3	0.971
8	5.3	7.2	1.039
9	5.3	7.2	1.044
10	5.0	7.2	1.094
11	5.0	7.2	1.044
12	4.7	7.1	1.012
13	4.6	7.1	0.937
14	4.6	7.1	0.823
15	4.6	7.1	0.751
16	4.8	7.1	0.701
17	5.1	7.1	0.728
18	5.5	7.0	0.903
19	5.8	7.0	1.008
20	5.9	7.0	1.246
21	6.0	7.0	1.281
22	6.2	7.0	1.194
23	6.3	7.0	0.719
24	6.5	7.0	0.450
25	5.7	7.0	0.312
26	5.5	7.0	0.168
27	5.6	7.0	0.066
28	5.6	7.0	0.048
29	5.5	7.0	0.143
30	5.4	6.9	0.359
31	5.5	6.9	0.971
32	6.6	6.9	1.039
33	6.5	6.9	1.044
34	6.4	6.9	1.094
35	6.1	6.9	1.044
36	5.9	6.9	1.012
37	5.8	6.9	0.937
38	5.7	6.9	0.823
39	5.5	6.9	0.751
40	5.6	6.9	0.701
41	5.9	6.9	0.728
42	6.1	6.8	0.903
43	6.2	6.8	1.008
44	6.2	6.8	1.246
45	6.3	6.8	1.281
46	6.3	6.7	1.194
47	6.3	6.7	0.719
48	6.3	6.7	0.450
49	5.3	6.7	0.312
50	5.3	6.7	0.168
51	5.3	6.7	0.066
52	5.4	6.7	0.048
53	5.5	6.7	0.143
54	5.4	6.6	0.359
55	5.6	6.6	0.971
56	6.6	6.6	1.039
57	6.5	6.6	1.044
58	6.5	6.6	1.094
59	6.4	6.6	1.044
60	6.3	6.6	1.012
61	6.0	6.6	0.937
62	5.9	6.6	0.823
63	5.8	6.6	0.751
64	5.8	6.6	0.701
65	5.8	6.5	0.728
66	6.0	6.5	0.903
67	6.3	6.5	1.008
68	6.4	6.5	1.246
69	6.6	6.5	1.281
70	6.7	6.5	1.194
71	6.9	6.5	0.719
72	7.0	6.5	0.450
73	6.0	6.5	0.312
74	6.0	6.5	0.168
75	6.0	6.4	0.066
76	6.0	6.4	0.048
77	6.0	6.4	0.143
78	6.0	6.4	0.359
79	5.8	6.4	0.971
80	6.6	6.4	1.039
81	6.4	6.4	1.044
82	6.1	6.4	1.094
83	5.5	6.4	1.044
84	5.1	6.4	1.012
85	4.7	6.4	0.937
86	4.6	6.4	0.823
87	4.6	6.4	0.751
88	4.6	6.4	0.701
89	4.7	6.4	0.728
90	4.7	6.4	0.903
91	4.7	6.4	1.008
92	4.6	6.4	1.246
93	4.7	6.3	1.281
94	4.8	6.3	1.194
95	4.9	6.3	0.719
96	4.9	6.3	0.450
97	3.8	6.3	0.312
98	3.9	6.3	0.168
99	4.1	6.3	0.066
100	4.2	6.3	0.048
101	4.4	6.3	0.143
