# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.8	12.1	0.200
2	8.0	12.1	0.108
3	8.3	11.9	0.042
4	8.2	11.8	0.031
5	8.3	11.8	0.092
6	8.3	11.8	0.231
7	8.2	11.3	0.624
8	8.1	11.3	0.668
9	8.2	11.0	0.671
10	7.7	10.9	0.703
11	7.7	10.9	0.671
12	7.3	10.9	0.651
13	7.1	10.8	0.602
14	7.1	10.8	0.529
15	7.1	10.8	0.482
16	7.3	10.8	0.450
17	7.8	10.8	0.468
18	8.4	10.8	0.580
19	8.9	10.8	0.648
20	9.1	10.8	0.801
21	9.2	10.8	0.823
22	9.5	10.7	0.768
23	9.7	10.7	0.462
24	10.0	10.7	0.289
25	10.3	10.7	0.200
26	10.1	10.7	0.108
27	10.1	10.7	0.042
28	10.2	10.6	0.031
29	10.0	10.6	0.092
30	9.9	10.6	0.231
31	10.1	10.6	0.624
32	10.2	10.6	0.668
33	9.9	10.5	0.671
34	9.7	10.5	0.703
35	9.4	10.5	0.671
36	9.0	10.4	0.651
37	8.8	10.4	0.602
38	8.7	10.4	0.529
39	8.4	10.4	0.482
40	8.6	10.3	0.450
41	9.0	10.3	0.468
42	9.4	10.3	0.580
43	9.5	10.3	0.648
44	9.5	10.3	0.801
45	9.6	10.3	0.823
46	9.7	10.3	0.768
47	9.7	10.3	0.462
48	9.7	10.3	0.289
49	9.7	10.3	0.200
50	9.7	10.2	0.108
51	9.7	10.2	0.042
52	9.9	10.2	0.031
53	10.0	10.2	0.092
54	9.9	10.2	0.231
55	10.2	10.2	0.624
56	10.0	10.2	0.668
57	10.0	10.2	0.671
58	10.0	10.1	0.703
59	9.7	10.1	0.671
60	9.7	10.1	0.651
61	9.3	10.1	0.602
62	9.0	10.1	0.529
63	8.9	10.1	0.482
64	8.8	10.1	0.450
65	8.9	10.1	0.468
66	9.3	10.1	0.580
67	9.6	10.1	0.648
68	9.8	10.1	0.801
69	10.1	10.1	0.823
70	10.3	10.1	0.768
71	10.6	10.0	0.462
72	10.7	10.0	0.289
73	10.8	10.0	0.200
74	10.8	10.0	0.108
75	10.7	10.0	0.042
76	10.8	10.0	0.031
77	10.8	10.0	0.092
78	10.7	10.0	0.231
79	10.5	10.0	0.624
80	10.2	9.9	0.668
81	9.9	9.9	0.671
82	9.4	9.9	0.703
83	8.5	9.9	0.671
84	7.9	9.9	0.651
85	7.3	9.9	0.602
86	7.0	9.9	0.529
87	7.1	9.9	0.482
88	7.0	9.9	0.450
89	7.2	9.9	0.468
90	7.2	9.9	0.580
91	7.2	9.9	0.648
92	7.0	9.8	0.801
93	7.3	9.8	0.823
94	7.4	9.8	0.768
95	7.5	9.8	0.462
96	7.5	9.8	0.289
97	7.5	9.8	0.200
98	7.5	9.8	0.108
99	7.9	9.8	0.042
100	8.0	9.8	0.031
101	8.3	9.7	0.092
102	8.4	9.7	0.231
103	8.7	9.7	0.624
104	8.8	9.7	0.668
105	9.0	9.7	0.671
106	8.9	9.7	0.703
107	9.1	9.7	0.671
108	9.2	9.7	0.651
109	9.2	9.7	0.602
110	9.4	9.7	0.529
111	9.9	9.7	0.482
112	9.8	9.7	0.450
113	10.3	9.7	0.468
114	10.7	9.7	0.580
115	10.8	9.7	0.648
116	10.6	9.7	0.801
117	10.9	9.7	0.823
118	11.3	9.7	0.768
119	11.8	9.6	0.462
120	11.8	9.6	0.289
121	12.1	9.6	0.200
122	12.1	9.6	0.108
123	11.9	9.6	0.042
124	11.8	9.6	0.031
125	11.3	9.6	0.092
126	11.0	9.6	0.231
127	10.8	9.6	0.624
128	10.7	9.6	0.668
129	10.6	9.6	0.671
130	10.2	9.6	0.703
131	9.6	9.6	0.671
132	9.1	9.6	0.651
133	8.4	9.5	0.602
134	7.9	9.5	0.529
135	7.7	9.5	0.482
136	7.3	9.5	0.450
137	7.3	9.5	0.468
138	7.5	9.5	0.580
139	7.2	9.5	0.648
140	7.2	9.5	0.801
141	7.2	9.5	0.823
142	7.2	9.5	0.768
143	7.2	9.5	0.462
144	7.2	9.5	0.289
145	7.1	9.5	0.200
146	7.2	9.5	0.108
147	7.3	9.5	0.042
148	7.4	9.5	0.031
149	7.7	9.5	0.092
150	7.5	9.5	0.231
151	7.5	9.5	0.624
152	7.7	9.5	0.668
153	7.6	9.5	0.671
154	7.1	9.4	0.703
155	6.9	9.4	0.671
156	6.5	9.4	0.651
157	6.3	9.4	0.602
158	5.7	9.4	0.529
159	5.5	9.4	0.482
160	5.5	9.4	0.450
161	6.0	9.4	0.468
162	6.3	9.4	0.580
163	6.8	9.4	0.648
164	6.9	9.4	0.801
165	7.3	9.4	0.823
166	7.4	9.4	0.768
167	7.9	9.4	0.462
168	8.0	9.4	0.289
169	8.1	9.4	0.200
170	8.1	9.4	0.108
171	8.2	9.4	0.042
172	7.9	9.4	0.031
173	7.8	9.4	0.092
174	7.5	9.4	0.231
175	7.5	9.4	0.624
176	7.3	9.4	0.668
177	7.3	9.4	0.671
178	7.1	9.4	0.703
179	6.8	9.4	0.671
180	6.4	9.4	0.651
181	6.5	9.3	0.602
182	6.4	9.3	0.529
183	6.5	9.3	0.482
184	6.5	9.3	0.450
185	6.4	9.3	0.468
186	6.5	9.3	0.580
187	6.6	9.3	0.648
188	6.3	9.3	0.801
189	6.0	9.3	0.823
190	6.0	9.3	0.768
191	5.7	9.3	0.462
192	5.5	9.3	0.289
193	5.2	9.3	0.200
194	5.2	9.3	0.108
195	5.4	9.3	0.042
196	5.5	9.3	0.031
197	5.2	9.3	0.092
198	5.0	9.3	0.231
199	5.2	9.3	0.624
200	5.2	9.3	0.668
201	5.3	9.3	0.671
202	4.9	9.3	0.703
203	4.8	9.3	0.671
204	4.9	9.3	0.651
205	4.8	9.3	0.602
206	4.4	9.3	0.529
207	4.0	9.2	0.482
208	3.9	9.2	0.450
209	3.9	9.2	0.468
210	3.8	9.2	0.580
211	3.9	9.2	0.648
212	3.9	9.2	0.801
213	3.9	9.2	0.823
214	3.9	9.2	0.768
215	3.8	9.2	0.462
216	3.5	9.2	0.289
217	3.6	9.2	0.200
218	3.8	9.2	0.108
219	3.9	9.2	0.042
220	4.1	9.2	0.031
221	4.3	9.2	0.092
222	4.6	9.2	0.231
223	4.8	9.2	0.624
