# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	17.2	32.7	0.526
2	17.7	32.5	0.284
3	18.6	31.5	0.111
4	18.2	31.4	0.081
5	18.5	31.3	0.242
6	18.6	31.2	0.607
7	18.2	31.1	1.640
8	22.4	31.0	1.755
9	22.6	30.8	1.763
10	21.3	30.7	1.847
11	21.4	30.6	1.763
12	20.1	30.6	1.709
13	19.5	30.5	1.582
14	19.6	30.4	1.390
15	19.6	30.4	1.267
16	20.2	30.3	1.183
17	21.4	30.2	1.229
18	23.1	30.1	1.525
19	24.7	30.1	1.701
20	25.1	30.1	2.104
21	25.3	30.1	2.162
22	26.1	30.1	2.016
23	26.7	30.1	1.213
24	27.7	29.9	0.760
25	24.2	29.9	0.526
26	23.5	29.8	0.284
27	23.7	29.8	0.111
28	23.7	29.7	0.081
29	23.4	29.7	0.242
30	22.9	29.6	0.607
31	23.5	29.6	1.640
32	28.2	29.5	1.755
33	27.4	29.5	1.763
34	26.9	29.4	1.847
35	26.1	29.4	1.763
36	25.0	29.3	1.709
37	24.4	29.3	1.582
38	24.2	29.3	1.390
39	23.3	29.3	1.267
40	23.9	29.2	1.183
41	24.9	29.2	1.229
42	26.0	29.1	1.525
43	26.2	29.1	1.701
44	26.3	29.0	2.104
45	26.7	28.9	2.162
46	26.7	28.8	2.016
47	26.8	28.8	1.213
48	26.8	28.7	0.760
49	22.4	28.6	0.526
50	22.4	28.5	0.284
51	22.6	28.5	0.111
52	23.1	28.4	0.081
53	23.3	28.4	0.242
54	23.0	28.4	0.607
55	23.8	28.4	1.640
56	27.8	28.4	1.755
57	27.5	28.2	1.763
58	27.7	28.2	1.847
59	26.9	28.2	1.763
60	26.7	28.2	1.709
61	25.6	28.1	1.582
62	24.9	28.1	1.390
63	24.5	28.0	1.267
64	24.4	28.0	1.183
65	24.7	28.0	1.229
66	25.6	27.9	1.525
67	26.5	27.8	1.701
68	27.2	27.8	2.104
69	28.0	27.7	2.162
70	28.6	27.7	2.016
71	29.2	27.7	1.213
72	29.6	27.7	0.760
73	25.6	27.6	0.526
74	25.6	27.6	0.284
75	25.3	27.5	0.111
76	25.5	27.5	0.081
77	25.4	27.4	0.242
78	25.3	27.4	0.607
79	24.7	27.4	1.640
80	28.1	27.4	1.755
81	27.3	27.4	1.763
82	25.9	27.4	1.847
83	23.5	27.3	1.763
84	21.7	27.3	1.709
85	20.0	27.3	1.582
86	19.4	27.3	1.390
87	19.6	27.2	1.267
88	19.4	27.2	1.183
89	19.8	27.2	1.229
90	20.0	27.2	1.525
91	19.9	27.2	1.701
92	19.4	27.1	2.104
93	20.0	27.1	2.162
94	20.4	27.1	2.016
95	20.6	27.1	1.213
96	20.7	27.1	0.760
97	16.3	27.1	0.526
98	16.5	27.0	0.284
99	17.3	27.0	0.111
100	17.8	27.0	0.081
101	18.5	27.0	0.242
102	18.8	26.9	0.607
103	19.6	26.9	1.640
104	24.3	26.9	1.755
105	24.8	26.9	1.763
106	24.7	26.9	1.847
107	25.1	26.9	1.763
108	25.3	26.8	1.709
109	25.4	26.8	1.582
110	26.0	26.8	1.390
111	27.4	26.8	1.267
112	27.2	26.7	1.183
113	28.5	26.7	1.229
114	29.7	26.7	1.525
115	29.9	26.7	1.701
116	29.3	26.7	2.104
117	30.1	26.7	2.162
118	31.2	26.7	2.016
119	32.5	26.7	1.213
120	32.7	26.7	0.760
121	29.1	26.7	0.526
122	29.2	26.6	0.284
123	28.4	26.6	0.111
124	28.4	26.6	0.081
125	27.0	26.6	0.242
126	26.0	26.6	0.607
127	25.6	26.6	1.640
128	29.8	26.5	1.755
129	29.3	26.5	1.763
130	28.2	26.5	1.847
131	26.6	26.4	1.763
132	25.1	26.4	1.709
133	23.2	26.4	1.582
134	21.7	26.3	1.390
135	21.0	26.3	1.267
136	20.0	26.3	1.183
137	20.0	26.3	1.229
138	20.6	26.3	1.525
139	19.8	26.2	1.701
140	19.7	26.2	2.104
141	19.9	26.2	2.162
142	19.9	26.1	2.016
143	19.9	26.1	1.213
144	19.8	26.1	0.760
145	15.1	26.1	0.526
146	15.6	26.1	0.284
147	15.7	26.0	0.111
148	16.0	26.0	0.081
149	16.8	26.0	0.242
150	16.3	26.0	0.607
151	16.4	26.0	1.640
152	21.2	25.9	1.755
153	20.9	25.9	1.763
154	19.5	25.9	1.847
155	19.0	25.9	1.763
156	18.1	25.8	1.709
157	17.3	25.8	1.582
158	15.9	25.8	1.390
159	15.3	25.8	1.267
160	15.2	25.7	1.183
161	16.6	25.7	1.229
162	17.5	25.7	1.525
163	18.9	25.7	1.701
164	19.1	25.7	2.104
165	20.2	25.7	2.162
166	20.4	25.7	2.016
167	21.7	25.7	1.213
168	22.0	25.6	0.760
169	18.1	25.6	0.526
170	17.9	25.6	0.284
171	18.1	25.6	0.111
172	17.3	25.6	0.081
173	17.1	25.6	0.242
174	16.2	25.6	0.607
175	16.2	25.6	1.640
176	20.3	25.6	1.755
177	20.2	25.5	1.763
178	19.7	25.5	1.847
179	18.6	25.5	1.763
180	17.7	25.5	1.709
181	18.0	25.5	1.582
182	17.5	25.5	1.390
183	18.0	25.5	1.267
184	17.8	25.5	1.183
185	17.6	25.4	1.229
186	17.8	25.4	1.525
187	18.3	25.4	1.701
188	17.3	25.4	2.104
189	16.7	25.4	2.162
190	16.6	25.4	2.016
191	15.8	25.4	1.213
192	15.2	25.3	0.760
193	10.0	25.3	0.526
194	10.0	25.3	0.284
195	10.6	25.3	0.111
196	10.7	25.3	0.081
197	10.1	25.3	0.242
198	9.3	25.3	0.607
199	10.0	25.2	1.640
200	14.2	25.2	1.755
201	14.5	25.2	1.763
202	13.4	25.2	1.847
203	13.3	25.2	1.763
204	13.5	25.2	1.709
205	13.2	25.2	1.582
206	12.1	25.2	1.390
207	11.0	25.2	1.267
208	10.7	25.1	1.183
209	10.9	25.1	1.229
210	10.6	25.1	1.525
211	10.7	25.1	1.701
212	10.8	25.1	2.104
213	10.6	25.1	2.162
214	10.6	25.1	2.016
215	10.4	25.0	1.213
216	9.7	25.0	0.760
217	5.6	25.0	0.526
218	6.0	25.0	0.284
219	6.4	25.0	0.111
220	7.0	25.0	0.081
221	7.6	24.9	0.242
222	8.2	24.9	0.607
223	9.0	24.9	1.640
224	13.6	24.9	1.755
225	13.5	24.9	1.763
226	13.9	24.9	1.847
227	13.9	24.9	1.763
