# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.1	8.0	0.338
2	5.2	8.0	0.183
3	5.5	7.8	0.072
4	5.4	7.8	0.052
5	5.4	7.8	0.155
6	5.5	7.7	0.390
7	5.4	7.5	1.054
8	5.3	7.5	1.128
9	5.4	7.5	1.133
10	5.1	7.4	1.187
11	5.1	7.4	1.133
12	4.8	7.4	1.098
13	4.6	7.4	1.017
14	4.7	7.4	0.894
15	4.7	7.4	0.815
16	4.8	7.4	0.760
17	5.1	7.4	0.790
18	5.5	7.4	0.980
19	5.9	7.4	1.093
20	6.0	7.3	1.353
21	6.0	7.3	1.390
22	6.2	7.3	1.296
23	6.4	7.3	0.780
24	6.6	7.3	0.489
25	6.8	7.3	0.338
26	6.6	7.3	0.183
27	6.7	7.3	0.072
28	6.7	7.2	0.052
29	6.6	7.2	0.155
30	6.5	7.2	0.390
31	6.6	7.2	1.054
32	6.7	7.2	1.128
33	6.5	7.2	1.133
34	6.4	7.2	1.187
35	6.2	7.2	1.133
36	5.9	7.1	1.098
37	5.8	7.1	1.017
38	5.8	7.1	0.894
39	5.6	7.1	0.815
40	5.7	7.1	0.760
41	5.9	7.1	0.790
42	6.2	7.1	0.980
43	6.2	7.1	1.093
44	6.3	7.1	1.353
45	6.3	7.1	1.390
46	6.4	7.1	1.296
47	6.4	7.1	0.780
48	6.4	7.1	0.489
49	6.4	7.1	0.338
50	6.4	7.1	0.183
51	6.4	7.1	0.072
52	6.5	7.1	0.052
53	6.6	7.1	0.155
54	6.5	7.1	0.390
55	6.7	7.1	1.054
56	6.6	7.1	1.128
57	6.5	7.1	1.133
58	6.6	7.1	1.187
59	6.4	7.1	1.133
60	6.4	7.1	1.098
61	6.1	7.0	1.017
62	5.9	7.0	0.894
63	5.8	7.0	0.815
64	5.8	7.0	0.760
65	5.9	7.0	0.790
66	6.1	7.0	0.980
67	6.3	7.0	1.093
68	6.5	7.0	1.353
69	6.7	7.0	1.390
70	6.8	7.0	1.296
71	6.9	7.0	0.780
72	7.0	6.9	0.489
73	7.1	6.9	0.338
74	7.1	6.9	0.183
75	7.1	6.9	0.072
76	7.1	6.9	0.052
77	7.1	6.9	0.155
78	7.1	6.9	0.390
79	6.9	6.9	1.054
80	6.7	6.9	1.128
81	6.5	6.9	1.133
82	6.2	6.9	1.187
83	5.6	6.9	1.133
84	5.2	6.8	1.098
85	4.8	6.8	1.017
86	4.6	6.8	0.894
87	4.7	6.8	0.815
88	4.6	6.8	0.760
89	4.7	6.8	0.790
90	4.8	6.8	0.980
91	4.7	6.8	1.093
92	4.6	6.7	1.353
93	4.8	6.7	1.390
94	4.9	6.7	1.296
95	4.9	6.7	0.780
96	4.9	6.7	0.489
97	4.9	6.7	0.338
98	5.0	6.7	0.183
99	5.2	6.7	0.072
100	5.3	6.7	0.052
101	5.4	6.7	0.155
102	5.5	6.7	0.390
103	5.7	6.6	1.054
104	5.8	6.6	1.128
105	5.9	6.6	1.133
106	5.9	6.6	1.187
107	6.0	6.6	1.133
108	6.0	6.6	1.098
109	6.0	6.6	1.017
110	6.2	6.6	0.894
111	6.5	6.6	0.815
112	6.5	6.6	0.760
113	6.8	6.6	0.790
114	7.1	6.6	0.980
115	7.1	6.5	1.093
116	7.0	6.5	1.353
117	7.2	6.5	1.390
118	7.4	6.5	1.296
119	7.7	6.5	0.780
120	7.8	6.5	0.489
121	8.0	6.5	0.338
122	8.0	6.5	0.183
123	7.8	6.5	0.072
124	7.8	6.5	0.052
125	7.5	6.5	0.155
126	7.2	6.5	0.390
127	7.1	6.5	1.054
128	7.1	6.4	1.128
129	7.0	6.4	1.133
130	6.7	6.4	1.187
131	6.3	6.4	1.133
132	6.0	6.4	1.098
133	5.5	6.4	1.017
134	5.2	6.4	0.894
135	5.0	6.4	0.815
136	4.8	6.4	0.760
137	4.8	6.4	0.790
138	4.9	6.4	0.980
139	4.7	6.4	1.093
140	4.7	6.4	1.353
141	4.7	6.4	1.390
142	4.7	6.4	1.296
143	4.7	6.4	0.780
144	4.7	6.4	0.489
145	4.6	6.4	0.338
146	4.7	6.4	0.183
147	4.8	6.4	0.072
148	4.8	6.4	0.052
149	5.0	6.4	0.155
150	4.9	6.3	0.390
151	5.0	6.3	1.054
152	5.1	6.3	1.128
153	5.0	6.3	1.133
154	4.7	6.3	1.187
155	4.5	6.3	1.133
156	4.3	6.3	1.098
157	4.1	6.3	1.017
158	3.8	6.3	0.894
159	3.6	6.3	0.815
160	3.6	6.3	0.760
161	4.0	6.3	0.790
162	4.2	6.3	0.980
163	4.5	6.3	1.093
164	4.5	6.3	1.353
165	4.8	6.3	1.390
166	4.9	6.3	1.296
167	5.2	6.3	0.780
168	5.2	6.3	0.489
169	5.3	6.3	0.338
170	5.3	6.3	0.183
171	5.4	6.3	0.072
172	5.2	6.3	0.052
173	5.1	6.3	0.155
174	4.9	6.3	0.390
175	4.9	6.3	1.054
176	4.8	6.3	1.128
177	4.8	6.3	1.133
178	4.7	6.3	1.187
179	4.4	6.3	1.133
180	4.2	6.2	1.098
181	4.3	6.2	1.017
182	4.2	6.2	0.894
183	4.3	6.2	0.815
184	4.2	6.2	0.760
185	4.2	6.2	0.790
186	4.2	6.2	0.980
187	4.4	6.2	1.093
188	4.1	6.2	1.353
189	4.0	6.2	1.390
190	4.0	6.2	1.296
191	3.8	6.2	0.780
192	3.6	6.2	0.489
193	3.4	6.2	0.338
194	3.4	6.2	0.183
195	3.6	6.2	0.072
196	3.6	6.2	0.052
197	3.4	6.2	0.155
198	3.3	6.2	0.390
199	3.4	6.1	1.054
200	3.4	6.1	1.128
201	3.5	6.1	1.133
202	3.2	6.1	1.187
203	3.2	6.1	1.133
204	3.2	6.1	1.098
205	3.1	6.1	1.017
206	2.9	6.1	0.894
207	2.6	6.1	0.815
208	2.5	6.1	0.760
209	2.6	6.1	0.790
210	2.5	6.1	0.980
211	2.5	6.1	1.093
212	2.6	6.1	1.353
213	2.5	6.1	1.390
214	2.5	6.1	1.296
215	2.5	6.1	0.780
216	2.3	6.1	0.489
217	2.4	6.1	0.338
218	2.5	6.1	0.183
219	2.6	6.1	0.072
220	2.7	6.1	0.052
221	2.8	6.1	0.155
222	3.0	6.1	0.390
223	3.2	6.1	1.054
224	3.2	6.1	1.128
225	3.2	6.1	1.133
226	3.3	6.0	1.187
227	3.3	6.0	1.133
228	3.2	6.0	1.098
229	3.2	6.0	1.017
230	3.2	6.0	0.894
231	3.2	6.0	0.815
232	3.5	6.0	0.760
233	3.7	6.0	0.790
234	4.0	6.0	0.980
235	4.0	6.0	1.093
236	4.2	6.0	1.353
237	4.5	6.0	1.390
238	4.9	6.0	1.296
239	5.1	6.0	0.780
240	5.3	6.0	0.489
241	5.5	6.0	0.338
242	5.5	6.0	0.183
243	5.5	6.0	0.072
244	5.5	6.0	0.052
245	5.5	6.0	0.155
246	5.5	6.0	0.390
247	5.4	6.0	1.054
248	5.4	6.0	1.128
249	5.4	6.0	1.133
250	5.2	6.0	1.187
251	5.2	6.0	1.133
252	4.8	6.0	1.098
253	4.7	6.0	1.017
254	4.3	6.0	0.894
255	4.4	6.0	0.815
256	4.6	6.0	0.760
257	5.0	6.0	0.790
258	4.9	6.0	0.980
259	5.0	5.9	1.093
260	5.2	5.9	1.353
261	5.4	5.9	1.390
262	5.5	5.9	1.296
263	5.5	5.9	0.780
264	5.6	5.9	0.489
265	5.6	5.9	0.338
266	5.7	5.9	0.183
267	5.6	5.9	0.072
268	5.6	5.9	0.052
269	5.5	5.9	0.155
270	5.6	5.9	0.390
271	5.5	5.9	1.054
272	5.6	5.9	1.128
273	5.6	5.9	1.133
274	5.4	5.9	1.187
275	5.2	5.9	1.133
276	4.9	5.9	1.098
277	4.7	5.9	1.017
278	4.5	5.9	0.894
279	4.4	5.9	0.815
280	4.4	5.9	0.760
281	4.3	5.9	0.790
282	4.4	5.9	0.980
283	4.4	5.9	1.093
284	4.4	5.9	1.353
285	4.6	5.9	1.390
286	4.6	5.9	1.296
287	4.6	5.9	0.780
288	4.7	5.9	0.489
289	4.5	5.9	0.338
290	4.5	5.9	0.183
291	4.5	5.9	0.072
