# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.1	5.8	0.223
2	3.2	5.8	0.120
3	3.3	5.6	0.047
4	3.3	5.6	0.034
5	3.3	5.5	0.102
6	3.3	5.5	0.257
7	3.3	5.5	0.694
8	4.0	5.5	0.743
9	4.0	5.4	0.746
10	3.8	5.4	0.782
11	3.8	5.4	0.746
12	3.6	5.4	0.723
13	3.5	5.4	0.670
14	3.5	5.4	0.588
15	3.5	5.4	0.536
16	3.6	5.4	0.501
17	3.8	5.4	0.520
18	4.1	5.3	0.645
19	4.4	5.3	0.720
20	4.5	5.3	0.891
21	4.5	5.3	0.915
22	4.7	5.3	0.853
23	4.8	5.3	0.514
24	5.0	5.3	0.322
25	4.3	5.3	0.223
26	4.2	5.3	0.120
27	4.2	5.3	0.047
28	4.2	5.3	0.034
29	4.2	5.3	0.102
30	4.1	5.3	0.257
31	4.2	5.2	0.694
32	5.0	5.2	0.743
33	4.9	5.2	0.746
34	4.8	5.2	0.782
35	4.7	5.2	0.746
36	4.5	5.2	0.723
37	4.4	5.2	0.670
38	4.3	5.2	0.588
39	4.2	5.2	0.536
40	4.3	5.2	0.501
41	4.5	5.2	0.520
42	4.7	5.2	0.645
43	4.7	5.2	0.720
44	4.7	5.1	0.891
45	4.8	5.1	0.915
46	4.8	5.1	0.853
47	4.8	5.1	0.514
48	4.8	5.1	0.322
49	4.0	5.1	0.223
50	4.0	5.1	0.120
51	4.0	5.1	0.047
52	4.1	5.1	0.034
53	4.2	5.1	0.102
54	4.1	5.0	0.257
55	4.3	5.0	0.694
56	5.0	5.0	0.743
57	4.9	5.0	0.746
58	4.9	5.0	0.782
59	4.8	5.0	0.746
60	4.8	5.0	0.723
61	4.6	5.0	0.670
62	4.5	5.0	0.588
63	4.4	5.0	0.536
64	4.4	5.0	0.501
65	4.4	5.0	0.520
66	4.6	5.0	0.645
67	4.7	4.9	0.720
68	4.9	4.9	0.891
69	5.0	4.9	0.915
70	5.1	4.9	0.853
71	5.2	4.9	0.514
72	5.3	4.9	0.322
73	4.6	4.9	0.223
74	4.6	4.9	0.120
75	4.5	4.9	0.047
76	4.6	4.9	0.034
77	4.5	4.9	0.102
78	4.5	4.9	0.257
79	4.4	4.9	0.694
80	5.0	4.9	0.743
81	4.9	4.9	0.746
82	4.6	4.8	0.782
83	4.2	4.8	0.746
84	3.9	4.8	0.723
85	3.6	4.8	0.670
86	3.5	4.8	0.588
87	3.5	4.8	0.536
88	3.5	4.8	0.501
89	3.5	4.8	0.520
90	3.6	4.8	0.645
91	3.6	4.8	0.720
92	3.5	4.8	0.891
93	3.6	4.8	0.915
94	3.6	4.8	0.853
95	3.7	4.8	0.514
96	3.7	4.8	0.322
97	2.9	4.8	0.223
98	2.9	4.8	0.120
99	3.1	4.8	0.047
100	3.2	4.8	0.034
101	3.3	4.8	0.102
102	3.4	4.8	0.257
103	3.5	4.8	0.694
104	4.3	4.8	0.743
105	4.4	4.8	0.746
106	4.4	4.8	0.782
107	4.5	4.8	0.746
108	4.5	4.8	0.723
109	4.5	4.8	0.670
