# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.1	3.9	0.166
2	2.1	3.9	0.089
3	2.2	3.8	0.035
4	2.2	3.7	0.025
5	2.2	3.7	0.076
6	2.2	3.7	0.191
7	2.2	3.7	0.516
8	2.7	3.7	0.552
9	2.7	3.6	0.555
10	2.6	3.6	0.581
11	2.6	3.6	0.555
12	2.4	3.6	0.538
13	2.3	3.6	0.498
14	2.4	3.6	0.437
15	2.4	3.6	0.399
16	2.4	3.6	0.372
17	2.6	3.6	0.387
18	2.8	3.6	0.480
19	3.0	3.6	0.535
20	3.0	3.6	0.662
21	3.0	3.6	0.680
22	3.1	3.6	0.634
23	3.2	3.6	0.382
24	3.3	3.6	0.239
25	2.9	3.6	0.166
26	2.8	3.6	0.089
27	2.9	3.6	0.035
28	2.9	3.5	0.025
29	2.8	3.5	0.076
30	2.8	3.5	0.191
31	2.8	3.5	0.516
32	3.4	3.5	0.552
33	3.3	3.5	0.555
34	3.2	3.5	0.581
35	3.1	3.5	0.555
36	3.0	3.5	0.538
37	2.9	3.5	0.498
38	2.9	3.5	0.437
39	2.8	3.5	0.399
40	2.9	3.5	0.372
41	3.0	3.5	0.387
42	3.1	3.5	0.480
43	3.2	3.5	0.535
44	3.2	3.4	0.662
45	3.2	3.4	0.680
46	3.2	3.4	0.634
47	3.2	3.4	0.382
48	3.2	3.4	0.239
49	2.7	3.4	0.166
50	2.7	3.4	0.089
51	2.7	3.4	0.035
52	2.8	3.4	0.025
53	2.8	3.4	0.076
54	2.8	3.4	0.191
55	2.9	3.4	0.516
56	3.3	3.4	0.552
57	3.3	3.4	0.555
58	3.3	3.4	0.581
59	3.2	3.4	0.555
60	3.2	3.4	0.538
61	3.1	3.4	0.498
62	3.0	3.3	0.437
63	2.9	3.3	0.399
64	2.9	3.3	0.372
65	3.0	3.3	0.387
66	3.1	3.3	0.480
67	3.2	3.3	0.535
68	3.3	3.3	0.662
69	3.4	3.3	0.680
70	3.4	3.3	0.634
71	3.5	3.3	0.382
72	3.6	3.3	0.239
73	3.1	3.3	0.166
74	3.1	3.3	0.089
75	3.0	3.3	0.035
76	3.1	3.3	0.025
77	3.1	3.3	0.076
