# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	14.4	27.4	0.273
2	14.8	27.3	0.147
3	15.6	26.2	0.058
4	15.3	26.2	0.042
5	15.5	26.1	0.125
6	15.6	26.1	0.315
7	15.3	25.9	0.851
8	18.8	25.8	0.910
9	18.9	25.6	0.914
10	17.8	25.5	0.958
11	17.9	25.5	0.914
12	16.9	25.5	0.886
13	16.3	25.4	0.821
14	16.4	25.3	0.721
15	16.4	25.3	0.657
16	16.9	25.2	0.614
17	17.9	25.2	0.637
18	19.4	25.1	0.791
19	20.7	25.1	0.882
20	21.0	25.0	1.092
21	21.2	25.0	1.121
22	21.9	25.0	1.046
23	22.4	25.0	0.629
24	23.2	25.0	0.394
25	20.3	24.9	0.273
26	19.7	24.9	0.147
27	19.8	24.9	0.058
28	19.8	24.8	0.042
29	19.6	24.8	0.125
30	19.2	24.7	0.315
31	19.6	24.7	0.851
32	23.6	24.6	0.910
33	23.0	24.6	0.914
34	22.6	24.6	0.958
35	21.8	24.6	0.914
36	20.9	24.5	0.886
37	20.5	24.5	0.821
38	20.2	24.4	0.721
39	19.5	24.4	0.657
40	20.0	24.4	0.614
41	20.9	24.4	0.637
42	21.8	24.3	0.791
43	22.0	24.3	0.882
44	22.1	24.2	1.092
45	22.3	24.1	1.121
46	22.4	24.0	1.046
47	22.4	24.0	0.629
48	22.5	24.0	0.394
49	18.8	23.9	0.273
50	18.7	23.8	0.147
51	18.9	23.8	0.058
52	19.4	23.8	0.042
53	19.6	23.7	0.125
54	19.3	23.7	0.315
55	19.9	23.6	0.851
56	23.3	23.6	0.910
57	23.0	23.6	0.914
58	23.2	23.6	0.958
59	22.6	23.5	0.914
60	22.4	23.5	0.886
61	21.4	23.4	0.821
62	20.9	23.4	0.721
63	20.5	23.4	0.657
64	20.4	23.3	0.614
65	20.7	23.3	0.637
66	21.5	23.3	0.791
67	22.2	23.3	0.882
68	22.7	23.2	1.092
69	23.4	23.2	1.121
70	24.0	23.2	1.046
71	24.4	23.1	0.629
72	24.8	23.1	0.394
73	21.4	23.0	0.273
74	21.4	23.0	0.147
75	21.2	23.0	0.058
76	21.4	22.9	0.042
77	21.3	22.9	0.125
78	21.2	22.9	0.315
79	20.7	22.8	0.851
80	23.5	22.8	0.910
81	22.8	22.8	0.914
82	21.7	22.8	0.958
83	19.7	22.8	0.914
84	18.2	22.8	0.886
85	16.8	22.7	0.821
86	16.2	22.7	0.721
87	16.4	22.7	0.657
88	16.3	22.6	0.614
89	16.6	22.6	0.637
90	16.7	22.6	0.791
91	16.7	22.6	0.882
92	16.3	22.6	1.092
93	16.8	22.6	1.121
94	17.1	22.6	1.046
95	17.3	22.6	0.629
96	17.3	22.6	0.394
97	13.6	22.6	0.273
98	13.8	22.6	0.147
99	14.5	22.5	0.058
100	14.9	22.5	0.042
101	15.5	22.5	0.125
102	15.7	22.5	0.315
103	16.4	22.5	0.851
104	20.3	22.5	0.910
105	20.7	22.4	0.914
106	20.7	22.4	0.958
107	21.0	22.4	0.914
108	21.2	22.4	0.886
109	21.3	22.4	0.821
110	21.8	22.4	0.721
111	22.9	22.4	0.657
112	22.8	22.3	0.614
113	23.8	22.3	0.637
114	24.9	22.3	0.791
115	25.0	22.3	0.882
116	24.6	22.3	1.092
117	25.2	22.3	1.121
118	26.2	22.2	1.046
119	27.3	22.2	0.629
120	27.4	22.2	0.394
121	24.4	22.2	0.273
122	24.4	22.2	0.147
123	23.8	22.2	0.058
124	23.7	22.2	0.042
125	22.6	22.2	0.125
126	21.8	22.2	0.315
127	21.5	22.2	0.851
128	24.9	22.1	0.910
129	24.6	22.1	0.914
130	23.6	22.1	0.958
131	22.2	22.1	0.914
132	21.1	22.0	0.886
133	19.4	22.0	0.821
134	18.2	22.0	0.721
135	17.6	21.9	0.657
136	16.8	21.9	0.614
137	16.8	21.9	0.637
138	17.3	21.9	0.791
139	16.6	21.8	0.882
140	16.5	21.8	1.092
141	16.7	21.8	1.121
142	16.6	21.8	1.046
143	16.7	21.8	0.629
144	16.6	21.8	0.394
145	12.7	21.8	0.273
146	13.0	21.8	0.147
147	13.1	21.7	0.058
148	13.4	21.7	0.042
149	14.0	21.7	0.125
150	13.7	21.6	0.315
151	13.8	21.6	0.851
152	17.8	21.6	0.910
153	17.5	21.6	0.914
154	16.4	21.6	0.958
155	15.9	21.5	0.914
156	15.1	21.5	0.886
157	14.5	21.5	0.821
158	13.3	21.5	0.721
159	12.8	21.5	0.657
160	12.7	21.5	0.614
161	13.9	21.5	0.637
162	14.7	21.5	0.791
163	15.8	21.5	0.882
164	16.0	21.4	1.092
165	16.9	21.4	1.121
166	17.1	21.4	1.046
167	18.2	21.4	0.629
168	18.4	21.4	0.394
169	15.2	21.4	0.273
170	15.0	21.4	0.147
171	15.2	21.4	0.058
172	14.5	21.4	0.042
173	14.3	21.4	0.125
174	13.6	21.4	0.315
175	13.6	21.4	0.851
176	17.0	21.3	0.910
177	16.9	21.3	0.914
178	16.5	21.3	0.958
179	15.6	21.3	0.914
180	14.8	21.3	0.886
181	15.1	21.3	0.821
182	14.7	21.3	0.721
183	15.0	21.2	0.657
184	14.9	21.2	0.614
185	14.8	21.2	0.637
186	14.9	21.2	0.791
187	15.3	21.2	0.882
188	14.5	21.2	1.092
189	14.0	21.2	1.121
190	13.9	21.2	1.046
191	13.3	21.2	0.629
192	12.8	21.2	0.394
193	8.3	21.2	0.273
194	8.4	21.2	0.147
195	8.9	21.1	0.058
196	9.0	21.1	0.042
197	8.5	21.1	0.125
198	7.8	21.1	0.315
199	8.4	21.1	0.851
200	11.9	21.1	0.910
201	12.2	21.0	0.914
202	11.3	21.0	0.958
203	11.1	21.0	0.914
204	11.3	21.0	0.886
205	11.1	21.0	0.821
206	10.1	21.0	0.721
207	9.2	21.0	0.657
208	9.0	21.0	0.614
209	9.1	21.0	0.637
210	8.8	20.9	0.791
211	8.9	20.9	0.882
212	9.0	20.9	1.092
213	8.9	20.9	1.121
214	8.9	20.9	1.046
215	8.7	20.9	0.629
216	8.2	20.9	0.394
217	4.7	20.9	0.273
218	5.0	20.8	0.147
219	5.4	20.8	0.058
220	5.8	20.8	0.042
221	6.3	20.8	0.125
222	6.8	20.8	0.315
223	7.5	20.7	0.851
224	11.4	20.7	0.910
225	11.3	20.7	0.914
226	11.6	20.7	0.958
227	11.6	20.7	0.914
228	11.4	20.7	0.886
229	11.1	20.7	0.821
230	11.3	20.7	0.721
231	11.1	20.7	0.657
232	12.2	20.7	0.614
233	12.9	20.7	0.637
234	14.0	20.7	0.791
235	14.1	20.7	0.882
236	14.8	20.6	1.092
237	15.9	20.6	1.121
238	17.2	20.6	1.046
239	18.1	20.6	0.629
240	18.7	20.6	0.394
241	15.7	20.6	0.273
242	15.8	20.6	0.147
243	15.8	20.6	0.058
244	15.8	20.5	0.042
245	15.7	20.5	0.125
246	15.6	20.5	0.315
247	15.5	20.5	0.851
248	18.8	20.5	0.910
249	19.1	20.5	0.914
250	18.3	20.5	0.958
251	18.3	20.5	0.914
252	16.8	20.4	0.886
253	16.4	20.4	0.821
254	15.3	20.4	0.721
255	15.5	20.4	0.657
256	16.1	20.4	0.614
257	17.5	20.4	0.637
258	17.3	20.3	0.791
259	17.7	20.3	0.882
260	18.4	20.3	1.092
261	18.8	20.3	1.121
262	19.5	20.3	1.046
263	19.4	20.3	0.629
264	19.6	20.3	0.394
265	15.9	20.3	0.273
266	16.3	20.2	0.147
267	16.1	20.2	0.058
268	16.1	20.2	0.042
269	15.7	20.2	0.125
270	16.0	20.2	0.315
271	15.7	20.2	0.851
272	19.6	20.1	0.910
273	19.7	20.1	0.914
274	19.0	20.1	0.958
275	18.4	20.1	0.914
276	17.3	20.1	0.886
277	16.4	20.1	0.821
278	15.8	20.1	0.721
279	15.3	20.0	0.657
280	15.4	20.0	0.614
281	15.2	20.0	0.637
282	15.5	20.0	0.791
283	15.6	20.0	0.882
284	15.6	20.0	1.092
285	16.2	20.0	1.121
286	16.3	20.0	1.046
287	16.3	20.0	0.629
288	16.5	19.9	0.394
289	12.3	19.9	0.273
290	12.3	19.9	0.147
291	12.2	19.9	0.058
292	12.2	19.9	0.042
293	12.4	19.9	0.125
294	12.5	19.9	0.315
295	12.2	19.9	0.851
296	15.8	19.8	0.910
297	15.7	19.8	0.914
298	15.7	19.8	0.958
299	14.8	19.8	0.914
300	14.3	19.8	0.886
301	13.6	19.8	0.821
302	13.3	19.8	0.721
303	13.2	19.8	0.657
304	12.7	19.8	0.614
305	13.4	19.8	0.637
306	13.2	19.8	0.791
307	13.3	19.7	0.882
308	13.6	19.7	1.092
309	13.7	19.7	1.121
310	14.6	19.7	1.046
311	14.5	19.7	0.629
312	14.8	19.7	0.394
313	11.3	19.7	0.273
314	11.2	19.7	0.147
315	11.2	19.7	0.058
316	10.8	19.7	0.042
317	10.5	19.6	0.125
318	10.3	19.6	0.315
319	10.6	19.6	0.851
320	14.4	19.6	0.910
321	14.6	19.6	0.914
322	14.3	19.6	0.958
323	14.0	19.6	0.914
324	14.3	19.6	0.886
325	13.8	19.6	0.821
326	13.4	19.6	0.721
327	12.5	19.6	0.657
328	11.9	19.6	0.614
329	12.5	19.6	0.637
330	12.7	19.6	0.791
331	13.2	19.5	0.882
332	13.5	19.5	1.092
333	13.6	19.5	1.121
334	13.7	19.5	1.046
335	14.1	19.5	0.629
336	13.7	19.5	0.394
337	10.3	19.5	0.273
338	10.6	19.5	0.147
339	10.9	19.5	0.058
340	11.5	19.5	0.042
341	11.7	19.4	0.125
342	11.7	19.4	0.315
343	11.7	19.4	0.851
344	16.0	19.4	0.910
345	16.2	19.4	0.914
346	16.5	19.4	0.958
347	16.0	19.4	0.914
348	15.6	19.4	0.886
349	15.4	19.4	0.821
350	15.9	19.4	0.721
351	16.0	19.4	0.657
352	16.2	19.3	0.614
353	16.7	19.3	0.637
354	17.3	19.3	0.791
355	17.4	19.3	0.882
356	18.1	19.3	1.092
357	18.0	19.3	1.121
358	18.5	19.3	1.046
359	18.4	19.2	0.629
360	18.0	19.2	0.394
361	14.2	19.2	0.273
362	14.6	19.2	0.147
363	15.0	19.2	0.058
364	14.8	19.2	0.042
365	14.6	19.2	0.125
366	15.4	19.2	0.315
367	15.6	19.2	0.851
368	19.5	19.2	0.910
369	19.3	19.2	0.914
370	19.5	19.2	0.958
371	18.2	19.1	0.914
372	17.8	19.1	0.886
373	17.4	19.1	0.821
374	17.0	19.1	0.721
375	17.2	19.1	0.657
376	18.0	19.1	0.614
377	19.2	19.1	0.637
378	20.1	19.1	0.791
379	20.6	19.1	0.882
380	21.0	19.1	1.092
381	21.4	19.1	1.121
382	22.3	19.1	1.046
383	23.1	19.1	0.629
384	23.8	19.0	0.394
385	21.3	19.0	0.273
386	21.5	19.0	0.147
387	21.6	19.0	0.058
388	21.4	19.0	0.042
389	21.4	19.0	0.125
390	21.1	18.9	0.315
391	21.0	18.9	0.851
392	24.4	18.9	0.910
393	23.3	18.9	0.914
394	22.3	18.9	0.958
395	21.2	18.9	0.914
396	20.1	18.9	0.886
397	18.6	18.9	0.821
398	17.3	18.9	0.721
399	17.5	18.9	0.657
400	16.9	18.9	0.614
401	16.8	18.9	0.637
402	17.4	18.8	0.791
403	17.1	18.8	0.882
404	17.0	18.8	1.092
405	18.1	18.8	1.121
406	17.5	18.8	1.046
407	17.6	18.8	0.629
408	17.3	18.8	0.394
409	12.5	18.8	0.273
410	13.1	18.8	0.147
411	13.6	18.8	0.058
412	13.7	18.8	0.042
413	13.7	18.8	0.125
414	13.8	18.8	0.315
415	14.4	18.8	0.851
416	18.3	18.8	0.910
417	18.0	18.7	0.914
418	17.4	18.7	0.958
419	17.5	18.7	0.914
420	16.9	18.7	0.886
421	16.4	18.7	0.821
422	16.5	18.7	0.721
423	16.5	18.7	0.657
424	17.2	18.7	0.614
425	17.5	18.7	0.637
426	17.5	18.7	0.791
427	18.4	18.7	0.882
428	18.5	18.7	1.092
429	19.5	18.7	1.121
430	19.8	18.7	1.046
431	19.7	18.6	0.629
432	19.4	18.6	0.394
433	16.1	18.6	0.273
434	16.6	18.6	0.147
435	17.3	18.6	0.058
436	17.8	18.6	0.042
437	17.3	18.6	0.125
438	17.1	18.6	0.315
439	16.8	18.6	0.851
440	20.6	18.6	0.910
441	20.2	18.6	0.914
442	20.2	18.6	0.958
443	20.4	18.5	0.914
444	19.5	18.5	0.886
445	19.2	18.5	0.821
446	18.6	18.5	0.721
447	17.7	18.5	0.657
448	18.0	18.5	0.614
449	18.0	18.5	0.637
450	17.7	18.5	0.791
451	18.3	18.5	0.882
452	18.8	18.5	1.092
453	19.5	18.5	1.121
454	20.0	18.5	1.046
455	19.6	18.5	0.629
456	19.2	18.4	0.394
457	15.8	18.4	0.273
458	16.6	18.4	0.147
459	16.6	18.4	0.058
460	17.3	18.4	0.042
461	17.2	18.4	0.125
462	17.4	18.4	0.315
463	17.4	18.4	0.851
464	21.1	18.4	0.910
465	21.2	18.4	0.914
466	20.2	18.4	0.958
467	19.6	18.4	0.914
468	18.8	18.4	0.886
469	18.1	18.4	0.821
470	17.7	18.4	0.721
471	17.2	18.4	0.657
472	16.7	18.3	0.614
473	16.9	18.3	0.637
474	16.7	18.3	0.791
475	17.0	18.3	0.882
476	17.6	18.3	1.092
477	17.4	18.3	1.121
478	17.8	18.3	1.046
479	18.0	18.3	0.629
480	18.0	18.3	0.394
481	14.3	18.3	0.273
482	15.3	18.3	0.147
483	15.3	18.3	0.058
484	15.9	18.3	0.042
485	15.9	18.3	0.125
486	15.7	18.3	0.315
487	16.0	18.3	0.851
488	19.4	18.3	0.910
489	19.0	18.2	0.914
490	18.3	18.2	0.958
491	17.7	18.2	0.914
492	16.6	18.2	0.886
493	16.9	18.2	0.821
494	16.1	18.2	0.721
495	16.1	18.2	0.657
496	16.2	18.2	0.614
497	16.2	18.2	0.637
498	17.0	18.2	0.791
499	17.3	18.2	0.882
500	18.2	18.2	1.092
501	18.0	18.2	1.121
502	18.9	18.2	1.046
503	19.2	18.2	0.629
504	19.8	18.2	0.394
505	16.3	18.2	0.273
506	16.0	18.2	0.147
507	15.9	18.2	0.058
508	16.1	18.2	0.042
509	16.5	18.2	0.125
510	17.2	18.1	0.315
511	17.7	18.1	0.851
512	21.5	18.1	0.910
513	21.1	18.1	0.914
514	20.5	18.1	0.958
515	19.7	18.1	0.914
516	19.1	18.1	0.886
517	18.9	18.1	0.821
518	18.3	18.1	0.721
519	18.3	18.1	0.657
520	18.9	18.1	0.614
521	19.2	18.1	0.637
522	19.2	18.1	0.791
523	19.6	18.1	0.882
524	19.4	18.1	1.092
525	19.5	18.0	1.121
526	20.0	18.0	1.046
527	20.6	18.0	0.629
528	21.3	18.0	0.394
529	17.9	18.0	0.273
530	17.9	18.0	0.147
531	18.6	18.0	0.058
532	18.2	18.0	0.042
533	18.4	18.0	0.125
534	18.0	18.0	0.315
535	18.5	18.0	0.851
536	22.2	18.0	0.910
537	21.6	18.0	0.914
538	20.8	18.0	0.958
539	19.8	18.0	0.914
540	18.5	18.0	0.886
541	17.8	18.0	0.821
542	16.6	18.0	0.721
543	16.5	18.0	0.657
544	16.9	18.0	0.614
545	17.1	18.0	0.637
546	17.6	18.0	0.791
547	17.8	18.0	0.882
548	18.1	17.9	1.092
549	18.4	17.9	1.121
550	19.2	17.9	1.046
551	19.6	17.9	0.629
552	20.3	17.9	0.394
553	16.6	17.9	0.273
554	16.5	17.9	0.147
555	16.6	17.9	0.058
556	16.5	17.9	0.042
557	17.3	17.9	0.125
558	17.6	17.9	0.315
559	17.2	17.9	0.851
560	20.5	17.9	0.910
561	19.9	17.9	0.914
562	19.2	17.9	0.958
563	18.8	17.9	0.914
564	18.4	17.9	0.886
565	17.8	17.9	0.821
566	17.3	17.9	0.721
567	16.9	17.8	0.657
568	17.1	17.8	0.614
569	17.4	17.8	0.637
570	17.6	17.8	0.791
571	17.8	17.8	0.882
572	18.3	17.8	1.092
573	18.0	17.8	1.121
574	18.2	17.8	1.046
575	18.1	17.8	0.629
576	17.7	17.8	0.394
577	14.0	17.8	0.273
578	14.5	17.8	0.147
579	14.7	17.8	0.058
580	13.8	17.8	0.042
581	13.5	17.8	0.125
582	13.6	17.8	0.315
583	13.5	17.8	0.851
584	16.6	17.8	0.910
585	16.2	17.8	0.914
586	15.8	17.8	0.958
587	15.0	17.7	0.914
588	14.0	17.7	0.886
589	13.4	17.7	0.821
590	13.1	17.7	0.721
591	12.5	17.7	0.657
592	12.2	17.7	0.614
593	12.3	17.7	0.637
594	12.3	17.7	0.791
595	12.3	17.7	0.882
596	12.1	17.7	1.092
597	12.5	17.7	1.121
598	13.0	17.7	1.046
599	13.4	17.7	0.629
600	13.5	17.6	0.394
601	9.7	17.6	0.273
602	10.4	17.6	0.147
603	11.1	17.6	0.058
604	11.6	17.6	0.042
605	12.1	17.6	0.125
606	12.0	17.6	0.315
607	12.0	17.6	0.851
608	15.7	17.6	0.910
609	16.0	17.6	0.914
610	15.9	17.6	0.958
611	15.6	17.6	0.914
612	15.8	17.6	0.886
613	15.8	17.6	0.821
614	15.3	17.6	0.721
615	15.2	17.6	0.657
616	14.6	17.6	0.614
617	15.5	17.5	0.637
618	15.9	17.5	0.791
619	16.9	17.5	0.882
620	17.2	17.5	1.092
621	18.4	17.5	1.121
622	18.9	17.5	1.046
623	19.1	17.5	0.629
624	19.4	17.5	0.394
625	16.5	17.5	0.273
626	16.7	17.5	0.147
627	16.5	17.4	0.058
628	16.1	17.4	0.042
629	16.1	17.4	0.125
630	16.2	17.4	0.315
631	15.6	17.4	0.851
632	19.1	17.4	0.910
633	18.6	17.4	0.914
634	18.3	17.4	0.958
635	17.0	17.4	0.914
636	15.9	17.4	0.886
637	15.7	17.4	0.821
638	15.4	17.4	0.721
639	15.4	17.4	0.657
640	15.8	17.4	0.614
641	15.6	17.4	0.637
642	16.3	17.4	0.791
643	17.0	17.4	0.882
644	17.1	17.4	1.092
645	17.2	17.4	1.121
646	16.6	17.4	1.046
647	16.3	17.4	0.629
648	16.0	17.3	0.394
649	12.6	17.3	0.273
650	13.2	17.3	0.147
651	13.2	17.3	0.058
652	13.3	17.3	0.042
653	13.8	17.3	0.125
654	14.4	17.3	0.315
655	14.2	17.3	0.851
656	17.8	17.3	0.910
657	17.8	17.3	0.914
658	17.4	17.3	0.958
659	17.0	17.3	0.914
660	16.6	17.3	0.886
661	16.5	17.3	0.821
662	16.5	17.3	0.721
663	16.6	17.3	0.657
664	16.5	17.3	0.614
665	17.3	17.3	0.637
666	18.0	17.3	0.791
667	18.8	17.3	0.882
668	19.7	17.3	1.092
669	20.4	17.3	1.121
670	21.2	17.3	1.046
671	22.2	17.3	0.629
672	22.6	17.3	0.394
673	19.1	17.3	0.273
674	18.4	17.3	0.147
675	18.0	17.3	0.058
676	17.4	17.2	0.042
677	15.9	17.2	0.125
678	14.9	17.2	0.315
679	14.5	17.2	0.851
680	18.1	17.2	0.910
681	18.2	17.2	0.914
682	17.6	17.2	0.958
683	16.8	17.2	0.914
684	15.9	17.2	0.886
685	15.8	17.2	0.821
686	15.5	17.2	0.721
687	15.3	17.2	0.657
688	13.8	17.2	0.614
689	13.1	17.2	0.637
690	12.9	17.2	0.791
691	12.5	17.2	0.882
692	12.0	17.2	1.092
693	11.0	17.2	1.121
694	10.4	17.2	1.046
695	9.5	17.1	0.629
696	9.1	17.1	0.394
697	5.3	17.1	0.273
698	5.1	17.1	0.147
699	5.6	17.1	0.058
700	5.9	17.1	0.042
701	6.1	17.1	0.125
702	6.0	17.1	0.315
703	6.3	17.1	0.851
704	10.4	17.1	0.910
705	10.1	17.1	0.914
706	10.0	17.1	0.958
707	10.0	17.1	0.914
708	9.3	17.1	0.886
709	8.9	17.1	0.821
710	9.0	17.1	0.721
711	9.4	17.0	0.657
712	9.0	17.0	0.614
713	8.9	17.0	0.637
714	8.8	17.0	0.791
715	8.7	17.0	0.882
716	8.3	17.0	1.092
717	8.6	17.0	1.121
718	8.0	17.0	1.046
719	8.2	17.0	0.629
720	8.8	17.0	0.394
721	5.3	17.0	0.273
722	4.9	17.0	0.147
723	4.6	17.0	0.058
724	4.3	17.0	0.042
725	4.1	17.0	0.125
726	4.4	17.0	0.315
727	4.5	17.0	0.851
728	8.3	17.0	0.910
729	8.7	17.0	0.914
730	8.1	16.9	0.958
731	7.1	16.9	0.914
732	6.8	16.9	0.886
733	6.2	16.9	0.821
734	5.6	16.9	0.721
735	6.0	16.9	0.657
736	6.4	16.9	0.614
737	6.8	16.9	0.637
738	8.1	16.9	0.791
739	9.3	16.9	0.882
740	9.8	16.9	1.092
741	9.8	16.9	1.121
742	10.0	16.9	1.046
743	10.7	16.9	0.629
744	11.4	16.9	0.394
745	8.3	16.9	0.273
746	8.8	16.9	0.147
747	8.9	16.9	0.058
748	8.7	16.9	0.042
749	8.7	16.9	0.125
750	8.8	16.9	0.315
751	8.5	16.9	0.851
752	12.5	16.9	0.910
753	12.1	16.9	0.914
754	11.4	16.8	0.958
755	10.4	16.8	0.914
756	10.1	16.8	0.886
757	9.8	16.8	0.821
758	9.4	16.8	0.721
759	9.6	16.8	0.657
760	9.4	16.8	0.614
761	9.8	16.8	0.637
762	10.4	16.8	0.791
763	11.2	16.8	0.882
764	12.0	16.8	1.092
765	13.1	16.8	1.121
766	14.0	16.8	1.046
767	15.0	16.8	0.629
768	15.3	16.8	0.394
769	12.4	16.8	0.273
770	12.1	16.8	0.147
771	12.1	16.8	0.058
772	12.9	16.8	0.042
773	13.5	16.8	0.125
774	13.9	16.8	0.315
775	14.2	16.8	0.851
776	17.7	16.8	0.910
777	17.6	16.8	0.914
778	17.6	16.8	0.958
779	17.3	16.7	0.914
780	17.2	16.7	0.886
781	16.8	16.7	0.821
782	16.4	16.7	0.721
783	16.6	16.7	0.657
784	16.9	16.7	0.614
785	17.4	16.7	0.637
786	17.7	16.7	0.791
787	18.8	16.7	0.882
788	19.9	16.7	1.092
789	20.7	16.7	1.121
790	21.2	16.7	1.046
791	21.7	16.7	0.629
792	21.8	16.7	0.394
793	18.8	16.7	0.273
794	19.2	16.7	0.147
795	19.1	16.7	0.058
796	19.6	16.7	0.042
797	20.0	16.7	0.125
