# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.9	12.2	0.192
2	8.0	12.2	0.104
3	8.4	12.0	0.041
4	8.3	11.9	0.029
5	8.4	11.9	0.088
6	8.4	11.9	0.222
7	8.2	11.4	0.600
8	8.2	11.4	0.642
9	8.2	11.1	0.644
10	7.8	11.0	0.675
11	7.8	11.0	0.644
12	7.4	11.0	0.625
13	7.1	10.9	0.578
14	7.2	10.9	0.508
15	7.2	10.9	0.463
16	7.4	10.9	0.432
17	7.8	10.9	0.449
18	8.5	10.9	0.557
19	9.0	10.9	0.622
20	9.2	10.9	0.769
21	9.3	10.9	0.790
22	9.5	10.8	0.737
23	9.8	10.8	0.444
24	10.1	10.8	0.278
25	10.4	10.8	0.192
26	10.2	10.8	0.104
27	10.2	10.8	0.041
28	10.2	10.7	0.029
29	10.1	10.7	0.088
30	10.0	10.7	0.222
31	10.1	10.7	0.600
32	10.3	10.6	0.642
33	10.0	10.6	0.644
34	9.8	10.6	0.675
35	9.5	10.6	0.644
36	9.1	10.5	0.625
37	8.9	10.5	0.578
38	8.8	10.5	0.508
39	8.5	10.4	0.463
40	8.7	10.4	0.432
41	9.1	10.4	0.449
42	9.5	10.4	0.557
43	9.6	10.4	0.622
44	9.6	10.4	0.769
45	9.7	10.4	0.790
46	9.7	10.4	0.737
47	9.8	10.4	0.444
48	9.8	10.3	0.278
49	9.8	10.3	0.192
50	9.8	10.3	0.104
51	9.8	10.3	0.041
52	10.0	10.3	0.029
53	10.1	10.3	0.088
54	10.0	10.3	0.222
55	10.3	10.3	0.600
56	10.1	10.2	0.642
57	10.0	10.2	0.644
58	10.1	10.2	0.675
59	9.8	10.2	0.644
60	9.7	10.2	0.625
61	9.3	10.2	0.578
62	9.1	10.2	0.508
63	8.9	10.2	0.463
64	8.9	10.2	0.432
65	9.0	10.2	0.449
66	9.4	10.1	0.557
67	9.7	10.1	0.622
68	9.9	10.1	0.769
69	10.2	10.1	0.790
70	10.4	10.1	0.737
71	10.6	10.1	0.444
72	10.8	10.1	0.278
73	10.9	10.1	0.192
74	10.9	10.1	0.104
75	10.8	10.1	0.041
76	10.9	10.1	0.029
77	10.9	10.1	0.088
78	10.8	10.0	0.222
79	10.6	10.0	0.600
80	10.2	10.0	0.642
81	9.9	10.0	0.644
82	9.4	10.0	0.675
83	8.6	10.0	0.644
84	7.9	10.0	0.625
85	7.3	10.0	0.578
86	7.1	10.0	0.508
87	7.2	10.0	0.463
88	7.1	9.9	0.432
89	7.2	9.9	0.449
90	7.3	9.9	0.557
91	7.3	9.9	0.622
92	7.1	9.9	0.769
93	7.3	9.9	0.790
94	7.5	9.9	0.737
95	7.5	9.9	0.444
96	7.5	9.9	0.278
97	7.5	9.9	0.192
98	7.6	9.9	0.104
99	7.9	9.8	0.041
100	8.1	9.8	0.029
101	8.3	9.8	0.088
102	8.5	9.8	0.222
103	8.8	9.8	0.600
104	8.9	9.8	0.642
105	9.0	9.8	0.644
106	9.0	9.8	0.675
107	9.2	9.8	0.644
108	9.2	9.8	0.625
109	9.3	9.8	0.578
110	9.5	9.8	0.508
111	10.0	9.8	0.463
112	9.9	9.8	0.432
113	10.4	9.8	0.449
114	10.8	9.8	0.557
115	10.9	9.7	0.622
116	10.7	9.7	0.769
117	11.0	9.7	0.790
118	11.4	9.7	0.737
119	11.9	9.7	0.444
120	11.9	9.7	0.278
121	12.2	9.7	0.192
122	12.2	9.7	0.104
123	12.0	9.7	0.041
124	11.9	9.7	0.029
125	11.4	9.7	0.088
126	11.1	9.7	0.222
127	10.9	9.7	0.600
128	10.8	9.7	0.642
