# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.0	9.5	0.124
2	5.1	9.4	0.067
3	5.4	9.1	0.026
4	5.3	9.1	0.019
5	5.4	9.1	0.057
6	5.4	9.0	0.143
7	5.3	9.0	0.386
8	6.5	9.0	0.413
9	6.5	8.9	0.415
10	6.2	8.9	0.434
11	6.2	8.9	0.415
12	5.8	8.9	0.402
13	5.6	8.8	0.372
14	5.7	8.8	0.327
15	5.7	8.8	0.298
16	5.8	8.8	0.278
17	6.2	8.7	0.289
18	6.7	8.7	0.359
19	7.1	8.7	0.400
20	7.3	8.7	0.495
21	7.3	8.7	0.509
22	7.6	8.7	0.474
23	7.7	8.7	0.285
24	8.0	8.7	0.179
25	7.0	8.6	0.124
26	6.8	8.6	0.067
27	6.8	8.6	0.026
28	6.9	8.6	0.019
29	6.8	8.6	0.057
30	6.6	8.6	0.143
31	6.8	8.6	0.386
32	8.2	8.5	0.413
33	7.9	8.5	0.415
34	7.8	8.5	0.434
35	7.5	8.5	0.415
36	7.2	8.5	0.402
37	7.1	8.5	0.372
38	7.0	8.5	0.327
39	6.7	8.5	0.298
40	6.9	8.4	0.278
41	7.2	8.4	0.289
42	7.5	8.4	0.359
43	7.6	8.4	0.400
44	7.6	8.4	0.495
45	7.7	8.4	0.509
46	7.7	8.3	0.474
47	7.7	8.3	0.285
48	7.8	8.3	0.179
49	6.5	8.3	0.124
50	6.5	8.3	0.067
51	6.5	8.3	0.026
52	6.7	8.2	0.019
53	6.8	8.2	0.057
54	6.6	8.2	0.143
55	6.9	8.2	0.386
56	8.0	8.2	0.413
57	8.0	8.2	0.415
58	8.0	8.2	0.434
59	7.8	8.2	0.415
60	7.7	8.2	0.402
61	7.4	8.2	0.372
62	7.2	8.1	0.327
63	7.1	8.1	0.298
64	7.1	8.1	0.278
65	7.1	8.1	0.289
66	7.4	8.1	0.359
67	7.7	8.1	0.400
68	7.9	8.0	0.495
69	8.1	8.0	0.509
70	8.3	8.0	0.474
71	8.4	8.0	0.285
72	8.6	8.0	0.179
73	7.4	8.0	0.124
74	7.4	8.0	0.067
75	7.3	8.0	0.026
76	7.4	8.0	0.019
77	7.4	8.0	0.057
78	7.3	7.9	0.143
79	7.1	7.9	0.386
80	8.1	7.9	0.413
81	7.9	7.9	0.415
82	7.5	7.9	0.434
83	6.8	7.9	0.415
84	6.3	7.9	0.402
85	5.8	7.9	0.372
86	5.6	7.9	0.327
87	5.7	7.9	0.298
88	5.6	7.9	0.278
89	5.7	7.9	0.289
90	5.8	7.9	0.359
91	5.8	7.9	0.400
92	5.6	7.9	0.495
93	5.8	7.9	0.509
94	5.9	7.8	0.474
95	6.0	7.8	0.285
96	6.0	7.8	0.179
97	4.7	7.8	0.124
98	4.8	7.8	0.067
99	5.0	7.8	0.026
