# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.3	8.1	0.315
2	4.4	8.1	0.170
3	4.6	7.8	0.067
4	4.5	7.8	0.048
5	4.6	7.7	0.145
6	4.6	7.7	0.363
7	4.5	7.7	0.982
8	5.6	7.6	1.051
9	5.6	7.6	1.056
10	5.3	7.6	1.106
11	5.3	7.6	1.056
12	5.0	7.6	1.024
13	4.9	7.5	0.948
14	4.9	7.5	0.833
15	4.9	7.5	0.759
16	5.0	7.5	0.709
17	5.3	7.5	0.736
18	5.8	7.4	0.913
19	6.1	7.4	1.019
20	6.2	7.4	1.261
21	6.3	7.4	1.295
22	6.5	7.4	1.208
23	6.7	7.4	0.727
24	6.9	7.4	0.455
25	6.0	7.4	0.315
26	5.9	7.4	0.170
27	5.9	7.4	0.067
28	5.9	7.4	0.048
29	5.8	7.4	0.145
30	5.7	7.3	0.363
31	5.8	7.3	0.982
32	7.0	7.3	1.051
33	6.8	7.3	1.056
34	6.7	7.3	1.106
35	6.5	7.3	1.056
36	6.2	7.3	1.024
37	6.1	7.3	0.948
38	6.0	7.3	0.833
39	5.8	7.3	0.759
40	5.9	7.2	0.709
41	6.2	7.2	0.736
42	6.5	7.2	0.913
43	6.5	7.2	1.019
44	6.6	7.2	1.261
45	6.6	7.1	1.295
46	6.7	7.1	1.208
47	6.7	7.1	0.727
48	6.7	7.1	0.455
49	5.6	7.1	0.315
50	5.6	7.1	0.170
51	5.6	7.1	0.067
52	5.8	7.1	0.048
53	5.8	7.1	0.145
54	5.7	7.0	0.363
55	5.9	7.0	0.982
56	6.9	7.0	1.051
57	6.8	7.0	1.056
58	6.9	7.0	1.106
59	6.7	7.0	1.056
60	6.6	7.0	1.024
61	6.4	7.0	0.948
62	6.2	6.9	0.833
63	6.1	6.9	0.759
64	6.1	6.9	0.709
65	6.1	6.9	0.736
66	6.4	6.9	0.913
67	6.6	6.9	1.019
68	6.8	6.9	1.261
69	7.0	6.9	1.295
70	7.1	6.8	1.208
71	7.3	6.8	0.727
72	7.4	6.8	0.455
73	6.4	6.8	0.315
74	6.4	6.8	0.170
75	6.3	6.8	0.067
76	6.3	6.8	0.048
77	6.3	6.8	0.145
78	6.3	6.8	0.363
79	6.1	6.8	0.982
80	7.0	6.8	1.051
81	6.8	6.8	1.056
82	6.4	6.8	1.106
83	5.9	6.8	1.056
84	5.4	6.7	1.024
85	5.0	6.7	0.948
86	4.8	6.7	0.833
87	4.9	6.7	0.759
88	4.8	6.7	0.709
89	4.9	6.7	0.736
90	5.0	6.7	0.913
91	5.0	6.7	1.019
92	4.8	6.7	1.261
93	5.0	6.7	1.295
94	5.1	6.7	1.208
95	5.1	6.7	0.727
96	5.1	6.7	0.455
97	4.0	6.7	0.315
98	4.1	6.7	0.170
99	4.3	6.7	0.067
100	4.4	6.7	0.048
101	4.6	6.7	0.145
102	4.7	6.7	0.363
103	4.9	6.7	0.982
104	6.0	6.7	1.051
105	6.2	6.6	1.056
106	6.1	6.6	1.106
107	6.3	6.6	1.056
108	6.3	6.6	1.024
109	6.3	6.6	0.948
110	6.5	6.6	0.833
111	6.8	6.6	0.759
112	6.8	6.6	0.709
113	7.1	6.6	0.736
114	7.4	6.6	0.913
115	7.4	6.6	1.019
116	7.3	6.6	1.261
117	7.5	6.6	1.295
118	7.8	6.6	1.208
119	8.1	6.6	0.727
120	8.1	6.6	0.455
121	7.2	6.6	0.315
122	7.3	6.6	0.170
123	7.1	6.6	0.067
124	7.1	6.6	0.048
125	6.7	6.6	0.145
126	6.5	6.6	0.363
127	6.4	6.6	0.982
128	7.4	6.6	1.051
129	7.3	6.5	1.056
130	7.0	6.5	1.106
131	6.6	6.5	1.056
132	6.3	6.5	1.024
133	5.8	6.5	0.948
134	5.4	6.5	0.833
135	5.2	6.5	0.759
136	5.0	6.5	0.709
137	5.0	6.5	0.736
138	5.1	6.5	0.913
139	4.9	6.5	1.019
140	4.9	6.5	1.261
141	5.0	6.5	1.295
142	4.9	6.5	1.208
143	5.0	6.4	0.727
144	4.9	6.4	0.455
145	3.8	6.4	0.315
146	3.9	6.4	0.170
147	3.9	6.4	0.067
148	4.0	6.4	0.048
149	4.2	6.4	0.145
150	4.1	6.4	0.363
151	4.1	6.4	0.982
152	5.3	6.4	1.051
153	5.2	6.4	1.056
154	4.9	6.4	1.106
155	4.7	6.4	1.056
156	4.5	6.4	1.024
157	4.3	6.4	0.948
158	3.9	6.4	0.833
159	3.8	6.4	0.759
160	3.8	6.4	0.709
161	4.1	6.4	0.736
162	4.4	6.4	0.913
163	4.7	6.4	1.019
164	4.8	6.3	1.261
165	5.0	6.3	1.295
166	5.1	6.3	1.208
167	5.4	6.3	0.727
168	5.5	6.3	0.455
169	4.5	6.3	0.315
170	4.5	6.3	0.170
171	4.5	6.3	0.067
172	4.3	6.3	0.048
173	4.2	6.3	0.145
174	4.0	6.3	0.363
175	4.0	6.3	0.982
176	5.0	6.3	1.051
177	5.0	6.3	1.056
178	4.9	6.3	1.106
179	4.6	6.3	1.056
180	4.4	6.3	1.024
181	4.5	6.3	0.948
182	4.4	6.3	0.833
183	4.5	6.3	0.759
184	4.4	6.3	0.709
185	4.4	6.3	0.736
186	4.4	6.3	0.913
187	4.6	6.3	1.019
188	4.3	6.3	1.261
189	4.1	6.3	1.295
190	4.1	6.3	1.208
191	3.9	6.2	0.727
192	3.8	6.2	0.455
193	2.5	6.2	0.315
194	2.5	6.2	0.170
195	2.6	6.2	0.067
196	2.7	6.2	0.048
197	2.5	6.2	0.145
198	2.3	6.2	0.363
199	2.5	6.2	0.982
200	3.5	6.2	1.051
201	3.6	6.2	1.056
202	3.3	6.2	1.106
203	3.3	6.2	1.056
204	3.4	6.2	1.024
205	3.3	6.2	0.948
206	3.0	6.2	0.833
207	2.7	6.2	0.759
208	2.7	6.2	0.709
209	2.7	6.2	0.736
210	2.6	6.2	0.913
211	2.7	6.2	1.019
212	2.7	6.1	1.261
213	2.6	6.1	1.295
214	2.6	6.1	1.208
215	2.6	6.1	0.727
216	2.4	6.1	0.455
217	1.4	6.1	0.315
218	1.5	6.1	0.170
219	1.6	6.1	0.067
220	1.7	6.1	0.048
221	1.9	6.1	0.145
222	2.0	6.1	0.363
223	2.2	6.1	0.982
224	3.4	6.1	1.051
225	3.4	6.1	1.056
226	3.5	6.1	1.106
227	3.5	6.1	1.056
228	3.4	6.1	1.024
229	3.3	6.1	0.948
230	3.4	6.1	0.833
231	3.3	6.1	0.759
232	3.6	6.1	0.709
233	3.8	6.1	0.736
234	4.2	6.1	0.913
235	4.2	6.1	1.019
236	4.4	6.1	1.261
237	4.7	6.1	1.295
238	5.1	6.1	1.208
239	5.4	6.1	0.727
240	5.6	6.0	0.455
241	4.7	6.0	0.315
242	4.7	6.0	0.170
243	4.7	6.0	0.067
244	4.7	6.0	0.048
245	4.7	6.0	0.145
246	4.6	6.0	0.363
247	4.6	6.0	0.982
248	5.6	6.0	1.051
249	5.7	6.0	1.056
250	5.4	6.0	1.106
251	5.4	6.0	1.056
252	5.0	6.0	1.024
253	4.9	6.0	0.948
254	4.5	6.0	0.833
255	4.6	6.0	0.759
256	4.8	6.0	0.709
257	5.2	6.0	0.736
258	5.2	6.0	0.913
259	5.2	6.0	1.019
260	5.5	6.0	1.261
261	5.6	6.0	1.295
262	5.8	5.9	1.208
263	5.8	5.9	0.727
264	5.8	5.9	0.455
265	4.7	5.9	0.315
266	4.8	5.9	0.170
267	4.8	5.9	0.067
