# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.2	0.4	0.009
2	0.2	0.4	0.005
3	0.2	0.4	0.002
4	0.2	0.4	0.001
5	0.2	0.4	0.004
6	0.2	0.4	0.011
7	0.2	0.4	0.028
8	0.3	0.4	0.030
9	0.3	0.4	0.031
10	0.3	0.4	0.032
11	0.3	0.4	0.031
12	0.2	0.4	0.030
13	0.2	0.4	0.027
14	0.2	0.4	0.024
15	0.2	0.4	0.022
16	0.2	0.4	0.021
17	0.3	0.4	0.021
18	0.3	0.4	0.026
19	0.3	0.4	0.030
20	0.3	0.4	0.037
21	0.3	0.4	0.038
22	0.3	0.4	0.035
23	0.3	0.4	0.021
24	0.3	0.4	0.013
25	0.3	0.4	0.009
26	0.3	0.4	0.005
27	0.3	0.4	0.002
28	0.3	0.4	0.001
29	0.3	0.4	0.004
30	0.3	0.4	0.011
31	0.3	0.3	0.028
32	0.3	0.3	0.030
33	0.3	0.3	0.031
34	0.3	0.3	0.032
35	0.3	0.3	0.031
36	0.3	0.3	0.030
37	0.3	0.3	0.027
38	0.3	0.3	0.024
39	0.3	0.3	0.022
40	0.3	0.3	0.021
41	0.3	0.3	0.021
42	0.3	0.3	0.026
43	0.3	0.3	0.030
44	0.3	0.3	0.037
45	0.3	0.3	0.038
46	0.3	0.3	0.035
47	0.3	0.3	0.021
48	0.3	0.3	0.013
49	0.3	0.3	0.009
50	0.3	0.3	0.005
51	0.3	0.3	0.002
52	0.3	0.3	0.001
53	0.3	0.3	0.004
54	0.3	0.3	0.011
55	0.3	0.3	0.028
56	0.3	0.3	0.030
57	0.3	0.3	0.031
58	0.3	0.3	0.032
59	0.3	0.3	0.031
60	0.3	0.3	0.030
61	0.3	0.3	0.027
62	0.3	0.3	0.024
63	0.3	0.3	0.022
64	0.3	0.3	0.021
65	0.3	0.3	0.021
66	0.3	0.3	0.026
67	0.3	0.3	0.030
68	0.3	0.3	0.037
69	0.3	0.3	0.038
70	0.3	0.3	0.035
71	0.3	0.3	0.021
72	0.4	0.3	0.013
73	0.3	0.3	0.009
74	0.3	0.3	0.005
75	0.3	0.3	0.002
76	0.3	0.3	0.001
77	0.3	0.3	0.004
78	0.3	0.3	0.011
79	0.3	0.3	0.028
80	0.3	0.3	0.030
81	0.3	0.3	0.031
82	0.3	0.3	0.032
83	0.3	0.3	0.031
84	0.3	0.3	0.030
85	0.2	0.3	0.027
86	0.2	0.3	0.024
87	0.2	0.3	0.022
88	0.2	0.3	0.021
89	0.2	0.3	0.021
90	0.2	0.3	0.026
91	0.2	0.3	0.030
92	0.2	0.3	0.037
93	0.2	0.3	0.038
94	0.2	0.3	0.035
95	0.2	0.3	0.021
96	0.2	0.3	0.013
97	0.2	0.3	0.009
98	0.2	0.3	0.005
99	0.2	0.3	0.002
100	0.2	0.3	0.001
101	0.2	0.3	0.004
102	0.2	0.3	0.011
103	0.2	0.3	0.028
104	0.3	0.3	0.030
105	0.3	0.3	0.031
106	0.3	0.3	0.032
107	0.3	0.3	0.031
108	0.3	0.3	0.030
109	0.3	0.3	0.027
110	0.3	0.3	0.024
111	0.3	0.3	0.022
112	0.3	0.3	0.021
113	0.3	0.3	0.021
114	0.4	0.3	0.026
115	0.4	0.3	0.030
116	0.4	0.3	0.037
117	0.4	0.3	0.038
118	0.4	0.3	0.035
119	0.4	0.3	0.021
120	0.4	0.3	0.013
121	0.3	0.3	0.009
122	0.3	0.3	0.005
123	0.3	0.3	0.002
124	0.3	0.3	0.001
125	0.3	0.3	0.004
126	0.3	0.3	0.011
127	0.3	0.3	0.028
128	0.4	0.3	0.030
129	0.4	0.3	0.031
130	0.3	0.3	0.032
131	0.3	0.3	0.031
132	0.3	0.3	0.030
133	0.3	0.3	0.027
134	0.3	0.3	0.024
135	0.3	0.3	0.022
136	0.2	0.3	0.021
137	0.2	0.3	0.021
138	0.2	0.3	0.026
139	0.2	0.3	0.030
140	0.2	0.3	0.037
141	0.2	0.3	0.038
142	0.2	0.3	0.035
143	0.2	0.3	0.021
144	0.2	0.3	0.013
145	0.2	0.3	0.009
146	0.2	0.3	0.005
147	0.2	0.3	0.002
148	0.2	0.3	0.001
149	0.2	0.3	0.004
150	0.2	0.3	0.011
151	0.2	0.3	0.028
152	0.3	0.3	0.030
153	0.3	0.3	0.031
154	0.2	0.3	0.032
155	0.2	0.3	0.031
156	0.2	0.3	0.030
157	0.2	0.3	0.027
158	0.2	0.3	0.024
159	0.2	0.3	0.022
160	0.2	0.3	0.021
161	0.2	0.3	0.021
162	0.2	0.3	0.026
163	0.2	0.3	0.030
164	0.2	0.3	0.037
165	0.2	0.3	0.038
166	0.2	0.3	0.035
167	0.3	0.3	0.021
168	0.3	0.3	0.013
169	0.2	0.3	0.009
170	0.2	0.3	0.005
171	0.2	0.3	0.002
172	0.2	0.3	0.001
173	0.2	0.3	0.004
174	0.2	0.3	0.011
175	0.2	0.3	0.028
176	0.2	0.3	0.030
177	0.2	0.3	0.031
178	0.2	0.3	0.032
179	0.2	0.3	0.031
180	0.2	0.3	0.030
181	0.2	0.3	0.027
182	0.2	0.3	0.024
183	0.2	0.3	0.022
184	0.2	0.3	0.021
185	0.2	0.3	0.021
186	0.2	0.3	0.026
187	0.2	0.3	0.030
188	0.2	0.3	0.037
189	0.2	0.3	0.038
190	0.2	0.3	0.035
191	0.2	0.3	0.021
192	0.2	0.3	0.013
193	0.1	0.3	0.009
194	0.1	0.3	0.005
195	0.1	0.3	0.002
196	0.1	0.3	0.001
197	0.1	0.3	0.004
198	0.1	0.3	0.011
199	0.1	0.3	0.028
200	0.2	0.3	0.030
201	0.2	0.3	0.031
202	0.2	0.3	0.032
203	0.2	0.3	0.031
204	0.2	0.3	0.030
205	0.2	0.3	0.027
206	0.1	0.3	0.024
207	0.1	0.3	0.022
208	0.1	0.3	0.021
209	0.1	0.3	0.021
210	0.1	0.3	0.026
211	0.1	0.3	0.030
212	0.1	0.3	0.037
213	0.1	0.3	0.038
214	0.1	0.3	0.035
215	0.1	0.3	0.021
216	0.1	0.3	0.013
217	0.1	0.3	0.009
218	0.1	0.3	0.005
219	0.1	0.3	0.002
220	0.1	0.3	0.001
221	0.1	0.3	0.004
222	0.1	0.3	0.011
223	0.1	0.3	0.028
224	0.2	0.3	0.030
225	0.2	0.3	0.031
226	0.2	0.3	0.032
227	0.2	0.3	0.031
228	0.2	0.3	0.030
229	0.2	0.3	0.027
230	0.2	0.3	0.024
231	0.2	0.3	0.022
232	0.2	0.3	0.021
233	0.2	0.3	0.021
234	0.2	0.3	0.026
235	0.2	0.3	0.030
236	0.2	0.3	0.037
237	0.2	0.3	0.038
238	0.2	0.3	0.035
239	0.3	0.3	0.021
240	0.3	0.3	0.013
241	0.2	0.3	0.009
242	0.2	0.3	0.005
243	0.2	0.3	0.002
244	0.2	0.3	0.001
245	0.2	0.3	0.004
246	0.2	0.3	0.011
247	0.2	0.3	0.028
248	0.3	0.3	0.030
249	0.3	0.3	0.031
250	0.3	0.3	0.032
251	0.3	0.3	0.031
252	0.2	0.3	0.030
253	0.2	0.3	0.027
254	0.2	0.3	0.024
255	0.2	0.3	0.022
256	0.2	0.3	0.021
257	0.2	0.3	0.021
258	0.2	0.3	0.026
259	0.3	0.3	0.030
260	0.3	0.3	0.037
261	0.3	0.3	0.038
262	0.3	0.3	0.035
263	0.3	0.3	0.021
264	0.3	0.3	0.013
265	0.2	0.3	0.009
266	0.2	0.3	0.005
267	0.2	0.3	0.002
268	0.2	0.3	0.001
269	0.2	0.3	0.004
270	0.2	0.3	0.011
271	0.2	0.3	0.028
272	0.3	0.3	0.030
273	0.3	0.3	0.031
274	0.3	0.3	0.032
275	0.3	0.3	0.031
276	0.2	0.3	0.030
277	0.2	0.3	0.027
278	0.2	0.3	0.024
279	0.2	0.3	0.022
280	0.2	0.3	0.021
281	0.2	0.3	0.021
282	0.2	0.3	0.026
283	0.2	0.3	0.030
284	0.2	0.3	0.037
285	0.2	0.3	0.038
286	0.2	0.3	0.035
287	0.2	0.3	0.021
288	0.2	0.3	0.013
289	0.2	0.3	0.009
290	0.2	0.3	0.005
291	0.2	0.3	0.002
292	0.2	0.3	0.001
293	0.2	0.3	0.004
294	0.2	0.3	0.011
295	0.2	0.3	0.028
296	0.2	0.3	0.030
297	0.2	0.3	0.031
298	0.2	0.3	0.032
299	0.2	0.3	0.031
300	0.2	0.3	0.030
301	0.2	0.3	0.027
302	0.2	0.3	0.024
303	0.2	0.3	0.022
304	0.2	0.3	0.021
305	0.2	0.3	0.021
306	0.2	0.3	0.026
307	0.2	0.3	0.030
308	0.2	0.3	0.037
309	0.2	0.3	0.038
310	0.2	0.3	0.035
311	0.2	0.3	0.021
312	0.2	0.3	0.013
313	0.2	0.3	0.009
314	0.2	0.3	0.005
315	0.2	0.3	0.002
316	0.2	0.3	0.001
317	0.2	0.3	0.004
318	0.1	0.3	0.011
319	0.2	0.3	0.028
320	0.2	0.3	0.030
321	0.2	0.3	0.031
322	0.2	0.3	0.032
323	0.2	0.3	0.031
324	0.2	0.3	0.030
325	0.2	0.3	0.027
326	0.2	0.3	0.024
327	0.2	0.3	0.022
328	0.2	0.3	0.021
329	0.2	0.3	0.021
330	0.2	0.3	0.026
331	0.2	0.3	0.030
332	0.2	0.3	0.037
333	0.2	0.3	0.038
334	0.2	0.3	0.035
335	0.2	0.3	0.021
336	0.2	0.3	0.013
337	0.1	0.3	0.009
338	0.2	0.3	0.005
339	0.2	0.3	0.002
340	0.2	0.3	0.001
341	0.2	0.3	0.004
342	0.2	0.3	0.011
343	0.2	0.3	0.028
344	0.2	0.3	0.030
345	0.2	0.3	0.031
346	0.2	0.3	0.032
347	0.2	0.3	0.031
348	0.2	0.3	0.030
349	0.2	0.3	0.027
350	0.2	0.3	0.024
351	0.2	0.3	0.022
352	0.2	0.3	0.021
353	0.2	0.3	0.021
354	0.2	0.3	0.026
355	0.2	0.3	0.030
356	0.3	0.3	0.037
357	0.3	0.3	0.038
358	0.3	0.3	0.035
359	0.3	0.3	0.021
360	0.3	0.3	0.013
361	0.2	0.3	0.009
362	0.2	0.3	0.005
363	0.2	0.3	0.002
364	0.2	0.3	0.001
365	0.2	0.3	0.004
366	0.2	0.3	0.011
367	0.2	0.3	0.028
368	0.3	0.3	0.030
369	0.3	0.3	0.031
370	0.3	0.3	0.032
371	0.3	0.3	0.031
372	0.3	0.3	0.030
373	0.2	0.3	0.027
374	0.2	0.3	0.024
375	0.2	0.3	0.022
376	0.3	0.3	0.021
377	0.3	0.3	0.021
378	0.3	0.3	0.026
379	0.3	0.3	0.030
380	0.3	0.3	0.037
381	0.3	0.3	0.038
382	0.3	0.3	0.035
383	0.3	0.3	0.021
384	0.3	0.3	0.013
385	0.3	0.3	0.009
386	0.3	0.3	0.005
387	0.3	0.3	0.002
388	0.3	0.3	0.001
389	0.3	0.3	0.004
390	0.3	0.3	0.011
391	0.3	0.3	0.028
392	0.3	0.3	0.030
393	0.3	0.3	0.031
394	0.3	0.3	0.032
395	0.3	0.3	0.031
396	0.3	0.3	0.030
397	0.3	0.3	0.027
398	0.2	0.3	0.024
399	0.3	0.3	0.022
400	0.2	0.3	0.021
401	0.2	0.3	0.021
402	0.2	0.3	0.026
403	0.2	0.3	0.030
404	0.2	0.3	0.037
405	0.3	0.3	0.038
406	0.2	0.3	0.035
407	0.3	0.3	0.021
408	0.2	0.3	0.013
409	0.2	0.3	0.009
410	0.2	0.3	0.005
411	0.2	0.3	0.002
412	0.2	0.3	0.001
413	0.2	0.3	0.004
414	0.2	0.3	0.011
415	0.2	0.3	0.028
416	0.3	0.3	0.030
417	0.3	0.3	0.031
418	0.2	0.3	0.032
419	0.2	0.3	0.031
420	0.2	0.3	0.030
421	0.2	0.3	0.027
422	0.2	0.3	0.024
423	0.2	0.3	0.022
424	0.2	0.3	0.021
425	0.3	0.3	0.021
426	0.3	0.3	0.026
427	0.3	0.3	0.030
428	0.3	0.3	0.037
429	0.3	0.3	0.038
430	0.3	0.3	0.035
431	0.3	0.3	0.021
432	0.3	0.3	0.013
433	0.2	0.3	0.009
434	0.2	0.3	0.005
435	0.2	0.3	0.002
436	0.3	0.3	0.001
437	0.2	0.3	0.004
438	0.2	0.3	0.011
439	0.2	0.3	0.028
440	0.3	0.3	0.030
441	0.3	0.3	0.031
442	0.3	0.3	0.032
443	0.3	0.3	0.031
444	0.3	0.3	0.030
445	0.3	0.3	0.027
446	0.3	0.3	0.024
447	0.3	0.3	0.022
448	0.3	0.3	0.021
449	0.3	0.3	0.021
450	0.3	0.3	0.026
451	0.3	0.3	0.030
452	0.3	0.3	0.037
453	0.3	0.3	0.038
454	0.3	0.3	0.035
455	0.3	0.3	0.021
456	0.3	0.3	0.013
457	0.2	0.3	0.009
458	0.2	0.3	0.005
459	0.2	0.3	0.002
460	0.2	0.3	0.001
461	0.2	0.3	0.004
462	0.2	0.3	0.011
463	0.2	0.3	0.028
464	0.3	0.3	0.030
465	0.3	0.3	0.031
466	0.3	0.3	0.032
467	0.3	0.3	0.031
468	0.3	0.3	0.030
469	0.3	0.3	0.027
470	0.3	0.3	0.024
471	0.2	0.3	0.022
472	0.2	0.3	0.021
473	0.2	0.3	0.021
474	0.2	0.3	0.026
475	0.2	0.3	0.030
476	0.3	0.3	0.037
477	0.2	0.3	0.038
478	0.3	0.3	0.035
479	0.3	0.3	0.021
480	0.3	0.3	0.013
481	0.2	0.3	0.009
482	0.2	0.3	0.005
483	0.2	0.3	0.002
484	0.2	0.3	0.001
485	0.2	0.3	0.004
486	0.2	0.3	0.011
487	0.2	0.3	0.028
488	0.3	0.3	0.030
489	0.3	0.3	0.031
490	0.3	0.3	0.032
491	0.3	0.3	0.031
492	0.2	0.3	0.030
493	0.2	0.3	0.027
494	0.2	0.3	0.024
495	0.2	0.3	0.022
496	0.2	0.3	0.021
497	0.2	0.3	0.021
498	0.2	0.3	0.026
499	0.2	0.3	0.030
500	0.3	0.3	0.037
501	0.3	0.3	0.038
502	0.3	0.3	0.035
503	0.3	0.3	0.021
504	0.3	0.3	0.013
505	0.2	0.3	0.009
506	0.2	0.3	0.005
507	0.2	0.3	0.002
508	0.2	0.3	0.001
509	0.2	0.3	0.004
510	0.2	0.3	0.011
511	0.3	0.3	0.028
512	0.3	0.3	0.030
