# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	11.2	21.3	0.330
2	11.5	21.2	0.178
3	12.1	20.5	0.070
4	11.9	20.3	0.051
5	12.1	20.3	0.152
6	12.1	20.3	0.381
7	11.9	20.2	1.030
8	14.6	20.1	1.102
9	14.7	20.0	1.107
10	13.8	19.9	1.160
11	13.9	19.9	1.107
12	13.1	19.9	1.073
13	12.7	19.8	0.994
14	12.8	19.7	0.873
15	12.7	19.7	0.796
16	13.1	19.7	0.743
17	13.9	19.6	0.772
18	15.0	19.6	0.958
19	16.0	19.6	1.068
20	16.3	19.5	1.322
21	16.5	19.5	1.358
22	17.0	19.5	1.266
23	17.4	19.5	0.762
24	18.0	19.4	0.478
25	15.8	19.4	0.330
26	15.3	19.4	0.178
27	15.4	19.3	0.070
28	15.4	19.3	0.051
29	15.2	19.3	0.152
30	14.9	19.2	0.381
31	15.3	19.2	1.030
32	18.3	19.2	1.102
33	17.9	19.2	1.107
34	17.5	19.1	1.160
35	16.9	19.1	1.107
36	16.3	19.1	1.073
37	15.9	19.1	0.994
38	15.7	19.0	0.873
39	15.2	19.0	0.796
40	15.5	19.0	0.743
41	16.2	19.0	0.772
42	16.9	18.9	0.958
43	17.1	18.9	1.068
44	17.1	18.8	1.322
45	17.3	18.8	1.358
46	17.4	18.7	1.266
47	17.4	18.7	0.762
48	17.4	18.6	0.478
49	14.6	18.6	0.330
50	14.6	18.6	0.178
51	14.7	18.5	0.070
52	15.0	18.5	0.051
53	15.2	18.5	0.152
54	15.0	18.5	0.381
55	15.5	18.5	1.030
56	18.1	18.4	1.102
57	17.9	18.4	1.107
58	18.0	18.4	1.160
59	17.5	18.3	1.107
60	17.4	18.3	1.073
61	16.6	18.3	0.994
62	16.2	18.3	0.873
63	15.9	18.2	0.796
64	15.9	18.2	0.743
65	16.1	18.2	0.772
66	16.7	18.1	0.958
67	17.2	18.1	1.068
68	17.7	18.1	1.322
69	18.2	18.0	1.358
70	18.6	18.0	1.266
71	19.0	18.0	0.762
72	19.2	18.0	0.478
73	16.6	18.0	0.330
74	16.6	17.9	0.178
75	16.5	17.9	0.070
76	16.6	17.9	0.051
77	16.5	17.9	0.152
78	16.4	17.9	0.381
79	16.0	17.8	1.030
