# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.9	9.3	0.118
2	5.0	9.3	0.064
3	5.3	9.0	0.025
4	5.2	8.9	0.018
5	5.3	8.9	0.054
6	5.3	8.9	0.136
7	5.2	8.8	0.368
8	6.4	8.8	0.394
9	6.4	8.7	0.396
10	6.1	8.7	0.415
11	6.1	8.7	0.396
12	5.7	8.7	0.384
13	5.6	8.7	0.355
14	5.6	8.6	0.312
15	5.6	8.6	0.285
16	5.7	8.6	0.266
17	6.1	8.6	0.276
18	6.6	8.6	0.342
19	7.0	8.6	0.382
20	7.2	8.6	0.472
21	7.2	8.5	0.485
22	7.5	8.5	0.453
23	7.6	8.5	0.272
24	7.9	8.5	0.171
25	6.9	8.5	0.118
26	6.7	8.5	0.064
27	6.8	8.5	0.025
28	6.8	8.5	0.018
29	6.7	8.5	0.054
30	6.5	8.4	0.136
31	6.7	8.4	0.368
32	8.0	8.4	0.394
33	7.8	8.4	0.396
34	7.7	8.4	0.415
35	7.4	8.4	0.396
36	7.1	8.4	0.384
37	7.0	8.4	0.355
38	6.9	8.3	0.312
39	6.7	8.3	0.285
40	6.8	8.3	0.266
41	7.1	8.3	0.276
42	7.4	8.3	0.342
43	7.5	8.3	0.382
44	7.5	8.2	0.472
45	7.6	8.2	0.485
46	7.6	8.2	0.453
47	7.6	8.2	0.272
48	7.6	8.2	0.171
49	6.4	8.1	0.118
50	6.4	8.1	0.064
51	6.4	8.1	0.025
52	6.6	8.1	0.018
53	6.7	8.1	0.054
54	6.6	8.1	0.136
55	6.8	8.1	0.368
56	7.9	8.1	0.394
57	7.8	8.1	0.396
58	7.9	8.1	0.415
59	7.7	8.0	0.396
60	7.6	8.0	0.384
61	7.3	8.0	0.355
62	7.1	8.0	0.312
63	7.0	8.0	0.285
64	7.0	8.0	0.266
65	7.0	8.0	0.276
66	7.3	7.9	0.342
67	7.6	7.9	0.382
68	7.7	7.9	0.472
69	8.0	7.9	0.485
70	8.2	7.9	0.453
71	8.3	7.9	0.272
72	8.4	7.9	0.171
73	7.3	7.9	0.118
74	7.3	7.8	0.064
75	7.2	7.8	0.025
76	7.3	7.8	0.018
77	7.3	7.8	0.054
78	7.2	7.8	0.136
79	7.0	7.8	0.368
80	8.0	7.8	0.394
81	7.8	7.8	0.396
82	7.4	7.8	0.415
83	6.7	7.8	0.396
84	6.2	7.8	0.384
85	5.7	7.8	0.355
86	5.5	7.8	0.312
87	5.6	7.8	0.285
88	5.5	7.7	0.266
89	5.6	7.7	0.276
90	5.7	7.7	0.342
91	5.7	7.7	0.382
92	5.5	7.7	0.472
93	5.7	7.7	0.485
94	5.8	7.7	0.453
95	5.9	7.7	0.272
96	5.9	7.7	0.171
97	4.6	7.7	0.118
98	4.7	7.7	0.064
99	4.9	7.7	0.025
100	5.1	7.7	0.018
101	5.3	7.7	0.054
102	5.4	7.7	0.136
103	5.6	7.7	0.368
104	6.9	7.7	0.394
105	7.1	7.7	0.396
106	7.0	7.6	0.415
107	7.2	7.6	0.396
108	7.2	7.6	0.384
109	7.2	7.6	0.355
110	7.4	7.6	0.312
111	7.8	7.6	0.285
112	7.8	7.6	0.266
113	8.1	7.6	0.276
114	8.5	7.6	0.342
115	8.5	7.6	0.382
116	8.4	7.6	0.472
117	8.6	7.6	0.485
118	8.9	7.6	0.453
119	9.3	7.6	0.272
120	9.3	7.6	0.171
121	8.3	7.6	0.118
122	8.3	7.6	0.064
123	8.1	7.6	0.025
124	8.1	7.6	0.018
125	7.7	7.6	0.054
126	7.4	7.6	0.136
127	7.3	7.6	0.368
128	8.5	7.6	0.394
129	8.4	7.6	0.396
130	8.0	7.6	0.415
131	7.6	7.6	0.396
132	7.2	7.6	0.384
133	6.6	7.5	0.355
134	6.2	7.5	0.312
135	6.0	7.5	0.285
136	5.7	7.5	0.266
137	5.7	7.5	0.276
138	5.9	7.5	0.342
139	5.6	7.5	0.382
140	5.6	7.5	0.472
141	5.7	7.5	0.485
142	5.7	7.5	0.453
143	5.7	7.5	0.272
144	5.6	7.4	0.171
145	4.3	7.4	0.118
146	4.4	7.4	0.064
147	4.5	7.4	0.025
148	4.6	7.4	0.018
149	4.8	7.4	0.054
150	4.7	7.4	0.136
151	4.7	7.4	0.368
152	6.1	7.4	0.394
153	6.0	7.4	0.396
154	5.6	7.4	0.415
155	5.4	7.4	0.396
156	5.1	7.4	0.384
157	4.9	7.4	0.355
158	4.5	7.3	0.312
159	4.4	7.3	0.285
160	4.3	7.3	0.266
161	4.7	7.3	0.276
162	5.0	7.3	0.342
163	5.4	7.3	0.382
164	5.4	7.3	0.472
165	5.8	7.3	0.485
166	5.8	7.3	0.453
167	6.2	7.3	0.272
168	6.3	7.3	0.171
169	5.2	7.3	0.118
170	5.1	7.3	0.064
171	5.2	7.3	0.025
172	4.9	7.3	0.018
173	4.9	7.3	0.054
174	4.6	7.3	0.136
175	4.6	7.3	0.368
176	5.8	7.3	0.394
177	5.8	7.3	0.396
178	5.6	7.3	0.415
179	5.3	7.3	0.396
180	5.0	7.3	0.384
181	5.1	7.3	0.355
182	5.0	7.3	0.312
183	5.1	7.3	0.285
184	5.1	7.3	0.266
185	5.0	7.2	0.276
186	5.1	7.2	0.342
187	5.2	7.2	0.382
188	4.9	7.2	0.472
189	4.8	7.2	0.485
190	4.7	7.2	0.453
191	4.5	7.2	0.272
192	4.3	7.2	0.171
193	2.8	7.2	0.118
194	2.9	7.2	0.064
195	3.0	7.2	0.025
196	3.1	7.2	0.018
197	2.9	7.2	0.054
198	2.7	7.2	0.136
199	2.9	7.2	0.368
200	4.1	7.2	0.394
201	4.1	7.2	0.396
202	3.8	7.2	0.415
203	3.8	7.2	0.396
204	3.8	7.2	0.384
205	3.8	7.2	0.355
206	3.5	7.2	0.312
207	3.1	7.2	0.285
208	3.1	7.2	0.266
209	3.1	7.2	0.276
210	3.0	7.2	0.342
211	3.0	7.2	0.382
212	3.1	7.2	0.472
213	3.0	7.2	0.485
214	3.0	7.2	0.453
215	3.0	7.2	0.272
216	2.8	7.2	0.171
217	1.6	7.1	0.118
218	1.7	7.1	0.064
219	1.8	7.1	0.025
220	2.0	7.1	0.018
221	2.2	7.1	0.054
222	2.3	7.1	0.136
223	2.6	7.1	0.368
224	3.9	7.1	0.394
225	3.9	7.1	0.396
226	4.0	7.1	0.415
227	4.0	7.1	0.396
228	3.9	7.1	0.384
229	3.8	7.1	0.355
230	3.8	7.1	0.312
231	3.8	7.1	0.285
232	4.1	7.1	0.266
233	4.4	7.1	0.276
234	4.8	7.1	0.342
235	4.8	7.1	0.382
236	5.1	7.1	0.472
237	5.4	7.0	0.485
238	5.8	7.0	0.453
239	6.2	7.0	0.272
240	6.4	7.0	0.171
241	5.4	7.0	0.118
242	5.4	7.0	0.064
243	5.4	7.0	0.025
244	5.4	7.0	0.018
245	5.4	7.0	0.054
246	5.3	7.0	0.136
247	5.3	7.0	0.368
248	6.4	7.0	0.394
249	6.5	7.0	0.396
250	6.2	7.0	0.415
251	6.2	7.0	0.396
252	5.7	7.0	0.384
253	5.6	7.0	0.355
254	5.2	7.0	0.312
255	5.3	7.0	0.285
256	5.5	7.0	0.266
257	5.9	7.0	0.276
258	5.9	6.9	0.342
259	6.0	6.9	0.382
260	6.3	6.9	0.472
261	6.4	6.9	0.485
262	6.6	6.9	0.453
263	6.6	6.9	0.272
264	6.7	6.9	0.171
265	5.4	6.9	0.118
266	5.5	6.9	0.064
267	5.5	6.9	0.025
268	5.5	6.9	0.018
269	5.3	6.9	0.054
270	5.4	6.9	0.136
271	5.4	6.9	0.368
272	6.7	6.9	0.394
273	6.7	6.9	0.396
274	6.5	6.9	0.415
275	6.3	6.9	0.396
276	5.9	6.9	0.384
277	5.6	6.9	0.355
278	5.4	6.9	0.312
279	5.2	6.9	0.285
280	5.2	6.9	0.266
281	5.2	6.9	0.276
282	5.3	6.8	0.342
283	5.3	6.8	0.382
284	5.3	6.8	0.472
285	5.5	6.8	0.485
286	5.5	6.8	0.453
287	5.5	6.8	0.272
288	5.6	6.8	0.171
289	4.2	6.8	0.118
290	4.2	6.8	0.064
291	4.2	6.8	0.025
292	4.1	6.8	0.018
293	4.2	6.8	0.054
294	4.3	6.8	0.136
295	4.1	6.8	0.368
296	5.4	6.8	0.394
297	5.4	6.8	0.396
298	5.3	6.8	0.415
299	5.0	6.8	0.396
300	4.9	6.8	0.384
301	4.6	6.8	0.355
302	4.5	6.8	0.312
303	4.5	6.8	0.285
304	4.3	6.8	0.266
305	4.5	6.8	0.276
306	4.5	6.8	0.342
307	4.5	6.8	0.382
308	4.6	6.8	0.472
309	4.7	6.8	0.485
310	5.0	6.8	0.453
311	4.9	6.8	0.272
312	5.0	6.8	0.171
313	3.9	6.7	0.118
314	3.8	6.7	0.064
315	3.8	6.7	0.025
316	3.7	6.7	0.018
317	3.6	6.7	0.054
318	3.5	6.7	0.136
319	3.6	6.7	0.368
320	4.9	6.7	0.394
321	5.0	6.7	0.396
322	4.9	6.7	0.415
323	4.8	6.7	0.396
324	4.9	6.7	0.384
325	4.7	6.7	0.355
326	4.6	6.7	0.312
327	4.3	6.7	0.285
328	4.0	6.7	0.266
329	4.3	6.7	0.276
330	4.3	6.7	0.342
331	4.5	6.7	0.382
332	4.6	6.7	0.472
333	4.6	6.7	0.485
334	4.7	6.7	0.453
335	4.8	6.7	0.272
336	4.7	6.7	0.171
337	3.5	6.7	0.118
338	3.6	6.7	0.064
339	3.7	6.7	0.025
340	3.9	6.7	0.018
341	4.0	6.7	0.054
342	4.0	6.7	0.136
343	4.0	6.7	0.368
344	5.5	6.6	0.394
345	5.5	6.6	0.396
346	5.6	6.6	0.415
347	5.4	6.6	0.396
348	5.3	6.6	0.384
349	5.3	6.6	0.355
350	5.4	6.6	0.312
351	5.5	6.6	0.285
352	5.5	6.6	0.266
353	5.7	6.6	0.276
354	5.9	6.6	0.342
355	5.9	6.6	0.382
356	6.2	6.6	0.472
357	6.1	6.6	0.485
358	6.3	6.6	0.453
359	6.3	6.6	0.272
360	6.1	6.6	0.171
361	4.8	6.6	0.118
362	5.0	6.6	0.064
363	5.1	6.6	0.025
364	5.0	6.6	0.018
365	5.0	6.6	0.054
366	5.2	6.6	0.136
367	5.3	6.6	0.368
368	6.6	6.6	0.394
369	6.6	6.6	0.396
370	6.6	6.6	0.415
371	6.2	6.6	0.396
372	6.1	6.6	0.384
373	5.9	6.6	0.355
374	5.8	6.6	0.312
375	5.9	6.5	0.285
376	6.1	6.5	0.266
377	6.5	6.5	0.276
378	6.8	6.5	0.342
379	7.0	6.5	0.382
380	7.2	6.5	0.472
381	7.3	6.5	0.485
382	7.6	6.5	0.453
383	7.9	6.5	0.272
384	8.1	6.5	0.171
385	7.3	6.5	0.118
386	7.3	6.5	0.064
387	7.4	6.5	0.025
388	7.3	6.5	0.018
389	7.3	6.5	0.054
390	7.2	6.5	0.136
391	7.1	6.5	0.368
392	8.3	6.5	0.394
393	7.9	6.5	0.396
394	7.6	6.5	0.415
395	7.2	6.5	0.396
396	6.8	6.5	0.384
397	6.3	6.5	0.355
398	5.9	6.5	0.312
399	5.9	6.5	0.285
400	5.8	6.5	0.266
401	5.7	6.5	0.276
402	5.9	6.5	0.342
403	5.8	6.5	0.382
404	5.8	6.5	0.472
405	6.2	6.5	0.485
406	5.9	6.5	0.453
407	6.0	6.5	0.272
408	5.9	6.5	0.171
409	4.3	6.5	0.118
410	4.5	6.4	0.064
411	4.6	6.4	0.025
412	4.6	6.4	0.018
413	4.7	6.4	0.054
414	4.7	6.4	0.136
415	4.9	6.4	0.368
416	6.2	6.4	0.394
417	6.1	6.4	0.396
418	5.9	6.4	0.415
419	5.9	6.4	0.396
420	5.8	6.4	0.384
421	5.6	6.4	0.355
422	5.6	6.4	0.312
423	5.6	6.4	0.285
424	5.9	6.4	0.266
425	6.0	6.4	0.276
426	6.0	6.4	0.342
427	6.3	6.4	0.382
428	6.3	6.4	0.472
429	6.6	6.4	0.485
430	6.7	6.4	0.453
431	6.7	6.4	0.272
432	6.6	6.4	0.171
433	5.5	6.4	0.118
434	5.6	6.4	0.064
435	5.9	6.4	0.025
436	6.1	6.4	0.018
437	5.9	6.4	0.054
438	5.8	6.4	0.136
439	5.7	6.4	0.368
440	7.0	6.4	0.394
441	6.9	6.4	0.396
442	6.9	6.4	0.415
443	7.0	6.4	0.396
444	6.7	6.4	0.384
445	6.5	6.3	0.355
446	6.3	6.3	0.312
447	6.0	6.3	0.285
448	6.1	6.3	0.266
449	6.1	6.3	0.276
450	6.0	6.3	0.342
451	6.2	6.3	0.382
452	6.4	6.3	0.472
453	6.6	6.3	0.485
454	6.8	6.3	0.453
455	6.7	6.3	0.272
456	6.5	6.3	0.171
457	5.4	6.3	0.118
458	5.6	6.3	0.064
459	5.7	6.3	0.025
460	5.9	6.3	0.018
461	5.9	6.3	0.054
462	5.9	6.3	0.136
463	5.9	6.3	0.368
464	7.2	6.3	0.394
465	7.2	6.3	0.396
466	6.9	6.3	0.415
467	6.7	6.3	0.396
468	6.4	6.3	0.384
469	6.2	6.3	0.355
470	6.0	6.3	0.312
471	5.8	6.3	0.285
472	5.7	6.3	0.266
473	5.8	6.3	0.276
474	5.7	6.3	0.342
475	5.8	6.3	0.382
476	6.0	6.3	0.472
477	5.9	6.3	0.485
478	6.1	6.3	0.453
479	6.1	6.3	0.272
480	6.1	6.3	0.171
481	4.9	6.3	0.118
482	5.2	6.3	0.064
483	5.2	6.3	0.025
484	5.4	6.3	0.018
485	5.4	6.3	0.054
486	5.4	6.3	0.136
487	5.4	6.2	0.368
488	6.6	6.2	0.394
489	6.5	6.2	0.396
490	6.2	6.2	0.415
491	6.0	6.2	0.396
492	5.6	6.2	0.384
493	5.7	6.2	0.355
494	5.5	6.2	0.312
495	5.5	6.2	0.285
496	5.5	6.2	0.266
497	5.5	6.2	0.276
498	5.8	6.2	0.342
499	5.9	6.2	0.382
500	6.2	6.2	0.472
501	6.1	6.2	0.485
502	6.4	6.2	0.453
