# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.7	16.5	0.243
2	8.9	16.4	0.131
3	9.4	15.8	0.051
4	9.2	15.8	0.037
5	9.3	15.7	0.112
6	9.4	15.7	0.280
7	9.2	15.6	0.757
8	11.3	15.6	0.811
9	11.4	15.5	0.814
10	10.7	15.4	0.853
11	10.8	15.4	0.814
12	10.1	15.4	0.789
13	9.8	15.3	0.731
14	9.9	15.3	0.642
15	9.9	15.3	0.585
16	10.2	15.2	0.546
17	10.8	15.2	0.568
18	11.7	15.2	0.704
19	12.4	15.1	0.786
20	12.6	15.1	0.972
21	12.8	15.1	0.999
22	13.2	15.1	0.931
23	13.5	15.1	0.560
24	14.0	15.0	0.351
25	12.2	15.0	0.243
26	11.8	15.0	0.131
27	11.9	15.0	0.051
28	11.9	15.0	0.037
29	11.8	14.9	0.112
30	11.5	14.9	0.280
31	11.8	14.9	0.757
32	14.2	14.8	0.811
33	13.8	14.8	0.814
34	13.6	14.8	0.853
35	13.1	14.8	0.814
36	12.6	14.8	0.789
37	12.3	14.8	0.731
38	12.2	14.7	0.642
39	11.8	14.7	0.585
40	12.0	14.7	0.546
41	12.6	14.7	0.568
42	13.1	14.7	0.704
43	13.2	14.7	0.786
44	13.3	14.6	0.972
45	13.4	14.5	0.999
46	13.5	14.5	0.931
47	13.5	14.5	0.560
48	13.5	14.4	0.351
49	11.3	14.4	0.243
50	11.3	14.3	0.131
51	11.4	14.3	0.051
52	11.6	14.3	0.037
53	11.8	14.3	0.112
54	11.6	14.3	0.280
55	12.0	14.3	0.757
56	14.0	14.3	0.811
57	13.9	14.3	0.814
58	13.9	14.2	0.853
59	13.6	14.2	0.814
60	13.5	14.2	0.789
61	12.9	14.2	0.731
62	12.6	14.1	0.642
63	12.3	14.1	0.585
64	12.3	14.1	0.546
65	12.4	14.1	0.568
66	12.9	14.0	0.704
67	13.4	14.0	0.786
68	13.7	14.0	0.972
69	14.1	14.0	0.999
70	14.4	13.9	0.931
71	14.7	13.9	0.560
72	14.9	13.9	0.351
73	12.9	13.9	0.243
74	12.9	13.9	0.131
75	12.7	13.9	0.051
76	12.8	13.9	0.037
77	12.8	13.8	0.112
78	12.7	13.8	0.280
79	12.4	13.8	0.757
80	14.1	13.8	0.811
81	13.7	13.8	0.814
82	13.0	13.8	0.853
83	11.8	13.7	0.814
84	10.9	13.7	0.789
85	10.1	13.7	0.731
86	9.8	13.7	0.642
87	9.9	13.7	0.585
88	9.8	13.7	0.546
89	10.0	13.7	0.568
90	10.1	13.7	0.704
91	10.0	13.7	0.786
92	9.8	13.6	0.972
93	10.1	13.6	0.999
94	10.3	13.6	0.931
95	10.4	13.6	0.560
96	10.4	13.6	0.351
97	8.2	13.6	0.243
98	8.3	13.6	0.131
99	8.7	13.6	0.051
100	9.0	13.6	0.037
101	9.3	13.6	0.112
102	9.5	13.6	0.280
103	9.9	13.6	0.757
104	12.2	13.6	0.811
105	12.5	13.5	0.814
106	12.4	13.5	0.853
107	12.7	13.5	0.814
108	12.8	13.5	0.789
109	12.8	13.5	0.731
110	13.1	13.5	0.642
111	13.8	13.5	0.585
112	13.7	13.5	0.546
113	14.3	13.5	0.568
114	15.0	13.5	0.704
115	15.0	13.5	0.786
116	14.8	13.4	0.972
117	15.2	13.4	0.999
118	15.7	13.4	0.931
119	16.4	13.4	0.560
120	16.5	13.4	0.351
121	14.7	13.4	0.243
122	14.7	13.4	0.131
123	14.3	13.4	0.051
124	14.3	13.4	0.037
125	13.6	13.4	0.112
126	13.1	13.4	0.280
127	12.9	13.4	0.757
128	15.0	13.4	0.811
129	14.8	13.4	0.814
130	14.2	13.4	0.853
131	13.4	13.4	0.814
132	12.7	13.4	0.789
133	11.7	13.3	0.731
134	10.9	13.3	0.642
135	10.6	13.3	0.585
136	10.1	13.3	0.546
137	10.1	13.3	0.568
138	10.4	13.2	0.704
139	10.0	13.2	0.786
140	9.9	13.2	0.972
141	10.0	13.2	0.999
142	10.0	13.2	0.931
143	10.0	13.2	0.560
144	10.0	13.2	0.351
145	7.6	13.2	0.243
146	7.8	13.2	0.131
147	7.9	13.1	0.051
148	8.0	13.1	0.037
149	8.4	13.1	0.112
150	8.2	13.1	0.280
151	8.3	13.1	0.757
152	10.7	13.1	0.811
153	10.5	13.0	0.814
154	9.8	13.0	0.853
155	9.6	13.0	0.814
156	9.1	13.0	0.789
157	8.7	13.0	0.731
158	8.0	13.0	0.642
159	7.7	13.0	0.585
160	7.7	13.0	0.546
161	8.4	13.0	0.568
162	8.8	13.0	0.704
163	9.5	13.0	0.786
164	9.6	12.9	0.972
165	10.2	12.9	0.999
166	10.3	12.9	0.931
167	11.0	12.9	0.560
168	11.1	12.9	0.351
169	9.1	12.9	0.243
170	9.0	12.9	0.131
171	9.1	12.9	0.051
172	8.7	12.9	0.037
173	8.6	12.9	0.112
174	8.2	12.9	0.280
175	8.2	12.9	0.757
176	10.2	12.9	0.811
177	10.2	12.9	0.814
178	9.9	12.9	0.853
179	9.4	12.9	0.814
180	8.9	12.9	0.789
181	9.1	12.8	0.731
182	8.8	12.8	0.642
183	9.1	12.8	0.585
184	9.0	12.8	0.546
185	8.9	12.8	0.568
186	9.0	12.8	0.704
187	9.2	12.8	0.786
188	8.7	12.8	0.972
189	8.4	12.8	0.999
190	8.4	12.8	0.931
191	8.0	12.8	0.560
192	7.7	12.8	0.351
193	5.0	12.8	0.243
194	5.0	12.8	0.131
195	5.3	12.8	0.051
196	5.4	12.7	0.037
197	5.1	12.7	0.112
198	4.7	12.7	0.280
199	5.0	12.7	0.757
200	7.2	12.7	0.811
201	7.3	12.7	0.814
202	6.8	12.7	0.853
203	6.7	12.7	0.814
204	6.8	12.7	0.789
205	6.7	12.7	0.731
206	6.1	12.7	0.642
207	5.6	12.7	0.585
208	5.4	12.7	0.546
209	5.5	12.7	0.568
210	5.3	12.7	0.704
211	5.4	12.7	0.786
212	5.4	12.7	0.972
213	5.3	12.7	0.999
214	5.4	12.7	0.931
215	5.2	12.6	0.560
216	4.9	12.6	0.351
217	2.8	12.6	0.243
218	3.0	12.6	0.131
219	3.2	12.6	0.051
220	3.5	12.6	0.037
221	3.8	12.6	0.112
222	4.1	12.6	0.280
223	4.5	12.6	0.757
224	6.8	12.6	0.811
225	6.8	12.6	0.814
226	7.0	12.6	0.853
227	7.0	12.6	0.814
228	6.9	12.5	0.789
229	6.7	12.5	0.731
230	6.8	12.5	0.642
231	6.7	12.5	0.585
232	7.3	12.5	0.546
233	7.8	12.5	0.568
234	8.4	12.5	0.704
235	8.5	12.5	0.786
236	8.9	12.5	0.972
237	9.6	12.4	0.999
238	10.3	12.4	0.931
239	10.9	12.4	0.560
240	11.3	12.4	0.351
241	9.5	12.4	0.243
242	9.5	12.4	0.131
243	9.5	12.4	0.051
244	9.5	12.4	0.037
245	9.5	12.4	0.112
246	9.4	12.4	0.280
247	9.3	12.4	0.757
248	11.3	12.4	0.811
249	11.5	12.4	0.814
250	11.0	12.4	0.853
251	11.0	12.3	0.814
252	10.1	12.3	0.789
253	9.9	12.3	0.731
254	9.2	12.3	0.642
255	9.3	12.3	0.585
256	9.7	12.3	0.546
257	10.5	12.3	0.568
258	10.4	12.3	0.704
259	10.6	12.3	0.786
260	11.1	12.3	0.972
261	11.3	12.3	0.999
262	11.7	12.3	0.931
263	11.7	12.3	0.560
264	11.8	12.3	0.351
265	9.6	12.3	0.243
266	9.8	12.2	0.131
267	9.7	12.2	0.051
268	9.7	12.2	0.037
269	9.4	12.2	0.112
270	9.6	12.2	0.280
271	9.5	12.2	0.757
272	11.8	12.2	0.811
273	11.8	12.2	0.814
274	11.4	12.2	0.853
275	11.1	12.2	0.814
276	10.4	12.2	0.789
277	9.9	12.2	0.731
278	9.5	12.1	0.642
279	9.2	12.1	0.585
280	9.2	12.1	0.546
281	9.1	12.1	0.568
282	9.3	12.1	0.704
283	9.4	12.1	0.786
284	9.4	12.1	0.972
285	9.7	12.1	0.999
286	9.8	12.1	0.931
287	9.8	12.1	0.560
288	9.9	12.1	0.351
289	7.4	12.1	0.243
290	7.4	12.1	0.131
291	7.3	12.1	0.051
292	7.3	12.1	0.037
293	7.5	12.1	0.112
294	7.5	12.0	0.280
295	7.3	12.0	0.757
296	9.5	12.0	0.811
297	9.5	12.0	0.814
298	9.4	12.0	0.853
299	8.9	12.0	0.814
300	8.6	12.0	0.789
301	8.2	12.0	0.731
302	8.0	12.0	0.642
303	7.9	12.0	0.585
304	7.6	12.0	0.546
305	8.0	12.0	0.568
306	7.9	12.0	0.704
307	8.0	12.0	0.786
308	8.2	12.0	0.972
309	8.2	12.0	0.999
310	8.8	12.0	0.931
311	8.7	12.0	0.560
312	8.9	11.9	0.351
313	6.8	11.9	0.243
314	6.7	11.9	0.131
315	6.8	11.9	0.051
316	6.5	11.9	0.037
