# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.9	1.4	0.026
2	0.9	1.4	0.014
3	1.0	1.4	0.005
4	1.0	1.4	0.004
5	1.0	1.4	0.012
6	1.0	1.4	0.030
7	1.0	1.3	0.080
8	1.0	1.3	0.085
9	1.0	1.3	0.086
10	0.9	1.3	0.090
11	0.9	1.3	0.086
12	0.9	1.3	0.083
13	0.8	1.3	0.077
14	0.8	1.3	0.068
15	0.8	1.3	0.062
16	0.9	1.3	0.058
17	0.9	1.3	0.060
18	1.0	1.3	0.074
19	1.1	1.3	0.083
20	1.1	1.3	0.102
21	1.1	1.3	0.105
22	1.1	1.3	0.098
23	1.1	1.3	0.059
24	1.2	1.3	0.037
25	1.2	1.3	0.026
26	1.2	1.3	0.014
27	1.2	1.3	0.005
28	1.2	1.3	0.004
29	1.2	1.3	0.012
30	1.2	1.3	0.030
31	1.2	1.3	0.080
32	1.2	1.3	0.085
33	1.2	1.3	0.086
34	1.2	1.3	0.090
35	1.1	1.2	0.086
36	1.1	1.2	0.083
37	1.0	1.2	0.077
38	1.0	1.2	0.068
39	1.0	1.2	0.062
40	1.0	1.2	0.058
41	1.1	1.2	0.060
42	1.1	1.2	0.074
43	1.1	1.2	0.083
44	1.1	1.2	0.102
45	1.1	1.2	0.105
46	1.1	1.2	0.098
47	1.2	1.2	0.059
48	1.2	1.2	0.037
49	1.2	1.2	0.026
50	1.1	1.2	0.014
51	1.2	1.2	0.005
52	1.2	1.2	0.004
53	1.2	1.2	0.012
54	1.2	1.2	0.030
55	1.2	1.2	0.080
56	1.2	1.2	0.085
57	1.2	1.2	0.086
58	1.2	1.2	0.090
59	1.2	1.2	0.086
60	1.1	1.2	0.083
61	1.1	1.2	0.077
62	1.1	1.2	0.068
63	1.1	1.2	0.062
64	1.0	1.2	0.058
65	1.1	1.2	0.060
66	1.1	1.2	0.074
67	1.1	1.2	0.083
68	1.2	1.2	0.102
69	1.2	1.2	0.105
70	1.2	1.2	0.098
71	1.3	1.2	0.059
72	1.3	1.2	0.037
73	1.3	1.2	0.026
74	1.3	1.2	0.014
75	1.3	1.2	0.005
76	1.3	1.2	0.004
77	1.3	1.2	0.012
78	1.3	1.2	0.030
79	1.2	1.2	0.080
80	1.2	1.2	0.085
81	1.2	1.2	0.086
82	1.1	1.2	0.090
83	1.0	1.2	0.086
84	0.9	1.2	0.083
85	0.9	1.2	0.077
86	0.8	1.2	0.068
87	0.8	1.2	0.062
88	0.8	1.2	0.058
89	0.9	1.2	0.060
90	0.9	1.2	0.074
91	0.9	1.2	0.083
92	0.8	1.2	0.102
93	0.9	1.2	0.105
94	0.9	1.2	0.098
95	0.9	1.2	0.059
96	0.9	1.2	0.037
97	0.9	1.2	0.026
98	0.9	1.2	0.014
99	0.9	1.2	0.005
