# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.4	15.9	0.233
2	8.6	15.8	0.126
3	9.0	15.3	0.049
4	8.9	15.2	0.036
5	9.0	15.2	0.107
6	9.0	15.2	0.268
7	8.9	15.1	0.725
8	10.9	15.0	0.776
9	11.0	14.9	0.780
10	10.3	14.9	0.817
11	10.4	14.8	0.780
12	9.8	14.8	0.756
13	9.5	14.8	0.700
14	9.5	14.7	0.615
15	9.5	14.7	0.560
16	9.8	14.7	0.523
17	10.4	14.6	0.543
18	11.2	14.6	0.674
19	12.0	14.6	0.752
20	12.2	14.6	0.931
21	12.3	14.6	0.956
22	12.7	14.6	0.892
23	13.0	14.6	0.537
24	13.5	14.5	0.336
25	11.8	14.5	0.233
26	11.4	14.5	0.126
27	11.5	14.4	0.049
28	11.5	14.4	0.036
29	11.4	14.4	0.107
30	11.1	14.4	0.268
31	11.4	14.3	0.725
32	13.7	14.3	0.776
33	13.3	14.3	0.780
34	13.1	14.2	0.817
35	12.7	14.2	0.780
36	12.1	14.2	0.756
37	11.9	14.2	0.700
38	11.7	14.2	0.615
39	11.3	14.2	0.560
40	11.6	14.2	0.523
41	12.1	14.2	0.543
42	12.7	14.1	0.674
43	12.7	14.1	0.752
44	12.8	14.1	0.931
45	13.0	14.0	0.956
46	13.0	13.9	0.892
47	13.0	13.9	0.537
48	13.0	13.9	0.336
49	10.9	13.9	0.233
50	10.9	13.9	0.126
51	11.0	13.9	0.049
52	11.2	13.8	0.036
53	11.3	13.8	0.107
54	11.2	13.8	0.268
55	11.6	13.8	0.725
56	13.5	13.8	0.776
57	13.4	13.7	0.780
58	13.4	13.7	0.817
59	13.1	13.7	0.780
60	13.0	13.7	0.756
61	12.4	13.7	0.700
62	12.1	13.6	0.615
63	11.9	13.6	0.560
64	11.8	13.6	0.523
65	12.0	13.6	0.543
66	12.5	13.5	0.674
67	12.9	13.5	0.752
68	13.2	13.5	0.931
69	13.6	13.5	0.956
70	13.9	13.5	0.892
71	14.2	13.4	0.537
72	14.4	13.4	0.336
73	12.4	13.4	0.233
74	12.4	13.4	0.126
75	12.3	13.4	0.049
76	12.4	13.3	0.036
77	12.4	13.3	0.107
78	12.3	13.3	0.268
79	12.0	13.3	0.725
80	13.6	13.3	0.776
81	13.2	13.3	0.780
82	12.6	13.3	0.817
83	11.4	13.2	0.780
84	10.5	13.2	0.756
85	9.7	13.2	0.700
86	9.4	13.2	0.615
87	9.5	13.2	0.560
88	9.4	13.2	0.523
89	9.6	13.2	0.543
90	9.7	13.2	0.674
91	9.7	13.2	0.752
92	9.4	13.2	0.931
93	9.7	13.1	0.956
94	9.9	13.1	0.892
95	10.0	13.1	0.537
96	10.0	13.1	0.336
97	7.9	13.1	0.233
98	8.0	13.1	0.126
99	8.4	13.1	0.049
100	8.7	13.1	0.036
101	9.0	13.1	0.107
102	9.1	13.1	0.268
103	9.5	13.1	0.725
104	11.8	13.1	0.776
105	12.0	13.0	0.780
106	12.0	13.0	0.817
107	12.2	13.0	0.780
108	12.3	13.0	0.756
109	12.3	13.0	0.700
110	12.6	13.0	0.615
111	13.3	13.0	0.560
112	13.2	13.0	0.523
113	13.8	13.0	0.543
114	14.4	13.0	0.674
115	14.5	13.0	0.752
116	14.2	13.0	0.931
117	14.6	13.0	0.956
118	15.2	13.0	0.892
119	15.8	12.9	0.537
120	15.9	12.9	0.336
121	14.1	12.9	0.233
122	14.2	12.9	0.126
123	13.8	12.9	0.049
124	13.8	12.9	0.036
125	13.1	12.9	0.107
126	12.6	12.9	0.268
127	12.4	12.9	0.725
128	14.5	12.9	0.776
129	14.2	12.9	0.780
130	13.7	12.9	0.817
131	12.9	12.9	0.780
132	12.2	12.9	0.756
133	11.2	12.9	0.700
134	10.5	12.9	0.615
135	10.2	12.9	0.560
136	9.7	12.8	0.523
137	9.7	12.8	0.543
138	10.0	12.8	0.674
139	9.6	12.8	0.752
140	9.6	12.8	0.931
141	9.7	12.7	0.956
142	9.7	12.7	0.892
143	9.7	12.7	0.537
144	9.6	12.7	0.336
145	7.3	12.7	0.233
146	7.6	12.7	0.126
147	7.6	12.7	0.049
148	7.8	12.7	0.036
149	8.1	12.7	0.107
150	7.9	12.6	0.268
151	8.0	12.6	0.725
152	10.3	12.6	0.776
153	10.1	12.6	0.780
154	9.5	12.6	0.817
155	9.2	12.6	0.780
156	8.8	12.6	0.756
157	8.4	12.6	0.700
158	7.7	12.5	0.615
159	7.4	12.5	0.560
160	7.4	12.5	0.523
