# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.0	17.1	0.262
2	9.2	17.0	0.141
3	9.7	16.4	0.055
4	9.5	16.3	0.040
5	9.7	16.3	0.120
6	9.7	16.3	0.302
7	9.5	16.2	0.815
8	11.7	16.1	0.872
9	11.8	16.0	0.876
10	11.1	16.0	0.918
11	11.2	16.0	0.876
12	10.5	15.9	0.850
13	10.2	15.9	0.787
14	10.3	15.8	0.691
15	10.2	15.8	0.630
16	10.5	15.8	0.588
17	11.2	15.7	0.611
18	12.1	15.7	0.758
19	12.9	15.7	0.846
20	13.1	15.7	1.046
21	13.2	15.7	1.075
22	13.7	15.7	1.002
23	14.0	15.7	0.603
24	14.5	15.6	0.378
25	12.7	15.6	0.262
26	12.3	15.5	0.141
27	12.4	15.5	0.055
28	12.4	15.5	0.040
29	12.2	15.5	0.120
30	12.0	15.5	0.302
31	12.3	15.4	0.815
32	14.7	15.4	0.872
33	14.3	15.4	0.876
34	14.1	15.3	0.918
35	13.6	15.3	0.876
36	13.1	15.3	0.850
37	12.8	15.3	0.787
38	12.6	15.2	0.691
39	12.2	15.2	0.630
40	12.5	15.2	0.588
41	13.0	15.2	0.611
42	13.6	15.2	0.758
43	13.7	15.2	0.846
44	13.8	15.1	1.046
45	13.9	15.1	1.075
46	14.0	15.0	1.002
47	14.0	15.0	0.603
48	14.0	14.9	0.378
49	11.7	14.9	0.262
50	11.7	14.9	0.141
51	11.8	14.9	0.055
52	12.1	14.9	0.040
53	12.2	14.8	0.120
54	12.0	14.8	0.302
55	12.4	14.8	0.815
56	14.5	14.8	0.872
57	14.4	14.8	0.876
58	14.5	14.8	0.918
59	14.1	14.7	0.876
60	13.9	14.7	0.850
61	13.4	14.7	0.787
62	13.0	14.7	0.691
63	12.8	14.6	0.630
64	12.7	14.6	0.588
65	12.9	14.6	0.611
66	13.4	14.6	0.758
67	13.9	14.5	0.846
68	14.2	14.5	1.046
69	14.6	14.5	1.075
70	14.9	14.5	1.002
71	15.2	14.4	0.603
72	15.5	14.4	0.378
73	13.3	14.4	0.262
74	13.4	14.4	0.141
75	13.2	14.4	0.055
76	13.3	14.4	0.040
77	13.3	14.3	0.120
78	13.2	14.3	0.302
79	12.9	14.3	0.815
80	14.7	14.3	0.872
81	14.2	14.3	0.876
82	13.5	14.3	0.918
83	12.3	14.3	0.876
84	11.3	14.2	0.850
85	10.5	14.2	0.787
86	10.1	14.2	0.691
87	10.2	14.2	0.630
88	10.1	14.2	0.588
89	10.3	14.2	0.611
90	10.4	14.2	0.758
91	10.4	14.2	0.846
92	10.1	14.1	1.046
93	10.5	14.1	1.075
94	10.7	14.1	1.002
95	10.8	14.1	0.603
96	10.8	14.1	0.378
97	8.5	14.1	0.262
98	8.6	14.1	0.141
99	9.1	14.1	0.055
100	9.3	14.1	0.040
101	9.6	14.1	0.120
102	9.8	14.1	0.302
103	10.2	14.1	0.815
104	12.7	14.1	0.872
105	12.9	14.0	0.876
106	12.9	14.0	0.918
107	13.1	14.0	0.876
108	13.2	14.0	0.850
109	13.3	14.0	0.787
110	13.6	14.0	0.691
111	14.3	14.0	0.630
112	14.2	14.0	0.588
113	14.9	14.0	0.611
114	15.5	13.9	0.758
115	15.6	13.9	0.846
116	15.3	13.9	1.046
117	15.7	13.9	1.075
118	16.3	13.9	1.002
119	17.0	13.9	0.603
120	17.1	13.9	0.378
121	15.2	13.9	0.262
122	15.2	13.9	0.141
123	14.9	13.9	0.055
124	14.8	13.9	0.040
125	14.1	13.9	0.120
126	13.6	13.9	0.302
127	13.4	13.9	0.815
128	15.5	13.9	0.872
129	15.3	13.9	0.876
130	14.7	13.9	0.918
131	13.9	13.9	0.876
132	13.1	13.9	0.850
133	12.1	13.8	0.787
134	11.3	13.8	0.691
135	11.0	13.8	0.630
136	10.4	13.8	0.588
137	10.5	13.7	0.611
138	10.8	13.7	0.758
139	10.4	13.7	0.846
140	10.3	13.7	1.046
141	10.4	13.7	1.075
142	10.4	13.7	1.002
143	10.4	13.7	0.603
144	10.3	13.7	0.378
145	7.9	13.7	0.262
146	8.1	13.7	0.141
147	8.2	13.6	0.055
148	8.3	13.6	0.040
149	8.8	13.6	0.120
150	8.5	13.6	0.302
151	8.6	13.6	0.815
152	11.1	13.6	0.872
153	10.9	13.5	0.876
154	10.2	13.5	0.918
155	9.9	13.5	0.876
156	9.4	13.5	0.850
157	9.1	13.5	0.787
158	8.3	13.5	0.691
159	8.0	13.5	0.630
160	7.9	13.5	0.588
161	8.7	13.5	0.611
162	9.1	13.4	0.758
163	9.9	13.4	0.846
164	10.0	13.4	1.046
165	10.6	13.4	1.075
166	10.7	13.4	1.002
167	11.4	13.4	0.603
168	11.5	13.4	0.378
169	9.5	13.4	0.262
170	9.4	13.4	0.141
171	9.5	13.4	0.055
172	9.1	13.4	0.040
173	8.9	13.4	0.120
174	8.5	13.4	0.302
175	8.5	13.4	0.815
176	10.6	13.4	0.872
