# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.0	15.6	0.266
2	10.3	15.6	0.144
3	10.7	15.2	0.056
4	10.5	15.2	0.041
5	10.7	15.2	0.123
6	10.7	15.1	0.307
7	10.5	14.6	0.830
8	10.4	14.5	0.889
9	10.5	14.1	0.893
10	9.9	14.0	0.936
11	10.0	14.0	0.893
12	9.4	14.0	0.866
13	9.1	13.9	0.801
14	9.2	13.9	0.704
15	9.1	13.9	0.642
16	9.4	13.9	0.599
17	10.0	13.9	0.622
18	10.8	13.9	0.772
19	11.5	13.9	0.862
20	11.7	13.9	1.066
21	11.8	13.9	1.095
22	12.2	13.8	1.021
23	12.4	13.8	0.615
24	12.9	13.8	0.385
25	13.3	13.8	0.266
26	13.0	13.8	0.144
27	13.1	13.8	0.056
28	13.1	13.7	0.041
29	12.9	13.6	0.123
30	12.7	13.6	0.307
31	12.9	13.6	0.830
32	13.1	13.6	0.889
33	12.8	13.6	0.893
34	12.5	13.5	0.936
35	12.1	13.5	0.893
36	11.6	13.5	0.866
37	11.4	13.4	0.801
38	11.2	13.4	0.704
39	10.9	13.4	0.642
40	11.1	13.3	0.599
41	11.6	13.3	0.622
42	12.1	13.3	0.772
43	12.2	13.3	0.862
44	12.3	13.3	1.066
45	12.4	13.3	1.095
46	12.4	13.3	1.021
47	12.5	13.2	0.615
48	12.5	13.2	0.385
49	12.5	13.2	0.266
50	12.4	13.2	0.144
51	12.5	13.2	0.056
52	12.8	13.2	0.041
53	12.9	13.2	0.123
54	12.7	13.1	0.307
55	13.1	13.1	0.830
56	12.9	13.1	0.889
57	12.8	13.1	0.893
58	12.9	13.1	0.936
59	12.5	13.1	0.893
60	12.4	13.1	0.866
61	11.9	13.1	0.801
62	11.6	13.1	0.704
63	11.4	13.0	0.642
64	11.4	13.0	0.599
65	11.5	13.0	0.622
66	11.9	13.0	0.772
67	12.3	13.0	0.862
68	12.6	13.0	1.066
69	13.0	13.0	1.095
70	13.3	12.9	1.021
71	13.6	12.9	0.615
72	13.8	12.9	0.385
73	13.9	12.9	0.266
74	13.9	12.9	0.144
75	13.8	12.9	0.056
76	13.9	12.9	0.041
77	13.9	12.9	0.123
78	13.8	12.9	0.307
79	13.5	12.8	0.830
80	13.1	12.8	0.889
81	12.7	12.8	0.893
82	12.0	12.8	0.936
83	10.9	12.8	0.893
84	10.1	12.8	0.866
85	9.3	12.8	0.801
86	9.0	12.7	0.704
87	9.1	12.7	0.642
88	9.1	12.7	0.599
89	9.2	12.7	0.622
90	9.3	12.7	0.772
91	9.3	12.7	0.862
92	9.1	12.7	1.066
93	9.3	12.7	1.095
94	9.5	12.7	1.021
95	9.6	12.7	0.615
96	9.6	12.6	0.385
