# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.0	15.5	0.226
2	10.2	15.5	0.122
3	10.6	15.1	0.048
4	10.5	15.1	0.035
5	10.6	15.1	0.104
6	10.6	15.0	0.261
7	10.4	14.5	0.704
8	10.4	14.4	0.754
9	10.4	14.0	0.757
10	9.8	13.9	0.793
11	9.9	13.9	0.757
12	9.3	13.9	0.734
13	9.0	13.8	0.680
14	9.1	13.8	0.597
15	9.1	13.8	0.544
16	9.3	13.8	0.508
17	9.9	13.8	0.528
18	10.7	13.8	0.655
19	11.4	13.8	0.731
20	11.6	13.8	0.904
21	11.7	13.8	0.929
22	12.1	13.7	0.866
23	12.4	13.7	0.521
24	12.8	13.7	0.327
25	13.2	13.7	0.226
26	12.9	13.7	0.122
27	13.0	13.7	0.048
28	13.0	13.6	0.035
29	12.8	13.5	0.104
30	12.6	13.5	0.261
31	12.9	13.5	0.704
32	13.0	13.5	0.754
33	12.7	13.5	0.757
34	12.4	13.4	0.793
35	12.0	13.4	0.757
36	11.5	13.4	0.734
37	11.3	13.3	0.680
38	11.2	13.3	0.597
39	10.8	13.3	0.544
40	11.0	13.2	0.508
41	11.5	13.2	0.528
42	12.0	13.2	0.655
43	12.1	13.2	0.731
44	12.2	13.2	0.904
45	12.3	13.1	0.929
46	12.3	13.1	0.866
47	12.4	13.1	0.521
48	12.4	13.1	0.327
49	12.4	13.1	0.226
50	12.4	13.1	0.122
51	12.4	13.1	0.048
52	12.7	13.0	0.035
53	12.8	13.0	0.104
54	12.6	13.0	0.261
55	13.0	13.0	0.704
56	12.8	13.0	0.754
57	12.7	13.0	0.757
58	12.8	13.0	0.793
59	12.4	13.0	0.757
60	12.3	13.0	0.734
61	11.8	13.0	0.680
62	11.5	13.0	0.597
63	11.3	13.0	0.544
64	11.3	12.9	0.508
65	11.4	12.9	0.528
66	11.9	12.9	0.655
67	12.3	12.9	0.731
68	12.6	12.9	0.904
69	12.9	12.9	0.929
70	13.2	12.9	0.866
71	13.5	12.8	0.521
72	13.7	12.8	0.327
73	13.8	12.8	0.226
74	13.8	12.8	0.122
75	13.7	12.8	0.048
76	13.8	12.8	0.035
77	13.8	12.8	0.104
78	13.7	12.8	0.261
79	13.4	12.7	0.704
80	13.0	12.7	0.754
81	12.6	12.7	0.757
82	12.0	12.7	0.793
83	10.9	12.7	0.757
84	10.0	12.7	0.734
85	9.3	12.6	0.680
86	9.0	12.6	0.597
