# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.8	7.2	0.074
2	3.9	7.1	0.040
3	4.1	6.9	0.016
4	4.0	6.8	0.011
5	4.1	6.8	0.034
6	4.1	6.8	0.086
7	4.0	6.8	0.232
8	4.9	6.7	0.248
9	4.9	6.7	0.249
10	4.7	6.7	0.261
11	4.7	6.7	0.249
12	4.4	6.7	0.242
13	4.3	6.7	0.224
14	4.3	6.6	0.197
15	4.3	6.6	0.179
16	4.4	6.6	0.167
17	4.7	6.6	0.174
18	5.1	6.6	0.216
19	5.4	6.6	0.241
20	5.5	6.6	0.298
21	5.5	6.6	0.306
22	5.7	6.6	0.285
23	5.9	6.6	0.172
24	6.1	6.5	0.108
25	5.3	6.5	0.074
26	5.1	6.5	0.040
27	5.2	6.5	0.016
28	5.2	6.5	0.011
29	5.1	6.5	0.034
30	5.0	6.5	0.086
31	5.1	6.5	0.232
32	6.2	6.4	0.248
33	6.0	6.4	0.249
34	5.9	6.4	0.261
35	5.7	6.4	0.249
36	5.5	6.4	0.242
37	5.4	6.4	0.224
38	5.3	6.4	0.197
39	5.1	6.4	0.179
40	5.2	6.4	0.167
41	5.5	6.4	0.174
42	5.7	6.4	0.216
43	5.7	6.4	0.241
44	5.8	6.3	0.298
45	5.8	6.3	0.306
46	5.9	6.3	0.285
47	5.9	6.3	0.172
48	5.9	6.3	0.108
49	4.9	6.2	0.074
50	4.9	6.2	0.040
51	4.9	6.2	0.016
52	5.1	6.2	0.011
53	5.1	6.2	0.034
54	5.0	6.2	0.086
55	5.2	6.2	0.232
56	6.1	6.2	0.248
57	6.0	6.2	0.249
58	6.1	6.2	0.261
59	5.9	6.2	0.249
60	5.8	6.2	0.242
61	5.6	6.2	0.224
62	5.5	6.1	0.197
63	5.4	6.1	0.179
64	5.3	6.1	0.167
65	5.4	6.1	0.174
66	5.6	6.1	0.216
67	5.8	6.1	0.241
68	5.9	6.1	0.298
69	6.1	6.1	0.306
70	6.3	6.1	0.285
71	6.4	6.0	0.172
72	6.5	6.0	0.108
73	5.6	6.0	0.074
74	5.6	6.0	0.040
75	5.5	6.0	0.016
76	5.6	6.0	0.011
77	5.6	6.0	0.034
78	5.5	6.0	0.086
79	5.4	6.0	0.232
80	6.1	6.0	0.248
81	6.0	6.0	0.249
82	5.7	6.0	0.261
83	5.1	6.0	0.249
84	4.7	6.0	0.242
85	4.4	6.0	0.224
86	4.2	6.0	0.197
87	4.3	5.9	0.179
88	4.3	5.9	0.167
89	4.3	5.9	0.174
90	4.4	5.9	0.216
91	4.4	5.9	0.241
92	4.3	5.9	0.298
93	4.4	5.9	0.306
94	4.5	5.9	0.285
95	4.5	5.9	0.172
96	4.5	5.9	0.108
97	3.6	5.9	0.074
98	3.6	5.9	0.040
99	3.8	5.9	0.016
100	3.9	5.9	0.011
101	4.0	5.9	0.034
102	4.1	5.9	0.086
103	4.3	5.9	0.232
104	5.3	5.9	0.248
105	5.4	5.9	0.249
106	5.4	5.9	0.261
107	5.5	5.9	0.249
108	5.5	5.9	0.242
109	5.6	5.9	0.224
110	5.7	5.9	0.197
111	6.0	5.9	0.179
112	6.0	5.9	0.167
113	6.2	5.8	0.174
114	6.5	5.8	0.216
115	6.5	5.8	0.241
116	6.4	5.8	0.298
117	6.6	5.8	0.306
118	6.8	5.8	0.285
119	7.1	5.8	0.172
120	7.2	5.8	0.108
121	6.4	5.8	0.074
122	6.4	5.8	0.040
123	6.2	5.8	0.016
124	6.2	5.8	0.011
125	5.9	5.8	0.034
126	5.7	5.8	0.086
127	5.6	5.8	0.232
128	6.5	5.8	0.248
129	6.4	5.8	0.249
130	6.2	5.8	0.261
131	5.8	5.8	0.249
132	5.5	5.8	0.242
133	5.1	5.8	0.224
134	4.7	5.8	0.197
135	4.6	5.8	0.179
136	4.4	5.7	0.167
137	4.4	5.7	0.174
138	4.5	5.7	0.216
139	4.3	5.7	0.241
140	4.3	5.7	0.298
141	4.4	5.7	0.306
142	4.3	5.7	0.285
143	4.4	5.7	0.172
144	4.3	5.7	0.108
145	3.3	5.7	0.074
146	3.4	5.7	0.040
147	3.4	5.7	0.016
148	3.5	5.7	0.011
149	3.7	5.7	0.034
150	3.6	5.7	0.086
151	3.6	5.7	0.232
152	4.7	5.7	0.248
153	4.6	5.7	0.249
154	4.3	5.7	0.261
155	4.2	5.7	0.249
156	4.0	5.6	0.242
157	3.8	5.6	0.224
158	3.5	5.6	0.197
159	3.3	5.6	0.179
160	3.3	5.6	0.167
161	3.6	5.6	0.174
162	3.8	5.6	0.216
163	4.1	5.6	0.241
164	4.2	5.6	0.298
165	4.4	5.6	0.306
166	4.5	5.6	0.285
167	4.8	5.6	0.172
168	4.8	5.6	0.108
169	4.0	5.6	0.074
170	3.9	5.6	0.040
171	4.0	5.6	0.016
172	3.8	5.6	0.011
173	3.7	5.6	0.034
174	3.6	5.6	0.086
175	3.6	5.6	0.232
176	4.4	5.6	0.248
177	4.4	5.6	0.249
178	4.3	5.6	0.261
179	4.1	5.6	0.249
180	3.9	5.6	0.242
181	3.9	5.6	0.224
182	3.8	5.6	0.197
183	3.9	5.6	0.179
184	3.9	5.6	0.167
185	3.9	5.6	0.174
186	3.9	5.6	0.216
187	4.0	5.6	0.241
188	3.8	5.6	0.298
189	3.6	5.5	0.306
190	3.6	5.5	0.285
191	3.5	5.5	0.172
192	3.3	5.5	0.108
193	2.2	5.5	0.074
194	2.2	5.5	0.040
195	2.3	5.5	0.016
196	2.3	5.5	0.011
197	2.2	5.5	0.034
198	2.0	5.5	0.086
199	2.2	5.5	0.232
200	3.1	5.5	0.248
201	3.2	5.5	0.249
202	2.9	5.5	0.261
203	2.9	5.5	0.249
204	2.9	5.5	0.242
205	2.9	5.5	0.224
206	2.7	5.5	0.197
207	2.4	5.5	0.179
208	2.3	5.5	0.167
209	2.4	5.5	0.174
210	2.3	5.5	0.216
211	2.3	5.5	0.241
212	2.4	5.5	0.298
213	2.3	5.5	0.306
214	2.3	5.5	0.285
215	2.3	5.5	0.172
216	2.1	5.5	0.108
217	1.2	5.5	0.074
218	1.3	5.5	0.040
219	1.4	5.5	0.016
220	1.5	5.5	0.011
221	1.7	5.5	0.034
222	1.8	5.5	0.086
223	2.0	5.5	0.232
224	3.0	5.5	0.248
225	3.0	5.5	0.249
226	3.0	5.4	0.261
227	3.0	5.4	0.249
228	3.0	5.4	0.242
229	2.9	5.4	0.224
230	3.0	5.4	0.197
231	2.9	5.4	0.179
232	3.2	5.4	0.167
233	3.4	5.4	0.174
234	3.7	5.4	0.216
235	3.7	5.4	0.241
236	3.9	5.4	0.298
237	4.2	5.4	0.306
238	4.5	5.4	0.285
239	4.7	5.4	0.172
240	4.9	5.4	0.108
241	4.1	5.4	0.074
242	4.1	5.4	0.040
243	4.1	5.4	0.016
244	4.1	5.4	0.011
245	4.1	5.4	0.034
246	4.1	5.4	0.086
247	4.1	5.4	0.232
248	4.9	5.4	0.248
249	5.0	5.4	0.249
250	4.8	5.4	0.261
251	4.8	5.4	0.249
252	4.4	5.4	0.242
253	4.3	5.4	0.224
254	4.0	5.4	0.197
255	4.1	5.3	0.179
256	4.2	5.3	0.167
257	4.6	5.3	0.174
258	4.5	5.3	0.216
259	4.6	5.3	0.241
