# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	17.9	34.1	0.623
2	18.4	33.9	0.337
3	19.4	32.9	0.132
4	19.0	32.7	0.096
5	19.3	32.6	0.287
6	19.4	32.6	0.719
7	19.0	32.4	1.943
8	23.4	32.3	2.079
9	23.5	32.1	2.089
10	22.2	32.0	2.189
11	22.3	31.9	2.089
12	21.0	31.9	2.025
13	20.3	31.8	1.875
14	20.5	31.7	1.647
15	20.4	31.7	1.502
16	21.0	31.6	1.401
17	22.3	31.4	1.456
18	24.1	31.4	1.806
19	25.7	31.4	2.016
20	26.2	31.4	2.494
21	26.4	31.3	2.562
22	27.3	31.3	2.389
23	27.9	31.3	1.438
24	28.9	31.2	0.901
25	25.3	31.1	0.623
26	24.5	31.0	0.337
27	24.7	31.0	0.132
28	24.7	31.0	0.096
29	24.4	31.0	0.287
30	23.9	30.9	0.719
31	24.5	30.8	1.943
32	29.4	30.8	2.079
33	28.6	30.8	2.089
34	28.1	30.7	2.189
35	27.2	30.7	2.089
36	26.1	30.6	2.025
37	25.5	30.6	1.875
38	25.2	30.5	1.647
39	24.3	30.5	1.502
40	24.9	30.4	1.401
41	26.0	30.4	1.456
42	27.2	30.4	1.806
43	27.4	30.4	2.016
44	27.5	30.2	2.494
45	27.8	30.1	2.562
46	27.9	30.0	2.389
47	27.9	30.0	1.438
48	28.0	29.9	0.901
49	23.4	29.8	0.623
50	23.3	29.8	0.337
51	23.5	29.7	0.132
52	24.1	29.7	0.096
53	24.4	29.6	0.287
54	24.0	29.6	0.719
55	24.8	29.6	1.943
56	29.0	29.6	2.079
57	28.7	29.6	2.089
58	28.9	29.5	2.189
59	28.1	29.4	2.089
60	27.8	29.4	2.025
61	26.7	29.4	1.875
62	26.0	29.3	1.647
63	25.5	29.3	1.502
64	25.4	29.2	1.401
65	25.7	29.2	1.456
66	26.7	29.1	1.806
67	27.7	29.0	2.016
68	28.3	29.0	2.494
69	29.2	28.9	2.562
70	29.8	28.9	2.389
71	30.4	28.9	1.438
72	30.8	28.9	0.901
73	26.6	28.8	0.623
74	26.7	28.8	0.337
75	26.4	28.7	0.132
76	26.6	28.7	0.096
77	26.5	28.7	0.287
78	26.4	28.6	0.719
79	25.7	28.6	1.943
80	29.3	28.5	2.079
81	28.4	28.5	2.089
82	27.0	28.5	2.189
83	24.5	28.5	2.089
84	22.6	28.5	2.025
85	20.9	28.4	1.875
86	20.2	28.4	1.647
87	20.4	28.4	1.502
88	20.3	28.4	1.401
89	20.6	28.3	1.456
90	20.8	28.3	1.806
91	20.8	28.3	2.016
92	20.3	28.3	2.494
93	20.9	28.3	2.562
94	21.3	28.2	2.389
95	21.5	28.2	1.438
96	21.5	28.2	0.901
97	17.0	28.2	0.623
98	17.2	28.2	0.337
99	18.1	28.2	0.132
100	18.6	28.1	0.096
101	19.2	28.1	0.287
102	19.6	28.1	0.719
103	20.5	28.1	1.943
104	25.3	28.1	2.079
105	25.8	28.0	2.089
106	25.7	28.0	2.189
107	26.2	28.0	2.089
108	26.4	28.0	2.025
109	26.5	28.0	1.875
110	27.1	28.0	1.647
111	28.5	27.9	1.502
112	28.4	27.9	1.401
113	29.7	27.9	1.456
114	31.0	27.9	1.806
115	31.1	27.9	2.016
116	30.6	27.9	2.494
117	31.4	27.8	2.562
118	32.6	27.8	2.389
119	33.9	27.8	1.438
120	34.1	27.8	0.901
121	30.4	27.8	0.623
122	30.4	27.8	0.337
123	29.6	27.8	0.132
124	29.6	27.7	0.096
125	28.1	27.7	0.287
126	27.1	27.7	0.719
127	26.7	27.7	1.943
128	31.0	27.7	2.079
129	30.6	27.7	2.089
130	29.4	27.7	2.189
131	27.7	27.7	2.089
132	26.2	27.6	2.025
133	24.1	27.6	1.875
134	22.6	27.6	1.647
135	21.9	27.6	1.502
136	20.9	27.5	1.401
137	20.9	27.5	1.456
138	21.5	27.5	1.806
139	20.7	27.5	2.016
140	20.5	27.4	2.494
141	20.7	27.4	2.562
142	20.7	27.4	2.389
143	20.7	27.4	1.438
144	20.7	27.3	0.901
145	15.8	27.3	0.623
146	16.2	27.3	0.337
147	16.4	27.2	0.132
148	16.7	27.2	0.096
149	17.5	27.2	0.287
150	17.0	27.2	0.719
151	17.1	27.1	1.943
152	22.1	27.1	2.079
153	21.8	27.0	2.089
154	20.4	27.0	2.189
155	19.8	27.0	2.089
156	18.8	27.0	2.025
157	18.1	27.0	1.875
158	16.5	27.0	1.647
159	15.9	26.9	1.502
160	15.8	26.9	1.401
161	17.3	26.9	1.456
162	18.3	26.9	1.806
163	19.7	26.9	2.016
164	19.9	26.8	2.494
165	21.1	26.8	2.562
166	21.3	26.8	2.389
167	22.7	26.8	1.438
168	23.0	26.8	0.901
169	18.9	26.8	0.623
170	18.7	26.8	0.337
171	18.9	26.7	0.132
172	18.1	26.7	0.096
173	17.8	26.7	0.287
174	16.9	26.7	0.719
175	16.9	26.7	1.943
176	21.2	26.7	2.079
177	21.1	26.7	2.089
178	20.6	26.7	2.189
179	19.4	26.6	2.089
180	18.4	26.6	2.025
181	18.8	26.6	1.875
182	18.3	26.6	1.647
183	18.7	26.6	1.502
184	18.6	26.6	1.401
185	18.4	26.6	1.456
186	18.6	26.5	1.806
187	19.1	26.5	2.016
188	18.0	26.5	2.494
189	17.4	26.5	2.562
190	17.3	26.5	2.389
191	16.5	26.5	1.438
192	15.9	26.4	0.901
193	10.4	26.4	0.623
194	10.4	26.4	0.337
195	11.0	26.4	0.132
196	11.2	26.4	0.096
197	10.5	26.4	0.287
198	9.7	26.4	0.719
199	10.4	26.4	1.943
200	14.8	26.4	2.079
201	15.2	26.4	2.089
202	14.0	26.4	2.189
203	13.8	26.4	2.089
204	14.0	26.3	2.025
205	13.8	26.3	1.875
206	12.6	26.3	1.647
207	11.5	26.3	1.502
208	11.2	26.3	1.401
209	11.3	26.3	1.456
210	11.0	26.3	1.806
211	11.1	26.3	2.016
212	11.2	26.3	2.494
213	11.1	26.2	2.562
214	11.1	26.2	2.389
215	10.8	26.2	1.438
216	10.2	26.2	0.901
217	5.9	26.2	0.623
218	6.3	26.2	0.337
219	6.7	26.2	0.132
220	7.3	26.2	0.096
221	7.9	26.1	0.287
222	8.5	26.1	0.719
223	9.4	26.1	1.943
224	14.2	26.1	2.079
225	14.1	26.0	2.089
226	14.5	26.0	2.189
227	14.5	26.0	2.089
228	14.2	26.0	2.025
229	13.8	26.0	1.875
230	14.1	26.0	1.647
231	13.8	26.0	1.502
232	15.2	26.0	1.401
233	16.1	25.9	1.456
234	17.4	25.9	1.806
235	17.5	25.9	2.016
236	18.5	25.9	2.494
237	19.8	25.8	2.562
238	21.4	25.8	2.389
239	22.5	25.8	1.438
240	23.3	25.7	0.901
241	19.6	25.7	0.623
242	19.6	25.7	0.337
243	19.7	25.7	0.132
244	19.7	25.7	0.096
245	19.6	25.7	0.287
246	19.4	25.7	0.719
247	19.3	25.7	1.943
248	23.5	25.7	2.079
249	23.8	25.7	2.089
250	22.8	25.6	2.189
251	22.8	25.6	2.089
252	20.9	25.6	2.025
253	20.5	25.6	1.875
254	19.1	25.5	1.647
255	19.4	25.5	1.502
256	20.0	25.5	1.401
257	21.7	25.5	1.456
258	21.6	25.5	1.806
259	22.0	25.5	2.016
260	22.9	25.5	2.494
261	23.5	25.5	2.562
262	24.3	25.5	2.389
263	24.2	25.4	1.438
264	24.4	25.4	0.901
265	19.8	25.4	0.623
266	20.3	25.4	0.337
267	20.1	25.4	0.132
268	20.0	25.4	0.096
269	19.5	25.4	0.287
270	19.9	25.4	0.719
271	19.6	25.3	1.943
272	24.4	25.3	2.079
273	24.5	25.3	2.089
274	23.7	25.2	2.189
275	22.9	25.2	2.089
276	21.5	25.2	2.025
277	20.4	25.2	1.875
278	19.7	25.2	1.647
279	19.1	25.2	1.502
280	19.1	25.2	1.401
281	18.9	25.2	1.456
282	19.3	25.2	1.806
283	19.5	25.1	2.016
284	19.4	25.1	2.494
285	20.2	25.1	2.562
286	20.3	25.1	2.389
287	20.3	25.1	1.438
288	20.6	25.1	0.901
289	15.3	25.1	0.623
290	15.3	25.1	0.337
291	15.2	25.1	0.132
292	15.1	25.0	0.096
293	15.4	25.0	0.287
294	15.6	25.0	0.719
295	15.1	25.0	1.943
296	19.7	25.0	2.079
297	19.6	25.0	2.089
298	19.6	25.0	2.189
299	18.5	25.0	2.089
300	17.8	24.9	2.025
301	17.0	24.9	1.875
302	16.6	24.9	1.647
303	16.4	24.9	1.502
304	15.8	24.9	1.401
305	16.6	24.9	1.456
306	16.4	24.9	1.806
307	16.6	24.8	2.016
308	16.9	24.8	2.494
309	17.1	24.8	2.562
310	18.2	24.8	2.389
311	18.0	24.8	1.438
312	18.4	24.8	0.901
313	14.1	24.7	0.623
314	14.0	24.7	0.337
315	14.0	24.7	0.132
316	13.4	24.7	0.096
317	13.1	24.7	0.287
318	12.8	24.7	0.719
319	13.2	24.6	1.943
