# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.4	11.6	0.648
2	7.6	11.5	0.350
3	7.9	11.3	0.137
4	7.8	11.3	0.099
5	7.9	11.3	0.298
6	7.9	11.2	0.747
7	7.8	10.8	2.018
8	7.7	10.8	2.160
9	7.8	10.8	2.170
10	7.3	10.8	2.274
11	7.4	10.7	2.170
12	6.9	10.7	2.103
13	6.7	10.7	1.947
14	6.8	10.7	1.711
15	6.7	10.7	1.560
16	6.9	10.6	1.456
17	7.4	10.6	1.513
18	8.0	10.6	1.877
19	8.5	10.6	2.094
20	8.6	10.6	2.590
21	8.7	10.5	2.661
22	9.0	10.5	2.482
23	9.2	10.5	1.494
24	9.6	10.5	0.936
25	9.9	10.5	0.648
26	9.6	10.5	0.350
27	9.7	10.5	0.137
28	9.7	10.5	0.099
29	9.6	10.4	0.298
30	9.4	10.4	0.747
31	9.6	10.4	2.018
32	9.7	10.4	2.160
33	9.5	10.4	2.170
34	9.3	10.4	2.274
35	9.0	10.3	2.170
36	8.6	10.3	2.103
37	8.4	10.3	1.947
38	8.3	10.3	1.711
39	8.0	10.3	1.560
40	8.2	10.3	1.456
41	8.6	10.3	1.513
42	9.0	10.3	1.877
43	9.0	10.3	2.094
44	9.1	10.3	2.590
45	9.2	10.3	2.661
46	9.2	10.3	2.482
47	9.2	10.3	1.494
48	9.2	10.3	0.936
49	9.2	10.3	0.648
50	9.2	10.3	0.350
51	9.3	10.2	0.137
52	9.5	10.2	0.099
53	9.6	10.2	0.298
54	9.4	10.2	0.747
55	9.7	10.2	2.018
56	9.6	10.2	2.160
57	9.5	10.2	2.170
58	9.5	10.2	2.274
59	9.3	10.2	2.170
60	9.2	10.2	2.103
61	8.8	10.2	1.947
62	8.6	10.2	1.711
63	8.4	10.2	1.560
64	8.4	10.1	1.456
65	8.5	10.1	1.513
66	8.8	10.1	1.877
67	9.1	10.1	2.094
68	9.4	10.1	2.590
69	9.6	10.1	2.661
70	9.9	10.1	2.482
71	10.1	10.1	1.494
72	10.2	10.0	0.936
73	10.3	10.0	0.648
74	10.3	10.0	0.350
75	10.2	10.0	0.137
76	10.3	10.0	0.099
77	10.3	10.0	0.298
78	10.2	10.0	0.747
79	10.0	9.9	2.018
80	9.7	9.9	2.160
81	9.4	9.9	2.170
82	8.9	9.9	2.274
83	8.1	9.9	2.170
84	7.5	9.9	2.103
