# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.2	6.5	0.309
2	4.3	6.5	0.167
3	4.4	6.3	0.065
4	4.4	6.3	0.047
5	4.4	6.3	0.142
6	4.4	6.3	0.356
7	4.4	6.1	0.962
8	4.3	6.1	1.029
9	4.4	6.1	1.034
10	4.1	6.1	1.083
11	4.1	6.0	1.034
12	3.9	6.0	1.002
13	3.8	6.0	0.928
14	3.8	6.0	0.815
15	3.8	6.0	0.743
16	3.9	6.0	0.694
17	4.1	6.0	0.721
18	4.5	6.0	0.894
19	4.8	6.0	0.998
20	4.8	6.0	1.234
21	4.9	5.9	1.268
22	5.0	5.9	1.182
23	5.2	5.9	0.712
24	5.4	5.9	0.446
25	5.5	5.9	0.309
26	5.4	5.9	0.167
27	5.4	5.9	0.065
28	5.4	5.9	0.047
29	5.4	5.9	0.142
30	5.3	5.9	0.356
31	5.4	5.8	0.962
32	5.4	5.8	1.029
33	5.3	5.8	1.034
34	5.2	5.8	1.083
35	5.0	5.8	1.034
36	4.8	5.8	1.002
37	4.7	5.8	0.928
38	4.7	5.8	0.815
39	4.5	5.8	0.743
40	4.6	5.8	0.694
41	4.8	5.8	0.721
42	5.0	5.8	0.894
43	5.1	5.8	0.998
44	5.1	5.8	1.234
45	5.2	5.8	1.268
46	5.2	5.8	1.182
47	5.2	5.8	0.712
48	5.2	5.8	0.446
49	5.2	5.8	0.309
50	5.2	5.8	0.167
51	5.2	5.8	0.065
52	5.3	5.8	0.047
53	5.4	5.7	0.142
54	5.3	5.7	0.356
55	5.4	5.7	0.962
56	5.4	5.7	1.029
57	5.3	5.7	1.034
58	5.3	5.7	1.083
59	5.2	5.7	1.034
60	5.2	5.7	1.002
61	4.9	5.7	0.928
62	4.8	5.7	0.815
63	4.7	5.7	0.743
64	4.7	5.7	0.694
65	4.8	5.7	0.721
66	5.0	5.7	0.894
67	5.1	5.7	0.998
68	5.2	5.7	1.234
69	5.4	5.7	1.268
70	5.5	5.7	1.182
71	5.6	5.7	0.712
72	5.7	5.7	0.446
73	5.8	5.6	0.309
74	5.8	5.6	0.167
75	5.7	5.6	0.065
76	5.8	5.6	0.047
77	5.8	5.6	0.142
78	5.7	5.6	0.356
79	5.6	5.6	0.962
80	5.4	5.6	1.029
81	5.3	5.6	1.034
82	5.0	5.6	1.083
83	4.5	5.6	1.034
84	4.2	5.5	1.002
85	3.9	5.5	0.928
86	3.7	5.5	0.815
87	3.8	5.5	0.743
88	3.7	5.5	0.694
89	3.8	5.5	0.721
90	3.9	5.5	0.894
91	3.8	5.5	0.998
92	3.8	5.5	1.234
93	3.9	5.4	1.268
94	3.9	5.4	1.182
95	4.0	5.4	0.712
96	4.0	5.4	0.446
97	4.0	5.4	0.309
98	4.0	5.4	0.167
99	4.2	5.4	0.065
100	4.3	5.4	0.047
101	4.4	5.4	0.142
102	4.5	5.4	0.356
103	4.6	5.4	0.962
104	4.7	5.4	1.029
105	4.8	5.4	1.034
106	4.8	5.4	1.083
107	4.8	5.4	1.034
108	4.9	5.4	1.002
109	4.9	5.4	0.928
110	5.0	5.4	0.815
111	5.3	5.4	0.743
112	5.3	5.3	0.694
113	5.5	5.3	0.721
114	5.7	5.3	0.894
115	5.8	5.3	0.998
116	5.7	5.3	1.234
117	5.8	5.3	1.268
118	6.0	5.3	1.182
119	6.3	5.3	0.712
120	6.3	5.3	0.446
121	6.5	5.3	0.309
122	6.5	5.3	0.167
123	6.3	5.3	0.065
124	6.3	5.3	0.047
125	6.0	5.3	0.142
126	5.9	5.3	0.356
127	5.8	5.2	0.962
128	5.7	5.2	1.029
129	5.7	5.2	1.034
130	5.4	5.2	1.083
131	5.1	5.2	1.034
132	4.9	5.2	1.002
133	4.5	5.2	0.928
134	4.2	5.2	0.815
135	4.1	5.2	0.743
136	3.9	5.2	0.694
137	3.9	5.2	0.721
138	4.0	5.2	0.894
139	3.8	5.2	0.998
140	3.8	5.2	1.234
141	3.8	5.2	1.268
142	3.8	5.2	1.182
143	3.8	5.2	0.712
144	3.8	5.2	0.446
145	3.8	5.2	0.309
146	3.8	5.2	0.167
147	3.9	5.2	0.065
148	3.9	5.2	0.047
149	4.1	5.2	0.142
150	4.0	5.2	0.356
151	4.0	5.2	0.962
152	4.1	5.2	1.029
153	4.0	5.2	1.034
154	3.8	5.2	1.083
155	3.7	5.2	1.034
156	3.5	5.2	1.002
157	3.3	5.2	0.928
158	3.1	5.1	0.815
159	2.9	5.1	0.743
160	2.9	5.1	0.694
161	3.2	5.1	0.721
162	3.4	5.1	0.894
163	3.6	5.1	0.998
164	3.7	5.1	1.234
165	3.9	5.1	1.268
166	3.9	5.1	1.182
167	4.2	5.1	0.712
168	4.3	5.1	0.446
169	4.3	5.1	0.309
170	4.3	5.1	0.167
171	4.3	5.1	0.065
172	4.2	5.1	0.047
173	4.1	5.1	0.142
174	4.0	5.1	0.356
175	4.0	5.1	0.962
176	3.9	5.1	1.029
177	3.9	5.1	1.034
178	3.8	5.1	1.083
179	3.6	5.1	1.034
180	3.4	5.1	1.002
181	3.5	5.1	0.928
182	3.4	5.1	0.815
183	3.5	5.1	0.743
184	3.4	5.1	0.694
185	3.4	5.1	0.721
186	3.4	5.0	0.894
187	3.5	5.0	0.998
188	3.3	5.0	1.234
189	3.2	5.0	1.268
190	3.2	5.0	1.182
191	3.1	5.0	0.712
192	2.9	5.0	0.446
193	2.8	5.0	0.309
194	2.8	5.0	0.167
195	2.9	5.0	0.065
196	2.9	5.0	0.047
197	2.8	5.0	0.142
198	2.6	5.0	0.356
199	2.8	5.0	0.962
200	2.7	5.0	1.029
201	2.8	5.0	1.034
202	2.6	5.0	1.083
203	2.6	5.0	1.034
204	2.6	5.0	1.002
205	2.6	5.0	0.928
206	2.3	5.0	0.815
207	2.1	5.0	0.743
208	2.1	5.0	0.694
209	2.1	5.0	0.721
210	2.0	5.0	0.894
211	2.1	5.0	0.998
212	2.1	5.0	1.234
213	2.0	5.0	1.268
214	2.1	5.0	1.182
215	2.0	5.0	0.712
216	1.9	5.0	0.446
217	1.9	5.0	0.309
218	2.0	4.9	0.167
219	2.1	4.9	0.065
220	2.2	4.9	0.047
221	2.3	4.9	0.142
222	2.4	4.9	0.356
223	2.6	4.9	0.962
224	2.6	4.9	1.029
225	2.6	4.9	1.034
226	2.7	4.9	1.083
227	2.7	4.9	1.034
228	2.6	4.9	1.002
229	2.6	4.9	0.928
230	2.6	4.9	0.815
231	2.6	4.9	0.743
232	2.8	4.9	0.694
233	3.0	4.9	0.721
234	3.2	4.9	0.894
235	3.2	4.9	0.998
236	3.4	4.9	1.234
237	3.7	4.9	1.268
238	4.0	4.9	1.182
239	4.2	4.9	0.712
240	4.3	4.9	0.446
241	4.5	4.9	0.309
242	4.5	4.9	0.167
243	4.5	4.9	0.065
244	4.5	4.9	0.047
245	4.5	4.9	0.142
246	4.4	4.9	0.356
247	4.4	4.9	0.962
248	4.3	4.9	1.029
249	4.4	4.9	1.034
250	4.2	4.9	1.083
251	4.2	4.9	1.034
252	3.9	4.9	1.002
253	3.8	4.9	0.928
254	3.5	4.9	0.815
255	3.6	4.9	0.743
256	3.7	4.9	0.694
257	4.0	4.9	0.721
258	4.0	4.8	0.894
259	4.1	4.8	0.998
260	4.2	4.8	1.234
261	4.3	4.8	1.268
262	4.5	4.8	1.182
263	4.5	4.8	0.712
264	4.5	4.8	0.446
265	4.5	4.8	0.309
266	4.6	4.8	0.167
267	4.6	4.8	0.065
268	4.5	4.8	0.047
269	4.5	4.8	0.142
270	4.5	4.8	0.356
271	4.5	4.8	0.962
272	4.5	4.8	1.029
273	4.5	4.8	1.034
274	4.4	4.8	1.083
275	4.2	4.8	1.034
276	4.0	4.8	1.002
277	3.8	4.8	0.928
278	3.6	4.8	0.815
279	3.5	4.8	0.743
280	3.5	4.8	0.694
281	3.5	4.8	0.721
282	3.6	4.8	0.894
283	3.6	4.8	0.998
284	3.6	4.8	1.234
285	3.7	4.8	1.268
286	3.8	4.8	1.182
287	3.8	4.8	0.712
288	3.8	4.8	0.446
289	3.7	4.8	0.309
290	3.7	4.8	0.167
291	3.7	4.8	0.065
292	3.6	4.8	0.047
293	3.7	4.8	0.142
294	3.7	4.8	0.356
295	3.6	4.8	0.962
296	3.6	4.8	1.029
