# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.9	5.5	0.272
2	3.0	5.5	0.147
3	3.1	5.2	0.058
4	3.1	5.2	0.042
5	3.1	5.2	0.125
6	3.1	5.2	0.314
7	3.1	5.2	0.849
8	3.8	5.1	0.908
9	3.8	5.1	0.912
10	3.6	5.1	0.956
11	3.6	5.1	0.912
12	3.4	5.1	0.885
13	3.3	5.1	0.819
14	3.3	5.0	0.720
15	3.3	5.0	0.656
16	3.4	5.0	0.612
17	3.6	5.0	0.636
18	3.9	5.0	0.789
19	4.1	5.0	0.881
20	4.2	5.0	1.089
21	4.2	5.0	1.119
22	4.4	5.0	1.044
23	4.5	5.0	0.628
24	4.6	5.0	0.394
25	4.1	5.0	0.272
26	3.9	5.0	0.147
27	4.0	5.0	0.058
28	4.0	5.0	0.042
29	3.9	4.9	0.125
30	3.8	4.9	0.314
31	3.9	4.9	0.849
32	4.7	4.9	0.908
33	4.6	4.9	0.912
34	4.5	4.9	0.956
35	4.4	4.9	0.912
36	4.2	4.9	0.885
37	4.1	4.9	0.819
38	4.0	4.9	0.720
39	3.9	4.9	0.656
40	4.0	4.9	0.612
41	4.2	4.9	0.636
42	4.4	4.9	0.789
43	4.4	4.9	0.881
44	4.4	4.8	1.089
45	4.5	4.8	1.119
46	4.5	4.8	1.044
47	4.5	4.8	0.628
48	4.5	4.8	0.394
49	3.8	4.8	0.272
50	3.7	4.8	0.147
51	3.8	4.8	0.058
52	3.9	4.8	0.042
53	3.9	4.7	0.125
54	3.9	4.7	0.314
55	4.0	4.7	0.849
56	4.7	4.7	0.908
57	4.6	4.7	0.912
58	4.6	4.7	0.956
59	4.5	4.7	0.912
60	4.5	4.7	0.885
61	4.3	4.7	0.819
62	4.2	4.7	0.720
63	4.1	4.7	0.656
64	4.1	4.7	0.612
65	4.1	4.6	0.636
66	4.3	4.6	0.789
67	4.4	4.6	0.881
68	4.5	4.6	1.089
69	4.7	4.6	1.119
70	4.8	4.6	1.044
71	4.9	4.6	0.628
72	5.0	4.6	0.394
73	4.3	4.6	0.272
74	4.3	4.6	0.147
75	4.2	4.6	0.058
76	4.3	4.6	0.042
77	4.3	4.6	0.125
78	4.2	4.6	0.314
79	4.1	4.6	0.849
80	4.7	4.5	0.908
81	4.6	4.5	0.912
82	4.3	4.5	0.956
83	3.9	4.5	0.912
84	3.6	4.5	0.885
85	3.4	4.5	0.819
86	3.2	4.5	0.720
87	3.3	4.5	0.656
88	3.3	4.5	0.612
89	3.3	4.5	0.636
90	3.3	4.5	0.789
91	3.3	4.5	0.881
92	3.3	4.5	1.089
93	3.4	4.5	1.119
94	3.4	4.5	1.044
95	3.5	4.5	0.628
96	3.5	4.5	0.394
97	2.7	4.5	0.272
98	2.8	4.5	0.147
99	2.9	4.5	0.058
100	3.0	4.5	0.042
101	3.1	4.5	0.125
102	3.1	4.5	0.314
103	3.3	4.5	0.849
104	4.1	4.5	0.908
105	4.1	4.5	0.912
106	4.1	4.5	0.956
107	4.2	4.5	0.912
108	4.2	4.5	0.885
109	4.3	4.5	0.819
110	4.4	4.5	0.720
111	4.6	4.5	0.656
112	4.6	4.5	0.612
113	4.8	4.5	0.636
114	5.0	4.5	0.789
115	5.0	4.5	0.881
116	4.9	4.4	1.089
117	5.0	4.4	1.119
118	5.2	4.4	1.044
119	5.5	4.4	0.628
120	5.5	4.4	0.394
121	4.9	4.4	0.272
122	4.9	4.4	0.147
123	4.8	4.4	0.058
124	4.7	4.4	0.042
125	4.5	4.4	0.125
126	4.4	4.4	0.314
127	4.3	4.4	0.849
128	5.0	4.4	0.908
129	4.9	4.4	0.912
130	4.7	4.4	0.956
131	4.4	4.4	0.912
132	4.2	4.4	0.885
133	3.9	4.4	0.819
134	3.6	4.4	0.720
135	3.5	4.4	0.656
136	3.3	4.4	0.612
137	3.4	4.4	0.636
138	3.5	4.4	0.789
139	3.3	4.4	0.881
140	3.3	4.4	1.089
141	3.3	4.4	1.119
142	3.3	4.3	1.044
143	3.3	4.3	0.628
144	3.3	4.3	0.394
145	2.5	4.3	0.272
146	2.6	4.3	0.147
147	2.6	4.3	0.058
148	2.7	4.3	0.042
149	2.8	4.3	0.125
150	2.7	4.3	0.314
151	2.8	4.3	0.849
152	3.6	4.3	0.908
153	3.5	4.3	0.912
154	3.3	4.3	0.956
155	3.2	4.3	0.912
156	3.0	4.3	0.885
157	2.9	4.3	0.819
158	2.7	4.3	0.720
159	2.6	4.3	0.656
160	2.5	4.3	0.612
161	2.8	4.3	0.636
162	2.9	4.3	0.789
163	3.2	4.3	0.881
164	3.2	4.3	1.089
165	3.4	4.3	1.119
166	3.4	4.3	1.044
167	3.6	4.3	0.628
