# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.2	11.8	0.161
2	6.4	11.7	0.087
3	6.7	11.3	0.034
4	6.6	11.3	0.025
5	6.7	11.2	0.074
6	6.7	11.2	0.186
7	6.6	11.2	0.503
8	8.1	11.1	0.538
9	8.1	11.1	0.540
10	7.7	11.0	0.566
11	7.7	11.0	0.540
12	7.2	11.0	0.524
13	7.0	11.0	0.485
14	7.1	10.9	0.426
15	7.0	10.9	0.388
16	7.3	10.9	0.363
17	7.7	10.8	0.377
18	8.3	10.8	0.467
19	8.9	10.8	0.521
20	9.0	10.8	0.645
21	9.1	10.8	0.663
22	9.4	10.8	0.618
23	9.6	10.8	0.372
24	10.0	10.8	0.233
25	8.7	10.7	0.161
26	8.5	10.7	0.087
27	8.5	10.7	0.034
28	8.5	10.7	0.025
29	8.4	10.7	0.074
30	8.2	10.6	0.186
31	8.4	10.6	0.503
32	10.1	10.6	0.538
33	9.9	10.6	0.540
34	9.7	10.6	0.566
35	9.4	10.6	0.540
36	9.0	10.6	0.524
37	8.8	10.5	0.485
38	8.7	10.5	0.426
39	8.4	10.5	0.388
40	8.6	10.5	0.363
41	9.0	10.5	0.377
42	9.4	10.5	0.467
43	9.4	10.5	0.521
44	9.5	10.4	0.645
45	9.6	10.4	0.663
46	9.6	10.3	0.618
47	9.6	10.3	0.372
48	9.7	10.3	0.233
49	8.1	10.3	0.161
50	8.1	10.3	0.087
51	8.1	10.3	0.034
52	8.3	10.2	0.025
53	8.4	10.2	0.074
54	8.3	10.2	0.186
55	8.6	10.2	0.503
56	10.0	10.2	0.538
57	9.9	10.2	0.540
58	10.0	10.2	0.566
59	9.7	10.1	0.540
60	9.6	10.1	0.524
61	9.2	10.1	0.485
62	9.0	10.1	0.426
63	8.8	10.1	0.388
64	8.8	10.1	0.363
65	8.9	10.1	0.377
66	9.2	10.0	0.467
67	9.5	10.0	0.521
68	9.8	10.0	0.645
69	10.1	10.0	0.663
70	10.3	10.0	0.618
71	10.5	10.0	0.372
72	10.6	10.0	0.233
73	9.2	9.9	0.161
74	9.2	9.9	0.087
75	9.1	9.9	0.034
76	9.2	9.9	0.025
77	9.2	9.9	0.074
78	9.1	9.9	0.186
79	8.9	9.9	0.503
80	10.1	9.8	0.538
81	9.8	9.8	0.540
82	9.3	9.8	0.566
83	8.5	9.8	0.540
84	7.8	9.8	0.524
85	7.2	9.8	0.485
86	7.0	9.8	0.426
87	7.0	9.8	0.388
88	7.0	9.8	0.363
89	7.1	9.8	0.377
90	7.2	9.8	0.467
91	7.2	9.8	0.521
92	7.0	9.8	0.645
93	7.2	9.8	0.663
94	7.3	9.7	0.618
95	7.4	9.7	0.372
96	7.4	9.7	0.233
97	5.9	9.7	0.161
98	5.9	9.7	0.087
99	6.2	9.7	0.034
100	6.4	9.7	0.025
101	6.6	9.7	0.074
102	6.8	9.7	0.186
103	7.1	9.7	0.503
104	8.7	9.7	0.538
105	8.9	9.7	0.540
106	8.9	9.7	0.566
107	9.0	9.7	0.540
108	9.1	9.7	0.524
109	9.1	9.6	0.485
110	9.4	9.6	0.426
111	9.8	9.6	0.388
112	9.8	9.6	0.363
113	10.2	9.6	0.377
114	10.7	9.6	0.467
115	10.7	9.6	0.521
116	10.5	9.6	0.645
117	10.8	9.6	0.663
118	11.2	9.6	0.618
119	11.7	9.6	0.372
120	11.8	9.6	0.233
121	10.5	9.6	0.161
122	10.5	9.6	0.087
123	10.2	9.6	0.034
124	10.2	9.6	0.025
125	9.7	9.6	0.074
126	9.4	9.6	0.186
127	9.2	9.6	0.503
128	10.7	9.6	0.538
129	10.6	9.6	0.540
130	10.1	9.5	0.566
131	9.6	9.5	0.540
132	9.0	9.5	0.524
133	8.3	9.5	0.485
134	7.8	9.5	0.426
135	7.6	9.5	0.388
136	7.2	9.5	0.363
137	7.2	9.5	0.377
138	7.4	9.5	0.467
139	7.1	9.5	0.521
140	7.1	9.5	0.645
141	7.2	9.4	0.663
142	7.1	9.4	0.618
143	7.2	9.4	0.372
144	7.1	9.4	0.233
145	5.4	9.4	0.161
