# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.9	13.9	0.244
2	9.1	13.9	0.132
3	9.5	13.6	0.052
4	9.4	13.5	0.037
5	9.5	13.5	0.112
6	9.5	13.5	0.281
7	9.4	13.0	0.760
8	9.3	12.9	0.813
9	9.4	12.5	0.816
10	8.8	12.5	0.856
11	8.9	12.5	0.816
12	8.3	12.4	0.792
13	8.1	12.4	0.733
14	8.1	12.4	0.644
15	8.1	12.4	0.587
16	8.4	12.4	0.548
17	8.9	12.4	0.569
18	9.6	12.4	0.706
19	10.2	12.4	0.788
20	10.4	12.3	0.975
21	10.5	12.3	1.001
22	10.8	12.3	0.934
23	11.1	12.3	0.562
24	11.5	12.3	0.352
25	11.8	12.3	0.244
26	11.5	12.2	0.132
27	11.6	12.2	0.052
28	11.6	12.2	0.037
29	11.5	12.2	0.112
30	11.3	12.1	0.281
31	11.5	12.1	0.760
32	11.7	12.1	0.813
33	11.4	12.1	0.816
34	11.1	12.1	0.856
35	10.8	12.0	0.816
36	10.3	12.0	0.792
37	10.1	11.9	0.733
38	10.0	11.9	0.644
39	9.7	11.9	0.587
40	9.9	11.9	0.548
41	10.3	11.9	0.569
42	10.8	11.9	0.706
43	10.9	11.9	0.788
44	10.9	11.8	0.975
45	11.0	11.8	1.001
46	11.1	11.8	0.934
47	11.1	11.8	0.562
48	11.1	11.8	0.352
49	11.1	11.8	0.244
50	11.1	11.8	0.132
51	11.1	11.8	0.052
52	11.4	11.8	0.037
53	11.5	11.8	0.112
54	11.3	11.7	0.281
55	11.7	11.7	0.760
56	11.5	11.7	0.813
57	11.4	11.7	0.816
58	11.5	11.7	0.856
59	11.2	11.7	0.816
60	11.1	11.6	0.792
61	10.6	11.6	0.733
62	10.3	11.6	0.644
63	10.2	11.6	0.587
64	10.1	11.6	0.548
65	10.2	11.6	0.569
66	10.6	11.6	0.706
67	11.0	11.6	0.788
68	11.2	11.5	0.975
69	11.6	11.5	1.001
70	11.8	11.5	0.934
71	12.1	11.5	0.562
72	12.2	11.5	0.352
73	12.4	11.5	0.244
74	12.4	11.5	0.132
75	12.3	11.5	0.052
76	12.4	11.5	0.037
77	12.3	11.5	0.112
78	12.3	11.4	0.281
79	12.0	11.4	0.760
80	11.6	11.4	0.813
81	11.3	11.4	0.816
82	10.7	11.4	0.856
83	9.7	11.4	0.816
84	9.0	11.4	0.792
85	8.3	11.4	0.733
86	8.0	11.4	0.644
87	8.1	11.4	0.587
88	8.1	11.3	0.548
89	8.2	11.3	0.569
90	8.3	11.3	0.706
91	8.3	11.3	0.788
92	8.1	11.3	0.975
93	8.3	11.3	1.001
94	8.5	11.3	0.934
95	8.5	11.3	0.562
96	8.6	11.3	0.352
97	8.5	11.3	0.244
98	8.6	11.2	0.132
99	9.0	11.2	0.052
100	9.2	11.2	0.037
101	9.5	11.2	0.112
102	9.6	11.2	0.281
103	9.9	11.2	0.760
104	10.1	11.2	0.813
105	10.3	11.2	0.816
106	10.2	11.2	0.856
107	10.4	11.2	0.816
108	10.5	11.2	0.792
109	10.5	11.1	0.733
110	10.8	11.1	0.644
111	11.3	11.1	0.587
112	11.3	11.1	0.548
113	11.8	11.1	0.569
114	12.3	11.1	0.706
115	12.4	11.1	0.788
116	12.1	11.1	0.975
117	12.5	11.1	1.001
118	12.9	11.1	0.934
119	13.5	11.1	0.562
120	13.5	11.1	0.352
121	13.9	11.1	0.244
122	13.9	11.1	0.132
123	13.6	11.1	0.052
124	13.5	11.1	0.037
125	13.0	11.1	0.112
126	12.5	11.1	0.281
127	12.4	11.0	0.760
128	12.3	11.0	0.813
129	12.1	11.0	0.816
130	11.7	11.0	0.856
131	11.0	11.0	0.816
132	10.5	11.0	0.792
133	9.7	11.0	0.733
134	9.1	11.0	0.644
135	8.8	11.0	0.587
136	8.4	11.0	0.548
137	8.4	11.0	0.569
138	8.6	11.0	0.706
139	8.3	11.0	0.788
140	8.2	11.0	0.975
141	8.3	11.0	1.001
142	8.3	11.0	0.934
143	8.3	11.0	0.562
144	8.2	11.0	0.352
145	8.1	11.0	0.244
146	8.3	10.9	0.132
147	8.3	10.9	0.052
148	8.4	10.9	0.037
149	8.8	10.9	0.112
150	8.6	10.9	0.281
151	8.6	10.9	0.760
152	8.8	10.9	0.813
153	8.7	10.9	0.816
154	8.1	10.9	0.856
155	7.9	10.9	0.816
156	7.5	10.9	0.792
157	7.2	10.9	0.733
158	6.5	10.9	0.644
159	6.3	10.9	0.587
160	6.3	10.9	0.548
