# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.1	11.0	0.156
2	7.2	11.0	0.084
3	7.5	10.8	0.033
4	7.4	10.8	0.024
5	7.5	10.7	0.072
6	7.6	10.7	0.180
7	7.4	10.3	0.487
8	7.4	10.3	0.522
9	7.4	10.0	0.524
10	7.0	9.9	0.549
11	7.0	9.9	0.524
12	6.6	9.9	0.508
13	6.4	9.8	0.470
14	6.5	9.8	0.413
15	6.5	9.8	0.377
16	6.6	9.8	0.352
17	7.1	9.8	0.365
18	7.6	9.8	0.453
19	8.1	9.8	0.506
20	8.3	9.8	0.626
21	8.3	9.8	0.643
22	8.6	9.8	0.599
23	8.8	9.8	0.361
24	9.1	9.7	0.226
25	9.4	9.7	0.156
26	9.2	9.7	0.084
27	9.2	9.7	0.033
28	9.2	9.7	0.024
29	9.1	9.6	0.072
30	9.0	9.6	0.180
31	9.1	9.6	0.487
32	9.3	9.6	0.522
33	9.0	9.6	0.524
34	8.9	9.6	0.549
35	8.6	9.6	0.524
36	8.2	9.5	0.508
37	8.0	9.5	0.470
38	7.9	9.5	0.413
39	7.7	9.5	0.377
40	7.8	9.4	0.352
41	8.2	9.4	0.365
42	8.6	9.4	0.453
43	8.6	9.4	0.506
44	8.7	9.4	0.626
45	8.8	9.4	0.643
46	8.8	9.4	0.599
47	8.8	9.4	0.361
48	8.8	9.4	0.226
49	8.8	9.4	0.156
50	8.8	9.3	0.084
51	8.8	9.3	0.033
52	9.0	9.3	0.024
53	9.1	9.3	0.072
54	9.0	9.3	0.180
55	9.3	9.3	0.487
56	9.1	9.3	0.522
57	9.0	9.3	0.524
58	9.1	9.3	0.549
59	8.9	9.3	0.524
60	8.8	9.2	0.508
61	8.4	9.2	0.470
62	8.2	9.2	0.413
63	8.1	9.2	0.377
64	8.0	9.2	0.352
65	8.1	9.2	0.365
66	8.4	9.2	0.453
67	8.7	9.2	0.506
68	8.9	9.2	0.626
69	9.2	9.2	0.643
70	9.4	9.2	0.599
71	9.6	9.1	0.361
72	9.7	9.1	0.226
73	9.8	9.1	0.156
74	9.8	9.1	0.084
75	9.7	9.1	0.033
76	9.8	9.1	0.024
77	9.8	9.1	0.072
78	9.7	9.1	0.180
79	9.5	9.1	0.487
80	9.2	9.1	0.522
81	9.0	9.1	0.524
82	8.5	9.0	0.549
83	7.7	9.0	0.524
84	7.1	9.0	0.508
85	6.6	9.0	0.470
86	6.4	9.0	0.413
87	6.4	9.0	0.377
88	6.4	9.0	0.352
89	6.5	9.0	0.365
90	6.6	9.0	0.453
91	6.6	9.0	0.506
92	6.4	9.0	0.626
93	6.6	9.0	0.643
94	6.7	9.0	0.599
95	6.8	8.9	0.361
96	6.8	8.9	0.226
97	6.8	8.9	0.156
98	6.8	8.9	0.084
99	7.1	8.9	0.033
100	7.3	8.9	0.024
101	7.5	8.9	0.072
102	7.6	8.9	0.180
103	7.9	8.9	0.487
104	8.0	8.9	0.522
105	8.1	8.9	0.524
106	8.1	8.9	0.549
107	8.3	8.9	0.524
108	8.3	8.9	0.508
109	8.3	8.9	0.470
110	8.5	8.8	0.413
111	9.0	8.8	0.377
112	8.9	8.8	0.352
113	9.3	8.8	0.365
114	9.8	8.8	0.453
115	9.8	8.8	0.506
116	9.6	8.8	0.626
117	9.9	8.8	0.643
118	10.3	8.8	0.599
119	10.7	8.8	0.361
120	10.8	8.8	0.226
121	11.0	8.8	0.156
122	11.0	8.8	0.084
123	10.8	8.8	0.033
124	10.7	8.8	0.024
125	10.3	8.8	0.072
126	10.0	8.8	0.180
127	9.8	8.8	0.487
128	9.8	8.8	0.522
129	9.6	8.8	0.524
130	9.3	8.8	0.549
131	8.8	8.7	0.524
132	8.3	8.7	0.508
133	7.7	8.7	0.470
134	7.2	8.7	0.413
135	7.0	8.7	0.377
136	6.6	8.7	0.352
137	6.6	8.7	0.365
138	6.8	8.7	0.453
139	6.6	8.7	0.506
140	6.5	8.7	0.626
141	6.6	8.7	0.643
142	6.6	8.7	0.599
143	6.6	8.7	0.361
144	6.5	8.7	0.226
145	6.4	8.7	0.156
146	6.6	8.7	0.084
147	6.6	8.7	0.033
148	6.7	8.7	0.024
149	7.0	8.7	0.072
150	6.8	8.7	0.180
151	6.9	8.6	0.487
152	7.0	8.6	0.522
153	6.9	8.6	0.524
154	6.4	8.6	0.549
155	6.3	8.6	0.524
156	5.9	8.6	0.508
157	5.7	8.6	0.470
158	5.2	8.6	0.413
159	5.0	8.6	0.377
160	5.0	8.6	0.352
161	5.4	8.6	0.365
162	5.7	8.6	0.453
163	6.2	8.6	0.506
164	6.3	8.6	0.626
165	6.6	8.6	0.643
166	6.7	8.6	0.599
167	7.1	8.6	0.361
168	7.2	8.6	0.226
169	7.4	8.6	0.156
170	7.3	8.6	0.084
171	7.4	8.6	0.033
172	7.1	8.6	0.024
173	7.1	8.6	0.072
174	6.8	8.6	0.180
175	6.8	8.6	0.487
176	6.7	8.6	0.522
177	6.6	8.6	0.524
178	6.5	8.6	0.549
179	6.1	8.6	0.524
180	5.8	8.6	0.508
181	5.9	8.5	0.470
182	5.8	8.5	0.413
183	5.9	8.5	0.377
184	5.9	8.5	0.352
185	5.8	8.5	0.365
186	5.9	8.5	0.453
187	6.0	8.5	0.506
188	5.7	8.5	0.626
189	5.5	8.5	0.643
190	5.5	8.5	0.599
191	5.2	8.5	0.361
192	5.0	8.5	0.226
193	4.7	8.5	0.156
194	4.7	8.5	0.084
195	4.9	8.5	0.033
196	5.0	8.5	0.024
197	4.8	8.5	0.072
198	4.5	8.5	0.180
199	4.7	8.5	0.487
200	4.7	8.5	0.522
201	4.8	8.5	0.524
202	4.4	8.5	0.549
203	4.4	8.5	0.524
204	4.4	8.5	0.508
205	4.4	8.4	0.470
206	4.0	8.4	0.413
207	3.6	8.4	0.377
208	3.5	8.4	0.352
209	3.6	8.4	0.365
210	3.5	8.4	0.453
211	3.5	8.4	0.506
212	3.6	8.4	0.626
213	3.5	8.4	0.643
214	3.5	8.4	0.599
215	3.4	8.4	0.361
216	3.2	8.4	0.226
217	3.3	8.4	0.156
218	3.4	8.4	0.084
219	3.6	8.4	0.033
220	3.7	8.4	0.024
221	3.9	8.4	0.072
222	4.1	8.4	0.180
223	4.4	8.4	0.487
224	4.5	8.4	0.522
225	4.5	8.4	0.524
226	4.6	8.4	0.549
227	4.6	8.4	0.524
228	4.5	8.4	0.508
229	4.4	8.4	0.470
230	4.5	8.4	0.413
231	4.4	8.4	0.377
232	4.8	8.4	0.352
233	5.1	8.3	0.365
234	5.5	8.3	0.453
235	5.5	8.3	0.506
236	5.8	8.3	0.626
237	6.2	8.3	0.643
238	6.7	8.3	0.599
239	7.1	8.3	0.361
240	7.4	8.3	0.226
241	7.6	8.3	0.156
242	7.6	8.3	0.084
243	7.6	8.3	0.033
244	7.7	8.3	0.024
245	7.6	8.3	0.072
246	7.6	8.3	0.180
247	7.5	8.3	0.487
248	7.4	8.3	0.522
249	7.5	8.3	0.524
250	7.2	8.3	0.549
251	7.2	8.3	0.524
252	6.6	8.3	0.508
253	6.5	8.3	0.470
254	6.0	8.3	0.413
255	6.1	8.3	0.377
256	6.3	8.3	0.352
257	6.9	8.3	0.365
258	6.8	8.3	0.453
259	6.9	8.3	0.506
260	7.2	8.3	0.626
261	7.4	8.3	0.643
262	7.7	8.3	0.599
263	7.6	8.3	0.361
264	7.7	8.2	0.226
265	7.7	8.2	0.156
266	7.8	8.2	0.084
267	7.8	8.2	0.033
268	7.8	8.2	0.024
269	7.6	8.2	0.072
270	7.7	8.2	0.180
271	7.6	8.2	0.487
272	7.7	8.2	0.522
273	7.7	8.2	0.524
274	7.5	8.2	0.549
275	7.2	8.2	0.524
276	6.8	8.2	0.508
277	6.4	8.2	0.470
278	6.2	8.2	0.413
279	6.0	8.2	0.377
280	6.0	8.2	0.352
281	5.9	8.2	0.365
282	6.1	8.2	0.453
283	6.1	8.2	0.506
284	6.1	8.2	0.626
285	6.3	8.2	0.643
286	6.4	8.2	0.599
287	6.4	8.2	0.361
288	6.5	8.2	0.226
289	6.3	8.2	0.156
290	6.3	8.2	0.084
291	6.2	8.2	0.033
292	6.2	8.2	0.024
293	6.3	8.2	0.072
294	6.4	8.1	0.180
295	6.2	8.1	0.487
296	6.2	8.1	0.522
297	6.2	8.1	0.524
298	6.2	8.1	0.549
299	5.8	8.1	0.524
300	5.6	8.1	0.508
301	5.4	8.1	0.470
302	5.2	8.1	0.413
303	5.2	8.1	0.377
304	5.0	8.1	0.352
305	5.3	8.1	0.365
306	5.2	8.1	0.453
307	5.2	8.1	0.506
308	5.3	8.1	0.626
309	5.4	8.1	0.643
310	5.7	8.1	0.599
311	5.7	8.1	0.361
312	5.8	8.1	0.226
313	5.9	8.1	0.156
314	5.8	8.1	0.084
315	5.9	8.1	0.033
316	5.7	8.1	0.024
317	5.6	8.1	0.072
318	5.5	8.1	0.180
319	5.6	8.0	0.487
320	5.7	8.0	0.522
321	5.7	8.0	0.524
322	5.6	8.0	0.549
323	5.5	8.0	0.524
324	5.6	8.0	0.508
325	5.4	8.0	0.470
326	5.3	8.0	0.413
327	4.9	8.0	0.377
328	4.7	8.0	0.352
329	4.9	8.0	0.365
