# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.6	1.0	0.033
2	0.6	1.0	0.018
3	0.7	1.0	0.007
4	0.7	0.9	0.005
5	0.7	0.9	0.015
6	0.7	0.9	0.038
7	0.7	0.9	0.104
8	0.7	0.9	0.111
9	0.7	0.9	0.111
10	0.6	0.9	0.117
11	0.6	0.9	0.111
12	0.6	0.9	0.108
13	0.6	0.9	0.100
14	0.6	0.9	0.088
15	0.6	0.9	0.080
16	0.6	0.9	0.075
17	0.6	0.9	0.078
18	0.7	0.9	0.096
19	0.7	0.9	0.107
20	0.7	0.9	0.133
21	0.7	0.9	0.137
22	0.8	0.9	0.127
23	0.8	0.9	0.077
24	0.8	0.9	0.048
25	0.8	0.9	0.033
26	0.8	0.9	0.018
27	0.8	0.9	0.007
28	0.8	0.9	0.005
29	0.8	0.9	0.015
30	0.8	0.9	0.038
31	0.8	0.9	0.104
32	0.8	0.9	0.111
33	0.8	0.9	0.111
34	0.8	0.9	0.117
35	0.8	0.9	0.111
36	0.7	0.9	0.108
37	0.7	0.9	0.100
38	0.7	0.9	0.088
39	0.7	0.9	0.080
40	0.7	0.9	0.075
41	0.7	0.9	0.078
42	0.8	0.9	0.096
43	0.8	0.9	0.107
44	0.8	0.9	0.133
45	0.8	0.9	0.137
46	0.8	0.9	0.127
47	0.8	0.9	0.077
48	0.8	0.9	0.048
49	0.8	0.9	0.033
50	0.8	0.9	0.018
51	0.8	0.9	0.007
52	0.8	0.9	0.005
53	0.8	0.9	0.015
54	0.8	0.9	0.038
55	0.8	0.9	0.104
56	0.8	0.9	0.111
57	0.8	0.9	0.111
58	0.8	0.9	0.117
59	0.8	0.9	0.111
60	0.8	0.9	0.108
61	0.7	0.9	0.100
62	0.7	0.9	0.088
63	0.7	0.9	0.080
64	0.7	0.9	0.075
65	0.7	0.9	0.078
66	0.7	0.9	0.096
67	0.8	0.9	0.107
68	0.8	0.9	0.133
69	0.8	0.9	0.137
70	0.8	0.9	0.127
71	0.8	0.8	0.077
72	0.9	0.8	0.048
73	0.9	0.8	0.033
74	0.9	0.8	0.018
75	0.9	0.8	0.007
76	0.9	0.8	0.005
77	0.9	0.8	0.015
78	0.9	0.8	0.038
79	0.8	0.8	0.104
80	0.8	0.8	0.111
81	0.8	0.8	0.111
82	0.8	0.8	0.117
83	0.7	0.8	0.111
84	0.6	0.8	0.108
85	0.6	0.8	0.100
86	0.6	0.8	0.088
87	0.6	0.8	0.080
88	0.6	0.8	0.075
89	0.6	0.8	0.078
90	0.6	0.8	0.096
91	0.6	0.8	0.107
92	0.6	0.8	0.133
93	0.6	0.8	0.137
94	0.6	0.8	0.127
95	0.6	0.8	0.077
96	0.6	0.8	0.048
97	0.6	0.8	0.033
98	0.6	0.8	0.018
99	0.6	0.8	0.007
100	0.6	0.8	0.005
101	0.7	0.8	0.015
102	0.7	0.8	0.038
103	0.7	0.8	0.104
104	0.7	0.8	0.111
105	0.7	0.8	0.111
106	0.7	0.8	0.117
107	0.7	0.8	0.111
108	0.7	0.8	0.108
109	0.7	0.8	0.100
110	0.8	0.8	0.088
111	0.8	0.8	0.080
112	0.8	0.8	0.075
113	0.8	0.8	0.078
114	0.9	0.8	0.096
115	0.9	0.8	0.107
116	0.9	0.8	0.133
117	0.9	0.8	0.137
118	0.9	0.8	0.127
119	0.9	0.8	0.077
120	0.9	0.8	0.048
121	1.0	0.8	0.033
122	1.0	0.8	0.018
123	1.0	0.8	0.007
124	0.9	0.8	0.005
125	0.9	0.8	0.015
126	0.9	0.8	0.038
127	0.9	0.8	0.104
128	0.9	0.8	0.111
129	0.9	0.8	0.111
130	0.8	0.8	0.117
131	0.8	0.8	0.111
132	0.7	0.8	0.108
133	0.7	0.8	0.100
134	0.6	0.8	0.088
135	0.6	0.8	0.080
136	0.6	0.8	0.075
137	0.6	0.8	0.078
138	0.6	0.8	0.096
139	0.6	0.8	0.107
140	0.6	0.8	0.133
141	0.6	0.8	0.137
142	0.6	0.8	0.127
143	0.6	0.8	0.077
144	0.6	0.8	0.048
145	0.6	0.8	0.033
146	0.6	0.8	0.018
147	0.6	0.8	0.007
148	0.6	0.8	0.005
149	0.6	0.8	0.015
150	0.6	0.8	0.038
151	0.6	0.8	0.104
152	0.6	0.8	0.111
153	0.6	0.8	0.111
154	0.6	0.8	0.117
155	0.6	0.8	0.111
156	0.5	0.8	0.108
157	0.5	0.8	0.100
158	0.5	0.8	0.088
159	0.4	0.8	0.080
160	0.4	0.8	0.075
161	0.5	0.8	0.078
162	0.5	0.8	0.096
163	0.5	0.8	0.107
164	0.6	0.8	0.133
165	0.6	0.8	0.137
166	0.6	0.8	0.127
167	0.6	0.8	0.077
168	0.6	0.8	0.048
169	0.7	0.8	0.033
170	0.6	0.8	0.018
171	0.7	0.8	0.007
172	0.6	0.8	0.005
173	0.6	0.8	0.015
174	0.6	0.8	0.038
175	0.6	0.8	0.104
176	0.6	0.8	0.111
177	0.6	0.8	0.111
178	0.6	0.8	0.117
179	0.5	0.8	0.111
180	0.5	0.8	0.108
181	0.5	0.8	0.100
182	0.5	0.8	0.088
183	0.5	0.8	0.080
184	0.5	0.8	0.075
185	0.5	0.8	0.078
186	0.5	0.8	0.096
187	0.5	0.8	0.107
188	0.5	0.8	0.133
189	0.5	0.8	0.137
190	0.5	0.8	0.127
191	0.5	0.8	0.077
192	0.4	0.8	0.048
193	0.4	0.8	0.033
194	0.4	0.8	0.018
195	0.4	0.8	0.007
196	0.4	0.8	0.005
197	0.4	0.7	0.015
198	0.4	0.7	0.038
199	0.4	0.7	0.104
200	0.4	0.7	0.111
201	0.4	0.7	0.111
202	0.4	0.7	0.117
203	0.4	0.7	0.111
204	0.4	0.7	0.108
205	0.4	0.7	0.100
206	0.4	0.7	0.088
207	0.3	0.7	0.080
208	0.3	0.7	0.075
209	0.3	0.7	0.078
210	0.3	0.7	0.096
211	0.3	0.7	0.107
212	0.3	0.7	0.133
213	0.3	0.7	0.137
214	0.3	0.7	0.127
215	0.3	0.7	0.077
216	0.3	0.7	0.048
217	0.3	0.7	0.033
218	0.3	0.7	0.018
219	0.3	0.7	0.007
220	0.3	0.7	0.005
221	0.3	0.7	0.015
222	0.4	0.7	0.038
223	0.4	0.7	0.104
224	0.4	0.7	0.111
225	0.4	0.7	0.111
226	0.4	0.7	0.117
227	0.4	0.7	0.111
228	0.4	0.7	0.108
229	0.4	0.7	0.100
230	0.4	0.7	0.088
231	0.4	0.7	0.080
232	0.4	0.7	0.075
233	0.4	0.7	0.078
234	0.5	0.7	0.096
235	0.5	0.7	0.107
236	0.5	0.7	0.133
237	0.6	0.7	0.137
238	0.6	0.7	0.127
239	0.6	0.7	0.077
240	0.6	0.7	0.048
241	0.7	0.7	0.033
242	0.7	0.7	0.018
243	0.7	0.7	0.007
244	0.7	0.7	0.005
245	0.7	0.7	0.015
246	0.7	0.7	0.038
247	0.7	0.7	0.104
248	0.7	0.7	0.111
249	0.7	0.7	0.111
250	0.6	0.7	0.117
251	0.6	0.7	0.111
252	0.6	0.7	0.108
253	0.6	0.7	0.100
254	0.5	0.7	0.088
255	0.5	0.7	0.080
256	0.6	0.7	0.075
257	0.6	0.7	0.078
258	0.6	0.7	0.096
259	0.6	0.7	0.107
260	0.6	0.7	0.133
261	0.7	0.7	0.137
262	0.7	0.7	0.127
