# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.9	1.5	0.064
2	1.0	1.5	0.035
3	1.0	1.4	0.014
4	1.0	1.4	0.010
5	1.0	1.4	0.029
6	1.0	1.4	0.074
7	1.0	1.4	0.200
8	1.0	1.4	0.214
9	1.0	1.4	0.215
10	0.9	1.4	0.225
11	0.9	1.4	0.215
12	0.9	1.4	0.208
13	0.8	1.4	0.193
14	0.9	1.4	0.169
15	0.9	1.4	0.154
16	0.9	1.4	0.144
17	0.9	1.4	0.150
18	1.0	1.3	0.186
19	1.1	1.3	0.207
20	1.1	1.3	0.256
21	1.1	1.3	0.263
22	1.1	1.3	0.246
23	1.2	1.3	0.148
24	1.2	1.3	0.093
25	1.2	1.3	0.064
26	1.2	1.3	0.035
27	1.2	1.3	0.014
28	1.2	1.3	0.010
29	1.2	1.3	0.029
30	1.2	1.3	0.074
31	1.2	1.3	0.200
32	1.2	1.3	0.214
33	1.2	1.3	0.215
34	1.2	1.3	0.225
35	1.1	1.3	0.215
36	1.1	1.3	0.208
37	1.1	1.3	0.193
38	1.1	1.3	0.169
39	1.0	1.3	0.154
40	1.0	1.3	0.144
41	1.1	1.3	0.150
42	1.1	1.3	0.186
43	1.1	1.3	0.207
44	1.1	1.3	0.256
45	1.2	1.3	0.263
46	1.2	1.3	0.246
47	1.2	1.3	0.148
48	1.2	1.3	0.093
49	1.2	1.3	0.064
50	1.2	1.3	0.035
51	1.2	1.3	0.014
52	1.2	1.3	0.010
53	1.2	1.3	0.029
54	1.2	1.3	0.074
55	1.2	1.3	0.200
56	1.2	1.3	0.214
57	1.2	1.3	0.215
58	1.2	1.3	0.225
59	1.2	1.3	0.215
60	1.2	1.3	0.208
61	1.1	1.3	0.193
62	1.1	1.3	0.169
63	1.1	1.3	0.154
64	1.1	1.3	0.144
65	1.1	1.3	0.150
66	1.1	1.3	0.186
67	1.2	1.3	0.207
68	1.2	1.3	0.256
69	1.2	1.3	0.263
70	1.2	1.3	0.246
71	1.3	1.3	0.148
72	1.3	1.3	0.093
73	1.3	1.3	0.064
74	1.3	1.3	0.035
75	1.3	1.3	0.014
76	1.3	1.3	0.010
77	1.3	1.3	0.029
78	1.3	1.3	0.074
79	1.3	1.3	0.200
80	1.2	1.3	0.214
81	1.2	1.3	0.215
82	1.1	1.3	0.225
83	1.0	1.3	0.215
84	0.9	1.2	0.208
85	0.9	1.2	0.193
86	0.8	1.2	0.169
87	0.9	1.2	0.154
88	0.8	1.2	0.144
89	0.9	1.2	0.150
90	0.9	1.2	0.186
91	0.9	1.2	0.207
92	0.8	1.2	0.256
93	0.9	1.2	0.263
94	0.9	1.2	0.246
95	0.9	1.2	0.148
96	0.9	1.2	0.093
97	0.9	1.2	0.064
98	0.9	1.2	0.035
99	0.9	1.2	0.014
100	1.0	1.2	0.010
101	1.0	1.2	0.029
102	1.0	1.2	0.074
103	1.0	1.2	0.200
104	1.1	1.2	0.214
105	1.1	1.2	0.215
106	1.1	1.2	0.225
107	1.1	1.2	0.215
108	1.1	1.2	0.208
109	1.1	1.2	0.193
110	1.1	1.2	0.169
111	1.2	1.2	0.154
112	1.2	1.2	0.144
113	1.2	1.2	0.150
114	1.3	1.2	0.186
115	1.3	1.2	0.207
116	1.3	1.2	0.256
117	1.3	1.2	0.263
118	1.4	1.2	0.246
119	1.4	1.2	0.148
120	1.4	1.2	0.093
121	1.5	1.2	0.064
122	1.5	1.2	0.035
123	1.4	1.2	0.014
124	1.4	1.2	0.010
125	1.4	1.2	0.029
126	1.3	1.2	0.074
127	1.3	1.2	0.200
128	1.3	1.2	0.214
129	1.3	1.2	0.215
130	1.2	1.2	0.225
131	1.2	1.2	0.215
132	1.1	1.2	0.208
133	1.0	1.2	0.193
134	0.9	1.2	0.169
135	0.9	1.2	0.154
136	0.9	1.2	0.144
137	0.9	1.2	0.150
138	0.9	1.2	0.186
139	0.9	1.2	0.207
140	0.9	1.2	0.256
141	0.9	1.2	0.263
142	0.9	1.2	0.246
143	0.9	1.2	0.148
144	0.9	1.2	0.093
145	0.8	1.2	0.064
146	0.9	1.2	0.035
147	0.9	1.2	0.014
148	0.9	1.2	0.010
149	0.9	1.2	0.029
150	0.9	1.2	0.074
151	0.9	1.2	0.200
152	0.9	1.2	0.214
153	0.9	1.2	0.215
154	0.9	1.2	0.225
155	0.8	1.2	0.215
156	0.8	1.2	0.208
157	0.8	1.2	0.193
158	0.7	1.2	0.169
159	0.7	1.2	0.154
160	0.7	1.2	0.144
161	0.7	1.2	0.150
162	0.8	1.2	0.186
163	0.8	1.2	0.207
164	0.8	1.2	0.256
165	0.9	1.2	0.263
166	0.9	1.2	0.246
167	0.9	1.2	0.148
168	1.0	1.2	0.093
169	1.0	1.2	0.064
170	1.0	1.1	0.035
171	1.0	1.1	0.014
172	0.9	1.1	0.010
173	0.9	1.1	0.029
174	0.9	1.1	0.074
175	0.9	1.1	0.200
176	0.9	1.1	0.214
177	0.9	1.1	0.215
178	0.9	1.1	0.225
179	0.8	1.1	0.215
180	0.8	1.1	0.208
181	0.8	1.1	0.193
182	0.8	1.1	0.169
183	0.8	1.1	0.154
184	0.8	1.1	0.144
185	0.8	1.1	0.150
186	0.8	1.1	0.186
187	0.8	1.1	0.207
188	0.8	1.1	0.256
189	0.7	1.1	0.263
190	0.7	1.1	0.246
191	0.7	1.1	0.148
192	0.7	1.1	0.093
193	0.6	1.1	0.064
194	0.6	1.1	0.035
195	0.6	1.1	0.014
196	0.7	1.1	0.010
197	0.6	1.1	0.029
198	0.6	1.1	0.074
199	0.6	1.1	0.200
200	0.6	1.1	0.214
201	0.6	1.1	0.215
202	0.6	1.1	0.225
203	0.6	1.1	0.215
204	0.6	1.1	0.208
205	0.6	1.1	0.193
206	0.5	1.1	0.169
207	0.5	1.1	0.154
208	0.5	1.1	0.144
209	0.5	1.1	0.150
210	0.5	1.1	0.186
211	0.5	1.1	0.207
212	0.5	1.1	0.256
213	0.5	1.1	0.263
214	0.5	1.1	0.246
215	0.5	1.1	0.148
216	0.4	1.1	0.093
217	0.4	1.1	0.064
218	0.5	1.1	0.035
219	0.5	1.1	0.014
220	0.5	1.1	0.010
221	0.5	1.1	0.029
222	0.5	1.1	0.074
223	0.6	1.1	0.200
224	0.6	1.1	0.214
225	0.6	1.1	0.215
226	0.6	1.1	0.225
227	0.6	1.1	0.215
228	0.6	1.1	0.208
229	0.6	1.1	0.193
230	0.6	1.1	0.169
231	0.6	1.1	0.154
232	0.6	1.1	0.144
233	0.7	1.1	0.150
234	0.7	1.1	0.186
235	0.7	1.1	0.207
236	0.8	1.1	0.256
237	0.8	1.1	0.263
238	0.9	1.1	0.246
239	0.9	1.1	0.148
240	1.0	1.1	0.093
241	1.0	1.1	0.064
242	1.0	1.1	0.035
243	1.0	1.1	0.014
244	1.0	1.1	0.010
245	1.0	1.1	0.029
246	1.0	1.1	0.074
247	1.0	1.1	0.200
248	1.0	1.1	0.214
249	1.0	1.1	0.215
250	0.9	1.1	0.225
251	1.0	1.1	0.215
252	0.9	1.1	0.208
253	0.9	1.1	0.193
254	0.8	1.1	0.169
255	0.8	1.1	0.154
256	0.8	1.1	0.144
257	0.9	1.1	0.150
258	0.9	1.1	0.186
259	0.9	1.1	0.207
260	1.0	1.1	0.256
261	1.0	1.1	0.263
262	1.0	1.1	0.246
263	1.0	1.1	0.148
264	1.0	1.1	0.093
265	1.0	1.1	0.064
266	1.0	1.1	0.035
267	1.0	1.1	0.014
268	1.0	1.1	0.010
269	1.0	1.1	0.029
270	1.0	1.1	0.074
271	1.0	1.1	0.200
272	1.0	1.1	0.214
273	1.0	1.1	0.215
