# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.4	4.6	0.175
2	2.5	4.6	0.095
3	2.6	4.4	0.037
4	2.6	4.4	0.027
5	2.6	4.4	0.080
6	2.6	4.4	0.202
7	2.6	4.3	0.545
8	3.2	4.3	0.584
9	3.2	4.3	0.586
10	3.0	4.3	0.614
11	3.0	4.3	0.586
12	2.8	4.3	0.568
13	2.7	4.3	0.526
14	2.8	4.2	0.462
15	2.8	4.2	0.422
16	2.8	4.2	0.393
17	3.0	4.2	0.409
18	3.3	4.2	0.507
19	3.5	4.2	0.566
20	3.5	4.2	0.700
21	3.6	4.2	0.719
22	3.7	4.2	0.671
23	3.8	4.2	0.404
24	3.9	4.2	0.253
25	3.4	4.2	0.175
26	3.3	4.2	0.095
27	3.3	4.2	0.037
28	3.3	4.2	0.027
29	3.3	4.2	0.080
30	3.2	4.2	0.202
31	3.3	4.1	0.545
32	4.0	4.1	0.584
33	3.9	4.1	0.586
34	3.8	4.1	0.614
35	3.7	4.1	0.586
36	3.5	4.1	0.568
37	3.4	4.1	0.526
38	3.4	4.1	0.462
39	3.3	4.1	0.422
40	3.4	4.1	0.393
41	3.5	4.1	0.409
42	3.7	4.1	0.507
43	3.7	4.1	0.566
44	3.7	4.1	0.700
45	3.7	4.0	0.719
46	3.8	4.0	0.671
47	3.8	4.0	0.404
48	3.8	4.0	0.253
49	3.2	4.0	0.175
50	3.1	4.0	0.095
51	3.2	4.0	0.037
52	3.2	4.0	0.027
53	3.3	4.0	0.080
54	3.2	4.0	0.202
55	3.3	4.0	0.545
56	3.9	4.0	0.584
57	3.9	4.0	0.586
58	3.9	4.0	0.614
59	3.8	3.9	0.586
60	3.8	3.9	0.568
61	3.6	3.9	0.526
62	3.5	3.9	0.462
63	3.4	3.9	0.422
64	3.4	3.9	0.393
65	3.5	3.9	0.409
66	3.6	3.9	0.507
67	3.7	3.9	0.566
68	3.8	3.9	0.700
69	3.9	3.9	0.719
70	4.0	3.9	0.671
71	4.1	3.9	0.404
72	4.2	3.9	0.253
73	3.6	3.9	0.175
74	3.6	3.8	0.095
75	3.6	3.8	0.037
76	3.6	3.8	0.027
77	3.6	3.8	0.080
78	3.6	3.8	0.202
79	3.5	3.8	0.545
