# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.5	7.0	0.283
2	4.6	6.9	0.153
3	4.8	6.8	0.060
4	4.7	6.8	0.043
5	4.7	6.8	0.130
6	4.8	6.8	0.327
7	4.7	6.6	0.883
8	4.7	6.5	0.946
9	4.7	6.5	0.950
10	4.4	6.5	0.995
11	4.4	6.5	0.950
12	4.2	6.5	0.921
13	4.0	6.5	0.852
14	4.1	6.5	0.749
15	4.1	6.5	0.683
16	4.2	6.5	0.637
17	4.4	6.4	0.662
18	4.8	6.4	0.821
19	5.1	6.4	0.917
20	5.2	6.4	1.134
21	5.3	6.4	1.165
22	5.4	6.4	1.086
23	5.5	6.4	0.654
24	5.7	6.4	0.410
25	5.9	6.4	0.283
26	5.8	6.4	0.153
27	5.8	6.4	0.060
28	5.8	6.3	0.043
29	5.8	6.3	0.130
30	5.7	6.3	0.327
31	5.8	6.3	0.883
32	5.8	6.3	0.946
33	5.7	6.3	0.950
34	5.6	6.3	0.995
35	5.4	6.3	0.950
36	5.2	6.2	0.921
37	5.1	6.2	0.852
38	5.0	6.2	0.749
39	4.8	6.2	0.683
40	5.0	6.2	0.637
41	5.2	6.2	0.662
42	5.4	6.2	0.821
43	5.4	6.2	0.917
44	5.5	6.2	1.134
45	5.5	6.2	1.165
46	5.5	6.2	1.086
47	5.6	6.2	0.654
48	5.6	6.2	0.410
49	5.6	6.2	0.283
50	5.5	6.2	0.153
51	5.6	6.2	0.060
52	5.7	6.2	0.043
53	5.7	6.2	0.130
54	5.7	6.2	0.327
55	5.8	6.2	0.883
56	5.8	6.2	0.946
57	5.7	6.2	0.950
58	5.7	6.2	0.995
59	5.6	6.2	0.950
60	5.5	6.2	0.921
61	5.3	6.1	0.852
62	5.2	6.1	0.749
63	5.1	6.1	0.683
64	5.1	6.1	0.637
65	5.1	6.1	0.662
66	5.3	6.1	0.821
67	5.5	6.1	0.917
68	5.6	6.1	1.134
69	5.8	6.1	1.165
70	5.9	6.1	1.086
71	6.1	6.1	0.654
72	6.1	6.1	0.410
73	6.2	6.1	0.283
74	6.2	6.1	0.153
75	6.2	6.1	0.060
76	6.2	6.1	0.043
77	6.2	6.0	0.130
78	6.1	6.0	0.327
79	6.0	6.0	0.883
80	5.8	6.0	0.946
81	5.7	6.0	0.950
82	5.4	6.0	0.995
83	4.9	6.0	0.950
84	4.5	6.0	0.921
85	4.2	5.9	0.852
86	4.0	5.9	0.749
87	4.1	5.9	0.683
88	4.0	5.9	0.637
89	4.1	5.9	0.662
90	4.1	5.9	0.821
91	4.1	5.9	0.917
92	4.0	5.9	1.134
93	4.2	5.8	1.165
94	4.2	5.8	1.086
95	4.3	5.8	0.654
96	4.3	5.8	0.410
97	4.3	5.8	0.283
98	4.3	5.8	0.153
99	4.5	5.8	0.060
100	4.6	5.8	0.043
101	4.7	5.8	0.130
102	4.8	5.8	0.327
103	5.0	5.8	0.883
104	5.0	5.8	0.946
105	5.1	5.8	0.950
106	5.1	5.8	0.995
107	5.2	5.8	0.950
108	5.3	5.8	0.921
109	5.3	5.8	0.852
110	5.4	5.7	0.749
111	5.7	5.7	0.683
112	5.6	5.7	0.637
113	5.9	5.7	0.662
114	6.2	5.7	0.821
115	6.2	5.7	0.917
116	6.1	5.7	1.134
117	6.2	5.7	1.165
118	6.5	5.7	1.086
119	6.8	5.7	0.654
120	6.8	5.7	0.410
121	6.9	5.7	0.283
122	7.0	5.7	0.153
123	6.8	5.7	0.060
124	6.8	5.7	0.043
125	6.5	5.7	0.130
126	6.3	5.6	0.327
127	6.2	5.6	0.883
128	6.2	5.6	0.946
129	6.1	5.6	0.950
130	5.8	5.6	0.995
131	5.5	5.6	0.950
132	5.2	5.6	0.921
133	4.8	5.6	0.852
134	4.5	5.6	0.749
135	4.4	5.6	0.683
136	4.1	5.6	0.637
137	4.2	5.6	0.662
138	4.3	5.6	0.821
139	4.1	5.6	0.917
140	4.1	5.6	1.134
141	4.1	5.6	1.165
142	4.1	5.6	1.086
143	4.1	5.6	0.654
144	4.1	5.6	0.410
145	4.0	5.6	0.283
146	4.1	5.6	0.153
147	4.2	5.6	0.060
148	4.2	5.6	0.043
149	4.4	5.5	0.130
150	4.3	5.5	0.327
151	4.3	5.5	0.883
152	4.4	5.5	0.946
153	4.3	5.5	0.950
154	4.1	5.5	0.995
155	3.9	5.5	0.950
156	3.7	5.5	0.921
157	3.6	5.5	0.852
158	3.3	5.5	0.749
159	3.2	5.5	0.683
160	3.2	5.5	0.637
161	3.4	5.5	0.662
162	3.6	5.5	0.821
163	3.9	5.5	0.917
164	4.0	5.5	1.134
165	4.2	5.5	1.165
166	4.2	5.5	1.086
167	4.5	5.5	0.654
168	4.6	5.5	0.410
169	4.7	5.5	0.283
170	4.6	5.5	0.153
171	4.7	5.5	0.060
172	4.5	5.5	0.043
173	4.4	5.5	0.130
174	4.3	5.5	0.327
175	4.3	5.5	0.883
176	4.2	5.5	0.946
177	4.2	5.5	0.950
178	4.1	5.5	0.995
179	3.9	5.5	0.950
180	3.7	5.5	0.921
181	3.7	5.5	0.852
182	3.6	5.5	0.749
183	3.7	5.5	0.683
184	3.7	5.4	0.637
185	3.7	5.4	0.662
186	3.7	5.4	0.821
187	3.8	5.4	0.917
188	3.6	5.4	1.134
