# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.2	0.4	0.008
2	0.2	0.4	0.005
3	0.2	0.4	0.002
4	0.2	0.4	0.001
5	0.2	0.4	0.004
6	0.2	0.4	0.010
7	0.2	0.3	0.026
8	0.2	0.3	0.028
9	0.2	0.3	0.028
10	0.2	0.3	0.030
11	0.2	0.3	0.028
12	0.2	0.3	0.028
13	0.2	0.3	0.025
14	0.2	0.3	0.022
15	0.2	0.3	0.020
16	0.2	0.3	0.019
17	0.2	0.3	0.020
18	0.2	0.3	0.025
19	0.3	0.3	0.027
20	0.3	0.3	0.034
21	0.3	0.3	0.035
22	0.3	0.3	0.032
23	0.3	0.3	0.020
24	0.3	0.3	0.012
25	0.3	0.3	0.008
26	0.3	0.3	0.005
27	0.3	0.3	0.002
28	0.3	0.3	0.001
29	0.3	0.3	0.004
30	0.3	0.3	0.010
31	0.3	0.3	0.026
32	0.3	0.3	0.028
33	0.3	0.3	0.028
34	0.3	0.3	0.030
35	0.3	0.3	0.028
36	0.3	0.3	0.028
37	0.3	0.3	0.025
38	0.3	0.3	0.022
39	0.3	0.3	0.020
40	0.3	0.3	0.019
41	0.3	0.3	0.020
42	0.3	0.3	0.025
43	0.3	0.3	0.027
44	0.3	0.3	0.034
45	0.3	0.3	0.035
46	0.3	0.3	0.032
47	0.3	0.3	0.020
48	0.3	0.3	0.012
49	0.3	0.3	0.008
50	0.3	0.3	0.005
51	0.3	0.3	0.002
52	0.3	0.3	0.001
53	0.3	0.3	0.004
54	0.3	0.3	0.010
55	0.3	0.3	0.026
56	0.3	0.3	0.028
57	0.3	0.3	0.028
58	0.3	0.3	0.030
59	0.3	0.3	0.028
60	0.3	0.3	0.028
61	0.3	0.3	0.025
62	0.3	0.3	0.022
63	0.3	0.3	0.020
64	0.3	0.3	0.019
65	0.3	0.3	0.020
66	0.3	0.3	0.025
67	0.3	0.3	0.027
68	0.3	0.3	0.034
69	0.3	0.3	0.035
70	0.3	0.3	0.032
71	0.3	0.3	0.020
72	0.3	0.3	0.012
73	0.3	0.3	0.008
74	0.3	0.3	0.005
75	0.3	0.3	0.002
76	0.3	0.3	0.001
77	0.3	0.3	0.004
78	0.3	0.3	0.010
79	0.3	0.3	0.026
80	0.3	0.3	0.028
81	0.3	0.3	0.028
82	0.3	0.3	0.030
83	0.3	0.3	0.028
84	0.2	0.3	0.028
85	0.2	0.3	0.025
86	0.2	0.3	0.022
87	0.2	0.3	0.020
88	0.2	0.3	0.019
89	0.2	0.3	0.020
90	0.2	0.3	0.025
91	0.2	0.3	0.027
92	0.2	0.3	0.034
93	0.2	0.3	0.035
94	0.2	0.3	0.032
95	0.2	0.3	0.020
96	0.2	0.3	0.012
97	0.2	0.3	0.008
98	0.2	0.3	0.005
99	0.2	0.3	0.002
100	0.2	0.3	0.001
101	0.2	0.3	0.004
102	0.2	0.3	0.010
103	0.3	0.3	0.026
104	0.3	0.3	0.028
105	0.3	0.3	0.028
