# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.5	14.3	0.251
2	7.7	14.2	0.136
3	8.1	13.7	0.053
4	8.0	13.7	0.039
5	8.1	13.6	0.116
6	8.1	13.6	0.290
7	7.9	13.5	0.784
8	9.8	13.5	0.839
9	9.8	13.4	0.842
10	9.3	13.4	0.883
11	9.3	13.3	0.842
12	8.8	13.3	0.817
13	8.5	13.3	0.756
14	8.6	13.2	0.664
15	8.5	13.2	0.606
16	8.8	13.2	0.565
17	9.3	13.1	0.587
18	10.1	13.1	0.729
19	10.8	13.1	0.813
20	10.9	13.1	1.006
21	11.0	13.1	1.033
22	11.4	13.1	0.964
23	11.7	13.1	0.580
24	12.1	13.0	0.363
25	10.6	13.0	0.251
26	10.2	13.0	0.136
27	10.3	13.0	0.053
28	10.3	13.0	0.039
29	10.2	12.9	0.116
30	10.0	12.9	0.290
31	10.2	12.9	0.784
32	12.3	12.9	0.839
33	12.0	12.9	0.842
34	11.7	12.8	0.883
35	11.4	12.8	0.842
36	10.9	12.8	0.817
37	10.7	12.8	0.756
38	10.5	12.7	0.664
39	10.2	12.7	0.606
40	10.4	12.7	0.565
41	10.9	12.7	0.587
42	11.4	12.7	0.729
43	11.4	12.7	0.813
44	11.5	12.6	1.006
45	11.6	12.6	1.033
46	11.6	12.6	0.964
47	11.7	12.5	0.580
48	11.7	12.5	0.363
49	9.8	12.5	0.251
50	9.8	12.5	0.136
51	9.8	12.5	0.053
52	10.1	12.4	0.039
53	10.2	12.4	0.116
54	10.0	12.4	0.290
55	10.4	12.4	0.784
56	12.1	12.4	0.839
57	12.0	12.4	0.842
58	12.1	12.3	0.883
59	11.7	12.3	0.842
60	11.6	12.3	0.817
61	11.1	12.3	0.756
62	10.9	12.2	0.664
63	10.7	12.2	0.606
64	10.6	12.2	0.565
65	10.8	12.2	0.587
66	11.2	12.2	0.729
67	11.6	12.2	0.813
68	11.8	12.1	1.006
69	12.2	12.1	1.033
70	12.5	12.1	0.964
71	12.7	12.1	0.580
72	12.9	12.1	0.363
73	11.1	12.0	0.251
74	11.1	12.0	0.136
75	11.0	12.0	0.053
76	11.1	12.0	0.039
77	11.1	12.0	0.116
78	11.0	12.0	0.290
79	10.8	12.0	0.784
80	12.2	12.0	0.839
81	11.9	11.9	0.842
82	11.3	11.9	0.883
83	10.2	11.9	0.842
84	9.5	11.9	0.817
85	8.7	11.9	0.756
86	8.4	11.9	0.664
87	8.5	11.9	0.606
88	8.5	11.9	0.565
89	8.6	11.9	0.587
90	8.7	11.9	0.729
91	8.7	11.8	0.813
92	8.5	11.8	1.006
93	8.7	11.8	1.033
94	8.9	11.8	0.964
95	9.0	11.8	0.580
96	9.0	11.8	0.363
97	7.1	11.8	0.251
98	7.2	11.8	0.136
99	7.6	11.8	0.053
100	7.8	11.8	0.039
101	8.0	11.8	0.116
102	8.2	11.8	0.290
103	8.6	11.8	0.784
104	10.6	11.8	0.839
105	10.8	11.7	0.842
106	10.8	11.7	0.883
107	10.9	11.7	0.842
108	11.0	11.7	0.817
109	11.1	11.7	0.756
110	11.3	11.7	0.664
111	11.9	11.7	0.606
112	11.9	11.7	0.565
113	12.4	11.7	0.587
114	12.9	11.7	0.729
115	13.0	11.7	0.813
116	12.8	11.7	1.006
117	13.1	11.7	1.033
118	13.6	11.7	0.964
119	14.2	11.6	0.580
120	14.3	11.6	0.363
121	12.7	11.6	0.251
122	12.7	11.6	0.136
123	12.4	11.6	0.053
124	12.4	11.6	0.039
125	11.8	11.6	0.116
126	11.3	11.6	0.290
127	11.2	11.6	0.784
128	13.0	11.6	0.839
129	12.8	11.6	0.842
130	12.3	11.6	0.883
131	11.6	11.6	0.842
132	11.0	11.6	0.817
133	10.1	11.6	0.756
134	9.4	11.6	0.664
135	9.1	11.6	0.606
136	8.7	11.6	0.565
137	8.7	11.5	0.587
138	9.0	11.5	0.729
139	8.6	11.5	0.813
140	8.6	11.5	1.006
141	8.7	11.5	1.033
142	8.7	11.5	0.964
143	8.7	11.5	0.580
144	8.6	11.4	0.363
145	6.6	11.4	0.251
146	6.8	11.4	0.136
147	6.8	11.4	0.053
148	7.0	11.4	0.039
149	7.3	11.4	0.116
150	7.1	11.4	0.290
151	7.2	11.4	0.784
152	9.3	11.4	0.839
153	9.1	11.4	0.842
154	8.5	11.3	0.883
155	8.3	11.3	0.842
156	7.9	11.3	0.817
157	7.6	11.3	0.756
158	6.9	11.3	0.664
159	6.7	11.3	0.606
160	6.6	11.3	0.565
161	7.2	11.3	0.587
162	7.6	11.3	0.729
163	8.2	11.3	0.813
164	8.3	11.3	1.006
165	8.8	11.2	1.033
166	8.9	11.2	0.964
167	9.5	11.2	0.580
168	9.6	11.2	0.363
169	7.9	11.2	0.251
170	7.8	11.2	0.136
171	7.9	11.2	0.053
172	7.6	11.2	0.039
173	7.4	11.2	0.116
174	7.1	11.2	0.290
175	7.1	11.2	0.784
176	8.8	11.2	0.839
177	8.8	11.2	0.842
178	8.6	11.2	0.883
179	8.1	11.1	0.842
180	7.7	11.1	0.817
181	7.9	11.1	0.756
182	7.6	11.1	0.664
183	7.8	11.1	0.606
184	7.8	11.1	0.565
185	7.7	11.1	0.587
186	7.8	11.1	0.729
187	8.0	11.1	0.813
