# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.6	4.0	0.040
2	2.6	4.0	0.021
3	2.7	3.9	0.008
4	2.7	3.9	0.006
5	2.7	3.9	0.018
6	2.7	3.9	0.046
7	2.7	3.7	0.124
8	2.7	3.7	0.133
9	2.7	3.6	0.133
10	2.5	3.6	0.140
11	2.6	3.6	0.133
12	2.4	3.6	0.129
13	2.3	3.6	0.120
14	2.4	3.6	0.105
15	2.3	3.6	0.096
16	2.4	3.6	0.089
17	2.6	3.6	0.093
18	2.8	3.6	0.115
19	3.0	3.6	0.129
20	3.0	3.6	0.159
21	3.0	3.6	0.164
22	3.1	3.6	0.153
23	3.2	3.5	0.092
24	3.3	3.5	0.058
25	3.4	3.5	0.040
26	3.3	3.5	0.021
27	3.4	3.5	0.008
28	3.4	3.5	0.006
29	3.3	3.5	0.018
30	3.3	3.5	0.046
31	3.3	3.5	0.124
32	3.4	3.5	0.133
33	3.3	3.5	0.133
34	3.2	3.5	0.140
35	3.1	3.5	0.133
36	3.0	3.5	0.129
37	2.9	3.4	0.120
38	2.9	3.4	0.105
39	2.8	3.4	0.096
40	2.9	3.4	0.089
41	3.0	3.4	0.093
42	3.1	3.4	0.115
43	3.1	3.4	0.129
44	3.1	3.4	0.159
45	3.2	3.4	0.164
46	3.2	3.4	0.153
47	3.2	3.4	0.092
48	3.2	3.4	0.058
49	3.2	3.4	0.040
50	3.2	3.4	0.021
51	3.2	3.4	0.008
52	3.3	3.4	0.006
53	3.3	3.4	0.018
54	3.3	3.4	0.046
55	3.4	3.4	0.124
56	3.3	3.4	0.133
57	3.3	3.4	0.133
58	3.3	3.4	0.140
59	3.2	3.4	0.133
60	3.2	3.4	0.129
61	3.1	3.4	0.120
62	3.0	3.4	0.105
63	2.9	3.4	0.096
64	2.9	3.4	0.089
65	3.0	3.4	0.093
66	3.1	3.3	0.115
67	3.2	3.3	0.129
68	3.2	3.3	0.159
69	3.3	3.3	0.164
70	3.4	3.3	0.153
71	3.5	3.3	0.092
72	3.5	3.3	0.058
73	3.6	3.3	0.040
74	3.6	3.3	0.021
75	3.5	3.3	0.008
76	3.6	3.3	0.006
77	3.6	3.3	0.018
78	3.5	3.3	0.046
79	3.5	3.3	0.124
80	3.4	3.3	0.133
81	3.3	3.3	0.133
82	3.1	3.3	0.140
83	2.8	3.3	0.133
84	2.6	3.3	0.129
85	2.4	3.3	0.120
86	2.3	3.3	0.105
87	2.3	3.3	0.096
88	2.3	3.3	0.089
89	2.4	3.3	0.093
90	2.4	3.3	0.115
91	2.4	3.3	0.129
92	2.3	3.3	0.159
93	2.4	3.3	0.164
94	2.4	3.3	0.153
95	2.5	3.3	0.092
96	2.5	3.3	0.058
97	2.5	3.2	0.040
98	2.5	3.2	0.021
99	2.6	3.2	0.008
100	2.7	3.2	0.006
101	2.7	3.2	0.018
102	2.8	3.2	0.046
103	2.9	3.2	0.124
104	2.9	3.2	0.133
105	3.0	3.2	0.133
106	3.0	3.2	0.140
107	3.0	3.2	0.133
108	3.0	3.2	0.129
109	3.0	3.2	0.120
110	3.1	3.2	0.105
111	3.3	3.2	0.096
112	3.3	3.2	0.089
113	3.4	3.2	0.093
114	3.5	3.2	0.115
115	3.6	3.2	0.129
116	3.5	3.2	0.159
117	3.6	3.2	0.164
118	3.7	3.2	0.153
119	3.9	3.2	0.092
120	3.9	3.2	0.058
121	4.0	3.2	0.040
122	4.0	3.2	0.021
123	3.9	3.2	0.008
124	3.9	3.2	0.006
125	3.7	3.2	0.018
126	3.6	3.2	0.046
127	3.6	3.2	0.124
128	3.6	3.2	0.133
129	3.5	3.2	0.133
130	3.4	3.2	0.140
131	3.2	3.2	0.133
132	3.0	3.2	0.129
133	2.8	3.2	0.120
134	2.6	3.2	0.105
135	2.5	3.2	0.096
136	2.4	3.2	0.089
137	2.4	3.2	0.093
138	2.5	3.2	0.115
139	2.4	3.2	0.129
140	2.4	3.2	0.159
141	2.4	3.2	0.164
142	2.4	3.2	0.153
143	2.4	3.2	0.092
144	2.4	3.2	0.058
145	2.3	3.2	0.040
146	2.4	3.2	0.021
147	2.4	3.2	0.008
148	2.4	3.2	0.006
149	2.5	3.1	0.018
150	2.5	3.1	0.046
151	2.5	3.1	0.124
152	2.5	3.1	0.133
153	2.5	3.1	0.133
154	2.3	3.1	0.140
155	2.3	3.1	0.133
156	2.2	3.1	0.129
157	2.1	3.1	0.120
158	1.9	3.1	0.105
159	1.8	3.1	0.096
160	1.8	3.1	0.089
161	2.0	3.1	0.093
162	2.1	3.1	0.115
163	2.3	3.1	0.129
164	2.3	3.1	0.159
165	2.4	3.1	0.164
166	2.4	3.1	0.153
167	2.6	3.1	0.092
168	2.6	3.1	0.058
169	2.7	3.1	0.040
170	2.7	3.1	0.021
171	2.7	3.1	0.008
172	2.6	3.1	0.006
173	2.6	3.1	0.018
174	2.5	3.1	0.046
175	2.5	3.1	0.124
176	2.4	3.1	0.133
177	2.4	3.1	0.133
178	2.4	3.1	0.140
179	2.2	3.1	0.133
180	2.1	3.1	0.129
181	2.2	3.1	0.120
182	2.1	3.1	0.105
183	2.2	3.1	0.096
184	2.1	3.1	0.089
185	2.1	3.1	0.093
186	2.1	3.1	0.115
187	2.2	3.1	0.129
188	2.1	3.1	0.159
189	2.0	3.1	0.164
190	2.0	3.1	0.153
191	1.9	3.1	0.092
192	1.8	3.1	0.058
193	1.7	3.1	0.040
194	1.7	3.1	0.021
195	1.8	3.1	0.008
196	1.8	3.1	0.006
197	1.7	3.1	0.018
198	1.6	3.1	0.046
199	1.7	3.1	0.124
200	1.7	3.1	0.133
201	1.7	3.1	0.133
202	1.6	3.1	0.140
203	1.6	3.1	0.133
204	1.6	3.1	0.129
205	1.6	3.1	0.120
206	1.5	3.1	0.105
207	1.3	3.1	0.096
208	1.3	3.1	0.089
209	1.3	3.1	0.093
210	1.3	3.1	0.115
211	1.3	3.1	0.129
212	1.3	3.1	0.159
213	1.3	3.1	0.164
214	1.3	3.1	0.153
215	1.3	3.1	0.092
216	1.2	3.1	0.058
217	1.2	3.1	0.040
218	1.2	3.1	0.021
219	1.3	3.1	0.008
220	1.4	3.1	0.006
221	1.4	3.1	0.018
222	1.5	3.1	0.046
223	1.6	3.0	0.124
224	1.6	3.0	0.133
