# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.2	8.1	0.146
2	5.3	8.1	0.079
3	5.5	7.9	0.031
4	5.5	7.9	0.022
5	5.5	7.9	0.067
6	5.5	7.8	0.168
7	5.5	7.5	0.454
8	5.4	7.5	0.486
9	5.4	7.3	0.488
10	5.1	7.3	0.511
11	5.2	7.3	0.488
12	4.9	7.2	0.473
13	4.7	7.2	0.438
14	4.7	7.2	0.385
15	4.7	7.2	0.351
16	4.9	7.2	0.327
17	5.2	7.2	0.340
18	5.6	7.2	0.422
19	6.0	7.2	0.471
20	6.1	7.2	0.583
21	6.1	7.2	0.599
22	6.3	7.2	0.558
23	6.5	7.2	0.336
24	6.7	7.2	0.211
25	6.9	7.2	0.146
26	6.7	7.1	0.079
27	6.8	7.1	0.031
28	6.8	7.1	0.022
29	6.7	7.1	0.067
30	6.6	7.1	0.168
31	6.7	7.0	0.454
32	6.8	7.0	0.486
33	6.6	7.0	0.488
34	6.5	7.0	0.511
35	6.3	7.0	0.488
36	6.0	6.9	0.473
37	5.9	6.9	0.438
38	5.8	6.9	0.385
39	5.6	6.9	0.351
40	5.8	6.9	0.327
41	6.0	6.9	0.340
42	6.3	6.9	0.422
43	6.3	6.9	0.471
44	6.4	6.8	0.583
45	6.4	6.8	0.599
46	6.4	6.8	0.558
47	6.5	6.8	0.336
48	6.5	6.8	0.211
49	6.5	6.8	0.146
50	6.4	6.8	0.079
51	6.5	6.8	0.031
52	6.6	6.8	0.022
53	6.7	6.8	0.067
54	6.6	6.8	0.168
55	6.8	6.8	0.454
56	6.7	6.8	0.486
57	6.6	6.8	0.488
58	6.7	6.8	0.511
59	6.5	6.7	0.488
60	6.4	6.7	0.473
61	6.2	6.7	0.438
62	6.0	6.7	0.385
63	5.9	6.7	0.351
64	5.9	6.7	0.327
65	6.0	6.7	0.340
66	6.2	6.7	0.422
67	6.4	6.7	0.471
68	6.6	6.7	0.583
69	6.7	6.7	0.599
70	6.9	6.7	0.558
71	7.0	6.7	0.336
72	7.1	6.7	0.211
73	7.2	6.6	0.146
74	7.2	6.6	0.079
75	7.2	6.6	0.031
76	7.2	6.6	0.022
77	7.2	6.6	0.067
78	7.2	6.6	0.168
79	7.0	6.6	0.454
80	6.8	6.6	0.486
81	6.6	6.6	0.488
82	6.2	6.6	0.511
83	5.7	6.6	0.488
84	5.2	6.6	0.473
85	4.8	6.6	0.438
86	4.7	6.6	0.385
87	4.7	6.6	0.351
88	4.7	6.6	0.327
89	4.8	6.6	0.340
90	4.8	6.6	0.422
91	4.8	6.6	0.471
92	4.7	6.6	0.583
93	4.8	6.5	0.599
94	4.9	6.5	0.558
95	5.0	6.5	0.336
96	5.0	6.5	0.211
97	5.0	6.5	0.146
98	5.0	6.5	0.079
99	5.2	6.5	0.031
100	5.4	6.5	0.022
101	5.5	6.5	0.067
102	5.6	6.5	0.168
103	5.8	6.5	0.454
104	5.9	6.5	0.486
105	6.0	6.5	0.488
106	6.0	6.5	0.511
107	6.1	6.5	0.488
108	6.1	6.5	0.473
109	6.1	6.5	0.438
110	6.3	6.4	0.385
111	6.6	6.4	0.351
112	6.6	6.4	0.327
113	6.9	6.4	0.340
114	7.2	6.4	0.422
115	7.2	6.4	0.471
116	7.1	6.4	0.583
117	7.3	6.4	0.599
118	7.5	6.4	0.558
119	7.8	6.4	0.336
120	7.9	6.4	0.211
121	8.1	6.4	0.146
122	8.1	6.4	0.079
123	7.9	6.4	0.031
124	7.9	6.4	0.022
125	7.5	6.4	0.067
126	7.3	6.4	0.168
127	7.2	6.4	0.454
128	7.2	6.4	0.486
129	7.1	6.4	0.488
130	6.8	6.4	0.511
131	6.4	6.4	0.488
132	6.1	6.3	0.473
133	5.6	6.3	0.438
134	5.3	6.3	0.385
135	5.1	6.3	0.351
136	4.9	6.3	0.327
137	4.9	6.3	0.340
138	5.0	6.3	0.422
139	4.8	6.3	0.471
140	4.8	6.3	0.583
141	4.8	6.3	0.599
142	4.8	6.3	0.558
143	4.8	6.3	0.336
144	4.8	6.3	0.211
145	4.7	6.3	0.146
146	4.8	6.3	0.079
147	4.8	6.3	0.031
148	4.9	6.3	0.022
149	5.1	6.3	0.067
150	5.0	6.3	0.168
151	5.0	6.3	0.454
152	5.1	6.3	0.486
153	5.0	6.3	0.488
154	4.7	6.3	0.511
155	4.6	6.3	0.488
156	4.3	6.3	0.473
157	4.2	6.3	0.438
158	3.8	6.3	0.385
159	3.7	6.3	0.351
160	3.6	6.3	0.327
161	4.0	6.3	0.340
162	4.2	6.3	0.422
163	4.5	6.2	0.471
164	4.6	6.2	0.583
165	4.9	6.2	0.599
166	4.9	6.2	0.558
167	5.2	6.2	0.336
168	5.3	6.2	0.211
169	5.4	6.2	0.146
170	5.4	6.2	0.079
171	5.4	6.2	0.031
172	5.2	6.2	0.022
173	5.2	6.2	0.067
174	5.0	6.2	0.168
175	5.0	6.2	0.454
176	4.9	6.2	0.486
177	4.9	6.2	0.488
178	4.8	6.2	0.511
179	4.5	6.2	0.488
180	4.3	6.2	0.473
181	4.4	6.2	0.438
182	4.2	6.2	0.385
183	4.3	6.2	0.351
184	4.3	6.2	0.327
185	4.3	6.2	0.340
186	4.3	6.2	0.422
187	4.4	6.2	0.471
188	4.2	6.2	0.583
189	4.0	6.2	0.599
190	4.0	6.2	0.558
191	3.8	6.2	0.336
192	3.7	6.2	0.211
193	3.5	6.2	0.146
194	3.5	6.2	0.079
195	3.6	6.2	0.031
196	3.6	6.2	0.022
197	3.5	6.2	0.067
198	3.3	6.2	0.168
199	3.5	6.1	0.454
200	3.4	6.1	0.486
201	3.5	6.1	0.488
202	3.3	6.1	0.511
203	3.2	6.1	0.488
204	3.3	6.1	0.473
205	3.2	6.1	0.438
206	2.9	6.1	0.385
207	2.7	6.1	0.351
208	2.6	6.1	0.327
209	2.6	6.1	0.340
210	2.6	6.1	0.422
211	2.6	6.1	0.471
212	2.6	6.1	0.583
213	2.6	6.1	0.599
214	2.6	6.1	0.558
215	2.5	6.1	0.336
216	2.4	6.1	0.211
217	2.4	6.1	0.146
218	2.5	6.1	0.079
219	2.6	6.1	0.031
220	2.7	6.1	0.022
221	2.9	6.1	0.067
222	3.0	6.1	0.168
223	3.2	6.1	0.454
224	3.3	6.1	0.486
225	3.3	6.1	0.488
226	3.4	6.1	0.511
227	3.4	6.1	0.488
228	3.3	6.1	0.473
229	3.2	6.1	0.438
230	3.3	6.1	0.385
231	3.2	6.1	0.351
232	3.5	6.1	0.327
233	3.7	6.1	0.340
234	4.0	6.1	0.422
235	4.1	6.1	0.471
236	4.3	6.1	0.583
237	4.6	6.1	0.599
238	4.9	6.1	0.558
239	5.2	6.0	0.336
240	5.4	6.0	0.211
241	5.6	6.0	0.146
242	5.6	6.0	0.079
243	5.6	6.0	0.031
244	5.6	6.0	0.022
245	5.6	6.0	0.067
246	5.5	6.0	0.168
247	5.5	6.0	0.454
248	5.4	6.0	0.486
249	5.5	6.0	0.488
250	5.3	6.0	0.511
251	5.3	6.0	0.488
252	4.8	6.0	0.473
253	4.7	6.0	0.438
254	4.4	6.0	0.385
255	4.5	6.0	0.351
256	4.6	6.0	0.327
257	5.0	6.0	0.340
258	5.0	6.0	0.422
259	5.1	6.0	0.471
260	5.3	6.0	0.583
261	5.4	6.0	0.599
262	5.6	6.0	0.558
263	5.6	6.0	0.336
264	5.6	6.0	0.211
265	5.6	6.0	0.146
266	5.7	6.0	0.079
267	5.7	6.0	0.031
268	5.7	6.0	0.022
269	5.6	6.0	0.067
270	5.7	6.0	0.168
271	5.6	6.0	0.454
272	5.7	6.0	0.486
273	5.7	6.0	0.488
274	5.5	6.0	0.511
275	5.3	6.0	0.488
276	5.0	6.0	0.473
277	4.7	6.0	0.438
278	4.5	6.0	0.385
279	4.4	6.0	0.351
280	4.4	6.0	0.327
281	4.4	6.0	0.340
282	4.5	6.0	0.422
283	4.5	5.9	0.471
284	4.5	5.9	0.583
285	4.7	5.9	0.599
286	4.7	5.9	0.558
287	4.7	5.9	0.336
288	4.8	5.9	0.211
289	4.6	5.9	0.146
290	4.6	5.9	0.079
291	4.6	5.9	0.031
292	4.6	5.9	0.022
293	4.6	5.9	0.067
294	4.7	5.9	0.168
295	4.6	5.9	0.454
296	4.6	5.9	0.486
297	4.5	5.9	0.488
298	4.5	5.9	0.511
299	4.3	5.9	0.488
300	4.1	5.9	0.473
301	3.9	5.9	0.438
302	3.8	5.9	0.385
303	3.8	5.9	0.351
304	3.7	5.9	0.327
305	3.9	5.9	0.340
306	3.8	5.9	0.422
307	3.8	5.9	0.471
308	3.9	5.9	0.583
309	4.0	5.9	0.599
310	4.2	5.9	0.558
311	4.2	5.9	0.336
312	4.3	5.9	0.211
313	4.3	5.9	0.146
314	4.3	5.8	0.079
315	4.3	5.8	0.031
316	4.2	5.8	0.022
317	4.1	5.8	0.067
318	4.0	5.8	0.168
319	4.1	5.8	0.454
320	4.2	5.8	0.486
321	4.2	5.8	0.488
322	4.1	5.8	0.511
323	4.1	5.8	0.488
324	4.1	5.8	0.473
325	4.0	5.8	0.438
326	3.9	5.8	0.385
327	3.6	5.8	0.351
328	3.4	5.8	0.327
329	3.6	5.8	0.340
330	3.7	5.8	0.422
331	3.8	5.8	0.471
332	3.9	5.8	0.583
333	3.9	5.8	0.599
334	4.0	5.8	0.558
335	4.1	5.8	0.336
336	4.0	5.8	0.211
337	4.0	5.8	0.146
338	4.1	5.8	0.079
339	4.2	5.8	0.031
340	4.4	5.8	0.022
341	4.4	5.8	0.067
342	4.4	5.8	0.168
343	4.4	5.8	0.454
344	4.6	5.8	0.486
345	4.7	5.8	0.488
346	4.8	5.8	0.511
347	4.6	5.8	0.488
348	4.5	5.8	0.473
349	4.4	5.8	0.438
350	4.6	5.8	0.385
351	4.6	5.8	0.351
352	4.7	5.8	0.327
353	4.8	5.8	0.340
354	5.0	5.8	0.422
355	5.0	5.8	0.471
356	5.2	5.7	0.583
357	5.2	5.7	0.599
358	5.3	5.7	0.558
359	5.3	5.7	0.336
360	5.2	5.7	0.211
361	5.2	5.7	0.146
362	5.2	5.7	0.079
363	5.4	5.7	0.031
364	5.3	5.7	0.022
365	5.3	5.7	0.067
366	5.5	5.7	0.168
367	5.5	5.7	0.454
368	5.6	5.7	0.486
369	5.6	5.7	0.488
370	5.6	5.7	0.511
371	5.3	5.7	0.488
372	5.2	5.7	0.473
373	5.0	5.7	0.438
374	4.9	5.7	0.385
375	5.0	5.7	0.351
376	5.2	5.7	0.327
377	5.6	5.7	0.340
378	5.8	5.7	0.422
379	6.0	5.7	0.471
380	6.1	5.7	0.583
381	6.2	5.7	0.599
382	6.4	5.7	0.558
383	6.7	5.7	0.336
384	6.8	5.7	0.211
385	7.2	5.7	0.146
386	7.2	5.7	0.079
387	7.3	5.7	0.031
388	7.2	5.7	0.022
389	7.2	5.7	0.067
390	7.1	5.7	0.168
391	7.1	5.7	0.454
392	7.0	5.7	0.486
393	6.7	5.7	0.488
394	6.4	5.7	0.511
395	6.1	5.7	0.488
396	5.8	5.7	0.473
397	5.4	5.7	0.438
398	5.0	5.7	0.385
399	5.0	5.7	0.351
400	4.9	5.7	0.327
401	4.8	5.7	0.340
402	5.0	5.7	0.422
403	4.9	5.7	0.471
404	4.9	5.7	0.583
405	5.2	5.7	0.599
406	5.0	5.7	0.558
407	5.1	5.7	0.336
408	5.0	5.7	0.211
409	4.7	5.7	0.146
410	4.8	5.7	0.079
411	5.0	5.7	0.031
412	5.0	5.7	0.022
413	5.0	5.6	0.067
414	5.0	5.6	0.168
415	5.2	5.6	0.454
416	5.3	5.6	0.486
417	5.2	5.6	0.488
418	5.0	5.6	0.511
419	5.0	5.6	0.488
420	4.9	5.6	0.473
421	4.7	5.6	0.438
422	4.7	5.6	0.385
423	4.8	5.6	0.351
424	5.0	5.6	0.327
425	5.0	5.6	0.340
426	5.1	5.6	0.422
427	5.3	5.6	0.471
428	5.3	5.6	0.583
429	5.6	5.6	0.599
430	5.7	5.6	0.558
431	5.7	5.6	0.336
432	5.6	5.6	0.211
433	5.7	5.6	0.146
434	5.8	5.6	0.079
435	6.0	5.6	0.031
436	6.2	5.6	0.022
437	6.0	5.6	0.067
438	6.0	5.6	0.168
439	5.9	5.6	0.454
440	5.9	5.6	0.486
441	5.8	5.6	0.488
442	5.8	5.6	0.511
443	5.9	5.6	0.488
444	5.6	5.6	0.473
445	5.5	5.6	0.438
446	5.4	5.6	0.385
447	5.1	5.6	0.351
448	5.2	5.6	0.327
449	5.2	5.6	0.340
450	5.1	5.6	0.422
451	5.3	5.6	0.471
452	5.4	5.6	0.583
453	5.6	5.6	0.599
454	5.8	5.6	0.558
455	5.6	5.6	0.336
456	5.5	5.6	0.211
457	5.6	5.6	0.146
458	5.8	5.6	0.079
459	5.8	5.6	0.031
460	6.0	5.6	0.022
461	6.0	5.6	0.067
462	6.1	5.6	0.168
463	6.1	5.6	0.454
464	6.1	5.6	0.486
465	6.1	5.6	0.488
466	5.8	5.6	0.511
467	5.7	5.6	0.488
468	5.4	5.6	0.473
469	5.2	5.6	0.438
470	5.1	5.6	0.385
471	5.0	5.6	0.351
472	4.8	5.6	0.327
473	4.9	5.6	0.340
474	4.8	5.6	0.422
475	4.9	5.6	0.471
476	5.1	5.6	0.583
477	5.0	5.5	0.599
478	5.1	5.5	0.558
479	5.2	5.5	0.336
480	5.2	5.5	0.211
481	5.2	5.5	0.146
482	5.5	5.5	0.079
483	5.5	5.5	0.031
484	5.6	5.5	0.022
485	5.6	5.5	0.067
486	5.6	5.5	0.168
487	5.7	5.5	0.454
488	5.6	5.5	0.486
489	5.5	5.5	0.488
490	5.3	5.5	0.511
491	5.1	5.5	0.488
492	4.8	5.5	0.473
493	4.9	5.5	0.438
494	4.7	5.5	0.385
495	4.7	5.5	0.351
496	4.7	5.5	0.327
497	4.7	5.5	0.340
498	4.9	5.5	0.422
499	5.0	5.5	0.471
500	5.3	5.5	0.583
501	5.2	5.5	0.599
502	5.5	5.5	0.558
503	5.5	5.5	0.336
504	5.7	5.5	0.211
505	5.8	5.5	0.146
506	5.7	5.5	0.079
507	5.6	5.5	0.031
508	5.7	5.5	0.022
509	5.8	5.5	0.067
510	6.0	5.5	0.168
511	6.1	5.5	0.454
512	6.2	5.5	0.486
513	6.1	5.5	0.488
514	5.9	5.5	0.511
515	5.7	5.5	0.488
516	5.5	5.5	0.473
