# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.2	0.3	0.007
2	0.2	0.3	0.004
3	0.2	0.3	0.001
4	0.2	0.3	0.001
5	0.2	0.3	0.003
6	0.2	0.3	0.008
7	0.2	0.3	0.022
8	0.2	0.3	0.024
9	0.2	0.3	0.024
10	0.2	0.3	0.025
11	0.2	0.3	0.024
12	0.2	0.3	0.023
13	0.2	0.3	0.021
14	0.2	0.3	0.019
15	0.2	0.3	0.017
16	0.2	0.3	0.016
17	0.2	0.3	0.016
18	0.2	0.3	0.020
19	0.2	0.3	0.023
20	0.2	0.3	0.028
21	0.2	0.3	0.029
22	0.2	0.3	0.027
23	0.2	0.3	0.016
24	0.2	0.3	0.010
25	0.2	0.3	0.007
26	0.2	0.3	0.004
27	0.2	0.3	0.001
28	0.2	0.3	0.001
29	0.2	0.3	0.003
30	0.2	0.3	0.008
31	0.2	0.3	0.022
32	0.3	0.3	0.024
33	0.2	0.3	0.024
34	0.2	0.3	0.025
35	0.2	0.3	0.024
36	0.2	0.3	0.023
37	0.2	0.3	0.021
38	0.2	0.3	0.019
39	0.2	0.3	0.017
40	0.2	0.3	0.016
41	0.2	0.3	0.016
42	0.2	0.3	0.020
43	0.2	0.3	0.023
44	0.2	0.3	0.028
45	0.2	0.3	0.029
46	0.2	0.3	0.027
47	0.2	0.3	0.016
48	0.2	0.3	0.010
49	0.2	0.3	0.007
50	0.2	0.3	0.004
51	0.2	0.2	0.001
52	0.2	0.2	0.001
53	0.2	0.2	0.003
54	0.2	0.2	0.008
55	0.2	0.2	0.022
56	0.2	0.2	0.024
57	0.2	0.2	0.024
58	0.2	0.2	0.025
59	0.2	0.2	0.024
60	0.2	0.2	0.023
61	0.2	0.2	0.021
62	0.2	0.2	0.019
63	0.2	0.2	0.017
64	0.2	0.2	0.016
65	0.2	0.2	0.016
66	0.2	0.2	0.020
67	0.2	0.2	0.023
68	0.2	0.2	0.028
69	0.2	0.2	0.029
70	0.3	0.2	0.027
71	0.3	0.2	0.016
72	0.3	0.2	0.010
73	0.2	0.2	0.007
74	0.2	0.2	0.004
75	0.2	0.2	0.001
76	0.2	0.2	0.001
77	0.2	0.2	0.003
78	0.2	0.2	0.008
79	0.2	0.2	0.022
80	0.2	0.2	0.024
81	0.2	0.2	0.024
82	0.2	0.2	0.025
83	0.2	0.2	0.024
84	0.2	0.2	0.023
85	0.2	0.2	0.021
86	0.2	0.2	0.019
87	0.2	0.2	0.017
88	0.2	0.2	0.016
89	0.2	0.2	0.016
90	0.2	0.2	0.020
91	0.2	0.2	0.023
