# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.8	13.7	0.243
2	9.0	13.6	0.131
3	9.3	13.3	0.052
4	9.2	13.3	0.037
5	9.3	13.3	0.112
6	9.4	13.3	0.281
7	9.2	12.7	0.759
8	9.1	12.7	0.812
9	9.2	12.3	0.815
10	8.7	12.3	0.854
11	8.7	12.3	0.815
12	8.2	12.2	0.790
13	8.0	12.2	0.732
14	8.0	12.2	0.643
15	8.0	12.2	0.586
16	8.2	12.2	0.547
17	8.7	12.2	0.568
18	9.4	12.2	0.705
19	10.1	12.2	0.787
20	10.2	12.1	0.973
21	10.3	12.1	1.000
22	10.7	12.1	0.933
23	10.9	12.1	0.561
24	11.3	12.1	0.352
25	11.6	12.1	0.243
26	11.4	12.1	0.131
27	11.4	12.0	0.052
28	11.4	12.0	0.037
29	11.3	11.9	0.112
30	11.1	11.9	0.281
31	11.3	11.9	0.759
32	11.5	11.9	0.812
33	11.2	11.9	0.815
34	11.0	11.8	0.854
35	10.6	11.8	0.815
36	10.2	11.8	0.790
37	10.0	11.7	0.732
38	9.8	11.7	0.643
39	9.5	11.7	0.586
40	9.7	11.7	0.547
41	10.2	11.7	0.568
42	10.6	11.7	0.705
43	10.7	11.6	0.787
44	10.7	11.6	0.973
45	10.9	11.6	1.000
46	10.9	11.6	0.933
47	10.9	11.6	0.561
48	10.9	11.6	0.352
49	10.9	11.6	0.243
50	10.9	11.6	0.131
51	11.0	11.5	0.052
52	11.2	11.5	0.037
53	11.3	11.5	0.112
54	11.1	11.5	0.281
55	11.5	11.5	0.759
56	11.3	11.5	0.812
57	11.2	11.5	0.815
58	11.3	11.5	0.854
59	11.0	11.5	0.815
60	10.9	11.4	0.790
61	10.4	11.4	0.732
62	10.2	11.4	0.643
63	10.0	11.4	0.586
64	9.9	11.4	0.547
65	10.1	11.4	0.568
66	10.5	11.4	0.705
67	10.8	11.4	0.787
68	11.1	11.4	0.973
69	11.4	11.3	1.000
70	11.7	11.3	0.933
71	11.9	11.3	0.561
72	12.1	11.3	0.352
73	12.2	11.3	0.243
74	12.2	11.3	0.131
75	12.1	11.3	0.052
76	12.2	11.3	0.037
77	12.1	11.3	0.112
78	12.1	11.3	0.281
79	11.8	11.2	0.759
80	11.4	11.2	0.812
81	11.1	11.2	0.815
82	10.5	11.2	0.854
83	9.6	11.2	0.815
84	8.8	11.2	0.790
85	8.2	11.2	0.732
86	7.9	11.1	0.643
87	8.0	11.1	0.586
88	7.9	11.1	0.547
89	8.1	11.1	0.568
90	8.2	11.1	0.705
91	8.1	11.1	0.787
92	7.9	11.1	0.973
93	8.2	11.1	1.000
94	8.3	11.1	0.933
95	8.4	11.1	0.561
96	8.4	11.1	0.352
97	8.4	11.1	0.243
98	8.5	11.0	0.131
99	8.8	11.0	0.052
100	9.1	11.0	0.037
101	9.3	11.0	0.112
102	9.4	11.0	0.281
103	9.8	11.0	0.759
104	9.9	11.0	0.812
105	10.1	11.0	0.815
106	10.1	11.0	0.854
107	10.2	11.0	0.815
108	10.3	10.9	0.790
109	10.3	10.9	0.732
110	10.6	10.9	0.643
111	11.1	10.9	0.586
112	11.1	10.9	0.547
113	11.6	10.9	0.568
114	12.1	10.9	0.705
115	12.2	10.9	0.787
116	11.9	10.9	0.973
117	12.3	10.9	1.000
118	12.7	10.9	0.933
119	13.3	10.9	0.561
120	13.3	10.9	0.352
121	13.6	10.9	0.243
122	13.7	10.9	0.131
123	13.3	10.9	0.052
124	13.3	10.9	0.037
125	12.7	10.9	0.112
126	12.3	10.8	0.281
127	12.2	10.8	0.759
128	12.1	10.8	0.812
129	11.9	10.8	0.815
130	11.5	10.8	0.854
131	10.8	10.8	0.815
132	10.3	10.8	0.790
133	9.5	10.8	0.732
134	8.9	10.8	0.643
135	8.6	10.8	0.586
136	8.2	10.8	0.547
137	8.2	10.8	0.568
138	8.5	10.8	0.705
139	8.1	10.8	0.787
140	8.1	10.8	0.973
141	8.1	10.7	1.000
142	8.1	10.7	0.933
143	8.1	10.7	0.561
144	8.1	10.7	0.352
145	8.0	10.7	0.243
146	8.1	10.7	0.131
147	8.2	10.7	0.052
148	8.3	10.7	0.037
149	8.6	10.7	0.112
150	8.4	10.7	0.281
151	8.5	10.7	0.759
152	8.7	10.7	0.812
153	8.5	10.7	0.815
154	8.0	10.7	0.854
155	7.8	10.7	0.815
156	7.3	10.7	0.790
157	7.0	10.7	0.732
158	6.4	10.7	0.643
159	6.2	10.7	0.586
160	6.2	10.7	0.547
161	6.7	10.7	0.568
162	7.1	10.7	0.705
163	7.7	10.6	0.787
164	7.8	10.6	0.973
165	8.2	10.6	1.000
166	8.3	10.6	0.933
167	8.9	10.6	0.561
168	9.0	10.6	0.352
169	9.2	10.6	0.243
170	9.1	10.6	0.131
171	9.2	10.6	0.052
172	8.8	10.6	0.037
173	8.7	10.6	0.112
174	8.4	10.6	0.281
175	8.4	10.6	0.759
176	8.3	10.6	0.812
177	8.2	10.6	0.815
178	8.0	10.6	0.854
179	7.6	10.6	0.815
180	7.2	10.6	0.790
181	7.4	10.6	0.732
182	7.2	10.6	0.643
183	7.3	10.6	0.586
184	7.3	10.6	0.547
185	7.2	10.6	0.568
186	7.3	10.6	0.705
187	7.5	10.5	0.787
188	7.1	10.5	0.973
189	6.8	10.5	1.000
190	6.8	10.5	0.933
191	6.5	10.5	0.561
192	6.2	10.5	0.352
193	5.9	10.5	0.243
194	5.9	10.5	0.131
195	6.1	10.5	0.052
196	6.2	10.5	0.037
197	5.9	10.5	0.112
198	5.6	10.5	0.281
199	5.9	10.5	0.759
200	5.8	10.5	0.812
201	5.9	10.5	0.815
202	5.5	10.5	0.854
203	5.4	10.5	0.815
204	5.5	10.5	0.790
205	5.4	10.5	0.732
206	4.9	10.5	0.643
207	4.5	10.5	0.586
208	4.4	10.5	0.547
209	4.4	10.5	0.568
210	4.3	10.5	0.705
211	4.4	10.4	0.787
212	4.4	10.4	0.973
213	4.3	10.4	1.000
214	4.4	10.4	0.933
215	4.3	10.4	0.561
216	4.0	10.4	0.352
217	4.1	10.4	0.243
218	4.2	10.4	0.131
219	4.4	10.4	0.052
220	4.6	10.4	0.037
221	4.9	10.4	0.112
222	5.1	10.4	0.281
223	5.5	10.4	0.759
224	5.6	10.4	0.812
225	5.5	10.4	0.815
226	5.7	10.4	0.854
227	5.7	10.4	0.815
228	5.6	10.3	0.790
229	5.4	10.3	0.732
230	5.5	10.3	0.643
231	5.4	10.3	0.586
232	6.0	10.3	0.547
233	6.3	10.3	0.568
234	6.8	10.3	0.705
235	6.9	10.3	0.787
236	7.2	10.3	0.973
237	7.7	10.3	1.000
238	8.4	10.3	0.933
239	8.8	10.3	0.561
240	9.1	10.3	0.352
241	9.4	10.3	0.243
242	9.5	10.3	0.131
243	9.5	10.3	0.052
244	9.5	10.3	0.037
245	9.4	10.3	0.112
246	9.4	10.3	0.281
247	9.3	10.3	0.759
248	9.2	10.3	0.812
249	9.3	10.3	0.815
250	8.9	10.3	0.854
251	8.9	10.3	0.815
252	8.2	10.2	0.790
253	8.0	10.2	0.732
254	7.5	10.2	0.643
255	7.6	10.2	0.586
256	7.9	10.2	0.547
257	8.5	10.2	0.568
258	8.5	10.2	0.705
259	8.6	10.2	0.787
260	9.0	10.2	0.973
261	9.2	10.2	1.000
262	9.5	10.2	0.933
263	9.5	10.2	0.561
264	9.5	10.2	0.352
265	9.5	10.2	0.243
266	9.7	10.2	0.131
267	9.6	10.2	0.052
268	9.6	10.2	0.037
269	9.4	10.2	0.112
270	9.6	10.2	0.281
271	9.4	10.2	0.759
272	9.5	10.2	0.812
273	9.6	10.2	0.815
274	9.3	10.2	0.854
275	8.9	10.2	0.815
276	8.4	10.2	0.790
277	7.9	10.2	0.732
278	7.7	10.2	0.643
279	7.4	10.2	0.586
280	7.4	10.2	0.547
281	7.4	10.2	0.568
282	7.5	10.1	0.705
283	7.6	10.1	0.787
284	7.6	10.1	0.973
285	7.9	10.1	1.000
286	7.9	10.1	0.933
287	7.9	10.1	0.561
288	8.1	10.1	0.352
289	7.8	10.1	0.243
290	7.8	10.1	0.131
291	7.7	10.1	0.052
292	7.7	10.1	0.037
293	7.8	10.1	0.112
294	7.9	10.1	0.281
295	7.7	10.1	0.759
296	7.7	10.1	0.812
297	7.7	10.1	0.815
298	7.7	10.1	0.854
299	7.2	10.1	0.815
300	7.0	10.1	0.790
301	6.6	10.1	0.732
302	6.5	10.1	0.643
303	6.4	10.0	0.586
304	6.2	10.0	0.547
305	6.5	10.0	0.568
306	6.4	10.0	0.705
307	6.5	10.0	0.787
308	6.6	10.0	0.973
309	6.7	10.0	1.000
310	7.1	10.0	0.933
311	7.1	10.0	0.561
312	7.2	10.0	0.352
313	7.3	10.0	0.243
314	7.2	10.0	0.131
315	7.3	10.0	0.052
316	7.0	10.0	0.037
317	6.9	10.0	0.112
318	6.8	9.9	0.281
319	6.9	9.9	0.759
320	7.0	9.9	0.812
321	7.1	9.9	0.815
322	7.0	9.9	0.854
323	6.9	9.9	0.815
324	7.0	9.9	0.790
325	6.7	9.9	0.732
326	6.6	9.9	0.643
327	6.1	9.9	0.586
328	5.8	9.9	0.547
329	6.1	9.9	0.568
330	6.2	9.9	0.705
331	6.5	9.9	0.787
332	6.6	9.9	0.973
333	6.7	9.9	1.000
334	6.7	9.9	0.933
335	6.9	9.9	0.561
336	6.7	9.9	0.352
337	6.8	9.8	0.243
338	6.9	9.8	0.131
339	7.1	9.8	0.052
340	7.4	9.8	0.037
341	7.5	9.8	0.112
342	7.5	9.8	0.281
343	7.5	9.8	0.759
344	7.8	9.8	0.812
345	7.9	9.8	0.815
346	8.1	9.8	0.854
347	7.8	9.8	0.815
348	7.6	9.8	0.790
349	7.5	9.8	0.732
350	7.7	9.8	0.643
351	7.8	9.8	0.586
352	7.9	9.8	0.547
353	8.1	9.8	0.568
354	8.4	9.8	0.705
355	8.5	9.8	0.787
356	8.8	9.8	0.973
