# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.6	4.1	0.136
2	2.7	4.1	0.073
3	2.8	4.0	0.029
4	2.7	4.0	0.021
5	2.8	4.0	0.063
6	2.8	4.0	0.157
7	2.7	3.9	0.424
8	2.7	3.8	0.453
9	2.7	3.8	0.455
10	2.6	3.8	0.477
11	2.6	3.8	0.455
12	2.4	3.8	0.442
13	2.4	3.8	0.409
14	2.4	3.8	0.359
15	2.4	3.8	0.327
16	2.5	3.8	0.306
17	2.6	3.8	0.318
18	2.8	3.8	0.394
19	3.0	3.8	0.440
20	3.1	3.8	0.544
21	3.1	3.8	0.559
22	3.2	3.7	0.521
23	3.3	3.7	0.314
24	3.4	3.7	0.196
25	3.5	3.7	0.136
26	3.4	3.7	0.073
27	3.4	3.7	0.029
28	3.4	3.7	0.021
29	3.4	3.7	0.063
30	3.3	3.7	0.157
31	3.4	3.7	0.424
32	3.4	3.7	0.453
33	3.3	3.7	0.455
34	3.3	3.7	0.477
35	3.2	3.7	0.455
36	3.0	3.7	0.442
37	3.0	3.7	0.409
38	2.9	3.7	0.359
39	2.8	3.7	0.327
40	2.9	3.7	0.306
41	3.0	3.7	0.318
42	3.2	3.6	0.394
43	3.2	3.6	0.440
44	3.2	3.6	0.544
45	3.2	3.6	0.559
46	3.2	3.6	0.521
47	3.3	3.6	0.314
48	3.3	3.6	0.196
49	3.3	3.6	0.136
50	3.3	3.6	0.073
51	3.3	3.6	0.029
52	3.3	3.6	0.021
53	3.4	3.6	0.063
54	3.3	3.6	0.157
55	3.4	3.6	0.424
56	3.4	3.6	0.453
57	3.3	3.6	0.455
58	3.4	3.6	0.477
59	3.3	3.6	0.455
60	3.2	3.6	0.442
61	3.1	3.6	0.409
62	3.0	3.6	0.359
63	3.0	3.6	0.327
64	3.0	3.6	0.306
65	3.0	3.6	0.318
66	3.1	3.6	0.394
67	3.2	3.6	0.440
68	3.3	3.6	0.544
69	3.4	3.6	0.559
70	3.5	3.6	0.521
71	3.5	3.6	0.314
72	3.6	3.6	0.196
73	3.6	3.6	0.136
74	3.6	3.6	0.073
75	3.6	3.6	0.029
76	3.6	3.6	0.021
77	3.6	3.6	0.063
78	3.6	3.5	0.157
79	3.5	3.5	0.424
80	3.4	3.5	0.453
81	3.3	3.5	0.455
82	3.1	3.5	0.477
83	2.9	3.5	0.455
