# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.5	0.7	0.022
2	0.5	0.7	0.012
3	0.5	0.7	0.005
4	0.5	0.7	0.003
5	0.5	0.7	0.010
6	0.5	0.7	0.025
7	0.5	0.7	0.067
8	0.5	0.7	0.072
9	0.5	0.7	0.072
10	0.4	0.7	0.076
11	0.5	0.7	0.072
12	0.4	0.7	0.070
13	0.4	0.7	0.065
14	0.4	0.7	0.057
15	0.4	0.7	0.052
16	0.4	0.7	0.049
17	0.5	0.7	0.050
18	0.5	0.7	0.063
19	0.5	0.7	0.070
20	0.5	0.7	0.086
21	0.5	0.6	0.089
22	0.6	0.6	0.083
23	0.6	0.6	0.050
24	0.6	0.6	0.031
25	0.6	0.6	0.022
26	0.6	0.6	0.012
27	0.6	0.6	0.005
28	0.6	0.6	0.003
29	0.6	0.6	0.010
30	0.6	0.6	0.025
31	0.6	0.6	0.067
32	0.6	0.6	0.072
33	0.6	0.6	0.072
34	0.6	0.6	0.076
35	0.6	0.6	0.072
36	0.5	0.6	0.070
37	0.5	0.6	0.065
38	0.5	0.6	0.057
39	0.5	0.6	0.052
40	0.5	0.6	0.049
41	0.5	0.6	0.050
42	0.6	0.6	0.063
43	0.6	0.6	0.070
44	0.6	0.6	0.086
45	0.6	0.6	0.089
46	0.6	0.6	0.083
47	0.6	0.6	0.050
48	0.6	0.6	0.031
49	0.6	0.6	0.022
50	0.6	0.6	0.012
51	0.6	0.6	0.005
52	0.6	0.6	0.003
53	0.6	0.6	0.010
54	0.6	0.6	0.025
55	0.6	0.6	0.067
56	0.6	0.6	0.072
57	0.6	0.6	0.072
58	0.6	0.6	0.076
59	0.6	0.6	0.072
60	0.6	0.6	0.070
61	0.5	0.6	0.065
62	0.5	0.6	0.057
63	0.5	0.6	0.052
64	0.5	0.6	0.049
65	0.5	0.6	0.050
66	0.5	0.6	0.063
67	0.6	0.6	0.070
68	0.6	0.6	0.086
69	0.6	0.6	0.089
70	0.6	0.6	0.083
71	0.6	0.6	0.050
72	0.6	0.6	0.031
73	0.6	0.6	0.022
74	0.6	0.6	0.012
75	0.6	0.6	0.005
76	0.6	0.6	0.003
77	0.6	0.6	0.010
78	0.6	0.6	0.025
79	0.6	0.6	0.067
80	0.6	0.6	0.072
81	0.6	0.6	0.072
82	0.5	0.6	0.076
83	0.5	0.6	0.072
84	0.5	0.6	0.070
85	0.4	0.6	0.065
86	0.4	0.6	0.057
87	0.4	0.6	0.052
88	0.4	0.6	0.049
89	0.4	0.6	0.050
90	0.4	0.6	0.063
91	0.4	0.6	0.070
92	0.4	0.6	0.086
93	0.4	0.6	0.089
94	0.4	0.6	0.083
95	0.4	0.6	0.050
96	0.4	0.6	0.031
97	0.4	0.6	0.022
98	0.4	0.6	0.012
99	0.5	0.6	0.005
100	0.5	0.6	0.003
101	0.5	0.6	0.010
102	0.5	0.6	0.025
103	0.5	0.6	0.067
104	0.5	0.6	0.072
105	0.5	0.6	0.072
106	0.5	0.6	0.076
107	0.5	0.6	0.072
108	0.5	0.6	0.070
109	0.5	0.6	0.065
110	0.5	0.6	0.057
111	0.6	0.6	0.052
112	0.6	0.6	0.049
113	0.6	0.6	0.050
114	0.6	0.6	0.063
115	0.6	0.6	0.070
116	0.6	0.6	0.086
117	0.6	0.6	0.089
118	0.7	0.6	0.083
119	0.7	0.6	0.050
120	0.7	0.6	0.031
121	0.7	0.6	0.022
122	0.7	0.6	0.012
123	0.7	0.6	0.005
124	0.7	0.6	0.003
125	0.7	0.6	0.010
126	0.6	0.6	0.025
127	0.6	0.6	0.067
128	0.6	0.6	0.072
129	0.6	0.6	0.072
130	0.6	0.6	0.076
131	0.6	0.6	0.072
132	0.5	0.6	0.070
133	0.5	0.6	0.065
134	0.5	0.6	0.057
135	0.4	0.6	0.052
136	0.4	0.6	0.049
137	0.4	0.6	0.050
138	0.4	0.6	0.063
139	0.4	0.6	0.070
140	0.4	0.6	0.086
141	0.4	0.6	0.089
142	0.4	0.6	0.083
143	0.4	0.6	0.050
144	0.4	0.6	0.031
145	0.4	0.6	0.022
146	0.4	0.6	0.012
147	0.4	0.6	0.005
148	0.4	0.6	0.003
149	0.4	0.6	0.010
150	0.4	0.6	0.025
151	0.4	0.6	0.067
152	0.4	0.6	0.072
153	0.4	0.6	0.072
154	0.4	0.6	0.076
155	0.4	0.6	0.072
156	0.4	0.6	0.070
157	0.4	0.6	0.065
158	0.3	0.6	0.057
159	0.3	0.6	0.052
160	0.3	0.6	0.049
161	0.4	0.6	0.050
162	0.4	0.6	0.063
163	0.4	0.6	0.070
164	0.4	0.6	0.086
165	0.4	0.6	0.089
166	0.4	0.6	0.083
167	0.5	0.6	0.050
168	0.5	0.6	0.031
169	0.5	0.6	0.022
170	0.5	0.6	0.012
171	0.5	0.6	0.005
172	0.5	0.6	0.003
173	0.5	0.6	0.010
174	0.4	0.6	0.025
175	0.4	0.6	0.067
176	0.4	0.6	0.072
177	0.4	0.6	0.072
178	0.4	0.6	0.076
179	0.4	0.6	0.072
180	0.4	0.6	0.070
181	0.4	0.6	0.065
182	0.4	0.6	0.057
183	0.4	0.6	0.052
184	0.4	0.5	0.049
185	0.4	0.5	0.050
186	0.4	0.5	0.063
187	0.4	0.5	0.070
188	0.4	0.5	0.086
189	0.4	0.5	0.089
190	0.4	0.5	0.083
191	0.3	0.5	0.050
192	0.3	0.5	0.031
193	0.3	0.5	0.022
194	0.3	0.5	0.012
195	0.3	0.5	0.005
196	0.3	0.5	0.003
197	0.3	0.5	0.010
198	0.3	0.5	0.025
199	0.3	0.5	0.067
200	0.3	0.5	0.072
201	0.3	0.5	0.072
202	0.3	0.5	0.076
203	0.3	0.5	0.072
204	0.3	0.5	0.070
205	0.3	0.5	0.065
206	0.3	0.5	0.057
207	0.2	0.5	0.052
208	0.2	0.5	0.049
209	0.2	0.5	0.050
210	0.2	0.5	0.063
211	0.2	0.5	0.070
212	0.2	0.5	0.086
213	0.2	0.5	0.089
214	0.2	0.5	0.083
215	0.2	0.5	0.050
216	0.2	0.5	0.031
217	0.2	0.5	0.022
218	0.2	0.5	0.012
219	0.2	0.5	0.005
220	0.2	0.5	0.003
221	0.3	0.5	0.010
222	0.3	0.5	0.025
223	0.3	0.5	0.067
224	0.3	0.5	0.072
225	0.3	0.5	0.072
226	0.3	0.5	0.076
227	0.3	0.5	0.072
228	0.3	0.5	0.070
229	0.3	0.5	0.065
230	0.3	0.5	0.057
231	0.3	0.5	0.052
232	0.3	0.5	0.049
233	0.3	0.5	0.050
234	0.4	0.5	0.063
235	0.4	0.5	0.070
236	0.4	0.5	0.086
237	0.4	0.5	0.089
238	0.4	0.5	0.083
239	0.5	0.5	0.050
240	0.5	0.5	0.031
241	0.5	0.5	0.022
242	0.5	0.5	0.012
243	0.5	0.5	0.005
244	0.5	0.5	0.003
245	0.5	0.5	0.010
